"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Senen Jaya",3.1,58,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Senen+Jaya/data=!4m7!3m6!1s0x2e69f420c3e2920d:0x5e9071d77318a0d6!8m2!3d-6.1746912!4d106.8416595!16s%2Fg%2F11bbx0hjnv!19sChIJDZLiwyD0aS4R1qAYc9dxkF4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Senen+Jaya/@-6.1746912,106.8416595,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f420c3e2920d:0x5e9071d77318a0d6!8m2!3d-6.1746912!4d106.8416595!16s%2Fg%2F11bbx0hjnv?authuser=0&hl=id&entry=ttu","106.8416595","-6.1746912","Alamat","Pusat Grosir Senen Jaya Lt. 2, Kios. D, No. 37, Jl. Stasiun Senen, Senen, RW.3, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410"
"JNE Senen Jaya",3.1,58,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Senen+Jaya/data=!4m7!3m6!1s0x2e69f420c3e2920d:0x5e9071d77318a0d6!8m2!3d-6.1746912!4d106.8416595!16s%2Fg%2F11bbx0hjnv!19sChIJDZLiwyD0aS4R1qAYc9dxkF4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Senen+Jaya/@-6.1746912,106.8416595,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f420c3e2920d:0x5e9071d77318a0d6!8m2!3d-6.1746912!4d106.8416595!16s%2Fg%2F11bbx0hjnv?authuser=0&hl=id&entry=ttu","106.8416595","-6.1746912","Terletak di","Proyek Senen Market"
"JNE Senen Jaya",3.1,58,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Senen+Jaya/data=!4m7!3m6!1s0x2e69f420c3e2920d:0x5e9071d77318a0d6!8m2!3d-6.1746912!4d106.8416595!16s%2Fg%2F11bbx0hjnv!19sChIJDZLiwyD0aS4R1qAYc9dxkF4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Senen+Jaya/@-6.1746912,106.8416595,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f420c3e2920d:0x5e9071d77318a0d6!8m2!3d-6.1746912!4d106.8416595!16s%2Fg%2F11bbx0hjnv?authuser=0&hl=id&entry=ttu","106.8416595","-6.1746912","Situs Web","jne.co.id"
"JNE Senen Jaya",3.1,58,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Senen+Jaya/data=!4m7!3m6!1s0x2e69f420c3e2920d:0x5e9071d77318a0d6!8m2!3d-6.1746912!4d106.8416595!16s%2Fg%2F11bbx0hjnv!19sChIJDZLiwyD0aS4R1qAYc9dxkF4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Senen+Jaya/@-6.1746912,106.8416595,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f420c3e2920d:0x5e9071d77318a0d6!8m2!3d-6.1746912!4d106.8416595!16s%2Fg%2F11bbx0hjnv?authuser=0&hl=id&entry=ttu","106.8416595","-6.1746912","Telepon","(021) 29278888"
"JNE Senen Jaya",3.1,58,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Senen+Jaya/data=!4m7!3m6!1s0x2e69f420c3e2920d:0x5e9071d77318a0d6!8m2!3d-6.1746912!4d106.8416595!16s%2Fg%2F11bbx0hjnv!19sChIJDZLiwyD0aS4R1qAYc9dxkF4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Senen+Jaya/@-6.1746912,106.8416595,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f420c3e2920d:0x5e9071d77318a0d6!8m2!3d-6.1746912!4d106.8416595!16s%2Fg%2F11bbx0hjnv?authuser=0&hl=id&entry=ttu","106.8416595","-6.1746912","Plus Codes","RRGR+4M Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta"
"JNE AMP",4.5,125,"Tutup ⋅ Buka pukul 14.00","https://www.google.com/maps/place/JNE+AMP/data=!4m7!3m6!1s0x2e69f5c4801a3235:0x815b93a6ec30eef!8m2!3d-6.1634266!4d106.8319391!16s%2Fg%2F1td8nv2q!19sChIJNTIagMT1aS4R7w7Dbjq5FQg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+AMP/@-6.1634266,106.8319391,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5c4801a3235:0x815b93a6ec30eef!8m2!3d-6.1634266!4d106.8319391!16s%2Fg%2F1td8nv2q?authuser=0&hl=id&entry=ttu","106.8319391","-6.1634266","Alamat","Jl. Pintu Air V No.40B, RT.7/RW.8, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710"
"JNE AMP",4.5,125,"Tutup ⋅ Buka pukul 14.00","https://www.google.com/maps/place/JNE+AMP/data=!4m7!3m6!1s0x2e69f5c4801a3235:0x815b93a6ec30eef!8m2!3d-6.1634266!4d106.8319391!16s%2Fg%2F1td8nv2q!19sChIJNTIagMT1aS4R7w7Dbjq5FQg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+AMP/@-6.1634266,106.8319391,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5c4801a3235:0x815b93a6ec30eef!8m2!3d-6.1634266!4d106.8319391!16s%2Fg%2F1td8nv2q?authuser=0&hl=id&entry=ttu","106.8319391","-6.1634266","Situs Web","jne.co.id"
"JNE AMP",4.5,125,"Tutup ⋅ Buka pukul 14.00","https://www.google.com/maps/place/JNE+AMP/data=!4m7!3m6!1s0x2e69f5c4801a3235:0x815b93a6ec30eef!8m2!3d-6.1634266!4d106.8319391!16s%2Fg%2F1td8nv2q!19sChIJNTIagMT1aS4R7w7Dbjq5FQg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+AMP/@-6.1634266,106.8319391,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5c4801a3235:0x815b93a6ec30eef!8m2!3d-6.1634266!4d106.8319391!16s%2Fg%2F1td8nv2q?authuser=0&hl=id&entry=ttu","106.8319391","-6.1634266","Telepon","(021) 3442449"
"JNE AMP",4.5,125,"Tutup ⋅ Buka pukul 14.00","https://www.google.com/maps/place/JNE+AMP/data=!4m7!3m6!1s0x2e69f5c4801a3235:0x815b93a6ec30eef!8m2!3d-6.1634266!4d106.8319391!16s%2Fg%2F1td8nv2q!19sChIJNTIagMT1aS4R7w7Dbjq5FQg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+AMP/@-6.1634266,106.8319391,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5c4801a3235:0x815b93a6ec30eef!8m2!3d-6.1634266!4d106.8319391!16s%2Fg%2F1td8nv2q?authuser=0&hl=id&entry=ttu","106.8319391","-6.1634266","Plus Codes","RRPJ+JQ Ps. Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta"
"JNE Agen Letjend Soeprapto",4.4,57,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Agen+Letjend+Soeprapto/data=!4m7!3m6!1s0x2e69f44cb299bdad:0xe9aa5b5ee1515531!8m2!3d-6.1753987!4d106.8482248!16s%2Fg%2F11fx8wh2br!19sChIJrb2Zskz0aS4RMVVR4V5bquk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Letjend+Soeprapto/@-6.1753987,106.8482248,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f44cb299bdad:0xe9aa5b5ee1515531!8m2!3d-6.1753987!4d106.8482248!16s%2Fg%2F11fx8wh2br?authuser=0&hl=id&entry=ttu","106.8482248","-6.1753987","Alamat","Jalan Tanah Tinggi IV Blok 3 No.17 RT.10, RT.4/RW.3, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10540"
