"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Alur Laut",4.4,232,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Alur+Laut/data=!4m7!3m6!1s0x2e6a1fe2bfffffff:0x4d07dfc0fbece3e1!8m2!3d-6.1282279!4d106.8992655!16s%2Fg%2F1ygbb6xkx!19sChIJ____v-Ifai4R4ePs-8DfB00?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Alur+Laut/@-6.1282279,106.8992655,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1fe2bfffffff:0x4d07dfc0fbece3e1!8m2!3d-6.1282279!4d106.8992655!16s%2Fg%2F1ygbb6xkx?authuser=0&hl=id&entry=ttu","106.8992655","-6.1282279","Alamat","Jl. Alur Laut Raya No.3, RT.5/RW.3, Rawabadak Sel., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230"
"JNE Alur Laut",4.4,232,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Alur+Laut/data=!4m7!3m6!1s0x2e6a1fe2bfffffff:0x4d07dfc0fbece3e1!8m2!3d-6.1282279!4d106.8992655!16s%2Fg%2F1ygbb6xkx!19sChIJ____v-Ifai4R4ePs-8DfB00?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Alur+Laut/@-6.1282279,106.8992655,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1fe2bfffffff:0x4d07dfc0fbece3e1!8m2!3d-6.1282279!4d106.8992655!16s%2Fg%2F1ygbb6xkx?authuser=0&hl=id&entry=ttu","106.8992655","-6.1282279","Situs Web","jne.co.id"
"JNE Alur Laut",4.4,232,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Alur+Laut/data=!4m7!3m6!1s0x2e6a1fe2bfffffff:0x4d07dfc0fbece3e1!8m2!3d-6.1282279!4d106.8992655!16s%2Fg%2F1ygbb6xkx!19sChIJ____v-Ifai4R4ePs-8DfB00?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Alur+Laut/@-6.1282279,106.8992655,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1fe2bfffffff:0x4d07dfc0fbece3e1!8m2!3d-6.1282279!4d106.8992655!16s%2Fg%2F1ygbb6xkx?authuser=0&hl=id&entry=ttu","106.8992655","-6.1282279","Telepon","(021) 43933771"
"JNE Alur Laut",4.4,232,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Alur+Laut/data=!4m7!3m6!1s0x2e6a1fe2bfffffff:0x4d07dfc0fbece3e1!8m2!3d-6.1282279!4d106.8992655!16s%2Fg%2F1ygbb6xkx!19sChIJ____v-Ifai4R4ePs-8DfB00?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Alur+Laut/@-6.1282279,106.8992655,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1fe2bfffffff:0x4d07dfc0fbece3e1!8m2!3d-6.1282279!4d106.8992655!16s%2Fg%2F1ygbb6xkx?authuser=0&hl=id&entry=ttu","106.8992655","-6.1282279","Plus Codes","VVCX+PP Rawabadak Sel., Jkt Utara, Daerah Khusus Ibukota Jakarta"
"JNE Enggano",4.2,5,"unknown","https://www.google.com/maps/place/JNE+Enggano/data=!4m7!3m6!1s0x2e6a1fb5c3b2dec7:0xe9dfcb10776d5827!8m2!3d-6.1101962!4d106.8911405!16s%2Fg%2F11j8x1ph86!19sChIJx96yw7Ufai4RJ1htdxDL3-k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Enggano/@-6.1101962,106.8911405,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1fb5c3b2dec7:0xe9dfcb10776d5827!8m2!3d-6.1101962!4d106.8911405!16s%2Fg%2F11j8x1ph86?authuser=0&hl=id&entry=ttu","106.8911405","-6.1101962","Alamat","Jl. Edam 1 No.80, RT.4/RW.8, Tj. Priok, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14310"
"JNE Enggano",4.2,5,"unknown","https://www.google.com/maps/place/JNE+Enggano/data=!4m7!3m6!1s0x2e6a1fb5c3b2dec7:0xe9dfcb10776d5827!8m2!3d-6.1101962!4d106.8911405!16s%2Fg%2F11j8x1ph86!19sChIJx96yw7Ufai4RJ1htdxDL3-k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Enggano/@-6.1101962,106.8911405,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1fb5c3b2dec7:0xe9dfcb10776d5827!8m2!3d-6.1101962!4d106.8911405!16s%2Fg%2F11j8x1ph86?authuser=0&hl=id&entry=ttu","106.8911405","-6.1101962","Situs Web","jne.co.id"
"JNE Enggano",4.2,5,"unknown","https://www.google.com/maps/place/JNE+Enggano/data=!4m7!3m6!1s0x2e6a1fb5c3b2dec7:0xe9dfcb10776d5827!8m2!3d-6.1101962!4d106.8911405!16s%2Fg%2F11j8x1ph86!19sChIJx96yw7Ufai4RJ1htdxDL3-k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Enggano/@-6.1101962,106.8911405,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1fb5c3b2dec7:0xe9dfcb10776d5827!8m2!3d-6.1101962!4d106.8911405!16s%2Fg%2F11j8x1ph86?authuser=0&hl=id&entry=ttu","106.8911405","-6.1101962","Plus Codes","VVQR+WF Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta"
"JNE AGEN EMRE",4.3,57,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/JNE+AGEN+EMRE/data=!4m7!3m6!1s0x2e6a1f573846eb6f:0x1745d26cf09db0e3!8m2!3d-6.124626!4d106.8830077!16s%2Fg%2F11fm3474r0!19sChIJb-tGOFcfai4R47Cd8GzSRRc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+AGEN+EMRE/@-6.124626,106.8830077,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1f573846eb6f:0x1745d26cf09db0e3!8m2!3d-6.124626!4d106.8830077!16s%2Fg%2F11fm3474r0?authuser=0&hl=id&entry=ttu","106.8830077","-6.124626","Alamat","Jl. Warakas Raya No.67, RT.9/RW.10, Warakas, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14370"
"JNE AGEN EMRE",4.3,57,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/JNE+AGEN+EMRE/data=!4m7!3m6!1s0x2e6a1f573846eb6f:0x1745d26cf09db0e3!8m2!3d-6.124626!4d106.8830077!16s%2Fg%2F11fm3474r0!19sChIJb-tGOFcfai4R47Cd8GzSRRc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+AGEN+EMRE/@-6.124626,106.8830077,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1f573846eb6f:0x1745d26cf09db0e3!8m2!3d-6.124626!4d106.8830077!16s%2Fg%2F11fm3474r0?authuser=0&hl=id&entry=ttu","106.8830077","-6.124626","Situs Web","jne.co.id"
"JNE AGEN EMRE",4.3,57,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/JNE+AGEN+EMRE/data=!4m7!3m6!1s0x2e6a1f573846eb6f:0x1745d26cf09db0e3!8m2!3d-6.124626!4d106.8830077!16s%2Fg%2F11fm3474r0!19sChIJb-tGOFcfai4R47Cd8GzSRRc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+AGEN+EMRE/@-6.124626,106.8830077,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1f573846eb6f:0x1745d26cf09db0e3!8m2!3d-6.124626!4d106.8830077!16s%2Fg%2F11fm3474r0?authuser=0&hl=id&entry=ttu","106.8830077","-6.124626","Telepon","0897-9463-724"
