"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Agen BARUKANG",4.2,42,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Agen+BARUKANG/data=!4m7!3m6!1s0x2dbefd607687ea35:0x9e93ce1cd7ae7788!8m2!3d-5.1156608!4d119.4237816!16s%2Fg%2F11b77sqh6v!19sChIJNeqHdmD9vi0RiHeu1xzOk54?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+BARUKANG/@-5.1156608,119.4237816,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefd607687ea35:0x9e93ce1cd7ae7788!8m2!3d-5.1156608!4d119.4237816!16s%2Fg%2F11b77sqh6v?authuser=0&hl=id&entry=ttu","119.4237816","-5.1156608","Alamat","Jl. Barukang Raya No.35, Pannampu, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90162"
"JNE Agen BARUKANG",4.2,42,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Agen+BARUKANG/data=!4m7!3m6!1s0x2dbefd607687ea35:0x9e93ce1cd7ae7788!8m2!3d-5.1156608!4d119.4237816!16s%2Fg%2F11b77sqh6v!19sChIJNeqHdmD9vi0RiHeu1xzOk54?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+BARUKANG/@-5.1156608,119.4237816,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefd607687ea35:0x9e93ce1cd7ae7788!8m2!3d-5.1156608!4d119.4237816!16s%2Fg%2F11b77sqh6v?authuser=0&hl=id&entry=ttu","119.4237816","-5.1156608","Situs Web","jne.co.id"
"JNE Agen BARUKANG",4.2,42,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Agen+BARUKANG/data=!4m7!3m6!1s0x2dbefd607687ea35:0x9e93ce1cd7ae7788!8m2!3d-5.1156608!4d119.4237816!16s%2Fg%2F11b77sqh6v!19sChIJNeqHdmD9vi0RiHeu1xzOk54?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+BARUKANG/@-5.1156608,119.4237816,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefd607687ea35:0x9e93ce1cd7ae7788!8m2!3d-5.1156608!4d119.4237816!16s%2Fg%2F11b77sqh6v?authuser=0&hl=id&entry=ttu","119.4237816","-5.1156608","Telepon","0812-4181-8133"
"JNE Agen BARUKANG",4.2,42,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Agen+BARUKANG/data=!4m7!3m6!1s0x2dbefd607687ea35:0x9e93ce1cd7ae7788!8m2!3d-5.1156608!4d119.4237816!16s%2Fg%2F11b77sqh6v!19sChIJNeqHdmD9vi0RiHeu1xzOk54?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+BARUKANG/@-5.1156608,119.4237816,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbefd607687ea35:0x9e93ce1cd7ae7788!8m2!3d-5.1156608!4d119.4237816!16s%2Fg%2F11b77sqh6v?authuser=0&hl=id&entry=ttu","119.4237816","-5.1156608","Plus Codes","VCMF+PG Pannampu, Kota Makassar, Sulawesi Selatan"
"JNE BANGKA",4.1,156,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+BANGKA/data=!4m7!3m6!1s0x2e69f1623d116fcd:0x4fdf1cb1ad23ee91!8m2!3d-6.2441853!4d106.815927!16s%2Fg%2F1hm565_by!19sChIJzW8RPWLxaS4Rke4jrbEc308?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+BANGKA/@-6.2441853,106.815927,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f1623d116fcd:0x4fdf1cb1ad23ee91!8m2!3d-6.2441853!4d106.815927!16s%2Fg%2F1hm565_by?authuser=0&hl=id&entry=ttu","106.815927","-6.2441853","Alamat","10, Jl. Bangka Raya No.27, RT.10/RW.5, Pela Mampang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730"
"JNE BANGKA",4.1,156,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+BANGKA/data=!4m7!3m6!1s0x2e69f1623d116fcd:0x4fdf1cb1ad23ee91!8m2!3d-6.2441853!4d106.815927!16s%2Fg%2F1hm565_by!19sChIJzW8RPWLxaS4Rke4jrbEc308?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+BANGKA/@-6.2441853,106.815927,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f1623d116fcd:0x4fdf1cb1ad23ee91!8m2!3d-6.2441853!4d106.815927!16s%2Fg%2F1hm565_by?authuser=0&hl=id&entry=ttu","106.815927","-6.2441853","Situs Web","jne.co.id"
"JNE BANGKA",4.1,156,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+BANGKA/data=!4m7!3m6!1s0x2e69f1623d116fcd:0x4fdf1cb1ad23ee91!8m2!3d-6.2441853!4d106.815927!16s%2Fg%2F1hm565_by!19sChIJzW8RPWLxaS4Rke4jrbEc308?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+BANGKA/@-6.2441853,106.815927,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f1623d116fcd:0x4fdf1cb1ad23ee91!8m2!3d-6.2441853!4d106.815927!16s%2Fg%2F1hm565_by?authuser=0&hl=id&entry=ttu","106.815927","-6.2441853","Telepon","0811-1743-500"
"JNE BANGKA",4.1,156,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+BANGKA/data=!4m7!3m6!1s0x2e69f1623d116fcd:0x4fdf1cb1ad23ee91!8m2!3d-6.2441853!4d106.815927!16s%2Fg%2F1hm565_by!19sChIJzW8RPWLxaS4Rke4jrbEc308?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+BANGKA/@-6.2441853,106.815927,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f1623d116fcd:0x4fdf1cb1ad23ee91!8m2!3d-6.2441853!4d106.815927!16s%2Fg%2F1hm565_by?authuser=0&hl=id&entry=ttu","106.815927","-6.2441853","Plus Codes","QR48+89 Pela Mampang, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta"
"JNE BANGKALA",3.2,9,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+BANGKALA/data=!4m7!3m6!1s0x2db92ddabeed801d:0xc22ef04e1a640b46!8m2!3d-5.5812342!4d119.5668147!16s%2Fg%2F11f7110gly!19sChIJHYDtvtotuS0RRgtkGk7wLsI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+BANGKALA/@-5.5812342,119.5668147,17z/data=!3m1!4b1!4m6!3m5!1s0x2db92ddabeed801d:0xc22ef04e1a640b46!8m2!3d-5.5812342!4d119.5668147!16s%2Fg%2F11f7110gly?authuser=0&hl=id&entry=ttu","119.5668147","-5.5812342","Alamat","CH98+GP4, Benteng, Bangkala, Kabupaten Jeneponto, Sulawesi Selatan 92352"
"JNE Pusat Cabang Pangkal Pinang",3.8,1,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/JNE+Pusat+Cabang+Pangkal+Pinang/data=!4m7!3m6!1s0x2e22c128fc2891ab:0xa9af35f2fda269ee!8m2!3d-2.1295234!4d106.1079103!16s%2Fg%2F11b6dfv12w!19sChIJq5Eo_CjBIi4R7mmi_fI1r6k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pusat+Cabang+Pangkal+Pinang/@-2.1295234,106.1079103,17z/data=!3m1!4b1!4m6!3m5!1s0x2e22c128fc2891ab:0xa9af35f2fda269ee!8m2!3d-2.1295234!4d106.1079103!16s%2Fg%2F11b6dfv12w?authuser=0&hl=id&entry=ttu","106.1079103","-2.1295234","Alamat","Jl. A. Yani No.69, Rw. Bangun, Kec. Taman Sari, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33126"
