"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Gresika 1 Bantul",4.1,153,"Tutup ⋅ Buka Sen pukul 08.30","https://www.google.com/maps/place/JNE+Gresika+1+Bantul/data=!4m7!3m6!1s0x2e7a55ff9dc5e5b7:0x9798a88e65d26ccd!8m2!3d-7.8827946!4d110.3322195!16s%2Fg%2F11b6hyfsp8!19sChIJt-XFnf9Vei4RzWzSZY6omJc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Gresika+1+Bantul/@-7.8827946,110.3322195,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55ff9dc5e5b7:0x9798a88e65d26ccd!8m2!3d-7.8827946!4d110.3322195!16s%2Fg%2F11b6hyfsp8?authuser=0&hl=id&entry=ttu","110.3322195","-7.8827946","Alamat","Jl. Jend. Sudirman, Bantul Wr., Bantul, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55711"
"JNE Gresika 1 Bantul",4.1,153,"Tutup ⋅ Buka Sen pukul 08.30","https://www.google.com/maps/place/JNE+Gresika+1+Bantul/data=!4m7!3m6!1s0x2e7a55ff9dc5e5b7:0x9798a88e65d26ccd!8m2!3d-7.8827946!4d110.3322195!16s%2Fg%2F11b6hyfsp8!19sChIJt-XFnf9Vei4RzWzSZY6omJc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Gresika+1+Bantul/@-7.8827946,110.3322195,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55ff9dc5e5b7:0x9798a88e65d26ccd!8m2!3d-7.8827946!4d110.3322195!16s%2Fg%2F11b6hyfsp8?authuser=0&hl=id&entry=ttu","110.3322195","-7.8827946","Situs Web","jne.co.id"
"JNE Gresika 1 Bantul",4.1,153,"Tutup ⋅ Buka Sen pukul 08.30","https://www.google.com/maps/place/JNE+Gresika+1+Bantul/data=!4m7!3m6!1s0x2e7a55ff9dc5e5b7:0x9798a88e65d26ccd!8m2!3d-7.8827946!4d110.3322195!16s%2Fg%2F11b6hyfsp8!19sChIJt-XFnf9Vei4RzWzSZY6omJc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Gresika+1+Bantul/@-7.8827946,110.3322195,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55ff9dc5e5b7:0x9798a88e65d26ccd!8m2!3d-7.8827946!4d110.3322195!16s%2Fg%2F11b6hyfsp8?authuser=0&hl=id&entry=ttu","110.3322195","-7.8827946","Telepon","(0274) 2810023"
"JNE Gresika 1 Bantul",4.1,153,"Tutup ⋅ Buka Sen pukul 08.30","https://www.google.com/maps/place/JNE+Gresika+1+Bantul/data=!4m7!3m6!1s0x2e7a55ff9dc5e5b7:0x9798a88e65d26ccd!8m2!3d-7.8827946!4d110.3322195!16s%2Fg%2F11b6hyfsp8!19sChIJt-XFnf9Vei4RzWzSZY6omJc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Gresika+1+Bantul/@-7.8827946,110.3322195,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55ff9dc5e5b7:0x9798a88e65d26ccd!8m2!3d-7.8827946!4d110.3322195!16s%2Fg%2F11b6hyfsp8?authuser=0&hl=id&entry=ttu","110.3322195","-7.8827946","Plus Codes","488J+VV Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta"
"Kantor JNE Bantul",2.9,39,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/Kantor+JNE+Bantul/data=!4m7!3m6!1s0x2e7a577548a4e4f3:0xa4031e7784f95aae!8m2!3d-7.8556736!4d110.3900631!16s%2Fg%2F11smt0vkjg!19sChIJ8-SkSHVXei4Rrlr5hHceA6Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+JNE+Bantul/@-7.8556736,110.3900631,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a577548a4e4f3:0xa4031e7784f95aae!8m2!3d-7.8556736!4d110.3900631!16s%2Fg%2F11smt0vkjg?authuser=0&hl=id&entry=ttu","110.3900631","-7.8556736","Alamat","Jl. Imogiri Tim. No.km 8, RW.5, Demangan, Kopen, Wonokromo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55791"
"Kantor JNE Bantul",2.9,39,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/Kantor+JNE+Bantul/data=!4m7!3m6!1s0x2e7a577548a4e4f3:0xa4031e7784f95aae!8m2!3d-7.8556736!4d110.3900631!16s%2Fg%2F11smt0vkjg!19sChIJ8-SkSHVXei4Rrlr5hHceA6Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+JNE+Bantul/@-7.8556736,110.3900631,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a577548a4e4f3:0xa4031e7784f95aae!8m2!3d-7.8556736!4d110.3900631!16s%2Fg%2F11smt0vkjg?authuser=0&hl=id&entry=ttu","110.3900631","-7.8556736","Situs Web","jne.co.id"
"Kantor JNE Bantul",2.9,39,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/Kantor+JNE+Bantul/data=!4m7!3m6!1s0x2e7a577548a4e4f3:0xa4031e7784f95aae!8m2!3d-7.8556736!4d110.3900631!16s%2Fg%2F11smt0vkjg!19sChIJ8-SkSHVXei4Rrlr5hHceA6Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+JNE+Bantul/@-7.8556736,110.3900631,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a577548a4e4f3:0xa4031e7784f95aae!8m2!3d-7.8556736!4d110.3900631!16s%2Fg%2F11smt0vkjg?authuser=0&hl=id&entry=ttu","110.3900631","-7.8556736","Plus Codes","49VR+P2 Demangan, Wonokromo, Kabupaten Bantul, Daerah Istimewa Yogyakarta"
"SMART POINT JNE BANTUL",2.8,248,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/SMART+POINT+JNE+BANTUL/data=!4m7!3m6!1s0x2e7a55f81fb0ff77:0xfe115c29a49c46e2!8m2!3d-7.8925618!4d110.3523426!16s%2Fg%2F11pvdb0h0h!19sChIJd_-wH_hVei4R4kacpClcEf4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SMART+POINT+JNE+BANTUL/@-7.8925618,110.3523426,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55f81fb0ff77:0xfe115c29a49c46e2!8m2!3d-7.8925618!4d110.3523426!16s%2Fg%2F11pvdb0h0h?authuser=0&hl=id&entry=ttu","110.3523426","-7.8925618","Alamat","Jl. Parangtritis No.11, Manding, Sabdodadi, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55715"
"SMART POINT JNE BANTUL",2.8,248,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/SMART+POINT+JNE+BANTUL/data=!4m7!3m6!1s0x2e7a55f81fb0ff77:0xfe115c29a49c46e2!8m2!3d-7.8925618!4d110.3523426!16s%2Fg%2F11pvdb0h0h!19sChIJd_-wH_hVei4R4kacpClcEf4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SMART+POINT+JNE+BANTUL/@-7.8925618,110.3523426,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55f81fb0ff77:0xfe115c29a49c46e2!8m2!3d-7.8925618!4d110.3523426!16s%2Fg%2F11pvdb0h0h?authuser=0&hl=id&entry=ttu","110.3523426","-7.8925618","Telepon","(0274) 2819587"
"SMART POINT JNE BANTUL",2.8,248,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/SMART+POINT+JNE+BANTUL/data=!4m7!3m6!1s0x2e7a55f81fb0ff77:0xfe115c29a49c46e2!8m2!3d-7.8925618!4d110.3523426!16s%2Fg%2F11pvdb0h0h!19sChIJd_-wH_hVei4R4kacpClcEf4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/SMART+POINT+JNE+BANTUL/@-7.8925618,110.3523426,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a55f81fb0ff77:0xfe115c29a49c46e2!8m2!3d-7.8925618!4d110.3523426!16s%2Fg%2F11pvdb0h0h?authuser=0&hl=id&entry=ttu","110.3523426","-7.8925618","Plus Codes","4942+XW Sabdodadi, Kabupaten Bantul, Daerah Istimewa Yogyakarta"
