"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Agen Utama Bengkulu",3.6,784,"Buka ⋅ Tutup pukul 20.30","https://www.google.com/maps/place/JNE+Agen+Utama+Bengkulu/data=!4m7!3m6!1s0x2e36b0139918d2f1:0xd7947f2d1d069689!8m2!3d-3.8031951!4d102.2737992!16s%2Fg%2F1pzxq319d!19sChIJ8dIYmROwNi4RiZYGHS1_lNc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Utama+Bengkulu/@-3.8031951,102.2737992,17z/data=!3m1!4b1!4m6!3m5!1s0x2e36b0139918d2f1:0xd7947f2d1d069689!8m2!3d-3.8031951!4d102.2737992!16s%2Fg%2F1pzxq319d?authuser=0&hl=id&entry=ttu","102.2737992","-3.8031951","Alamat","Jl. Flamboyan Raya No.19, Kebun Kenanga, Kec. Ratu Agung, Kota Bengkulu, Bengkulu 38223"
"JNE Agen Utama Bengkulu",3.6,784,"Buka ⋅ Tutup pukul 20.30","https://www.google.com/maps/place/JNE+Agen+Utama+Bengkulu/data=!4m7!3m6!1s0x2e36b0139918d2f1:0xd7947f2d1d069689!8m2!3d-3.8031951!4d102.2737992!16s%2Fg%2F1pzxq319d!19sChIJ8dIYmROwNi4RiZYGHS1_lNc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Utama+Bengkulu/@-3.8031951,102.2737992,17z/data=!3m1!4b1!4m6!3m5!1s0x2e36b0139918d2f1:0xd7947f2d1d069689!8m2!3d-3.8031951!4d102.2737992!16s%2Fg%2F1pzxq319d?authuser=0&hl=id&entry=ttu","102.2737992","-3.8031951","Situs Web","jne.co.id"
"JNE Agen Utama Bengkulu",3.6,784,"Buka ⋅ Tutup pukul 20.30","https://www.google.com/maps/place/JNE+Agen+Utama+Bengkulu/data=!4m7!3m6!1s0x2e36b0139918d2f1:0xd7947f2d1d069689!8m2!3d-3.8031951!4d102.2737992!16s%2Fg%2F1pzxq319d!19sChIJ8dIYmROwNi4RiZYGHS1_lNc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Utama+Bengkulu/@-3.8031951,102.2737992,17z/data=!3m1!4b1!4m6!3m5!1s0x2e36b0139918d2f1:0xd7947f2d1d069689!8m2!3d-3.8031951!4d102.2737992!16s%2Fg%2F1pzxq319d?authuser=0&hl=id&entry=ttu","102.2737992","-3.8031951","Telepon","(0736) 343980"
"JNE Agen Utama Bengkulu",3.6,784,"Buka ⋅ Tutup pukul 20.30","https://www.google.com/maps/place/JNE+Agen+Utama+Bengkulu/data=!4m7!3m6!1s0x2e36b0139918d2f1:0xd7947f2d1d069689!8m2!3d-3.8031951!4d102.2737992!16s%2Fg%2F1pzxq319d!19sChIJ8dIYmROwNi4RiZYGHS1_lNc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Utama+Bengkulu/@-3.8031951,102.2737992,17z/data=!3m1!4b1!4m6!3m5!1s0x2e36b0139918d2f1:0xd7947f2d1d069689!8m2!3d-3.8031951!4d102.2737992!16s%2Fg%2F1pzxq319d?authuser=0&hl=id&entry=ttu","102.2737992","-3.8031951","Plus Codes","57WF+PG Kebun Kenanga, Kota Bengkulu, Bengkulu"
"JNE Perumnas Pinangmas",3,1,"unknown","https://www.google.com/maps/place/JNE+Perumnas+Pinangmas/data=!4m7!3m6!1s0x2e36b396aaaaaaab:0x25246df579ff67f1!8m2!3d-3.7120209!4d102.3292076!16s%2Fg%2F1ygbb6xys!19sChIJq6qqqpazNi4R8Wf_efVtJCU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Perumnas+Pinangmas/@-3.7120209,102.3292076,13z/data=!3m1!4b1!4m6!3m5!1s0x2e36b396aaaaaaab:0x25246df579ff67f1!8m2!3d-3.7120209!4d102.3292076!16s%2Fg%2F1ygbb6xys?authuser=0&hl=id&entry=ttu","102.3292076","-3.7120209","Alamat","Jl. Perumnas Pinangmas Ruko B-C, Tanjung Terdana, Pondok Kubang, Central Bengkulu Regency, Bengkulu 38126"
"JNE Perumnas Pinangmas",3,1,"unknown","https://www.google.com/maps/place/JNE+Perumnas+Pinangmas/data=!4m7!3m6!1s0x2e36b396aaaaaaab:0x25246df579ff67f1!8m2!3d-3.7120209!4d102.3292076!16s%2Fg%2F1ygbb6xys!19sChIJq6qqqpazNi4R8Wf_efVtJCU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Perumnas+Pinangmas/@-3.7120209,102.3292076,13z/data=!3m1!4b1!4m6!3m5!1s0x2e36b396aaaaaaab:0x25246df579ff67f1!8m2!3d-3.7120209!4d102.3292076!16s%2Fg%2F1ygbb6xys?authuser=0&hl=id&entry=ttu","102.3292076","-3.7120209","Situs Web","jne.co.id"
"JNE Perumnas Pinangmas",3,1,"unknown","https://www.google.com/maps/place/JNE+Perumnas+Pinangmas/data=!4m7!3m6!1s0x2e36b396aaaaaaab:0x25246df579ff67f1!8m2!3d-3.7120209!4d102.3292076!16s%2Fg%2F1ygbb6xys!19sChIJq6qqqpazNi4R8Wf_efVtJCU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Perumnas+Pinangmas/@-3.7120209,102.3292076,13z/data=!3m1!4b1!4m6!3m5!1s0x2e36b396aaaaaaab:0x25246df579ff67f1!8m2!3d-3.7120209!4d102.3292076!16s%2Fg%2F1ygbb6xys?authuser=0&hl=id&entry=ttu","102.3292076","-3.7120209","Telepon","(021) 29278888"
"Sub Agen JNE Risa",NA,NA,"unknown","https://www.google.com/maps/place/Sub+Agen+JNE+Risa/data=!4m7!3m6!1s0x2e314b293590c265:0x6670e24d0df013ff!8m2!3d-3.628895!4d102.4179988!16s%2Fg%2F11h5rwpc1f!19sChIJZcKQNSlLMS4R_xPwDU3icGY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Sub+Agen+JNE+Risa/@-3.628895,102.4179988,17z/data=!3m1!4b1!4m6!3m5!1s0x2e314b293590c265:0x6670e24d0df013ff!8m2!3d-3.628895!4d102.4179988!16s%2Fg%2F11h5rwpc1f?authuser=0&hl=id&entry=ttu","102.4179988","-3.628895","Alamat","9CC9+C5X, Arga Indah II, Kec. Merigi Sakti, Kabupaten Bengkulu Tengah, Bengkulu 38383"
"JNE Sub Agen Curup",3,1,"unknown","https://www.google.com/maps/place/JNE+Sub+Agen+Curup/data=!4m7!3m6!1s0x2e36b0219867a09b:0x653493a6e745a58!8m2!3d-3.7920671!4d102.2619957!16s%2Fg%2F1ygbb6sp_!19sChIJm6BnmCGwNi4RWFp0bjpJUwY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Curup/@-3.7920671,102.2619957,8z/data=!3m1!4b1!4m6!3m5!1s0x2e36b0219867a09b:0x653493a6e745a58!8m2!3d-3.7920671!4d102.2619957!16s%2Fg%2F1ygbb6sp_?authuser=0&hl=id&entry=ttu","102.2619957","-3.7920671","Alamat","Jl. Iskandar Ong Gang Maninju Rt. 8 No. 8 C Talang Rimbo, Rejanglebong, Bengkulu 39111"
"JNE Sub Agen Curup",3,1,"unknown","https://www.google.com/maps/place/JNE+Sub+Agen+Curup/data=!4m7!3m6!1s0x2e36b0219867a09b:0x653493a6e745a58!8m2!3d-3.7920671!4d102.2619957!16s%2Fg%2F1ygbb6sp_!19sChIJm6BnmCGwNi4RWFp0bjpJUwY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Curup/@-3.7920671,102.2619957,8z/data=!3m1!4b1!4m6!3m5!1s0x2e36b0219867a09b:0x653493a6e745a58!8m2!3d-3.7920671!4d102.2619957!16s%2Fg%2F1ygbb6sp_?authuser=0&hl=id&entry=ttu","102.2619957","-3.7920671","Situs Web","jne.co.id"
