"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Agen Bone",3,341,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Agen+Bone/data=!4m7!3m6!1s0x2dbde51ba508112b:0x5dcd5631040fa416!8m2!3d-4.5401648!4d120.3148918!16s%2Fg%2F1pxqdwnw8!19sChIJKxEIpRvlvS0RFqQPBDFWzV0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Bone/@-4.5401648,120.3148918,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbde51ba508112b:0x5dcd5631040fa416!8m2!3d-4.5401648!4d120.3148918!16s%2Fg%2F1pxqdwnw8?authuser=0&hl=id&entry=ttu","120.3148918","-4.5401648","Alamat","Jalan Ahmad Yani No. 32 C, Macanang, Bone, Kabupaten Bone, Sulawesi Selatan 92713"
"JNE Agen Bone",3,341,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Agen+Bone/data=!4m7!3m6!1s0x2dbde51ba508112b:0x5dcd5631040fa416!8m2!3d-4.5401648!4d120.3148918!16s%2Fg%2F1pxqdwnw8!19sChIJKxEIpRvlvS0RFqQPBDFWzV0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Bone/@-4.5401648,120.3148918,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbde51ba508112b:0x5dcd5631040fa416!8m2!3d-4.5401648!4d120.3148918!16s%2Fg%2F1pxqdwnw8?authuser=0&hl=id&entry=ttu","120.3148918","-4.5401648","Situs Web","jne.co.id"
"JNE Agen Bone",3,341,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Agen+Bone/data=!4m7!3m6!1s0x2dbde51ba508112b:0x5dcd5631040fa416!8m2!3d-4.5401648!4d120.3148918!16s%2Fg%2F1pxqdwnw8!19sChIJKxEIpRvlvS0RFqQPBDFWzV0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Bone/@-4.5401648,120.3148918,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbde51ba508112b:0x5dcd5631040fa416!8m2!3d-4.5401648!4d120.3148918!16s%2Fg%2F1pxqdwnw8?authuser=0&hl=id&entry=ttu","120.3148918","-4.5401648","Telepon","(0481) 23052"
"JNE Agen Bone",3,341,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Agen+Bone/data=!4m7!3m6!1s0x2dbde51ba508112b:0x5dcd5631040fa416!8m2!3d-4.5401648!4d120.3148918!16s%2Fg%2F1pxqdwnw8!19sChIJKxEIpRvlvS0RFqQPBDFWzV0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Bone/@-4.5401648,120.3148918,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbde51ba508112b:0x5dcd5631040fa416!8m2!3d-4.5401648!4d120.3148918!16s%2Fg%2F1pxqdwnw8?authuser=0&hl=id&entry=ttu","120.3148918","-4.5401648","Plus Codes","F857+WX Macanang, Kabupaten Bone, Sulawesi Selatan"
"JNE",3.8,105,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x32792e06eb98e2af:0x9f2756c555c43963!8m2!3d0.626496!4d122.9891475!16s%2Fg%2F1hdznk2ll!19sChIJr-KY6wYueTIRYznEVcVWJ58?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@0.626496,122.9891475,17z/data=!3m1!4b1!4m6!3m5!1s0x32792e06eb98e2af:0x9f2756c555c43963!8m2!3d0.626496!4d122.9891475!16s%2Fg%2F1hdznk2ll?authuser=0&hl=id&entry=ttu","122.9891475","0.626496","Alamat","Hepuhulawa, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96181"
"JNE",3.8,105,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x32792e06eb98e2af:0x9f2756c555c43963!8m2!3d0.626496!4d122.9891475!16s%2Fg%2F1hdznk2ll!19sChIJr-KY6wYueTIRYznEVcVWJ58?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@0.626496,122.9891475,17z/data=!3m1!4b1!4m6!3m5!1s0x32792e06eb98e2af:0x9f2756c555c43963!8m2!3d0.626496!4d122.9891475!16s%2Fg%2F1hdznk2ll?authuser=0&hl=id&entry=ttu","122.9891475","0.626496","Situs Web","jne.co.id"
"JNE",3.8,105,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x32792e06eb98e2af:0x9f2756c555c43963!8m2!3d0.626496!4d122.9891475!16s%2Fg%2F1hdznk2ll!19sChIJr-KY6wYueTIRYznEVcVWJ58?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@0.626496,122.9891475,17z/data=!3m1!4b1!4m6!3m5!1s0x32792e06eb98e2af:0x9f2756c555c43963!8m2!3d0.626496!4d122.9891475!16s%2Fg%2F1hdznk2ll?authuser=0&hl=id&entry=ttu","122.9891475","0.626496","Plus Codes","JXGQ+HM Hepuhulawa, Kabupaten Gorontalo, Gorontalo"
"JNE Cabang Utama Gorontalo",4.1,505,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/data=!4m7!3m6!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!16s%2Fg%2F1hm67ghgp!19sChIJ_Y5cmCYreTIRKvLaW5dTn2k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/@0.538453,123.0632013,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!16s%2Fg%2F1hm67ghgp?authuser=0&hl=id&entry=ttu","123.0632013","0.538453","Alamat","Jl. Kasuari I No.80, Heledulaa Sel., Kec. Kota Tim., Kota Gorontalo, Gorontalo 96164"
"JNE Cabang Utama Gorontalo",4.1,505,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/data=!4m7!3m6!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!16s%2Fg%2F1hm67ghgp!19sChIJ_Y5cmCYreTIRKvLaW5dTn2k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/@0.538453,123.0632013,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!16s%2Fg%2F1hm67ghgp?authuser=0&hl=id&entry=ttu","123.0632013","0.538453","Situs Web","jne.co.id"
"JNE Cabang Utama Gorontalo",4.1,505,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/data=!4m7!3m6!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!16s%2Fg%2F1hm67ghgp!19sChIJ_Y5cmCYreTIRKvLaW5dTn2k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/@0.538453,123.0632013,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!16s%2Fg%2F1hm67ghgp?authuser=0&hl=id&entry=ttu","123.0632013","0.538453","Telepon","(0435) 824026"
