"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor JNE Ciamis",2.6,17,"unknown","https://www.google.com/maps/place/Kantor+JNE+Ciamis/data=!4m7!3m6!1s0x2e6f5eb97078180f:0xd791b8613d7321b9!8m2!3d-7.3274547!4d108.347078!16s%2Fg%2F11b72mzyp8!19sChIJDxh4cLleby4RuSFzPWG4kdc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+JNE+Ciamis/@-7.3274547,108.347078,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f5eb97078180f:0xd791b8613d7321b9!8m2!3d-7.3274547!4d108.347078!16s%2Fg%2F11b72mzyp8?authuser=0&hl=id&entry=ttu","108.347078","-7.3274547","Alamat","Jl. Ir. H. Juanda No.124, Ciamis, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46211"
"Kantor JNE Ciamis",2.6,17,"unknown","https://www.google.com/maps/place/Kantor+JNE+Ciamis/data=!4m7!3m6!1s0x2e6f5eb97078180f:0xd791b8613d7321b9!8m2!3d-7.3274547!4d108.347078!16s%2Fg%2F11b72mzyp8!19sChIJDxh4cLleby4RuSFzPWG4kdc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+JNE+Ciamis/@-7.3274547,108.347078,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f5eb97078180f:0xd791b8613d7321b9!8m2!3d-7.3274547!4d108.347078!16s%2Fg%2F11b72mzyp8?authuser=0&hl=id&entry=ttu","108.347078","-7.3274547","Situs Web","jne.co.id"
"Kantor JNE Ciamis",2.6,17,"unknown","https://www.google.com/maps/place/Kantor+JNE+Ciamis/data=!4m7!3m6!1s0x2e6f5eb97078180f:0xd791b8613d7321b9!8m2!3d-7.3274547!4d108.347078!16s%2Fg%2F11b72mzyp8!19sChIJDxh4cLleby4RuSFzPWG4kdc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+JNE+Ciamis/@-7.3274547,108.347078,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f5eb97078180f:0xd791b8613d7321b9!8m2!3d-7.3274547!4d108.347078!16s%2Fg%2F11b72mzyp8?authuser=0&hl=id&entry=ttu","108.347078","-7.3274547","Telepon","(0265) 7606523"
"Kantor JNE Ciamis",2.6,17,"unknown","https://www.google.com/maps/place/Kantor+JNE+Ciamis/data=!4m7!3m6!1s0x2e6f5eb97078180f:0xd791b8613d7321b9!8m2!3d-7.3274547!4d108.347078!16s%2Fg%2F11b72mzyp8!19sChIJDxh4cLleby4RuSFzPWG4kdc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+JNE+Ciamis/@-7.3274547,108.347078,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f5eb97078180f:0xd791b8613d7321b9!8m2!3d-7.3274547!4d108.347078!16s%2Fg%2F11b72mzyp8?authuser=0&hl=id&entry=ttu","108.347078","-7.3274547","Plus Codes","M8FW+2R Ciamis, Kabupaten Ciamis, Jawa Barat"
"AGEN JNE JEND SUDIRMAN CIAMIS",5,1,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/AGEN+JNE+JEND+SUDIRMAN+CIAMIS/data=!4m7!3m6!1s0x2e6f599f989712ab:0xc83a05fd038c390a!8m2!3d-7.3236403!4d108.327935!16s%2Fg%2F11mv_pvktl!19sChIJqxKXmJ9Zby4RCjmMA_0FOsg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/AGEN+JNE+JEND+SUDIRMAN+CIAMIS/@-7.3236403,108.327935,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f599f989712ab:0xc83a05fd038c390a!8m2!3d-7.3236403!4d108.327935!16s%2Fg%2F11mv_pvktl?authuser=0&hl=id&entry=ttu","108.327935","-7.3236403","Alamat","SEBRANG HOTEL PUTRA YHUDA, Jl. Jend. Sudirman, Sindangrasa, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46211"
"AGEN JNE JEND SUDIRMAN CIAMIS",5,1,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/AGEN+JNE+JEND+SUDIRMAN+CIAMIS/data=!4m7!3m6!1s0x2e6f599f989712ab:0xc83a05fd038c390a!8m2!3d-7.3236403!4d108.327935!16s%2Fg%2F11mv_pvktl!19sChIJqxKXmJ9Zby4RCjmMA_0FOsg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/AGEN+JNE+JEND+SUDIRMAN+CIAMIS/@-7.3236403,108.327935,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f599f989712ab:0xc83a05fd038c390a!8m2!3d-7.3236403!4d108.327935!16s%2Fg%2F11mv_pvktl?authuser=0&hl=id&entry=ttu","108.327935","-7.3236403","Situs Web","business.site"
"AGEN JNE JEND SUDIRMAN CIAMIS",5,1,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/AGEN+JNE+JEND+SUDIRMAN+CIAMIS/data=!4m7!3m6!1s0x2e6f599f989712ab:0xc83a05fd038c390a!8m2!3d-7.3236403!4d108.327935!16s%2Fg%2F11mv_pvktl!19sChIJqxKXmJ9Zby4RCjmMA_0FOsg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/AGEN+JNE+JEND+SUDIRMAN+CIAMIS/@-7.3236403,108.327935,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f599f989712ab:0xc83a05fd038c390a!8m2!3d-7.3236403!4d108.327935!16s%2Fg%2F11mv_pvktl?authuser=0&hl=id&entry=ttu","108.327935","-7.3236403","Telepon","0853-2002-0117"
"AGEN JNE JEND SUDIRMAN CIAMIS",5,1,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/AGEN+JNE+JEND+SUDIRMAN+CIAMIS/data=!4m7!3m6!1s0x2e6f599f989712ab:0xc83a05fd038c390a!8m2!3d-7.3236403!4d108.327935!16s%2Fg%2F11mv_pvktl!19sChIJqxKXmJ9Zby4RCjmMA_0FOsg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/AGEN+JNE+JEND+SUDIRMAN+CIAMIS/@-7.3236403,108.327935,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f599f989712ab:0xc83a05fd038c390a!8m2!3d-7.3236403!4d108.327935!16s%2Fg%2F11mv_pvktl?authuser=0&hl=id&entry=ttu","108.327935","-7.3236403","Plus Codes","M8GH+G5 Sindangrasa, Kabupaten Ciamis, Jawa Barat"
"JNE Banjarsari",3.8,43,"unknown","https://www.google.com/maps/place/JNE+Banjarsari/data=!4m7!3m6!1s0x2e658f60eb5d3213:0x907bc914d4c499bb!8m2!3d-7.4870197!4d108.6130237!16s%2Fg%2F11bc7t8b_y!19sChIJEzJd62CPZS4Ru5nE1BTJe5A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Banjarsari/@-7.4870197,108.6130237,17z/data=!3m1!4b1!4m6!3m5!1s0x2e658f60eb5d3213:0x907bc914d4c499bb!8m2!3d-7.4870197!4d108.6130237!16s%2Fg%2F11bc7t8b_y?authuser=0&hl=id&entry=ttu","108.6130237","-7.4870197","Alamat","JL Raya Banjarsari, No. 60, Pangandaran, Banjarsari, Ciamis, Kabupaten Ciamis, Jawa Barat 46383"
"JNE Banjarsari",3.8,43,"unknown","https://www.google.com/maps/place/JNE+Banjarsari/data=!4m7!3m6!1s0x2e658f60eb5d3213:0x907bc914d4c499bb!8m2!3d-7.4870197!4d108.6130237!16s%2Fg%2F11bc7t8b_y!19sChIJEzJd62CPZS4Ru5nE1BTJe5A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Banjarsari/@-7.4870197,108.6130237,17z/data=!3m1!4b1!4m6!3m5!1s0x2e658f60eb5d3213:0x907bc914d4c499bb!8m2!3d-7.4870197!4d108.6130237!16s%2Fg%2F11bc7t8b_y?authuser=0&hl=id&entry=ttu","108.6130237","-7.4870197","Situs Web","alamat.cektarif.com"
