"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE CILEGON (Kantor Cabang Utama)",3.2,490,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+CILEGON+%28Kantor+Cabang+Utama%29/data=!4m7!3m6!1s0x2e418d6b1209b09f:0x645fc696e3793fd3!8m2!3d-6.0383098!4d106.0805387!16s%2Fg%2F11k69j8c_s!19sChIJn7AJEmuNQS4R0z9545bGX2Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+CILEGON+(Kantor+Cabang+Utama)/@-6.0383098,106.0805387,17z/data=!3m1!4b1!4m6!3m5!1s0x2e418d6b1209b09f:0x645fc696e3793fd3!8m2!3d-6.0383098!4d106.0805387!16s%2Fg%2F11k69j8c_s?authuser=0&hl=id&entry=ttu","106.0805387","-6.0383098","Alamat","Jl. Lingkar Selatan No.24, Kedaleman, Kec. Cibeber, Kota Cilegon, Banten 42422"
"JNE CILEGON (Kantor Cabang Utama)",3.2,490,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+CILEGON+%28Kantor+Cabang+Utama%29/data=!4m7!3m6!1s0x2e418d6b1209b09f:0x645fc696e3793fd3!8m2!3d-6.0383098!4d106.0805387!16s%2Fg%2F11k69j8c_s!19sChIJn7AJEmuNQS4R0z9545bGX2Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+CILEGON+(Kantor+Cabang+Utama)/@-6.0383098,106.0805387,17z/data=!3m1!4b1!4m6!3m5!1s0x2e418d6b1209b09f:0x645fc696e3793fd3!8m2!3d-6.0383098!4d106.0805387!16s%2Fg%2F11k69j8c_s?authuser=0&hl=id&entry=ttu","106.0805387","-6.0383098","Situs Web","jne.co.id"
"JNE CILEGON (Kantor Cabang Utama)",3.2,490,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+CILEGON+%28Kantor+Cabang+Utama%29/data=!4m7!3m6!1s0x2e418d6b1209b09f:0x645fc696e3793fd3!8m2!3d-6.0383098!4d106.0805387!16s%2Fg%2F11k69j8c_s!19sChIJn7AJEmuNQS4R0z9545bGX2Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+CILEGON+(Kantor+Cabang+Utama)/@-6.0383098,106.0805387,17z/data=!3m1!4b1!4m6!3m5!1s0x2e418d6b1209b09f:0x645fc696e3793fd3!8m2!3d-6.0383098!4d106.0805387!16s%2Fg%2F11k69j8c_s?authuser=0&hl=id&entry=ttu","106.0805387","-6.0383098","Telepon","(0254) 2255000"
"JNE CILEGON (Kantor Cabang Utama)",3.2,490,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+CILEGON+%28Kantor+Cabang+Utama%29/data=!4m7!3m6!1s0x2e418d6b1209b09f:0x645fc696e3793fd3!8m2!3d-6.0383098!4d106.0805387!16s%2Fg%2F11k69j8c_s!19sChIJn7AJEmuNQS4R0z9545bGX2Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+CILEGON+(Kantor+Cabang+Utama)/@-6.0383098,106.0805387,17z/data=!3m1!4b1!4m6!3m5!1s0x2e418d6b1209b09f:0x645fc696e3793fd3!8m2!3d-6.0383098!4d106.0805387!16s%2Fg%2F11k69j8c_s?authuser=0&hl=id&entry=ttu","106.0805387","-6.0383098","Plus Codes","X36J+M6 Kedaleman, Kota Cilegon, Banten"
"JNE Kantor Perwakilan Cilegon",2.4,911,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Cilegon/data=!4m7!3m6!1s0x2e418dd9b3bcf52f:0x23bb9bfa6e3621ff!8m2!3d-6.0239467!4d106.0671234!16s%2Fg%2F1pzsbf_q9!19sChIJL_W8s9mNQS4R_yE2bvqbuyM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Cilegon/@-6.0239467,106.0671234,17z/data=!3m1!4b1!4m6!3m5!1s0x2e418dd9b3bcf52f:0x23bb9bfa6e3621ff!8m2!3d-6.0239467!4d106.0671234!16s%2Fg%2F1pzsbf_q9?authuser=0&hl=id&entry=ttu","106.0671234","-6.0239467","Alamat","Ruko Bina Usaha No. 14A, Jl. Raya Serang Km. 5, Sukmajaya, Kec. Cilegon, Kota Cilegon, Banten 42416"
"JNE Kantor Perwakilan Cilegon",2.4,911,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Cilegon/data=!4m7!3m6!1s0x2e418dd9b3bcf52f:0x23bb9bfa6e3621ff!8m2!3d-6.0239467!4d106.0671234!16s%2Fg%2F1pzsbf_q9!19sChIJL_W8s9mNQS4R_yE2bvqbuyM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Cilegon/@-6.0239467,106.0671234,17z/data=!3m1!4b1!4m6!3m5!1s0x2e418dd9b3bcf52f:0x23bb9bfa6e3621ff!8m2!3d-6.0239467!4d106.0671234!16s%2Fg%2F1pzsbf_q9?authuser=0&hl=id&entry=ttu","106.0671234","-6.0239467","Situs Web","jne.co.id"
"JNE Kantor Perwakilan Cilegon",2.4,911,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Cilegon/data=!4m7!3m6!1s0x2e418dd9b3bcf52f:0x23bb9bfa6e3621ff!8m2!3d-6.0239467!4d106.0671234!16s%2Fg%2F1pzsbf_q9!19sChIJL_W8s9mNQS4R_yE2bvqbuyM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Cilegon/@-6.0239467,106.0671234,17z/data=!3m1!4b1!4m6!3m5!1s0x2e418dd9b3bcf52f:0x23bb9bfa6e3621ff!8m2!3d-6.0239467!4d106.0671234!16s%2Fg%2F1pzsbf_q9?authuser=0&hl=id&entry=ttu","106.0671234","-6.0239467","Telepon","(0254) 380732"
"JNE Kantor Perwakilan Cilegon",2.4,911,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Cilegon/data=!4m7!3m6!1s0x2e418dd9b3bcf52f:0x23bb9bfa6e3621ff!8m2!3d-6.0239467!4d106.0671234!16s%2Fg%2F1pzsbf_q9!19sChIJL_W8s9mNQS4R_yE2bvqbuyM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Cilegon/@-6.0239467,106.0671234,17z/data=!3m1!4b1!4m6!3m5!1s0x2e418dd9b3bcf52f:0x23bb9bfa6e3621ff!8m2!3d-6.0239467!4d106.0671234!16s%2Fg%2F1pzsbf_q9?authuser=0&hl=id&entry=ttu","106.0671234","-6.0239467","Plus Codes","X3G8+CR Sukmajaya, Kota Cilegon, Banten"
"JNE ZAKIYAH",4.5,103,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNE+ZAKIYAH/data=!4m7!3m6!1s0x2e418e0bf0d44bad:0xf60b1332cd5d961f!8m2!3d-6.012121!4d106.0585235!16s%2Fg%2F11cpl0kzls!19sChIJrUvU8AuOQS4RH5ZdzTITC_Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+ZAKIYAH/@-6.012121,106.0585235,17z/data=!3m1!4b1!4m6!3m5!1s0x2e418e0bf0d44bad:0xf60b1332cd5d961f!8m2!3d-6.012121!4d106.0585235!16s%2Fg%2F11cpl0kzls?authuser=0&hl=id&entry=ttu","106.0585235","-6.012121","Alamat","Jl. Kapten Piere Tendean, Jombang Wetan, Kec. Jombang, Kota Cilegon, Banten 42411"
"JNE ZAKIYAH",4.5,103,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNE+ZAKIYAH/data=!4m7!3m6!1s0x2e418e0bf0d44bad:0xf60b1332cd5d961f!8m2!3d-6.012121!4d106.0585235!16s%2Fg%2F11cpl0kzls!19sChIJrUvU8AuOQS4RH5ZdzTITC_Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+ZAKIYAH/@-6.012121,106.0585235,17z/data=!3m1!4b1!4m6!3m5!1s0x2e418e0bf0d44bad:0xf60b1332cd5d961f!8m2!3d-6.012121!4d106.0585235!16s%2Fg%2F11cpl0kzls?authuser=0&hl=id&entry=ttu","106.0585235","-6.012121","Situs Web","jne.co.id"
