"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE PASANGKAYU",4.2,114,"unknown","https://www.google.com/maps/place/JNE+PASANGKAYU/data=!4m7!3m6!1s0x2d8c863114a327f9:0x28ee30cb289f49b1!8m2!3d-1.1794775!4d119.3642347!16s%2Fg%2F11c5xsc_6b!19sChIJ-SejFDGGjC0RsUmfKMsw7ig?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+PASANGKAYU/@-1.1794775,119.3642347,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8c863114a327f9:0x28ee30cb289f49b1!8m2!3d-1.1794775!4d119.3642347!16s%2Fg%2F11c5xsc_6b?authuser=0&hl=id&entry=ttu","119.3642347","-1.1794775","Alamat","Pasangkayu, Kec. Pasangkayu, Kab. Pasangkayu, Sulawesi Barat 91574"
"JNE PASANGKAYU",4.2,114,"unknown","https://www.google.com/maps/place/JNE+PASANGKAYU/data=!4m7!3m6!1s0x2d8c863114a327f9:0x28ee30cb289f49b1!8m2!3d-1.1794775!4d119.3642347!16s%2Fg%2F11c5xsc_6b!19sChIJ-SejFDGGjC0RsUmfKMsw7ig?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+PASANGKAYU/@-1.1794775,119.3642347,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8c863114a327f9:0x28ee30cb289f49b1!8m2!3d-1.1794775!4d119.3642347!16s%2Fg%2F11c5xsc_6b?authuser=0&hl=id&entry=ttu","119.3642347","-1.1794775","Situs Web","jne.co.id"
"JNE PASANGKAYU",4.2,114,"unknown","https://www.google.com/maps/place/JNE+PASANGKAYU/data=!4m7!3m6!1s0x2d8c863114a327f9:0x28ee30cb289f49b1!8m2!3d-1.1794775!4d119.3642347!16s%2Fg%2F11c5xsc_6b!19sChIJ-SejFDGGjC0RsUmfKMsw7ig?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+PASANGKAYU/@-1.1794775,119.3642347,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8c863114a327f9:0x28ee30cb289f49b1!8m2!3d-1.1794775!4d119.3642347!16s%2Fg%2F11c5xsc_6b?authuser=0&hl=id&entry=ttu","119.3642347","-1.1794775","Telepon","0853-4358-5819"
"JNE PASANGKAYU",4.2,114,"unknown","https://www.google.com/maps/place/JNE+PASANGKAYU/data=!4m7!3m6!1s0x2d8c863114a327f9:0x28ee30cb289f49b1!8m2!3d-1.1794775!4d119.3642347!16s%2Fg%2F11c5xsc_6b!19sChIJ-SejFDGGjC0RsUmfKMsw7ig?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+PASANGKAYU/@-1.1794775,119.3642347,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8c863114a327f9:0x28ee30cb289f49b1!8m2!3d-1.1794775!4d119.3642347!16s%2Fg%2F11c5xsc_6b?authuser=0&hl=id&entry=ttu","119.3642347","-1.1794775","Plus Codes","R9C7+6M Pasangkayu, Kab. Pasangkayu, Sulawesi Barat"
"JNE DEWI SARTIKA PALU",4.6,38,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+DEWI+SARTIKA+PALU/data=!4m7!3m6!1s0x2d8bf1df8ce96fbb:0xd9633a4584f31653!8m2!3d-0.9283655!4d119.8966458!16s%2Fg%2F11jg899nd6!19sChIJu2_pjN_xiy0RUxbzhEU6Y9k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+DEWI+SARTIKA+PALU/@-0.9283655,119.8966458,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8bf1df8ce96fbb:0xd9633a4584f31653!8m2!3d-0.9283655!4d119.8966458!16s%2Fg%2F11jg899nd6?authuser=0&hl=id&entry=ttu","119.8966458","-0.9283655","Alamat","Jl. Dewi Sartika, Birobuli Sel., Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111"
"JNE DEWI SARTIKA PALU",4.6,38,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+DEWI+SARTIKA+PALU/data=!4m7!3m6!1s0x2d8bf1df8ce96fbb:0xd9633a4584f31653!8m2!3d-0.9283655!4d119.8966458!16s%2Fg%2F11jg899nd6!19sChIJu2_pjN_xiy0RUxbzhEU6Y9k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+DEWI+SARTIKA+PALU/@-0.9283655,119.8966458,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8bf1df8ce96fbb:0xd9633a4584f31653!8m2!3d-0.9283655!4d119.8966458!16s%2Fg%2F11jg899nd6?authuser=0&hl=id&entry=ttu","119.8966458","-0.9283655","Situs Web","jne.co.id"
"JNE DEWI SARTIKA PALU",4.6,38,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+DEWI+SARTIKA+PALU/data=!4m7!3m6!1s0x2d8bf1df8ce96fbb:0xd9633a4584f31653!8m2!3d-0.9283655!4d119.8966458!16s%2Fg%2F11jg899nd6!19sChIJu2_pjN_xiy0RUxbzhEU6Y9k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+DEWI+SARTIKA+PALU/@-0.9283655,119.8966458,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8bf1df8ce96fbb:0xd9633a4584f31653!8m2!3d-0.9283655!4d119.8966458!16s%2Fg%2F11jg899nd6?authuser=0&hl=id&entry=ttu","119.8966458","-0.9283655","Telepon","0878-6622-6777"
"JNE DEWI SARTIKA PALU",4.6,38,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+DEWI+SARTIKA+PALU/data=!4m7!3m6!1s0x2d8bf1df8ce96fbb:0xd9633a4584f31653!8m2!3d-0.9283655!4d119.8966458!16s%2Fg%2F11jg899nd6!19sChIJu2_pjN_xiy0RUxbzhEU6Y9k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+DEWI+SARTIKA+PALU/@-0.9283655,119.8966458,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8bf1df8ce96fbb:0xd9633a4584f31653!8m2!3d-0.9283655!4d119.8966458!16s%2Fg%2F11jg899nd6?authuser=0&hl=id&entry=ttu","119.8966458","-0.9283655","Plus Codes","3VCW+MM Birobuli Sel., Kota Palu, Sulawesi Tengah"
"JNE Pue Bongo",4.4,24,"Tutup ⋅ Buka Sen pukul 08.30","https://www.google.com/maps/place/JNE+Pue+Bongo/data=!4m7!3m6!1s0x2d8bed97017671a3:0xc44a24f8486d532e!8m2!3d-0.9194339!4d119.8565184!16s%2Fg%2F11j6m_0wct!19sChIJo3F2AZftiy0RLlNtSPgkSsQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pue+Bongo/@-0.9194339,119.8565184,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8bed97017671a3:0xc44a24f8486d532e!8m2!3d-0.9194339!4d119.8565184!16s%2Fg%2F11j6m_0wct?authuser=0&hl=id&entry=ttu","119.8565184","-0.9194339","Alamat","Jl. Pue Bongo No.86, Pengawu, Kec. Tatanga, Kota Palu, Sulawesi Tengah 94238"
"JNE Pue Bongo",4.4,24,"Tutup ⋅ Buka Sen pukul 08.30","https://www.google.com/maps/place/JNE+Pue+Bongo/data=!4m7!3m6!1s0x2d8bed97017671a3:0xc44a24f8486d532e!8m2!3d-0.9194339!4d119.8565184!16s%2Fg%2F11j6m_0wct!19sChIJo3F2AZftiy0RLlNtSPgkSsQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pue+Bongo/@-0.9194339,119.8565184,17z/data=!3m1!4b1!4m6!3m5!1s0x2d8bed97017671a3:0xc44a24f8486d532e!8m2!3d-0.9194339!4d119.8565184!16s%2Fg%2F11j6m_0wct?authuser=0&hl=id&entry=ttu","119.8565184","-0.9194339","Telepon","0852-9990-9266"
