"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Cabang Utama Gorontalo",4.1,505,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/data=!4m7!3m6!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!16s%2Fg%2F1hm67ghgp!19sChIJ_Y5cmCYreTIRKvLaW5dTn2k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/@0.538453,123.0632013,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!16s%2Fg%2F1hm67ghgp?authuser=0&hl=id&entry=ttu","123.0632013","0.538453","Alamat","Jl. Kasuari I No.80, Heledulaa Sel., Kec. Kota Tim., Kota Gorontalo, Gorontalo 96164"
"JNE Cabang Utama Gorontalo",4.1,505,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/data=!4m7!3m6!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!16s%2Fg%2F1hm67ghgp!19sChIJ_Y5cmCYreTIRKvLaW5dTn2k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/@0.538453,123.0632013,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!16s%2Fg%2F1hm67ghgp?authuser=0&hl=id&entry=ttu","123.0632013","0.538453","Situs Web","jne.co.id"
"JNE Cabang Utama Gorontalo",4.1,505,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/data=!4m7!3m6!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!16s%2Fg%2F1hm67ghgp!19sChIJ_Y5cmCYreTIRKvLaW5dTn2k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/@0.538453,123.0632013,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!16s%2Fg%2F1hm67ghgp?authuser=0&hl=id&entry=ttu","123.0632013","0.538453","Telepon","(0435) 824026"
"JNE Cabang Utama Gorontalo",4.1,505,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/data=!4m7!3m6!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!16s%2Fg%2F1hm67ghgp!19sChIJ_Y5cmCYreTIRKvLaW5dTn2k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Utama+Gorontalo/@0.538453,123.0632013,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b26985c8efd:0x699f53975bdaf22a!8m2!3d0.538453!4d123.0632013!16s%2Fg%2F1hm67ghgp?authuser=0&hl=id&entry=ttu","123.0632013","0.538453","Plus Codes","G3Q7+97 Heledulaa Sel., Kota Gorontalo, Gorontalo"
"JNE Kantor Perwakilan Hb Jasin",4.4,23,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Hb+Jasin/data=!4m7!3m6!1s0x32792b6303b6ac59:0x4fbcb860d84c187a!8m2!3d0.5572792!4d123.0488806!16s%2Fg%2F1ygbb7qmj!19sChIJWay2A2MreTIRehhM2GC4vE8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Hb+Jasin/@0.5572792,123.0488806,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b6303b6ac59:0x4fbcb860d84c187a!8m2!3d0.5572792!4d123.0488806!16s%2Fg%2F1ygbb7qmj?authuser=0&hl=id&entry=ttu","123.0488806","0.5572792","Alamat","Jl. Hb. Jasin No. 297 Wumialo Kota Tengah, Moodu, Kec. Kota Tim., Kota Gorontalo, Gorontalo 96128"
"JNE Kantor Perwakilan Hb Jasin",4.4,23,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Hb+Jasin/data=!4m7!3m6!1s0x32792b6303b6ac59:0x4fbcb860d84c187a!8m2!3d0.5572792!4d123.0488806!16s%2Fg%2F1ygbb7qmj!19sChIJWay2A2MreTIRehhM2GC4vE8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Hb+Jasin/@0.5572792,123.0488806,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b6303b6ac59:0x4fbcb860d84c187a!8m2!3d0.5572792!4d123.0488806!16s%2Fg%2F1ygbb7qmj?authuser=0&hl=id&entry=ttu","123.0488806","0.5572792","Situs Web","jne.co.id"
"JNE Kantor Perwakilan Hb Jasin",4.4,23,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Hb+Jasin/data=!4m7!3m6!1s0x32792b6303b6ac59:0x4fbcb860d84c187a!8m2!3d0.5572792!4d123.0488806!16s%2Fg%2F1ygbb7qmj!19sChIJWay2A2MreTIRehhM2GC4vE8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Hb+Jasin/@0.5572792,123.0488806,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b6303b6ac59:0x4fbcb860d84c187a!8m2!3d0.5572792!4d123.0488806!16s%2Fg%2F1ygbb7qmj?authuser=0&hl=id&entry=ttu","123.0488806","0.5572792","Telepon","(021) 29278888"
"JNE Kantor Perwakilan Hb Jasin",4.4,23,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Hb+Jasin/data=!4m7!3m6!1s0x32792b6303b6ac59:0x4fbcb860d84c187a!8m2!3d0.5572792!4d123.0488806!16s%2Fg%2F1ygbb7qmj!19sChIJWay2A2MreTIRehhM2GC4vE8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Perwakilan+Hb+Jasin/@0.5572792,123.0488806,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b6303b6ac59:0x4fbcb860d84c187a!8m2!3d0.5572792!4d123.0488806!16s%2Fg%2F1ygbb7qmj?authuser=0&hl=id&entry=ttu","123.0488806","0.5572792","Plus Codes","H24X+WH Moodu, Kota Gorontalo, Gorontalo"
"JNE",3.8,105,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x32792e06eb98e2af:0x9f2756c555c43963!8m2!3d0.626496!4d122.9891475!16s%2Fg%2F1hdznk2ll!19sChIJr-KY6wYueTIRYznEVcVWJ58?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@0.626496,122.9891475,17z/data=!3m1!4b1!4m6!3m5!1s0x32792e06eb98e2af:0x9f2756c555c43963!8m2!3d0.626496!4d122.9891475!16s%2Fg%2F1hdznk2ll?authuser=0&hl=id&entry=ttu","122.9891475","0.626496","Alamat","Hepuhulawa, Kec. Limboto, Kabupaten Gorontalo, Gorontalo 96181"
"JNE",3.8,105,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x32792e06eb98e2af:0x9f2756c555c43963!8m2!3d0.626496!4d122.9891475!16s%2Fg%2F1hdznk2ll!19sChIJr-KY6wYueTIRYznEVcVWJ58?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@0.626496,122.9891475,17z/data=!3m1!4b1!4m6!3m5!1s0x32792e06eb98e2af:0x9f2756c555c43963!8m2!3d0.626496!4d122.9891475!16s%2Fg%2F1hdznk2ll?authuser=0&hl=id&entry=ttu","122.9891475","0.626496","Situs Web","jne.co.id"
