"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Sub Agen Purwodadi",4,346,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNE+Sub+Agen+Purwodadi/data=!4m7!3m6!1s0x2e70b06e5e747f8d:0x1e183f4cb84fdb2d!8m2!3d-7.0763676!4d110.9156617!16s%2Fg%2F1ptxb4dv7!19sChIJjX90Xm6wcC4RLdtPuEw_GB4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Purwodadi/@-7.0763676,110.9156617,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70b06e5e747f8d:0x1e183f4cb84fdb2d!8m2!3d-7.0763676!4d110.9156617!16s%2Fg%2F1ptxb4dv7?authuser=0&hl=id&entry=ttu","110.9156617","-7.0763676","Alamat","Jl. MT. Haryono No.64c, Jajar, Purwodadi, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58111"
"JNE Sub Agen Purwodadi",4,346,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNE+Sub+Agen+Purwodadi/data=!4m7!3m6!1s0x2e70b06e5e747f8d:0x1e183f4cb84fdb2d!8m2!3d-7.0763676!4d110.9156617!16s%2Fg%2F1ptxb4dv7!19sChIJjX90Xm6wcC4RLdtPuEw_GB4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Purwodadi/@-7.0763676,110.9156617,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70b06e5e747f8d:0x1e183f4cb84fdb2d!8m2!3d-7.0763676!4d110.9156617!16s%2Fg%2F1ptxb4dv7?authuser=0&hl=id&entry=ttu","110.9156617","-7.0763676","Situs Web","jne.co.id"
"JNE Sub Agen Purwodadi",4,346,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNE+Sub+Agen+Purwodadi/data=!4m7!3m6!1s0x2e70b06e5e747f8d:0x1e183f4cb84fdb2d!8m2!3d-7.0763676!4d110.9156617!16s%2Fg%2F1ptxb4dv7!19sChIJjX90Xm6wcC4RLdtPuEw_GB4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Purwodadi/@-7.0763676,110.9156617,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70b06e5e747f8d:0x1e183f4cb84fdb2d!8m2!3d-7.0763676!4d110.9156617!16s%2Fg%2F1ptxb4dv7?authuser=0&hl=id&entry=ttu","110.9156617","-7.0763676","Plus Codes","WWF8+F7 Purwodadi, Kabupaten Grobogan, Jawa Tengah"
"JNE Sales Counter Grobogan",1.8,9,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Sales+Counter+Grobogan/data=!4m7!3m6!1s0x2e70b7d08c10949f:0xc803d312b3d9eca1!8m2!3d-7.0216708!4d110.9218026!16s%2Fg%2F11h7rzknyq!19sChIJn5QQjNC3cC4RoezZsxLTA8g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sales+Counter+Grobogan/@-7.0216708,110.9218026,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70b7d08c10949f:0xc803d312b3d9eca1!8m2!3d-7.0216708!4d110.9218026!16s%2Fg%2F11h7rzknyq?authuser=0&hl=id&entry=ttu","110.9218026","-7.0216708","Alamat","XWHC+8PM, Grobogan, Kec. Grobogan, Kabupaten Grobogan, Jawa Tengah 58152"
"JNE Sales Counter Grobogan",1.8,9,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Sales+Counter+Grobogan/data=!4m7!3m6!1s0x2e70b7d08c10949f:0xc803d312b3d9eca1!8m2!3d-7.0216708!4d110.9218026!16s%2Fg%2F11h7rzknyq!19sChIJn5QQjNC3cC4RoezZsxLTA8g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sales+Counter+Grobogan/@-7.0216708,110.9218026,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70b7d08c10949f:0xc803d312b3d9eca1!8m2!3d-7.0216708!4d110.9218026!16s%2Fg%2F11h7rzknyq?authuser=0&hl=id&entry=ttu","110.9218026","-7.0216708","Telepon","0857-2394-9317"
"KANTOR OPERASIONAL JNE PURWODADI",4.1,28,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/KANTOR+OPERASIONAL+JNE+PURWODADI/data=!4m7!3m6!1s0x2e70bbefa26b1b63:0xe033d2e77b60d6f8!8m2!3d-7.0790346!4d110.8945425!16s%2Fg%2F11mxq89q84!19sChIJYxtrou-7cC4R-NZge-fSM-A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+OPERASIONAL+JNE+PURWODADI/@-7.0790346,110.8945425,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70bbefa26b1b63:0xe033d2e77b60d6f8!8m2!3d-7.0790346!4d110.8945425!16s%2Fg%2F11mxq89q84?authuser=0&hl=id&entry=ttu","110.8945425","-7.0790346","Alamat","Jl. A. Yani No.235, Kuripan Barat, Kuripan, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58111"
"KANTOR OPERASIONAL JNE PURWODADI",4.1,28,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/KANTOR+OPERASIONAL+JNE+PURWODADI/data=!4m7!3m6!1s0x2e70bbefa26b1b63:0xe033d2e77b60d6f8!8m2!3d-7.0790346!4d110.8945425!16s%2Fg%2F11mxq89q84!19sChIJYxtrou-7cC4R-NZge-fSM-A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+OPERASIONAL+JNE+PURWODADI/@-7.0790346,110.8945425,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70bbefa26b1b63:0xe033d2e77b60d6f8!8m2!3d-7.0790346!4d110.8945425!16s%2Fg%2F11mxq89q84?authuser=0&hl=id&entry=ttu","110.8945425","-7.0790346","Situs Web","jne.co.id"
"KANTOR OPERASIONAL JNE PURWODADI",4.1,28,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/KANTOR+OPERASIONAL+JNE+PURWODADI/data=!4m7!3m6!1s0x2e70bbefa26b1b63:0xe033d2e77b60d6f8!8m2!3d-7.0790346!4d110.8945425!16s%2Fg%2F11mxq89q84!19sChIJYxtrou-7cC4R-NZge-fSM-A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+OPERASIONAL+JNE+PURWODADI/@-7.0790346,110.8945425,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70bbefa26b1b63:0xe033d2e77b60d6f8!8m2!3d-7.0790346!4d110.8945425!16s%2Fg%2F11mxq89q84?authuser=0&hl=id&entry=ttu","110.8945425","-7.0790346","Telepon","0815-4201-9999"
"KANTOR OPERASIONAL JNE PURWODADI",4.1,28,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/KANTOR+OPERASIONAL+JNE+PURWODADI/data=!4m7!3m6!1s0x2e70bbefa26b1b63:0xe033d2e77b60d6f8!8m2!3d-7.0790346!4d110.8945425!16s%2Fg%2F11mxq89q84!19sChIJYxtrou-7cC4R-NZge-fSM-A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+OPERASIONAL+JNE+PURWODADI/@-7.0790346,110.8945425,17z/data=!3m1!4b1!4m6!3m5!1s0x2e70bbefa26b1b63:0xe033d2e77b60d6f8!8m2!3d-7.0790346!4d110.8945425!16s%2Fg%2F11mxq89q84?authuser=0&hl=id&entry=ttu","110.8945425","-7.0790346","Plus Codes","WVCV+9R Kuripan, Kabupaten Grobogan, Jawa Tengah"
"JNE Raya Wirosari-Purwodadi",3,14,"unknown","https://www.google.com/maps/place/JNE+Raya+Wirosari-Purwodadi/data=!4m7!3m6!1s0x2e70b2d1c7eea261:0x7f8b7c4bfd167290!8m2!3d-7.075559!4d111.085602!16s%2Fg%2F1ptwp6v_2!19sChIJYaLux9GycC4RkHIW_Ut8i38?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Raya+Wirosari-Purwodadi/@-7.075559,111.085602,13z/data=!3m1!4b1!4m6!3m5!1s0x2e70b2d1c7eea261:0x7f8b7c4bfd167290!8m2!3d-7.075559!4d111.085602!16s%2Fg%2F1ptwp6v_2?authuser=0&hl=id&entry=ttu","111.085602","-7.075559","Alamat","Jl. Raya Wirosari-Purwodadi Km. 2 Wirosari, Kunden Barat, Kunden, Grobogan, Grobogan Regency, Central Java 58192"
