"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Kandangan",2.9,22,"Segera tutup ⋅ 16.00 ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Kandangan/data=!4m7!3m6!1s0x2de50bef99b29c7d:0xdb016792e7e68208!8m2!3d-2.791844!4d115.2630231!16s%2Fg%2F11s50dqz7b!19sChIJfZyyme8L5S0RCILm55JnAds?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kandangan/@-2.791844,115.2630231,17z/data=!3m1!4b1!4m6!3m5!1s0x2de50bef99b29c7d:0xdb016792e7e68208!8m2!3d-2.791844!4d115.2630231!16s%2Fg%2F11s50dqz7b?authuser=0&hl=id&entry=ttu","115.2630231","-2.791844","Alamat","6757+763, Tibung Raya, Kec. Kandangan, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71213"
"JNE Kandangan",2.9,22,"Segera tutup ⋅ 16.00 ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Kandangan/data=!4m7!3m6!1s0x2de50bef99b29c7d:0xdb016792e7e68208!8m2!3d-2.791844!4d115.2630231!16s%2Fg%2F11s50dqz7b!19sChIJfZyyme8L5S0RCILm55JnAds?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kandangan/@-2.791844,115.2630231,17z/data=!3m1!4b1!4m6!3m5!1s0x2de50bef99b29c7d:0xdb016792e7e68208!8m2!3d-2.791844!4d115.2630231!16s%2Fg%2F11s50dqz7b?authuser=0&hl=id&entry=ttu","115.2630231","-2.791844","Telepon","0821-5537-1607"
"JNE NAGARA",1.5,38,"unknown","https://www.google.com/maps/place/JNE+NAGARA/data=!4m7!3m6!1s0x2de511302ce63f1d:0x7ffe80f89ce5bf39!8m2!3d-2.6322152!4d115.1074457!16s%2Fg%2F11fkqhyhc8!19sChIJHT_mLDAR5S0ROb_lnPiA_n8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+NAGARA/@-2.6322152,115.1074457,17z/data=!3m1!4b1!4m6!3m5!1s0x2de511302ce63f1d:0x7ffe80f89ce5bf39!8m2!3d-2.6322152!4d115.1074457!16s%2Fg%2F11fkqhyhc8?authuser=0&hl=id&entry=ttu","115.1074457","-2.6322152","Alamat","9494+4X8, Jl. Andi Tajang, Tumbukan Banyu, Kec. Daha Sel., Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71253"
"JNE cabang Danau Panggang",5,1,"unknown","https://www.google.com/maps/place/JNE+cabang+Danau+Panggang/data=!4m7!3m6!1s0x2de53d4443925407:0xa6a13dba3bbd9c08!8m2!3d-2.4631284!4d115.1049386!16s%2Fg%2F11rk6gl069!19sChIJB1SSQ0Q95S0RCJy9O7o9oaY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+cabang+Danau+Panggang/@-2.4631284,115.1049386,17z/data=!3m1!4b1!4m6!3m5!1s0x2de53d4443925407:0xa6a13dba3bbd9c08!8m2!3d-2.4631284!4d115.1049386!16s%2Fg%2F11rk6gl069?authuser=0&hl=id&entry=ttu","115.1049386","-2.4631284","Alamat","G4P3+PXW, Jl. Alabio Danau Panggang, Danau Panggang, Kec. Babirik, Kabupaten Hulu Sungai Utara, Kalimantan Selatan 71454"
"JNE CABANG Barabai",3.2,183,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+CABANG+Barabai/data=!4m7!3m6!1s0x2de56eaacf3e88cd:0xd1f9e6e4ed92f175!8m2!3d-2.5820466!4d115.3815657!16s%2Fg%2F11c1_vgzym!19sChIJzYg-z6pu5S0RdfGS7eTm-dE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+CABANG+Barabai/@-2.5820466,115.3815657,17z/data=!3m1!4b1!4m6!3m5!1s0x2de56eaacf3e88cd:0xd1f9e6e4ed92f175!8m2!3d-2.5820466!4d115.3815657!16s%2Fg%2F11c1_vgzym?authuser=0&hl=id&entry=ttu","115.3815657","-2.5820466","Alamat","C99J+5JP, Jl. A. Yani, Barabai Utara, Kec. Barabai, Kabupaten Hulu Sungai Tengah, Kalimantan Selatan 71352"
"JNE CABANG Barabai",3.2,183,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+CABANG+Barabai/data=!4m7!3m6!1s0x2de56eaacf3e88cd:0xd1f9e6e4ed92f175!8m2!3d-2.5820466!4d115.3815657!16s%2Fg%2F11c1_vgzym!19sChIJzYg-z6pu5S0RdfGS7eTm-dE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+CABANG+Barabai/@-2.5820466,115.3815657,17z/data=!3m1!4b1!4m6!3m5!1s0x2de56eaacf3e88cd:0xd1f9e6e4ed92f175!8m2!3d-2.5820466!4d115.3815657!16s%2Fg%2F11c1_vgzym?authuser=0&hl=id&entry=ttu","115.3815657","-2.5820466","Telepon","0852-4880-9447"
"JNE cabang Alabio",1,2,"unknown","https://www.google.com/maps/place/JNE+cabang+Alabio/data=!4m7!3m6!1s0x2de53ff749ff1871:0x25373767286a8ee8!8m2!3d-2.4685641!4d115.2148647!16s%2Fg%2F11rkbsl4c0!19sChIJcRj_Sfc_5S0R6I5qKGc3NyU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+cabang+Alabio/@-2.4685641,115.2148647,17z/data=!3m1!4b1!4m6!3m5!1s0x2de53ff749ff1871:0x25373767286a8ee8!8m2!3d-2.4685641!4d115.2148647!16s%2Fg%2F11rkbsl4c0?authuser=0&hl=id&entry=ttu","115.2148647","-2.4685641","Alamat","G6J7+HW, Sungai Pandan Hulu, Kec. Sungai Pandan, Kabupaten Hulu Sungai Utara, Kalimantan Selatan 71419"
"JNE Sub Agen Amuntai",2.3,306,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Sub+Agen+Amuntai/data=!4m7!3m6!1s0x2de538eabfffffff:0x907838e3d953654!8m2!3d-2.4196849!4d115.2500246!16s%2Fg%2F1ygbb7px5!19sChIJ____v-o45S0RVDaVPY6DBwk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Amuntai/@-2.4196849,115.2500246,17z/data=!3m1!4b1!4m6!3m5!1s0x2de538eabfffffff:0x907838e3d953654!8m2!3d-2.4196849!4d115.2500246!16s%2Fg%2F1ygbb7px5?authuser=0&hl=id&entry=ttu","115.2500246","-2.4196849","Alamat","Jalan P. Antasari No. 172, Amuntai Tengah, Antasari, Kec. Amuntai Tengah, Hulu, Kalimantan Selatan 71411"
"JNE Sub Agen Amuntai",2.3,306,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Sub+Agen+Amuntai/data=!4m7!3m6!1s0x2de538eabfffffff:0x907838e3d953654!8m2!3d-2.4196849!4d115.2500246!16s%2Fg%2F1ygbb7px5!19sChIJ____v-o45S0RVDaVPY6DBwk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Amuntai/@-2.4196849,115.2500246,17z/data=!3m1!4b1!4m6!3m5!1s0x2de538eabfffffff:0x907838e3d953654!8m2!3d-2.4196849!4d115.2500246!16s%2Fg%2F1ygbb7px5?authuser=0&hl=id&entry=ttu","115.2500246","-2.4196849","Situs Web","jne.co.id"
"JNE Sub Agen Amuntai",2.3,306,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Sub+Agen+Amuntai/data=!4m7!3m6!1s0x2de538eabfffffff:0x907838e3d953654!8m2!3d-2.4196849!4d115.2500246!16s%2Fg%2F1ygbb7px5!19sChIJ____v-o45S0RVDaVPY6DBwk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Amuntai/@-2.4196849,115.2500246,17z/data=!3m1!4b1!4m6!3m5!1s0x2de538eabfffffff:0x907838e3d953654!8m2!3d-2.4196849!4d115.2500246!16s%2Fg%2F1ygbb7px5?authuser=0&hl=id&entry=ttu","115.2500246","-2.4196849","Telepon","(021) 29278888"
