"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE JOMBANG",2.8,747,"Tutup ⋅ Buka Sen pukul 07.00","https://www.google.com/maps/place/JNE+JOMBANG/data=!4m7!3m6!1s0x2e784010c363183b:0xee0ca2d0a2f294fa!8m2!3d-7.5509621!4d112.2234573!16s%2Fg%2F1yj4k4549!19sChIJOxhjwxBAeC4R-pTyotCiDO4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+JOMBANG/@-7.5509621,112.2234573,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784010c363183b:0xee0ca2d0a2f294fa!8m2!3d-7.5509621!4d112.2234573!16s%2Fg%2F1yj4k4549?authuser=0&hl=id&entry=ttu","112.2234573","-7.5509621","Alamat","Jl. Dr. Wahidin Sudiohusodo No.58, Sengon, Kec. Jombang, Kabupaten Jombang, Jawa Timur 61418"
"JNE JOMBANG",2.8,747,"Tutup ⋅ Buka Sen pukul 07.00","https://www.google.com/maps/place/JNE+JOMBANG/data=!4m7!3m6!1s0x2e784010c363183b:0xee0ca2d0a2f294fa!8m2!3d-7.5509621!4d112.2234573!16s%2Fg%2F1yj4k4549!19sChIJOxhjwxBAeC4R-pTyotCiDO4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+JOMBANG/@-7.5509621,112.2234573,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784010c363183b:0xee0ca2d0a2f294fa!8m2!3d-7.5509621!4d112.2234573!16s%2Fg%2F1yj4k4549?authuser=0&hl=id&entry=ttu","112.2234573","-7.5509621","Situs Web","jne.co.id"
"JNE JOMBANG",2.8,747,"Tutup ⋅ Buka Sen pukul 07.00","https://www.google.com/maps/place/JNE+JOMBANG/data=!4m7!3m6!1s0x2e784010c363183b:0xee0ca2d0a2f294fa!8m2!3d-7.5509621!4d112.2234573!16s%2Fg%2F1yj4k4549!19sChIJOxhjwxBAeC4R-pTyotCiDO4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+JOMBANG/@-7.5509621,112.2234573,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784010c363183b:0xee0ca2d0a2f294fa!8m2!3d-7.5509621!4d112.2234573!16s%2Fg%2F1yj4k4549?authuser=0&hl=id&entry=ttu","112.2234573","-7.5509621","Telepon","(0321) 8494909"
"JNE JOMBANG",2.8,747,"Tutup ⋅ Buka Sen pukul 07.00","https://www.google.com/maps/place/JNE+JOMBANG/data=!4m7!3m6!1s0x2e784010c363183b:0xee0ca2d0a2f294fa!8m2!3d-7.5509621!4d112.2234573!16s%2Fg%2F1yj4k4549!19sChIJOxhjwxBAeC4R-pTyotCiDO4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+JOMBANG/@-7.5509621,112.2234573,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784010c363183b:0xee0ca2d0a2f294fa!8m2!3d-7.5509621!4d112.2234573!16s%2Fg%2F1yj4k4549?authuser=0&hl=id&entry=ttu","112.2234573","-7.5509621","Plus Codes","C6XF+J9 Sengon, Kabupaten Jombang, Jawa Timur"
"JNE Depan Ponpes Tebuireng Diwek Jombang",1.8,79,"unknown","https://www.google.com/maps/place/JNE+Depan+Ponpes+Tebuireng+Diwek+Jombang/data=!4m7!3m6!1s0x2e7841d6c7a290c3:0xeb1d1383a631ca0!8m2!3d-7.6013006!4d112.236192!16s%2Fg%2F1ptw5pqtm!19sChIJw5Cix9ZBeC4RoBxjOjjRsQ4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Depan+Ponpes+Tebuireng+Diwek+Jombang/@-7.6013006,112.236192,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7841d6c7a290c3:0xeb1d1383a631ca0!8m2!3d-7.6013006!4d112.236192!16s%2Fg%2F1ptw5pqtm?authuser=0&hl=id&entry=ttu","112.236192","-7.6013006","Alamat","Kwaron, Kec. Diwek, Kabupaten Jombang, Jawa Timur 61471"
"JNE Depan Ponpes Tebuireng Diwek Jombang",1.8,79,"unknown","https://www.google.com/maps/place/JNE+Depan+Ponpes+Tebuireng+Diwek+Jombang/data=!4m7!3m6!1s0x2e7841d6c7a290c3:0xeb1d1383a631ca0!8m2!3d-7.6013006!4d112.236192!16s%2Fg%2F1ptw5pqtm!19sChIJw5Cix9ZBeC4RoBxjOjjRsQ4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Depan+Ponpes+Tebuireng+Diwek+Jombang/@-7.6013006,112.236192,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7841d6c7a290c3:0xeb1d1383a631ca0!8m2!3d-7.6013006!4d112.236192!16s%2Fg%2F1ptw5pqtm?authuser=0&hl=id&entry=ttu","112.236192","-7.6013006","Situs Web","jne.co.id"
"JNE Depan Ponpes Tebuireng Diwek Jombang",1.8,79,"unknown","https://www.google.com/maps/place/JNE+Depan+Ponpes+Tebuireng+Diwek+Jombang/data=!4m7!3m6!1s0x2e7841d6c7a290c3:0xeb1d1383a631ca0!8m2!3d-7.6013006!4d112.236192!16s%2Fg%2F1ptw5pqtm!19sChIJw5Cix9ZBeC4RoBxjOjjRsQ4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Depan+Ponpes+Tebuireng+Diwek+Jombang/@-7.6013006,112.236192,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7841d6c7a290c3:0xeb1d1383a631ca0!8m2!3d-7.6013006!4d112.236192!16s%2Fg%2F1ptw5pqtm?authuser=0&hl=id&entry=ttu","112.236192","-7.6013006","Telepon","(021) 29278888"
"JNE Depan Ponpes Tebuireng Diwek Jombang",1.8,79,"unknown","https://www.google.com/maps/place/JNE+Depan+Ponpes+Tebuireng+Diwek+Jombang/data=!4m7!3m6!1s0x2e7841d6c7a290c3:0xeb1d1383a631ca0!8m2!3d-7.6013006!4d112.236192!16s%2Fg%2F1ptw5pqtm!19sChIJw5Cix9ZBeC4RoBxjOjjRsQ4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Depan+Ponpes+Tebuireng+Diwek+Jombang/@-7.6013006,112.236192,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7841d6c7a290c3:0xeb1d1383a631ca0!8m2!3d-7.6013006!4d112.236192!16s%2Fg%2F1ptw5pqtm?authuser=0&hl=id&entry=ttu","112.236192","-7.6013006","Plus Codes","96XP+FF Kwaron, Kabupaten Jombang, Jawa Timur"
"JNE Kebonrojo",4.1,48,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Kebonrojo/data=!4m7!3m6!1s0x2e78401efa2c309d:0x6c831be8c5dfd558!8m2!3d-7.5550923!4d112.2327041!16s%2Fg%2F11g6ykmprx!19sChIJnTAs-h5AeC4RWNXfxegbg2w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kebonrojo/@-7.5550923,112.2327041,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78401efa2c309d:0x6c831be8c5dfd558!8m2!3d-7.5550923!4d112.2327041!16s%2Fg%2F11g6ykmprx?authuser=0&hl=id&entry=ttu","112.2327041","-7.5550923","Alamat","Jl. Jakgung. Suprapto No.2/15, Kepanjen, Jombatan, Kec. Jombang, Kabupaten Jombang, Jawa Timur 61419"
"JNE Kebonrojo",4.1,48,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Kebonrojo/data=!4m7!3m6!1s0x2e78401efa2c309d:0x6c831be8c5dfd558!8m2!3d-7.5550923!4d112.2327041!16s%2Fg%2F11g6ykmprx!19sChIJnTAs-h5AeC4RWNXfxegbg2w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kebonrojo/@-7.5550923,112.2327041,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78401efa2c309d:0x6c831be8c5dfd558!8m2!3d-7.5550923!4d112.2327041!16s%2Fg%2F11g6ykmprx?authuser=0&hl=id&entry=ttu","112.2327041","-7.5550923","Situs Web","jne.co.id"
