"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Bangkinang",2.5,199,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Bangkinang/data=!4m7!3m6!1s0x31d5144ccc83ddd3:0xc703f02a9a40f9e7!8m2!3d0.3423092!4d101.0314026!16s%2Fg%2F11bc7ptlmj!19sChIJ092DzEwU1TER5_lAmirwA8c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Bangkinang/@0.3423092,101.0314026,17z/data=!3m1!4b1!4m6!3m5!1s0x31d5144ccc83ddd3:0xc703f02a9a40f9e7!8m2!3d0.3423092!4d101.0314026!16s%2Fg%2F11bc7ptlmj?authuser=0&hl=id&entry=ttu","101.0314026","0.3423092","Alamat","Jl. KH Jl. H. Agus Salim No.47B, Bangkinang, Kec. Bangkinang, Kabupaten Kampar, Riau 28463"
"JNE Bangkinang",2.5,199,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Bangkinang/data=!4m7!3m6!1s0x31d5144ccc83ddd3:0xc703f02a9a40f9e7!8m2!3d0.3423092!4d101.0314026!16s%2Fg%2F11bc7ptlmj!19sChIJ092DzEwU1TER5_lAmirwA8c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Bangkinang/@0.3423092,101.0314026,17z/data=!3m1!4b1!4m6!3m5!1s0x31d5144ccc83ddd3:0xc703f02a9a40f9e7!8m2!3d0.3423092!4d101.0314026!16s%2Fg%2F11bc7ptlmj?authuser=0&hl=id&entry=ttu","101.0314026","0.3423092","Situs Web","jne.co.id"
"JNE Bangkinang",2.5,199,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Bangkinang/data=!4m7!3m6!1s0x31d5144ccc83ddd3:0xc703f02a9a40f9e7!8m2!3d0.3423092!4d101.0314026!16s%2Fg%2F11bc7ptlmj!19sChIJ092DzEwU1TER5_lAmirwA8c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Bangkinang/@0.3423092,101.0314026,17z/data=!3m1!4b1!4m6!3m5!1s0x31d5144ccc83ddd3:0xc703f02a9a40f9e7!8m2!3d0.3423092!4d101.0314026!16s%2Fg%2F11bc7ptlmj?authuser=0&hl=id&entry=ttu","101.0314026","0.3423092","Telepon","(021) 29278888"
"JNE Bangkinang",2.5,199,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Bangkinang/data=!4m7!3m6!1s0x31d5144ccc83ddd3:0xc703f02a9a40f9e7!8m2!3d0.3423092!4d101.0314026!16s%2Fg%2F11bc7ptlmj!19sChIJ092DzEwU1TER5_lAmirwA8c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Bangkinang/@0.3423092,101.0314026,17z/data=!3m1!4b1!4m6!3m5!1s0x31d5144ccc83ddd3:0xc703f02a9a40f9e7!8m2!3d0.3423092!4d101.0314026!16s%2Fg%2F11bc7ptlmj?authuser=0&hl=id&entry=ttu","101.0314026","0.3423092","Plus Codes","82RJ+WH Bangkinang, Kabupaten Kampar, Riau"
"JNE Bina Baru",4,24,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Bina+Baru/data=!4m7!3m6!1s0x31d5740fe4606cef:0x169e898876446fbc!8m2!3d0.2303116!4d101.2634657!16s%2Fg%2F11g8w81v69!19sChIJ72xg5A901TERvG9EdoiJnhY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Bina+Baru/@0.2303116,101.2634657,17z/data=!3m1!4b1!4m6!3m5!1s0x31d5740fe4606cef:0x169e898876446fbc!8m2!3d0.2303116!4d101.2634657!16s%2Fg%2F11g8w81v69?authuser=0&hl=id&entry=ttu","101.2634657","0.2303116","Alamat","67J7+49G, Jl. Poros Bina Baru, Bina Baru, Kec. Kampar Kiri Tengah, Kabupaten Kampar, Riau 28461"
"JNE Bina Baru",4,24,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Bina+Baru/data=!4m7!3m6!1s0x31d5740fe4606cef:0x169e898876446fbc!8m2!3d0.2303116!4d101.2634657!16s%2Fg%2F11g8w81v69!19sChIJ72xg5A901TERvG9EdoiJnhY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Bina+Baru/@0.2303116,101.2634657,17z/data=!3m1!4b1!4m6!3m5!1s0x31d5740fe4606cef:0x169e898876446fbc!8m2!3d0.2303116!4d101.2634657!16s%2Fg%2F11g8w81v69?authuser=0&hl=id&entry=ttu","101.2634657","0.2303116","Situs Web","jne.co.id"
"JNE Bina Baru",4,24,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Bina+Baru/data=!4m7!3m6!1s0x31d5740fe4606cef:0x169e898876446fbc!8m2!3d0.2303116!4d101.2634657!16s%2Fg%2F11g8w81v69!19sChIJ72xg5A901TERvG9EdoiJnhY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Bina+Baru/@0.2303116,101.2634657,17z/data=!3m1!4b1!4m6!3m5!1s0x31d5740fe4606cef:0x169e898876446fbc!8m2!3d0.2303116!4d101.2634657!16s%2Fg%2F11g8w81v69?authuser=0&hl=id&entry=ttu","101.2634657","0.2303116","Telepon","0822-2684-7536"
"Jne Express Cabang",NA,NA,"Tutup sementara","https://www.google.com/maps/place/Jne+Express+Cabang/data=!4m7!3m6!1s0x31d53fa639f984ef:0xcb796815f2e7852!8m2!3d0.3209452!4d100.9390603!16s%2Fg%2F11h79mycbd!19sChIJ74T5OaY_1TERUnguX4GWtww?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jne+Express+Cabang/@0.3209452,100.9390603,17z/data=!3m1!4b1!4m6!3m5!1s0x31d53fa639f984ef:0xcb796815f2e7852!8m2!3d0.3209452!4d100.9390603!16s%2Fg%2F11h79mycbd?authuser=0&hl=id&entry=ttu","100.9390603","0.3209452","Alamat","8WCQ+9JF, Jl. Bangkinang - Payakumbuh, Pulau Terap, Kec. Kuok, Kabupaten Kampar, Riau 28554"
"JNE Cabang Tapung Flamboyan",1.9,15,"unknown","https://www.google.com/maps/place/JNE+Cabang+Tapung+Flamboyan/data=!4m7!3m6!1s0x31d4e35897cf6237:0xc6613e2687408fa!8m2!3d0.6337371!4d101.0916162!16s%2Fg%2F11rf84xtrn!19sChIJN2LPl1jj1DER-gh0aOITZgw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Tapung+Flamboyan/@0.6337371,101.0916162,17z/data=!3m1!4b1!4m6!3m5!1s0x31d4e35897cf6237:0xc6613e2687408fa!8m2!3d0.6337371!4d101.0916162!16s%2Fg%2F11rf84xtrn?authuser=0&hl=id&entry=ttu","101.0916162","0.6337371","Alamat","J3MR+FJW, Gading Sari, Kec. Tapung, Kabupaten Kampar, Riau 28464"
"JNE Cabang Tapung Flamboyan",1.9,15,"unknown","https://www.google.com/maps/place/JNE+Cabang+Tapung+Flamboyan/data=!4m7!3m6!1s0x31d4e35897cf6237:0xc6613e2687408fa!8m2!3d0.6337371!4d101.0916162!16s%2Fg%2F11rf84xtrn!19sChIJN2LPl1jj1DER-gh0aOITZgw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Tapung+Flamboyan/@0.6337371,101.0916162,17z/data=!3m1!4b1!4m6!3m5!1s0x31d4e35897cf6237:0xc6613e2687408fa!8m2!3d0.6337371!4d101.0916162!16s%2Fg%2F11rf84xtrn?authuser=0&hl=id&entry=ttu","101.0916162","0.6337371","Telepon","0852-1752-7199"
