"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Sub agen Kaur 1",3.6,22,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNE+Sub+agen+Kaur+1/data=!4m7!3m6!1s0x2e37e52fb745bcef:0x51ce6577055da5b9!8m2!3d-4.7912485!4d103.3506436!16s%2Fg%2F1ygbb6_x8!19sChIJ77xFty_lNy4RuaVdBXdlzlE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+agen+Kaur+1/@-4.7912485,103.3506436,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37e52fb745bcef:0x51ce6577055da5b9!8m2!3d-4.7912485!4d103.3506436!16s%2Fg%2F1ygbb6_x8?authuser=0&hl=id&entry=ttu","103.3506436","-4.7912485","Alamat","Jl. Simpang 4 Pasar Baru, Bandar, Kec. Kaur Sel., Kabupaten Kaur, Bengkulu 38563"
"JNE Sub agen Kaur 1",3.6,22,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNE+Sub+agen+Kaur+1/data=!4m7!3m6!1s0x2e37e52fb745bcef:0x51ce6577055da5b9!8m2!3d-4.7912485!4d103.3506436!16s%2Fg%2F1ygbb6_x8!19sChIJ77xFty_lNy4RuaVdBXdlzlE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+agen+Kaur+1/@-4.7912485,103.3506436,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37e52fb745bcef:0x51ce6577055da5b9!8m2!3d-4.7912485!4d103.3506436!16s%2Fg%2F1ygbb6_x8?authuser=0&hl=id&entry=ttu","103.3506436","-4.7912485","Situs Web","jne.co.id"
"JNE Sub agen Kaur 1",3.6,22,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNE+Sub+agen+Kaur+1/data=!4m7!3m6!1s0x2e37e52fb745bcef:0x51ce6577055da5b9!8m2!3d-4.7912485!4d103.3506436!16s%2Fg%2F1ygbb6_x8!19sChIJ77xFty_lNy4RuaVdBXdlzlE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+agen+Kaur+1/@-4.7912485,103.3506436,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37e52fb745bcef:0x51ce6577055da5b9!8m2!3d-4.7912485!4d103.3506436!16s%2Fg%2F1ygbb6_x8?authuser=0&hl=id&entry=ttu","103.3506436","-4.7912485","Telepon","0813-7909-4739"
"JNE Sub agen Kaur 1",3.6,22,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNE+Sub+agen+Kaur+1/data=!4m7!3m6!1s0x2e37e52fb745bcef:0x51ce6577055da5b9!8m2!3d-4.7912485!4d103.3506436!16s%2Fg%2F1ygbb6_x8!19sChIJ77xFty_lNy4RuaVdBXdlzlE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+agen+Kaur+1/@-4.7912485,103.3506436,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37e52fb745bcef:0x51ce6577055da5b9!8m2!3d-4.7912485!4d103.3506436!16s%2Fg%2F1ygbb6_x8?authuser=0&hl=id&entry=ttu","103.3506436","-4.7912485","Plus Codes","6952+G7 Bandar, Kabupaten Kaur, Bengkulu"
"JNE Agen Kaur",5,6,"Buka 24 jam","https://www.google.com/maps/place/JNE+Agen+Kaur/data=!4m7!3m6!1s0x2e37e52c311b5a6f:0xe618174585e593b7!8m2!3d-4.7946098!4d103.3535598!16s%2Fg%2F11gfnjyghk!19sChIJb1obMSzlNy4Rt5PlhUUXGOY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Kaur/@-4.7946098,103.3535598,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37e52c311b5a6f:0xe618174585e593b7!8m2!3d-4.7946098!4d103.3535598!16s%2Fg%2F11gfnjyghk?authuser=0&hl=id&entry=ttu","103.3535598","-4.7946098","Alamat","Jl.Pasar Inpres, Kepala Ps., Kec. Kaur Sel., Kabupaten Kaur, Bengkulu"
"JNE Agen Kaur",5,6,"Buka 24 jam","https://www.google.com/maps/place/JNE+Agen+Kaur/data=!4m7!3m6!1s0x2e37e52c311b5a6f:0xe618174585e593b7!8m2!3d-4.7946098!4d103.3535598!16s%2Fg%2F11gfnjyghk!19sChIJb1obMSzlNy4Rt5PlhUUXGOY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Kaur/@-4.7946098,103.3535598,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37e52c311b5a6f:0xe618174585e593b7!8m2!3d-4.7946098!4d103.3535598!16s%2Fg%2F11gfnjyghk?authuser=0&hl=id&entry=ttu","103.3535598","-4.7946098","Situs Web","business.site"
"JNE Agen Kaur",5,6,"Buka 24 jam","https://www.google.com/maps/place/JNE+Agen+Kaur/data=!4m7!3m6!1s0x2e37e52c311b5a6f:0xe618174585e593b7!8m2!3d-4.7946098!4d103.3535598!16s%2Fg%2F11gfnjyghk!19sChIJb1obMSzlNy4Rt5PlhUUXGOY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Kaur/@-4.7946098,103.3535598,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37e52c311b5a6f:0xe618174585e593b7!8m2!3d-4.7946098!4d103.3535598!16s%2Fg%2F11gfnjyghk?authuser=0&hl=id&entry=ttu","103.3535598","-4.7946098","Telepon","0853-6711-2311"
"JNE Agen Kaur",5,6,"Buka 24 jam","https://www.google.com/maps/place/JNE+Agen+Kaur/data=!4m7!3m6!1s0x2e37e52c311b5a6f:0xe618174585e593b7!8m2!3d-4.7946098!4d103.3535598!16s%2Fg%2F11gfnjyghk!19sChIJb1obMSzlNy4Rt5PlhUUXGOY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Kaur/@-4.7946098,103.3535598,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37e52c311b5a6f:0xe618174585e593b7!8m2!3d-4.7946098!4d103.3535598!16s%2Fg%2F11gfnjyghk?authuser=0&hl=id&entry=ttu","103.3535598","-4.7946098","Plus Codes","6943+5C Kepala Ps., Kabupaten Kaur, Bengkulu"
"JNE BINTUHAN KAUR",4.3,41,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE+BINTUHAN+KAUR/data=!4m7!3m6!1s0x2e37e531b8213bcb:0x4f210a07f7d5606a!8m2!3d-4.7908841!4d103.3508023!16s%2Fg%2F11by_m8lts!19sChIJyzshuDHlNy4RamDV9wcKIU8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+BINTUHAN+KAUR/@-4.7908841,103.3508023,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37e531b8213bcb:0x4f210a07f7d5606a!8m2!3d-4.7908841!4d103.3508023!16s%2Fg%2F11by_m8lts?authuser=0&hl=id&entry=ttu","103.3508023","-4.7908841","Alamat","6952+J8V, Ps. Baru, Kec. Kaur Sel., Kabupaten Kaur, Bengkulu 38963"
"JNE Nasal Kaur",NA,NA,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Nasal+Kaur/data=!4m7!3m6!1s0x2e37ff5634aa91b5:0x60f230d116d4caac!8m2!3d-4.8970356!4d103.5297471!16s%2Fg%2F11fm3pqzzb!19sChIJtZGqNFb_Ny4RrMrUFtEw8mA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Nasal+Kaur/@-4.8970356,103.5297471,17z/data=!3m1!4b1!4m6!3m5!1s0x2e37ff5634aa91b5:0x60f230d116d4caac!8m2!3d-4.8970356!4d103.5297471!16s%2Fg%2F11fm3pqzzb?authuser=0&hl=id&entry=ttu","103.5297471","-4.8970356","Alamat","4G3H+5VQ, Batu Lungun, Nasal, Kabupaten Kaur, Bengkulu"
