"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE",4,7,"unknown","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x329cb164508b68c7:0xf4f91a1bd81264d2!8m2!3d0.7977829!4d127.3845!16s%2Fg%2F11h4ms3dkr!19sChIJx2iLUGSxnDIR0mQS2Bsa-fQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@0.7977829,127.3845,17z/data=!3m1!4b1!4m6!3m5!1s0x329cb164508b68c7:0xf4f91a1bd81264d2!8m2!3d0.7977829!4d127.3845!16s%2Fg%2F11h4ms3dkr?authuser=0&hl=id&entry=ttu","127.3845","0.7977829","Alamat","Jl. Sultan Khairun No.76, Makassar Bar., Kec. Ternate Tengah, Kota Ternate, Maluku Utara 97723"
"JNE",4,7,"unknown","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x329cb164508b68c7:0xf4f91a1bd81264d2!8m2!3d0.7977829!4d127.3845!16s%2Fg%2F11h4ms3dkr!19sChIJx2iLUGSxnDIR0mQS2Bsa-fQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@0.7977829,127.3845,17z/data=!3m1!4b1!4m6!3m5!1s0x329cb164508b68c7:0xf4f91a1bd81264d2!8m2!3d0.7977829!4d127.3845!16s%2Fg%2F11h4ms3dkr?authuser=0&hl=id&entry=ttu","127.3845","0.7977829","Plus Codes","Q9XM+4R Makassar Bar., Kota Ternate, Maluku Utara"
"JNE Kantor Cabang Sorong Papua Barat",3.2,306,"unknown","https://www.google.com/maps/place/JNE+Kantor+Cabang+Sorong+Papua+Barat/data=!4m7!3m6!1s0x2d5bff5aaaaaaaab:0x91978ef273df349d!8m2!3d-0.8774595!4d131.2591393!16s%2Fg%2F1ygbb6tdp!19sChIJq6qqqlr_Wy0RnTTfc_KOl5E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Cabang+Sorong+Papua+Barat/@-0.8774595,131.2591393,17z/data=!3m1!4b1!4m6!3m5!1s0x2d5bff5aaaaaaaab:0x91978ef273df349d!8m2!3d-0.8774595!4d131.2591393!16s%2Fg%2F1ygbb6tdp?authuser=0&hl=id&entry=ttu","131.2591393","-0.8774595","Alamat","Ruko Kuda Laut Blok B No. 9, Jl. A. Yani, Klaligi, Sorong Manoi, Klaligi, Kecamatan Sorong Manoi, Papua Barat, Papua Bar. 98411"
"JNE Kantor Cabang Sorong Papua Barat",3.2,306,"unknown","https://www.google.com/maps/place/JNE+Kantor+Cabang+Sorong+Papua+Barat/data=!4m7!3m6!1s0x2d5bff5aaaaaaaab:0x91978ef273df349d!8m2!3d-0.8774595!4d131.2591393!16s%2Fg%2F1ygbb6tdp!19sChIJq6qqqlr_Wy0RnTTfc_KOl5E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Cabang+Sorong+Papua+Barat/@-0.8774595,131.2591393,17z/data=!3m1!4b1!4m6!3m5!1s0x2d5bff5aaaaaaaab:0x91978ef273df349d!8m2!3d-0.8774595!4d131.2591393!16s%2Fg%2F1ygbb6tdp?authuser=0&hl=id&entry=ttu","131.2591393","-0.8774595","Situs Web","jne.co.id"
"JNE Kantor Cabang Sorong Papua Barat",3.2,306,"unknown","https://www.google.com/maps/place/JNE+Kantor+Cabang+Sorong+Papua+Barat/data=!4m7!3m6!1s0x2d5bff5aaaaaaaab:0x91978ef273df349d!8m2!3d-0.8774595!4d131.2591393!16s%2Fg%2F1ygbb6tdp!19sChIJq6qqqlr_Wy0RnTTfc_KOl5E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Cabang+Sorong+Papua+Barat/@-0.8774595,131.2591393,17z/data=!3m1!4b1!4m6!3m5!1s0x2d5bff5aaaaaaaab:0x91978ef273df349d!8m2!3d-0.8774595!4d131.2591393!16s%2Fg%2F1ygbb6tdp?authuser=0&hl=id&entry=ttu","131.2591393","-0.8774595","Telepon","(0951) 3173901"
"JNE Kantor Cabang Sorong Papua Barat",3.2,306,"unknown","https://www.google.com/maps/place/JNE+Kantor+Cabang+Sorong+Papua+Barat/data=!4m7!3m6!1s0x2d5bff5aaaaaaaab:0x91978ef273df349d!8m2!3d-0.8774595!4d131.2591393!16s%2Fg%2F1ygbb6tdp!19sChIJq6qqqlr_Wy0RnTTfc_KOl5E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Cabang+Sorong+Papua+Barat/@-0.8774595,131.2591393,17z/data=!3m1!4b1!4m6!3m5!1s0x2d5bff5aaaaaaaab:0x91978ef273df349d!8m2!3d-0.8774595!4d131.2591393!16s%2Fg%2F1ygbb6tdp?authuser=0&hl=id&entry=ttu","131.2591393","-0.8774595","Plus Codes","47F5+2M Klaligi, Kota Sorong, Papua Bar."
"JNE KOYA",4.2,58,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+KOYA/data=!4m7!3m6!1s0x686c679fe8a2be9d:0x5b3bb845c2a56e23!8m2!3d-2.6662717!4d140.8047134!16s%2Fg%2F11f31m318m!19sChIJnb6i6J9nbGgRI26lwkW4O1s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+KOYA/@-2.6662717,140.8047134,17z/data=!3m1!4b1!4m6!3m5!1s0x686c679fe8a2be9d:0x5b3bb845c2a56e23!8m2!3d-2.6662717!4d140.8047134!16s%2Fg%2F11f31m318m?authuser=0&hl=id&entry=ttu","140.8047134","-2.6662717","Alamat","8RM3+FVW, Koya Bar., Kec. Muara Tami, Kota Jayapura, Papua 99351"
"JNE Agen Utama, Maluku Utara",1.8,77,"unknown","https://www.google.com/maps/place/JNE+Agen+Utama,+Maluku+Utara/data=!4m7!3m6!1s0x329cb3f420732cb9:0xd07056ac2c9da4e2!8m2!3d0.7867027!4d127.3857978!16s%2Fg%2F1yj4k3qmk!19sChIJuSxzIPSznDIR4qSdLKxWcNA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Utama,+Maluku+Utara/@0.7867027,127.3857978,17z/data=!3m1!4b1!4m6!3m5!1s0x329cb3f420732cb9:0xd07056ac2c9da4e2!8m2!3d0.7867027!4d127.3857978!16s%2Fg%2F1yj4k3qmk?authuser=0&hl=id&entry=ttu","127.3857978","0.7867027","Alamat","Jl. Arnold Mononutu, Stadion, Kec. Ternate Tengah, Kota Ternate, Maluku Utara"
"JNE Agen Utama, Maluku Utara",1.8,77,"unknown","https://www.google.com/maps/place/JNE+Agen+Utama,+Maluku+Utara/data=!4m7!3m6!1s0x329cb3f420732cb9:0xd07056ac2c9da4e2!8m2!3d0.7867027!4d127.3857978!16s%2Fg%2F1yj4k3qmk!19sChIJuSxzIPSznDIR4qSdLKxWcNA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Utama,+Maluku+Utara/@0.7867027,127.3857978,17z/data=!3m1!4b1!4m6!3m5!1s0x329cb3f420732cb9:0xd07056ac2c9da4e2!8m2!3d0.7867027!4d127.3857978!16s%2Fg%2F1yj4k3qmk?authuser=0&hl=id&entry=ttu","127.3857978","0.7867027","Situs Web","jne.co.id"
"JNE Agen Utama, Maluku Utara",1.8,77,"unknown","https://www.google.com/maps/place/JNE+Agen+Utama,+Maluku+Utara/data=!4m7!3m6!1s0x329cb3f420732cb9:0xd07056ac2c9da4e2!8m2!3d0.7867027!4d127.3857978!16s%2Fg%2F1yj4k3qmk!19sChIJuSxzIPSznDIR4qSdLKxWcNA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Agen+Utama,+Maluku+Utara/@0.7867027,127.3857978,17z/data=!3m1!4b1!4m6!3m5!1s0x329cb3f420732cb9:0xd07056ac2c9da4e2!8m2!3d0.7867027!4d127.3857978!16s%2Fg%2F1yj4k3qmk?authuser=0&hl=id&entry=ttu","127.3857978","0.7867027","Telepon","(021) 29278888"
