"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Cabang Teluk Kuantan",2.8,143,"unknown","https://www.google.com/maps/place/JNE+Cabang+Teluk+Kuantan/data=!4m7!3m6!1s0x2e2a4dcd12328c01:0x1b659a642b0ffe0a!8m2!3d-0.527005!4d101.5695191!16s%2Fg%2F11c204bn_4!19sChIJAYwyEs1NKi4RCv4PK2SaZRs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Teluk+Kuantan/@-0.527005,101.5695191,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2a4dcd12328c01:0x1b659a642b0ffe0a!8m2!3d-0.527005!4d101.5695191!16s%2Fg%2F11c204bn_4?authuser=0&hl=id&entry=ttu","101.5695191","-0.527005","Alamat","Jne telukkuantan jln imamunandar no 25 rt 08 rw 03 sungai lintang, desa, Beringin Taluk, Kec. Kuantan Tengah, Kabupaten Kuantan Singingi, Riau 29566"
"JNE Cabang Teluk Kuantan",2.8,143,"unknown","https://www.google.com/maps/place/JNE+Cabang+Teluk+Kuantan/data=!4m7!3m6!1s0x2e2a4dcd12328c01:0x1b659a642b0ffe0a!8m2!3d-0.527005!4d101.5695191!16s%2Fg%2F11c204bn_4!19sChIJAYwyEs1NKi4RCv4PK2SaZRs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Teluk+Kuantan/@-0.527005,101.5695191,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2a4dcd12328c01:0x1b659a642b0ffe0a!8m2!3d-0.527005!4d101.5695191!16s%2Fg%2F11c204bn_4?authuser=0&hl=id&entry=ttu","101.5695191","-0.527005","Telepon","0823-8629-4492"
"JNE Cabang Teluk Kuantan",2.8,143,"unknown","https://www.google.com/maps/place/JNE+Cabang+Teluk+Kuantan/data=!4m7!3m6!1s0x2e2a4dcd12328c01:0x1b659a642b0ffe0a!8m2!3d-0.527005!4d101.5695191!16s%2Fg%2F11c204bn_4!19sChIJAYwyEs1NKi4RCv4PK2SaZRs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Teluk+Kuantan/@-0.527005,101.5695191,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2a4dcd12328c01:0x1b659a642b0ffe0a!8m2!3d-0.527005!4d101.5695191!16s%2Fg%2F11c204bn_4?authuser=0&hl=id&entry=ttu","101.5695191","-0.527005","Plus Codes","FHF9+5R Beringin Taluk, Kabupaten Kuantan Singingi, Riau"
"AGEN JNE Singingi Hilir",3.7,6,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/AGEN+JNE+Singingi+Hilir/data=!4m7!3m6!1s0x2e2a618393cb5857:0xebcdbd1a00ef158!8m2!3d-0.2685475!4d101.4158319!16s%2Fg%2F11fjmyzh19!19sChIJV1jLk4NhKi4RWPEOoNHbvA4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/AGEN+JNE+Singingi+Hilir/@-0.2685475,101.4158319,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2a618393cb5857:0xebcdbd1a00ef158!8m2!3d-0.2685475!4d101.4158319!16s%2Fg%2F11fjmyzh19?authuser=0&hl=id&entry=ttu","101.4158319","-0.2685475","Alamat","PCJ8+H8P, Sungai Buluh, Kec. Singingi Hilir, Kabupaten Kuantan Singingi, Riau 28471"
"AGEN JNE Singingi Hilir",3.7,6,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/AGEN+JNE+Singingi+Hilir/data=!4m7!3m6!1s0x2e2a618393cb5857:0xebcdbd1a00ef158!8m2!3d-0.2685475!4d101.4158319!16s%2Fg%2F11fjmyzh19!19sChIJV1jLk4NhKi4RWPEOoNHbvA4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/AGEN+JNE+Singingi+Hilir/@-0.2685475,101.4158319,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2a618393cb5857:0xebcdbd1a00ef158!8m2!3d-0.2685475!4d101.4158319!16s%2Fg%2F11fjmyzh19?authuser=0&hl=id&entry=ttu","101.4158319","-0.2685475","Telepon","0812-7691-8919"
"JNE Sungai Sirih",3,4,"unknown","https://www.google.com/maps/place/JNE+Sungai+Sirih/data=!4m7!3m6!1s0x2e2a5f7cfc5eb36b:0x1b72689a45c63fee!8m2!3d-0.3667366!4d101.4174986!16s%2Fg%2F11nxqbgl7s!19sChIJa7Ne_HxfKi4R7j_GRZpochs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sungai+Sirih/@-0.3667366,101.4174986,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2a5f7cfc5eb36b:0x1b72689a45c63fee!8m2!3d-0.3667366!4d101.4174986!16s%2Fg%2F11nxqbgl7s?authuser=0&hl=id&entry=ttu","101.4174986","-0.3667366","Alamat","JCM8+8X5, Sungai Sirih, Kec. Singingi, Kabupaten Kuantan Singingi, Riau 29563"
"JNE Expres Acros Nations",4.2,6,"unknown","https://www.google.com/maps/place/JNE+Expres+Acros+Nations/data=!4m7!3m6!1s0x2e2a4c33781f447b:0x246809093a8cae90!8m2!3d-0.528422!4d101.573039!16s%2Fg%2F11b6d1qr1j!19sChIJe0QfeDNMKi4RkK6MOgkJaCQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Expres+Acros+Nations/@-0.528422,101.573039,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2a4c33781f447b:0x246809093a8cae90!8m2!3d-0.528422!4d101.573039!16s%2Fg%2F11b6d1qr1j?authuser=0&hl=id&entry=ttu","101.573039","-0.528422","Alamat","JL Diponegoro, No. 50, Kuansing, Ps. Taluk, Pekanbaru, Kabupaten Kuantan Singingi, Riau 29566"
"JNE Expres Acros Nations",4.2,6,"unknown","https://www.google.com/maps/place/JNE+Expres+Acros+Nations/data=!4m7!3m6!1s0x2e2a4c33781f447b:0x246809093a8cae90!8m2!3d-0.528422!4d101.573039!16s%2Fg%2F11b6d1qr1j!19sChIJe0QfeDNMKi4RkK6MOgkJaCQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Expres+Acros+Nations/@-0.528422,101.573039,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2a4c33781f447b:0x246809093a8cae90!8m2!3d-0.528422!4d101.573039!16s%2Fg%2F11b6d1qr1j?authuser=0&hl=id&entry=ttu","101.573039","-0.528422","Telepon","0813-7186-7776"
"JNE Expres Acros Nations",4.2,6,"unknown","https://www.google.com/maps/place/JNE+Expres+Acros+Nations/data=!4m7!3m6!1s0x2e2a4c33781f447b:0x246809093a8cae90!8m2!3d-0.528422!4d101.573039!16s%2Fg%2F11b6d1qr1j!19sChIJe0QfeDNMKi4RkK6MOgkJaCQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Expres+Acros+Nations/@-0.528422,101.573039,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2a4c33781f447b:0x246809093a8cae90!8m2!3d-0.528422!4d101.573039!16s%2Fg%2F11b6d1qr1j?authuser=0&hl=id&entry=ttu","101.573039","-0.528422","Plus Codes","FHCF+J6 Ps. Taluk, Kabupaten Kuantan Singingi, Riau"
"JNE Sukaraja",NA,NA,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Sukaraja/data=!4m7!3m6!1s0x2e2a69844fc5f215:0xa00ead32622cae08!8m2!3d-0.2866117!4d101.5268092!16s%2Fg%2F11kfngfn37!19sChIJFfLFT4RpKi4RCK4sYjKtDqA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sukaraja/@-0.2866117,101.5268092,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2a69844fc5f215:0xa00ead32622cae08!8m2!3d-0.2866117!4d101.5268092!16s%2Fg%2F11kfngfn37?authuser=0&hl=id&entry=ttu","101.5268092","-0.2866117","Alamat","PG7G+9P3, Sukaraja, Kec. Logas Tanah Darat, Kabupaten Kuantan Singingi, Riau 28471"
