"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Sub Agen Liwa",3,127,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Sub+Agen+Liwa/data=!4m7!3m6!1s0x2e478e56aaaaaaab:0x27fc1076971846c1!8m2!3d-5.021703!4d104.0605682!16s%2Fg%2F1ygbb6_c4!19sChIJq6qqqlaORy4RwUYYl3YQ_Cc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Liwa/@-5.021703,104.0605682,17z/data=!3m1!4b1!4m6!3m5!1s0x2e478e56aaaaaaab:0x27fc1076971846c1!8m2!3d-5.021703!4d104.0605682!16s%2Fg%2F1ygbb6_c4?authuser=0&hl=id&entry=ttu","104.0605682","-5.021703","Alamat","Jl. Raden Intan No.87, Way Mengaku, Kec. Balik Bukit, Kabupaten Lampung Barat, Lampung 34512"
"JNE Sub Agen Liwa",3,127,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Sub+Agen+Liwa/data=!4m7!3m6!1s0x2e478e56aaaaaaab:0x27fc1076971846c1!8m2!3d-5.021703!4d104.0605682!16s%2Fg%2F1ygbb6_c4!19sChIJq6qqqlaORy4RwUYYl3YQ_Cc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Liwa/@-5.021703,104.0605682,17z/data=!3m1!4b1!4m6!3m5!1s0x2e478e56aaaaaaab:0x27fc1076971846c1!8m2!3d-5.021703!4d104.0605682!16s%2Fg%2F1ygbb6_c4?authuser=0&hl=id&entry=ttu","104.0605682","-5.021703","Situs Web","jne.co.id"
"JNE Sub Agen Liwa",3,127,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Sub+Agen+Liwa/data=!4m7!3m6!1s0x2e478e56aaaaaaab:0x27fc1076971846c1!8m2!3d-5.021703!4d104.0605682!16s%2Fg%2F1ygbb6_c4!19sChIJq6qqqlaORy4RwUYYl3YQ_Cc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Liwa/@-5.021703,104.0605682,17z/data=!3m1!4b1!4m6!3m5!1s0x2e478e56aaaaaaab:0x27fc1076971846c1!8m2!3d-5.021703!4d104.0605682!16s%2Fg%2F1ygbb6_c4?authuser=0&hl=id&entry=ttu","104.0605682","-5.021703","Telepon","(0728) 21668"
"JNE Sub Agen Liwa",3,127,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Sub+Agen+Liwa/data=!4m7!3m6!1s0x2e478e56aaaaaaab:0x27fc1076971846c1!8m2!3d-5.021703!4d104.0605682!16s%2Fg%2F1ygbb6_c4!19sChIJq6qqqlaORy4RwUYYl3YQ_Cc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Liwa/@-5.021703,104.0605682,17z/data=!3m1!4b1!4m6!3m5!1s0x2e478e56aaaaaaab:0x27fc1076971846c1!8m2!3d-5.021703!4d104.0605682!16s%2Fg%2F1ygbb6_c4?authuser=0&hl=id&entry=ttu","104.0605682","-5.021703","Plus Codes","X3H6+86 Way Mengaku, Kabupaten Lampung Barat, Lampung"
"JNE Pajar Bulan",1.8,13,"unknown","https://www.google.com/maps/place/JNE+Pajar+Bulan/data=!4m7!3m6!1s0x2e47773fffffffff:0xed1e6bda5804af60!8m2!3d-5.0845656!4d104.3559158!16s%2Fg%2F1ptx9k5bq!19sChIJ_____z93Ry4RYK8EWNprHu0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pajar+Bulan/@-5.0845656,104.3559158,11z/data=!3m1!4b1!4m6!3m5!1s0x2e47773fffffffff:0xed1e6bda5804af60!8m2!3d-5.0845656!4d104.3559158!16s%2Fg%2F1ptx9k5bq?authuser=0&hl=id&entry=ttu","104.3559158","-5.0845656","Alamat","Jl.Lintas Liwa No.45 Depan Spbu Pajar Bulan, Sukaraja, Way Tenong, West Lampung Regency, Lampung 34884"
"JNE Pajar Bulan",1.8,13,"unknown","https://www.google.com/maps/place/JNE+Pajar+Bulan/data=!4m7!3m6!1s0x2e47773fffffffff:0xed1e6bda5804af60!8m2!3d-5.0845656!4d104.3559158!16s%2Fg%2F1ptx9k5bq!19sChIJ_____z93Ry4RYK8EWNprHu0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pajar+Bulan/@-5.0845656,104.3559158,11z/data=!3m1!4b1!4m6!3m5!1s0x2e47773fffffffff:0xed1e6bda5804af60!8m2!3d-5.0845656!4d104.3559158!16s%2Fg%2F1ptx9k5bq?authuser=0&hl=id&entry=ttu","104.3559158","-5.0845656","Situs Web","jne.co.id"
"JNE Pajar Bulan",1.8,13,"unknown","https://www.google.com/maps/place/JNE+Pajar+Bulan/data=!4m7!3m6!1s0x2e47773fffffffff:0xed1e6bda5804af60!8m2!3d-5.0845656!4d104.3559158!16s%2Fg%2F1ptx9k5bq!19sChIJ_____z93Ry4RYK8EWNprHu0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pajar+Bulan/@-5.0845656,104.3559158,11z/data=!3m1!4b1!4m6!3m5!1s0x2e47773fffffffff:0xed1e6bda5804af60!8m2!3d-5.0845656!4d104.3559158!16s%2Fg%2F1ptx9k5bq?authuser=0&hl=id&entry=ttu","104.3559158","-5.0845656","Telepon","(021) 29278888"
"Jne Express",3.7,6,"Buka ⋅ Tutup pukul 15.30","https://www.google.com/maps/place/Jne+Express/data=!4m7!3m6!1s0x2e477865ed3446f5:0x9e88104d97103658!8m2!3d-5.034419!4d104.3021131!16s%2Fg%2F11h1kslh3_!19sChIJ9UY07WV4Ry4RWDYQl00QiJ4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jne+Express/@-5.034419,104.3021131,17z/data=!3m1!4b1!4m6!3m5!1s0x2e477865ed3446f5:0x9e88104d97103658!8m2!3d-5.034419!4d104.3021131!16s%2Fg%2F11h1kslh3_?authuser=0&hl=id&entry=ttu","104.3021131","-5.034419","Alamat","X882+6RQ, Jl. Pekon Giham Sukamaju, Giham Sukamaju, Kec. Sekincau, Kabupaten Lampung Barat, Lampung 34884"
"Jne Gedung Surian",3.5,6,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Jne+Gedung+Surian/data=!4m7!3m6!1s0x2e476fba9bf181d1:0x8ac0a9952e6e570b!8m2!3d-5.0909513!4d104.5055809!16s%2Fg%2F11ggpht3wg!19sChIJ0YHxm7pvRy4RC1duLpWpwIo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jne+Gedung+Surian/@-5.0909513,104.5055809,17z/data=!3m1!4b1!4m6!3m5!1s0x2e476fba9bf181d1:0x8ac0a9952e6e570b!8m2!3d-5.0909513!4d104.5055809!16s%2Fg%2F11ggpht3wg?authuser=0&hl=id&entry=ttu","104.5055809","-5.0909513","Alamat","WG54+J68, Pura Mekar, Kec. Gedung Surian, Kabupaten Lampung Barat, Lampung 34871"
"Jne Gedung Surian",3.5,6,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Jne+Gedung+Surian/data=!4m7!3m6!1s0x2e476fba9bf181d1:0x8ac0a9952e6e570b!8m2!3d-5.0909513!4d104.5055809!16s%2Fg%2F11ggpht3wg!19sChIJ0YHxm7pvRy4RC1duLpWpwIo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jne+Gedung+Surian/@-5.0909513,104.5055809,17z/data=!3m1!4b1!4m6!3m5!1s0x2e476fba9bf181d1:0x8ac0a9952e6e570b!8m2!3d-5.0909513!4d104.5055809!16s%2Fg%2F11ggpht3wg?authuser=0&hl=id&entry=ttu","104.5055809","-5.0909513","Telepon","0821-8182-8381"
"WAREHOUSE JNE LIWA",5,1,"Buka ⋅ Tutup pukul 17.30","https://www.google.com/maps/place/WAREHOUSE+JNE+LIWA/data=!4m7!3m6!1s0x2e478f4b7b1b31b7:0xfe574afbfb622285!8m2!3d-5.0212074!4d104.0596493!16s%2Fg%2F11r4p_k487!19sChIJtzEbe0uPRy4RhSJi-_tKV_4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/WAREHOUSE+JNE+LIWA/@-5.0212074,104.0596493,17z/data=!3m1!4b1!4m6!3m5!1s0x2e478f4b7b1b31b7:0xfe574afbfb622285!8m2!3d-5.0212074!4d104.0596493!16s%2Fg%2F11r4p_k487?authuser=0&hl=id&entry=ttu","104.0596493","-5.0212074","Alamat","Jl. Raden Intan No.17, Way Mengaku, Kec. Balik Bukit, Kabupaten Lampung Barat, Lampung 34874"
