"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Jne Pusat Sub Rangkasbitung",2.3,589,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Jne+Pusat+Sub+Rangkasbitung/data=!4m7!3m6!1s0x2e4210cee462b481:0xac5e4b8db7705183!8m2!3d-6.3448059!4d106.2567429!16s%2Fg%2F11bwkgpz7n!19sChIJgbRi5M4QQi4Rg1Fwt41LXqw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jne+Pusat+Sub+Rangkasbitung/@-6.3448059,106.2567429,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4210cee462b481:0xac5e4b8db7705183!8m2!3d-6.3448059!4d106.2567429!16s%2Fg%2F11bwkgpz7n?authuser=0&hl=id&entry=ttu","106.2567429","-6.3448059","Alamat","M744+3MH, Jl. Soekarno-Hatta, Cijoro Lb., Kec. Rangkasbitung, Kabupaten Lebak, Banten 42317"
"Jne Pusat Sub Rangkasbitung",2.3,589,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Jne+Pusat+Sub+Rangkasbitung/data=!4m7!3m6!1s0x2e4210cee462b481:0xac5e4b8db7705183!8m2!3d-6.3448059!4d106.2567429!16s%2Fg%2F11bwkgpz7n!19sChIJgbRi5M4QQi4Rg1Fwt41LXqw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jne+Pusat+Sub+Rangkasbitung/@-6.3448059,106.2567429,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4210cee462b481:0xac5e4b8db7705183!8m2!3d-6.3448059!4d106.2567429!16s%2Fg%2F11bwkgpz7n?authuser=0&hl=id&entry=ttu","106.2567429","-6.3448059","Situs Web","jne.co.id"
"Jne Pusat Sub Rangkasbitung",2.3,589,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/Jne+Pusat+Sub+Rangkasbitung/data=!4m7!3m6!1s0x2e4210cee462b481:0xac5e4b8db7705183!8m2!3d-6.3448059!4d106.2567429!16s%2Fg%2F11bwkgpz7n!19sChIJgbRi5M4QQi4Rg1Fwt41LXqw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jne+Pusat+Sub+Rangkasbitung/@-6.3448059,106.2567429,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4210cee462b481:0xac5e4b8db7705183!8m2!3d-6.3448059!4d106.2567429!16s%2Fg%2F11bwkgpz7n?authuser=0&hl=id&entry=ttu","106.2567429","-6.3448059","Telepon","(0252) 206874"
"JNE Sub Agen Sunan Kalijaga",3.3,48,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Sub+Agen+Sunan+Kalijaga/data=!4m7!3m6!1s0x2e42172dc09e1295:0x2d6dac1c894745a2!8m2!3d-6.3525297!4d106.2549486!16s%2Fg%2F1ygbcdq0f!19sChIJlRKewC0XQi4RokVHiRysbS0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Sunan+Kalijaga/@-6.3525297,106.2549486,17z/data=!3m1!4b1!4m6!3m5!1s0x2e42172dc09e1295:0x2d6dac1c894745a2!8m2!3d-6.3525297!4d106.2549486!16s%2Fg%2F1ygbcdq0f?authuser=0&hl=id&entry=ttu","106.2549486","-6.3525297","Alamat","Jalan Sunan Kalijaga No. 219, Cijoro Lebak, Rangkasbitung, Muara Ciujung Tim., Lebak, Banten, 42311"
"JNE Sub Agen Sunan Kalijaga",3.3,48,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Sub+Agen+Sunan+Kalijaga/data=!4m7!3m6!1s0x2e42172dc09e1295:0x2d6dac1c894745a2!8m2!3d-6.3525297!4d106.2549486!16s%2Fg%2F1ygbcdq0f!19sChIJlRKewC0XQi4RokVHiRysbS0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Sunan+Kalijaga/@-6.3525297,106.2549486,17z/data=!3m1!4b1!4m6!3m5!1s0x2e42172dc09e1295:0x2d6dac1c894745a2!8m2!3d-6.3525297!4d106.2549486!16s%2Fg%2F1ygbcdq0f?authuser=0&hl=id&entry=ttu","106.2549486","-6.3525297","Situs Web","jne.co.id"
"JNE Sub Agen Sunan Kalijaga",3.3,48,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Sub+Agen+Sunan+Kalijaga/data=!4m7!3m6!1s0x2e42172dc09e1295:0x2d6dac1c894745a2!8m2!3d-6.3525297!4d106.2549486!16s%2Fg%2F1ygbcdq0f!19sChIJlRKewC0XQi4RokVHiRysbS0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Sunan+Kalijaga/@-6.3525297,106.2549486,17z/data=!3m1!4b1!4m6!3m5!1s0x2e42172dc09e1295:0x2d6dac1c894745a2!8m2!3d-6.3525297!4d106.2549486!16s%2Fg%2F1ygbcdq0f?authuser=0&hl=id&entry=ttu","106.2549486","-6.3525297","Telepon","(021) 29278888"
"JNE Sub Agen Sunan Kalijaga",3.3,48,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Sub+Agen+Sunan+Kalijaga/data=!4m7!3m6!1s0x2e42172dc09e1295:0x2d6dac1c894745a2!8m2!3d-6.3525297!4d106.2549486!16s%2Fg%2F1ygbcdq0f!19sChIJlRKewC0XQi4RokVHiRysbS0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Sunan+Kalijaga/@-6.3525297,106.2549486,17z/data=!3m1!4b1!4m6!3m5!1s0x2e42172dc09e1295:0x2d6dac1c894745a2!8m2!3d-6.3525297!4d106.2549486!16s%2Fg%2F1ygbcdq0f?authuser=0&hl=id&entry=ttu","106.2549486","-6.3525297","Plus Codes","J7W3+XX Muara Ciujung Tim., Kabupaten Lebak, Banten"
"JNE Rabinza",2.3,3,"unknown","https://www.google.com/maps/place/JNE+Rabinza/data=!4m7!3m6!1s0x2e42113effffffff:0xa75718a9713fa855!8m2!3d-6.3759972!4d106.2728091!16s%2Fg%2F1ygbbbf6h!19sChIJ_____z4RQi4RVag_cakYV6c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Rabinza/@-6.3759972,106.2728091,14z/data=!3m1!4b1!4m6!3m5!1s0x2e42113effffffff:0xa75718a9713fa855!8m2!3d-6.3759972!4d106.2728091!16s%2Fg%2F1ygbbbf6h?authuser=0&hl=id&entry=ttu","106.2728091","-6.3759972","Alamat","Pertokoan Rabinza, East Rangkasbitung, Rangkasbitung, Lebak Regency, Banten 42313"
"JNE Rabinza",2.3,3,"unknown","https://www.google.com/maps/place/JNE+Rabinza/data=!4m7!3m6!1s0x2e42113effffffff:0xa75718a9713fa855!8m2!3d-6.3759972!4d106.2728091!16s%2Fg%2F1ygbbbf6h!19sChIJ_____z4RQi4RVag_cakYV6c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Rabinza/@-6.3759972,106.2728091,14z/data=!3m1!4b1!4m6!3m5!1s0x2e42113effffffff:0xa75718a9713fa855!8m2!3d-6.3759972!4d106.2728091!16s%2Fg%2F1ygbbbf6h?authuser=0&hl=id&entry=ttu","106.2728091","-6.3759972","Situs Web","jne.co.id"
"JNE Rabinza",2.3,3,"unknown","https://www.google.com/maps/place/JNE+Rabinza/data=!4m7!3m6!1s0x2e42113effffffff:0xa75718a9713fa855!8m2!3d-6.3759972!4d106.2728091!16s%2Fg%2F1ygbbbf6h!19sChIJ_____z4RQi4RVag_cakYV6c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Rabinza/@-6.3759972,106.2728091,14z/data=!3m1!4b1!4m6!3m5!1s0x2e42113effffffff:0xa75718a9713fa855!8m2!3d-6.3759972!4d106.2728091!16s%2Fg%2F1ygbbbf6h?authuser=0&hl=id&entry=ttu","106.2728091","-6.3759972","Telepon","(021) 29278888"
