"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Lombok Timur",3.6,373,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/JNE+Lombok+Timur/data=!4m7!3m6!1s0x2dcc4ea9295b2ddf:0xbc64cb9fac45cfa8!8m2!3d-8.6438991!4d116.5192418!16s%2Fg%2F11bw76_gh2!19sChIJ3y1bKalOzC0RqM9FrJ_LZLw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Lombok+Timur/@-8.6438991,116.5192418,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcc4ea9295b2ddf:0xbc64cb9fac45cfa8!8m2!3d-8.6438991!4d116.5192418!16s%2Fg%2F11bw76_gh2?authuser=0&hl=id&entry=ttu","116.5192418","-8.6438991","Alamat","Jl. Dewi Sartika, Pancor, jorong, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83611"
"JNE Lombok Timur",3.6,373,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/JNE+Lombok+Timur/data=!4m7!3m6!1s0x2dcc4ea9295b2ddf:0xbc64cb9fac45cfa8!8m2!3d-8.6438991!4d116.5192418!16s%2Fg%2F11bw76_gh2!19sChIJ3y1bKalOzC0RqM9FrJ_LZLw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Lombok+Timur/@-8.6438991,116.5192418,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcc4ea9295b2ddf:0xbc64cb9fac45cfa8!8m2!3d-8.6438991!4d116.5192418!16s%2Fg%2F11bw76_gh2?authuser=0&hl=id&entry=ttu","116.5192418","-8.6438991","Situs Web","jne.co.id"
"JNE Lombok Timur",3.6,373,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/JNE+Lombok+Timur/data=!4m7!3m6!1s0x2dcc4ea9295b2ddf:0xbc64cb9fac45cfa8!8m2!3d-8.6438991!4d116.5192418!16s%2Fg%2F11bw76_gh2!19sChIJ3y1bKalOzC0RqM9FrJ_LZLw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Lombok+Timur/@-8.6438991,116.5192418,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcc4ea9295b2ddf:0xbc64cb9fac45cfa8!8m2!3d-8.6438991!4d116.5192418!16s%2Fg%2F11bw76_gh2?authuser=0&hl=id&entry=ttu","116.5192418","-8.6438991","Plus Codes","9G49+CM Pancor, Kabupaten Lombok Timur, Nusa Tenggara Bar."
"JNE",3.9,63,"unknown","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2dcc47ed4977bdd3:0xc60de93a742a561d!8m2!3d-8.559363!4d116.6313304!16s%2Fg%2F1pzss9c3l!19sChIJ0713Se1HzC0RHVYqdDrpDcY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-8.559363,116.6313304,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcc47ed4977bdd3:0xc60de93a742a561d!8m2!3d-8.559363!4d116.6313304!16s%2Fg%2F1pzss9c3l?authuser=0&hl=id&entry=ttu","116.6313304","-8.559363","Alamat","CJRJ+7G4, Jl. Raya Labuhan Lombok, Pringgabaya, Selong, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83654"
"JNE",3.9,63,"unknown","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2dcc47ed4977bdd3:0xc60de93a742a561d!8m2!3d-8.559363!4d116.6313304!16s%2Fg%2F1pzss9c3l!19sChIJ0713Se1HzC0RHVYqdDrpDcY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-8.559363,116.6313304,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcc47ed4977bdd3:0xc60de93a742a561d!8m2!3d-8.559363!4d116.6313304!16s%2Fg%2F1pzss9c3l?authuser=0&hl=id&entry=ttu","116.6313304","-8.559363","Situs Web","jne.co.id"
"JNE",3.3,13,"unknown","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2dcc4ea4d8fcd9b1:0xa115347bed5e909e!8m2!3d-8.6490995!4d116.5249985!16s%2Fg%2F11g6_xpwh4!19sChIJsdn82KROzC0RnpBe7Xs0FaE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-8.6490995,116.5249985,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcc4ea4d8fcd9b1:0xa115347bed5e909e!8m2!3d-8.6490995!4d116.5249985!16s%2Fg%2F11g6_xpwh4?authuser=0&hl=id&entry=ttu","116.5249985","-8.6490995","Alamat","Jl. Prof. M Yamin SH No.29, Pancor, Kec. Selong, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83611"
"JNE",3.3,13,"unknown","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2dcc4ea4d8fcd9b1:0xa115347bed5e909e!8m2!3d-8.6490995!4d116.5249985!16s%2Fg%2F11g6_xpwh4!19sChIJsdn82KROzC0RnpBe7Xs0FaE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-8.6490995,116.5249985,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcc4ea4d8fcd9b1:0xa115347bed5e909e!8m2!3d-8.6490995!4d116.5249985!16s%2Fg%2F11g6_xpwh4?authuser=0&hl=id&entry=ttu","116.5249985","-8.6490995","Situs Web","jne.co.id"
"JNE",3.3,13,"unknown","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2dcc4ea4d8fcd9b1:0xa115347bed5e909e!8m2!3d-8.6490995!4d116.5249985!16s%2Fg%2F11g6_xpwh4!19sChIJsdn82KROzC0RnpBe7Xs0FaE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-8.6490995,116.5249985,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcc4ea4d8fcd9b1:0xa115347bed5e909e!8m2!3d-8.6490995!4d116.5249985!16s%2Fg%2F11g6_xpwh4?authuser=0&hl=id&entry=ttu","116.5249985","-8.6490995","Plus Codes","9G2F+9X Pancor, Kabupaten Lombok Timur, Nusa Tenggara Bar."
"JNE Perwakilan Masbagik",3.7,40,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Perwakilan+Masbagik/data=!4m7!3m6!1s0x2dcc4b9fb084ab2d:0x9d768c410ca7aa7d!8m2!3d-8.6222626!4d116.468565!16s%2Fg%2F11g6wd9pvg!19sChIJLauEsJ9LzC0RfaqnDEGMdp0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Perwakilan+Masbagik/@-8.6222626,116.468565,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcc4b9fb084ab2d:0x9d768c410ca7aa7d!8m2!3d-8.6222626!4d116.468565!16s%2Fg%2F11g6wd9pvg?authuser=0&hl=id&entry=ttu","116.468565","-8.6222626","Alamat","9FH9+3CW, Paok Motong, Kec. Masbagik, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83661"
"JNE Perwakilan Masbagik",3.7,40,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Perwakilan+Masbagik/data=!4m7!3m6!1s0x2dcc4b9fb084ab2d:0x9d768c410ca7aa7d!8m2!3d-8.6222626!4d116.468565!16s%2Fg%2F11g6wd9pvg!19sChIJLauEsJ9LzC0RfaqnDEGMdp0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Perwakilan+Masbagik/@-8.6222626,116.468565,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcc4b9fb084ab2d:0x9d768c410ca7aa7d!8m2!3d-8.6222626!4d116.468565!16s%2Fg%2F11g6wd9pvg?authuser=0&hl=id&entry=ttu","116.468565","-8.6222626","Situs Web","alamat.cektarif.com"
