"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Sub Agen Belopa",2,122,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Sub+Agen+Belopa/data=!4m7!3m6!1s0x2d96b04000000001:0xadd9c69a889e7869!8m2!3d-3.3728309!4d120.3661406!16s%2Fg%2F1ptzhzljr!19sChIJAQAAAECwli0RaXieiJrG2a0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Belopa/@-3.3728309,120.3661406,17z/data=!3m1!4b1!4m6!3m5!1s0x2d96b04000000001:0xadd9c69a889e7869!8m2!3d-3.3728309!4d120.3661406!16s%2Fg%2F1ptzhzljr?authuser=0&hl=id&entry=ttu","120.3661406","-3.3728309","Alamat","Pammanu, Kec. Belopa Utara, Kabupaten Luwu, Sulawesi Selatan"
"JNE Sub Agen Belopa",2,122,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Sub+Agen+Belopa/data=!4m7!3m6!1s0x2d96b04000000001:0xadd9c69a889e7869!8m2!3d-3.3728309!4d120.3661406!16s%2Fg%2F1ptzhzljr!19sChIJAQAAAECwli0RaXieiJrG2a0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Belopa/@-3.3728309,120.3661406,17z/data=!3m1!4b1!4m6!3m5!1s0x2d96b04000000001:0xadd9c69a889e7869!8m2!3d-3.3728309!4d120.3661406!16s%2Fg%2F1ptzhzljr?authuser=0&hl=id&entry=ttu","120.3661406","-3.3728309","Situs Web","jne.co.id"
"JNE Sub Agen Belopa",2,122,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Sub+Agen+Belopa/data=!4m7!3m6!1s0x2d96b04000000001:0xadd9c69a889e7869!8m2!3d-3.3728309!4d120.3661406!16s%2Fg%2F1ptzhzljr!19sChIJAQAAAECwli0RaXieiJrG2a0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Belopa/@-3.3728309,120.3661406,17z/data=!3m1!4b1!4m6!3m5!1s0x2d96b04000000001:0xadd9c69a889e7869!8m2!3d-3.3728309!4d120.3661406!16s%2Fg%2F1ptzhzljr?authuser=0&hl=id&entry=ttu","120.3661406","-3.3728309","Telepon","(021) 29278888"
"JNE Sub Agen Belopa",2,122,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Sub+Agen+Belopa/data=!4m7!3m6!1s0x2d96b04000000001:0xadd9c69a889e7869!8m2!3d-3.3728309!4d120.3661406!16s%2Fg%2F1ptzhzljr!19sChIJAQAAAECwli0RaXieiJrG2a0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Belopa/@-3.3728309,120.3661406,17z/data=!3m1!4b1!4m6!3m5!1s0x2d96b04000000001:0xadd9c69a889e7869!8m2!3d-3.3728309!4d120.3661406!16s%2Fg%2F1ptzhzljr?authuser=0&hl=id&entry=ttu","120.3661406","-3.3728309","Plus Codes","J9G8+VF Pammanu, Kabupaten Luwu, Sulawesi Selatan"
"JNE Sub Agen Soroako",1.8,13,"unknown","https://www.google.com/maps/place/JNE+Sub+Agen+Soroako/data=!4m7!3m6!1s0x2d90415555555555:0xe3e6a53a13ad0a30!8m2!3d-2.4456745!4d121.1710389!16s%2Fg%2F1ygbb7sr3!19sChIJVVVVVVVBkC0RMAqtEzql5uM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Soroako/@-2.4456745,121.1710389,11z/data=!3m1!4b1!4m6!3m5!1s0x2d90415555555555:0xe3e6a53a13ad0a30!8m2!3d-2.4456745!4d121.1710389!16s%2Fg%2F1ygbb7sr3?authuser=0&hl=id&entry=ttu","121.1710389","-2.4456745","Alamat","Jl. Pangrango Blok. F No. 166, Matano, Nuha, East Luwu Regency, South Sulawesi 92983"
"JNE Sub Agen Soroako",1.8,13,"unknown","https://www.google.com/maps/place/JNE+Sub+Agen+Soroako/data=!4m7!3m6!1s0x2d90415555555555:0xe3e6a53a13ad0a30!8m2!3d-2.4456745!4d121.1710389!16s%2Fg%2F1ygbb7sr3!19sChIJVVVVVVVBkC0RMAqtEzql5uM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Soroako/@-2.4456745,121.1710389,11z/data=!3m1!4b1!4m6!3m5!1s0x2d90415555555555:0xe3e6a53a13ad0a30!8m2!3d-2.4456745!4d121.1710389!16s%2Fg%2F1ygbb7sr3?authuser=0&hl=id&entry=ttu","121.1710389","-2.4456745","Situs Web","jne.co.id"
"JNE Sub Agen Soroako",1.8,13,"unknown","https://www.google.com/maps/place/JNE+Sub+Agen+Soroako/data=!4m7!3m6!1s0x2d90415555555555:0xe3e6a53a13ad0a30!8m2!3d-2.4456745!4d121.1710389!16s%2Fg%2F1ygbb7sr3!19sChIJVVVVVVVBkC0RMAqtEzql5uM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Soroako/@-2.4456745,121.1710389,11z/data=!3m1!4b1!4m6!3m5!1s0x2d90415555555555:0xe3e6a53a13ad0a30!8m2!3d-2.4456745!4d121.1710389!16s%2Fg%2F1ygbb7sr3?authuser=0&hl=id&entry=ttu","121.1710389","-2.4456745","Telepon","(021) 29278888"
"JNE WALMAS",5,2,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+WALMAS/data=!4m7!3m6!1s0x2d93d993b95fde2b:0x63756398e242075e!8m2!3d-2.8415337!4d120.121799!16s%2Fg%2F11mw78bg1f!19sChIJK95fuZPZky0RXgdC4phjdWM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+WALMAS/@-2.8415337,120.121799,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93d993b95fde2b:0x63756398e242075e!8m2!3d-2.8415337!4d120.121799!16s%2Fg%2F11mw78bg1f?authuser=0&hl=id&entry=ttu","120.121799","-2.8415337","Alamat","545C+9PM, Batu Sitanduk, Kec. Walenrang, Kabupaten Luwu, Sulawesi Selatan 91951"
"JNE WALMAS",5,2,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+WALMAS/data=!4m7!3m6!1s0x2d93d993b95fde2b:0x63756398e242075e!8m2!3d-2.8415337!4d120.121799!16s%2Fg%2F11mw78bg1f!19sChIJK95fuZPZky0RXgdC4phjdWM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+WALMAS/@-2.8415337,120.121799,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93d993b95fde2b:0x63756398e242075e!8m2!3d-2.8415337!4d120.121799!16s%2Fg%2F11mw78bg1f?authuser=0&hl=id&entry=ttu","120.121799","-2.8415337","Telepon","0813-4674-4427"
"JNE Sub Agen Malili",3,4,"unknown","https://www.google.com/maps/place/JNE+Sub+Agen+Malili/data=!4m7!3m6!1s0x2d90ea4000000001:0x7056c224b9256a36!8m2!3d-2.9088052!4d121.193945!16s%2Fg%2F1ygbb6sdz!19sChIJAQAAAEDqkC0RNmoluSTCVnA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Malili/@-2.9088052,121.193945,11z/data=!3m1!4b1!4m6!3m5!1s0x2d90ea4000000001:0x7056c224b9256a36!8m2!3d-2.9088052!4d121.193945!16s%2Fg%2F1ygbb6sdz?authuser=0&hl=id&entry=ttu","121.193945","-2.9088052","Alamat","Jl. Anggur No 10 Desa Baruga, Loka, Tolala, East Luwu Regency, South East Sulawesi 92981"
