"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Cabang Utama Malang",2.7,3,"Buka 24 jam","https://www.google.com/maps/place/JNE+Cabang+Utama+Malang/data=!4m7!3m6!1s0x2dd62847edca788d:0x1bcd9ae683e30526!8m2!3d-7.9706597!4d112.643415!16s%2Fg%2F1jkxgy7j4!19sChIJjXjK7Uco1i0RJgXjg-aazRs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Utama+Malang/@-7.9706597,112.643415,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd62847edca788d:0x1bcd9ae683e30526!8m2!3d-7.9706597!4d112.643415!16s%2Fg%2F1jkxgy7j4?authuser=0&hl=id&entry=ttu","112.643415","-7.9706597","Alamat","Jl. Hamid Rusdi No.125, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65126"
"JNE Cabang Utama Malang",2.7,3,"Buka 24 jam","https://www.google.com/maps/place/JNE+Cabang+Utama+Malang/data=!4m7!3m6!1s0x2dd62847edca788d:0x1bcd9ae683e30526!8m2!3d-7.9706597!4d112.643415!16s%2Fg%2F1jkxgy7j4!19sChIJjXjK7Uco1i0RJgXjg-aazRs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Utama+Malang/@-7.9706597,112.643415,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd62847edca788d:0x1bcd9ae683e30526!8m2!3d-7.9706597!4d112.643415!16s%2Fg%2F1jkxgy7j4?authuser=0&hl=id&entry=ttu","112.643415","-7.9706597","Situs Web","jne.co.id"
"JNE Cabang Utama Malang",2.7,3,"Buka 24 jam","https://www.google.com/maps/place/JNE+Cabang+Utama+Malang/data=!4m7!3m6!1s0x2dd62847edca788d:0x1bcd9ae683e30526!8m2!3d-7.9706597!4d112.643415!16s%2Fg%2F1jkxgy7j4!19sChIJjXjK7Uco1i0RJgXjg-aazRs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Utama+Malang/@-7.9706597,112.643415,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd62847edca788d:0x1bcd9ae683e30526!8m2!3d-7.9706597!4d112.643415!16s%2Fg%2F1jkxgy7j4?authuser=0&hl=id&entry=ttu","112.643415","-7.9706597","Telepon","(0341) 344678"
"JNE Cabang Utama Malang",2.7,3,"Buka 24 jam","https://www.google.com/maps/place/JNE+Cabang+Utama+Malang/data=!4m7!3m6!1s0x2dd62847edca788d:0x1bcd9ae683e30526!8m2!3d-7.9706597!4d112.643415!16s%2Fg%2F1jkxgy7j4!19sChIJjXjK7Uco1i0RJgXjg-aazRs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Utama+Malang/@-7.9706597,112.643415,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd62847edca788d:0x1bcd9ae683e30526!8m2!3d-7.9706597!4d112.643415!16s%2Fg%2F1jkxgy7j4?authuser=0&hl=id&entry=ttu","112.643415","-7.9706597","Plus Codes","2JHV+P9 Bunulrejo, Kota Malang, Jawa Timur"
"JNE Express",1.7,4,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Express/data=!4m7!3m6!1s0x2dd6283b95dfaea5:0x60a588f9a21ad1d7!8m2!3d-7.9752793!4d112.6358947!16s%2Fg%2F11b75k9k9q!19sChIJpa7flTso1i0R19EaovmIpWA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Express/@-7.9752793,112.6358947,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd6283b95dfaea5:0x60a588f9a21ad1d7!8m2!3d-7.9752793!4d112.6358947!16s%2Fg%2F11b75k9k9q?authuser=0&hl=id&entry=ttu","112.6358947","-7.9752793","Alamat","Jl. Pajajaran No.17B, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111"
"JNE Express",1.7,4,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Express/data=!4m7!3m6!1s0x2dd6283b95dfaea5:0x60a588f9a21ad1d7!8m2!3d-7.9752793!4d112.6358947!16s%2Fg%2F11b75k9k9q!19sChIJpa7flTso1i0R19EaovmIpWA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Express/@-7.9752793,112.6358947,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd6283b95dfaea5:0x60a588f9a21ad1d7!8m2!3d-7.9752793!4d112.6358947!16s%2Fg%2F11b75k9k9q?authuser=0&hl=id&entry=ttu","112.6358947","-7.9752793","Situs Web","jne.co.id"
"JNE Express",1.7,4,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Express/data=!4m7!3m6!1s0x2dd6283b95dfaea5:0x60a588f9a21ad1d7!8m2!3d-7.9752793!4d112.6358947!16s%2Fg%2F11b75k9k9q!19sChIJpa7flTso1i0R19EaovmIpWA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Express/@-7.9752793,112.6358947,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd6283b95dfaea5:0x60a588f9a21ad1d7!8m2!3d-7.9752793!4d112.6358947!16s%2Fg%2F11b75k9k9q?authuser=0&hl=id&entry=ttu","112.6358947","-7.9752793","Telepon","(0341) 344672"
"JNE Express",1.7,4,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Express/data=!4m7!3m6!1s0x2dd6283b95dfaea5:0x60a588f9a21ad1d7!8m2!3d-7.9752793!4d112.6358947!16s%2Fg%2F11b75k9k9q!19sChIJpa7flTso1i0R19EaovmIpWA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Express/@-7.9752793,112.6358947,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd6283b95dfaea5:0x60a588f9a21ad1d7!8m2!3d-7.9752793!4d112.6358947!16s%2Fg%2F11b75k9k9q?authuser=0&hl=id&entry=ttu","112.6358947","-7.9752793","Plus Codes","2JFP+V9 Klojen, Kota Malang, Jawa Timur"
"JNE Permata Jingga Malang",3.8,77,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/JNE+Permata+Jingga+Malang/data=!4m7!3m6!1s0x2e788362e3660bff:0x62d2e35075b5e29b!8m2!3d-7.9334978!4d112.6187628!16s%2Fg%2F11h4g03kbz!19sChIJ_wtm42KDeC4Rm-K1dVDj0mI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Permata+Jingga+Malang/@-7.9334978,112.6187628,17z/data=!3m1!4b1!4m6!3m5!1s0x2e788362e3660bff:0x62d2e35075b5e29b!8m2!3d-7.9334978!4d112.6187628!16s%2Fg%2F11h4g03kbz?authuser=0&hl=id&entry=ttu","112.6187628","-7.9334978","Alamat","Ruko Permata Jingga, no.3, Jl. Raya Permata Jingga, Mojolangu, Lowokwaru, Malang City, East Java 65142"
"JNE Permata Jingga Malang",3.8,77,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/JNE+Permata+Jingga+Malang/data=!4m7!3m6!1s0x2e788362e3660bff:0x62d2e35075b5e29b!8m2!3d-7.9334978!4d112.6187628!16s%2Fg%2F11h4g03kbz!19sChIJ_wtm42KDeC4Rm-K1dVDj0mI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Permata+Jingga+Malang/@-7.9334978,112.6187628,17z/data=!3m1!4b1!4m6!3m5!1s0x2e788362e3660bff:0x62d2e35075b5e29b!8m2!3d-7.9334978!4d112.6187628!16s%2Fg%2F11h4g03kbz?authuser=0&hl=id&entry=ttu","112.6187628","-7.9334978","Situs Web","jne.co.id"
