"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor JNE Metro Tanjung Bunga",4.6,25,"Tutup ⋅ Buka Sen pukul 10.00","https://www.google.com/maps/place/Kantor+JNE+Metro+Tanjung+Bunga/data=!4m7!3m6!1s0x2dbf1d556cf982a7:0x769aef5a26df8d1d!8m2!3d-5.1904036!4d119.3871382!16s%2Fg%2F11gj6bvzd7!19sChIJp4L5bFUdvy0RHY3fJlrvmnY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+JNE+Metro+Tanjung+Bunga/@-5.1904036,119.3871382,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1d556cf982a7:0x769aef5a26df8d1d!8m2!3d-5.1904036!4d119.3871382!16s%2Fg%2F11gj6bvzd7?authuser=0&hl=id&entry=ttu","119.3871382","-5.1904036","Alamat","R95P+RVJ, Jl. Metro Tj. Bunga, Tj. Merdeka, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90225"
"Kantor JNE Metro Tanjung Bunga",4.6,25,"Tutup ⋅ Buka Sen pukul 10.00","https://www.google.com/maps/place/Kantor+JNE+Metro+Tanjung+Bunga/data=!4m7!3m6!1s0x2dbf1d556cf982a7:0x769aef5a26df8d1d!8m2!3d-5.1904036!4d119.3871382!16s%2Fg%2F11gj6bvzd7!19sChIJp4L5bFUdvy0RHY3fJlrvmnY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+JNE+Metro+Tanjung+Bunga/@-5.1904036,119.3871382,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1d556cf982a7:0x769aef5a26df8d1d!8m2!3d-5.1904036!4d119.3871382!16s%2Fg%2F11gj6bvzd7?authuser=0&hl=id&entry=ttu","119.3871382","-5.1904036","Situs Web","jne.co.id"
"JNE Kp METRO",4,322,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/JNE+Kp+METRO/data=!4m7!3m6!1s0x2e40bbfb73962fe1:0xc0cd26ad5f121a33!8m2!3d-5.1168201!4d105.3039402!16s%2Fg%2F11ddzn4sgk!19sChIJ4S-Wc_u7QC4RMxoSX60mzcA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kp+METRO/@-5.1168201,105.3039402,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bbfb73962fe1:0xc0cd26ad5f121a33!8m2!3d-5.1168201!4d105.3039402!16s%2Fg%2F11ddzn4sgk?authuser=0&hl=id&entry=ttu","105.3039402","-5.1168201","Alamat","D Jl. Mayjen Riyachudu No.40, Metro, Kec. Metro Pusat, Kota Metro, Lampung 34125"
"JNE Kp METRO",4,322,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/JNE+Kp+METRO/data=!4m7!3m6!1s0x2e40bbfb73962fe1:0xc0cd26ad5f121a33!8m2!3d-5.1168201!4d105.3039402!16s%2Fg%2F11ddzn4sgk!19sChIJ4S-Wc_u7QC4RMxoSX60mzcA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kp+METRO/@-5.1168201,105.3039402,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bbfb73962fe1:0xc0cd26ad5f121a33!8m2!3d-5.1168201!4d105.3039402!16s%2Fg%2F11ddzn4sgk?authuser=0&hl=id&entry=ttu","105.3039402","-5.1168201","Situs Web","jne.co.id"
"JNE Kp METRO",4,322,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/JNE+Kp+METRO/data=!4m7!3m6!1s0x2e40bbfb73962fe1:0xc0cd26ad5f121a33!8m2!3d-5.1168201!4d105.3039402!16s%2Fg%2F11ddzn4sgk!19sChIJ4S-Wc_u7QC4RMxoSX60mzcA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kp+METRO/@-5.1168201,105.3039402,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bbfb73962fe1:0xc0cd26ad5f121a33!8m2!3d-5.1168201!4d105.3039402!16s%2Fg%2F11ddzn4sgk?authuser=0&hl=id&entry=ttu","105.3039402","-5.1168201","Telepon","(0721) 8600018"
"JNE Kp METRO",4,322,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/JNE+Kp+METRO/data=!4m7!3m6!1s0x2e40bbfb73962fe1:0xc0cd26ad5f121a33!8m2!3d-5.1168201!4d105.3039402!16s%2Fg%2F11ddzn4sgk!19sChIJ4S-Wc_u7QC4RMxoSX60mzcA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kp+METRO/@-5.1168201,105.3039402,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bbfb73962fe1:0xc0cd26ad5f121a33!8m2!3d-5.1168201!4d105.3039402!16s%2Fg%2F11ddzn4sgk?authuser=0&hl=id&entry=ttu","105.3039402","-5.1168201","Plus Codes","V8M3+7H Metro, Kota Metro, Lampung"
"JNE Sub Agen Metro",2.9,100,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Sub+Agen+Metro/data=!4m7!3m6!1s0x2e40bba38fb65a8b:0x63fb0fcac143c010!8m2!3d-5.1378404!4d105.3015578!16s%2Fg%2F1ptzgrjmq!19sChIJi1q2j6O7QC4REMBDwcoP-2M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Metro/@-5.1378404,105.3015578,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bba38fb65a8b:0x63fb0fcac143c010!8m2!3d-5.1378404!4d105.3015578!16s%2Fg%2F1ptzgrjmq?authuser=0&hl=id&entry=ttu","105.3015578","-5.1378404","Alamat","Jl. Soekarno Hatta No.16c, Mulyojati, Kec. Metro Bar., Kota Metro, Lampung 34121"
"JNE Sub Agen Metro",2.9,100,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Sub+Agen+Metro/data=!4m7!3m6!1s0x2e40bba38fb65a8b:0x63fb0fcac143c010!8m2!3d-5.1378404!4d105.3015578!16s%2Fg%2F1ptzgrjmq!19sChIJi1q2j6O7QC4REMBDwcoP-2M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Metro/@-5.1378404,105.3015578,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bba38fb65a8b:0x63fb0fcac143c010!8m2!3d-5.1378404!4d105.3015578!16s%2Fg%2F1ptzgrjmq?authuser=0&hl=id&entry=ttu","105.3015578","-5.1378404","Situs Web","jne.co.id"
"JNE Sub Agen Metro",2.9,100,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Sub+Agen+Metro/data=!4m7!3m6!1s0x2e40bba38fb65a8b:0x63fb0fcac143c010!8m2!3d-5.1378404!4d105.3015578!16s%2Fg%2F1ptzgrjmq!19sChIJi1q2j6O7QC4REMBDwcoP-2M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Metro/@-5.1378404,105.3015578,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bba38fb65a8b:0x63fb0fcac143c010!8m2!3d-5.1378404!4d105.3015578!16s%2Fg%2F1ptzgrjmq?authuser=0&hl=id&entry=ttu","105.3015578","-5.1378404","Telepon","(021) 29278888"
"JNE Sub Agen Metro",2.9,100,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Sub+Agen+Metro/data=!4m7!3m6!1s0x2e40bba38fb65a8b:0x63fb0fcac143c010!8m2!3d-5.1378404!4d105.3015578!16s%2Fg%2F1ptzgrjmq!19sChIJi1q2j6O7QC4REMBDwcoP-2M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Metro/@-5.1378404,105.3015578,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bba38fb65a8b:0x63fb0fcac143c010!8m2!3d-5.1378404!4d105.3015578!16s%2Fg%2F1ptzgrjmq?authuser=0&hl=id&entry=ttu","105.3015578","-5.1378404","Plus Codes","V862+VJ Mulyojati, Kota Metro, Lampung"
