"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Ratahan",1,1,"unknown","https://www.google.com/maps/place/JNE+Ratahan/data=!4m7!3m6!1s0x32874bbbb428b127:0x4dd1ab53905c0e77!8m2!3d1.054607!4d124.8013644!16s%2Fg%2F11st895k77!19sChIJJ7EotLtLhzIRdw5ckFOr0U0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Ratahan/@1.054607,124.8013644,17z/data=!3m1!4b1!4m6!3m5!1s0x32874bbbb428b127:0x4dd1ab53905c0e77!8m2!3d1.054607!4d124.8013644!16s%2Fg%2F11st895k77?authuser=0&hl=id&entry=ttu","124.8013644","1.054607","Alamat","3R32+RGQ, Tosuraya Sel., Kec. Ratahan, Kabupaten Minahasa Tenggara, Sulawesi Utara"
"JNE Minahasa Utara",4,16,"Tutup ⋅ Buka Sen pukul 10.00","https://www.google.com/maps/place/JNE+Minahasa+Utara/data=!4m7!3m6!1s0x32870919bd36564f:0x9141fc3e3a9ad9cc!8m2!3d1.4392045!4d124.9685822!16s%2Fg%2F11rhp_jbt5!19sChIJT1Y2vRkJhzIRzNmaOj78QZE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Minahasa+Utara/@1.4392045,124.9685822,17z/data=!3m1!4b1!4m6!3m5!1s0x32870919bd36564f:0x9141fc3e3a9ad9cc!8m2!3d1.4392045!4d124.9685822!16s%2Fg%2F11rhp_jbt5?authuser=0&hl=id&entry=ttu","124.9685822","1.4392045","Alamat","Sukur, Kec. Airmadidi, Kabupaten Minahasa Utara, Sulawesi Utara"
"JNE Minahasa Utara",4,16,"Tutup ⋅ Buka Sen pukul 10.00","https://www.google.com/maps/place/JNE+Minahasa+Utara/data=!4m7!3m6!1s0x32870919bd36564f:0x9141fc3e3a9ad9cc!8m2!3d1.4392045!4d124.9685822!16s%2Fg%2F11rhp_jbt5!19sChIJT1Y2vRkJhzIRzNmaOj78QZE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Minahasa+Utara/@1.4392045,124.9685822,17z/data=!3m1!4b1!4m6!3m5!1s0x32870919bd36564f:0x9141fc3e3a9ad9cc!8m2!3d1.4392045!4d124.9685822!16s%2Fg%2F11rhp_jbt5?authuser=0&hl=id&entry=ttu","124.9685822","1.4392045","Situs Web","jne.co.id"
"JNE Minahasa Utara",4,16,"Tutup ⋅ Buka Sen pukul 10.00","https://www.google.com/maps/place/JNE+Minahasa+Utara/data=!4m7!3m6!1s0x32870919bd36564f:0x9141fc3e3a9ad9cc!8m2!3d1.4392045!4d124.9685822!16s%2Fg%2F11rhp_jbt5!19sChIJT1Y2vRkJhzIRzNmaOj78QZE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Minahasa+Utara/@1.4392045,124.9685822,17z/data=!3m1!4b1!4m6!3m5!1s0x32870919bd36564f:0x9141fc3e3a9ad9cc!8m2!3d1.4392045!4d124.9685822!16s%2Fg%2F11rhp_jbt5?authuser=0&hl=id&entry=ttu","124.9685822","1.4392045","Telepon","0811-4370-0888"
"JNE Minahasa Utara",4,16,"Tutup ⋅ Buka Sen pukul 10.00","https://www.google.com/maps/place/JNE+Minahasa+Utara/data=!4m7!3m6!1s0x32870919bd36564f:0x9141fc3e3a9ad9cc!8m2!3d1.4392045!4d124.9685822!16s%2Fg%2F11rhp_jbt5!19sChIJT1Y2vRkJhzIRzNmaOj78QZE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Minahasa+Utara/@1.4392045,124.9685822,17z/data=!3m1!4b1!4m6!3m5!1s0x32870919bd36564f:0x9141fc3e3a9ad9cc!8m2!3d1.4392045!4d124.9685822!16s%2Fg%2F11rhp_jbt5?authuser=0&hl=id&entry=ttu","124.9685822","1.4392045","Plus Codes","CXQ9+MC Sukur, Kabupaten Minahasa Utara, Sulawesi Utara"
"JNE Kauditan",4.3,3,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Kauditan/data=!4m7!3m6!1s0x32870564dcd88d5d:0xbdd5417c2fa19e7!8m2!3d1.3953054!4d125.0464442!16s%2Fg%2F11hbw263rk!19sChIJXY3Y3GQFhzIR5xn6whdU3Qs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kauditan/@1.3953054,125.0464442,17z/data=!3m1!4b1!4m6!3m5!1s0x32870564dcd88d5d:0xbdd5417c2fa19e7!8m2!3d1.3953054!4d125.0464442!16s%2Fg%2F11hbw263rk?authuser=0&hl=id&entry=ttu","125.0464442","1.3953054","Alamat","92WW+4HG, Kauditan I, Kec. Kauditan, Kabupaten Minahasa Utara, Sulawesi Utara"
"JNE Kauditan",4.3,3,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Kauditan/data=!4m7!3m6!1s0x32870564dcd88d5d:0xbdd5417c2fa19e7!8m2!3d1.3953054!4d125.0464442!16s%2Fg%2F11hbw263rk!19sChIJXY3Y3GQFhzIR5xn6whdU3Qs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kauditan/@1.3953054,125.0464442,17z/data=!3m1!4b1!4m6!3m5!1s0x32870564dcd88d5d:0xbdd5417c2fa19e7!8m2!3d1.3953054!4d125.0464442!16s%2Fg%2F11hbw263rk?authuser=0&hl=id&entry=ttu","125.0464442","1.3953054","Situs Web","jne.co.id"
"JNE Kauditan",4.3,3,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Kauditan/data=!4m7!3m6!1s0x32870564dcd88d5d:0xbdd5417c2fa19e7!8m2!3d1.3953054!4d125.0464442!16s%2Fg%2F11hbw263rk!19sChIJXY3Y3GQFhzIR5xn6whdU3Qs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kauditan/@1.3953054,125.0464442,17z/data=!3m1!4b1!4m6!3m5!1s0x32870564dcd88d5d:0xbdd5417c2fa19e7!8m2!3d1.3953054!4d125.0464442!16s%2Fg%2F11hbw263rk?authuser=0&hl=id&entry=ttu","125.0464442","1.3953054","Telepon","0852-5553-9355"
"JNE CABANG TONDANO",3.1,215,"unknown","https://www.google.com/maps/place/JNE+CABANG+TONDANO/data=!4m7!3m6!1s0x328714611f1a6f4d:0x82abe5ce1c9d4ed8!8m2!3d1.3031006!4d124.9111464!16s%2Fg%2F11f50flqdp!19sChIJTW8aH2EUhzIR2E6dHM7lq4I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+CABANG+TONDANO/@1.3031006,124.9111464,17z/data=!3m1!4b1!4m6!3m5!1s0x328714611f1a6f4d:0x82abe5ce1c9d4ed8!8m2!3d1.3031006!4d124.9111464!16s%2Fg%2F11f50flqdp?authuser=0&hl=id&entry=ttu","124.9111464","1.3031006","Alamat","Jl. Tombulu No.508, Luaan, Tondano Tim., Kabupaten Minahasa, Sulawesi Utara"
"JNE CABANG TONDANO",3.1,215,"unknown","https://www.google.com/maps/place/JNE+CABANG+TONDANO/data=!4m7!3m6!1s0x328714611f1a6f4d:0x82abe5ce1c9d4ed8!8m2!3d1.3031006!4d124.9111464!16s%2Fg%2F11f50flqdp!19sChIJTW8aH2EUhzIR2E6dHM7lq4I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+CABANG+TONDANO/@1.3031006,124.9111464,17z/data=!3m1!4b1!4m6!3m5!1s0x328714611f1a6f4d:0x82abe5ce1c9d4ed8!8m2!3d1.3031006!4d124.9111464!16s%2Fg%2F11f50flqdp?authuser=0&hl=id&entry=ttu","124.9111464","1.3031006","Situs Web","jne.co.id"
"JNE CABANG TONDANO",3.1,215,"unknown","https://www.google.com/maps/place/JNE+CABANG+TONDANO/data=!4m7!3m6!1s0x328714611f1a6f4d:0x82abe5ce1c9d4ed8!8m2!3d1.3031006!4d124.9111464!16s%2Fg%2F11f50flqdp!19sChIJTW8aH2EUhzIR2E6dHM7lq4I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+CABANG+TONDANO/@1.3031006,124.9111464,17z/data=!3m1!4b1!4m6!3m5!1s0x328714611f1a6f4d:0x82abe5ce1c9d4ed8!8m2!3d1.3031006!4d124.9111464!16s%2Fg%2F11f50flqdp?authuser=0&hl=id&entry=ttu","124.9111464","1.3031006","Plus Codes","8W36+6F Luaan, Kabupaten Minahasa, Sulawesi Utara"
