"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Sub Agen Raha",3.5,74,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Sub+Agen+Raha/data=!4m7!3m6!1s0x2da3ca80ffffffff:0xd85b622f1e8de50b!8m2!3d-4.8380413!4d122.723138!16s%2Fg%2F1ygbbfq1z!19sChIJ_____4DKoy0RC-WNHi9iW9g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Raha/@-4.8380413,122.723138,17z/data=!3m1!4b1!4m6!3m5!1s0x2da3ca80ffffffff:0xd85b622f1e8de50b!8m2!3d-4.8380413!4d122.723138!16s%2Fg%2F1ygbbfq1z?authuser=0&hl=id&entry=ttu","122.723138","-4.8380413","Alamat","Jl. Sukowati No.63, Wapunto, Kec. Duruka, Kabupaten Muna, Sulawesi Tenggara 93611"
"JNE Sub Agen Raha",3.5,74,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Sub+Agen+Raha/data=!4m7!3m6!1s0x2da3ca80ffffffff:0xd85b622f1e8de50b!8m2!3d-4.8380413!4d122.723138!16s%2Fg%2F1ygbbfq1z!19sChIJ_____4DKoy0RC-WNHi9iW9g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Raha/@-4.8380413,122.723138,17z/data=!3m1!4b1!4m6!3m5!1s0x2da3ca80ffffffff:0xd85b622f1e8de50b!8m2!3d-4.8380413!4d122.723138!16s%2Fg%2F1ygbbfq1z?authuser=0&hl=id&entry=ttu","122.723138","-4.8380413","Situs Web","jne.co.id"
"JNE Sub Agen Raha",3.5,74,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Sub+Agen+Raha/data=!4m7!3m6!1s0x2da3ca80ffffffff:0xd85b622f1e8de50b!8m2!3d-4.8380413!4d122.723138!16s%2Fg%2F1ygbbfq1z!19sChIJ_____4DKoy0RC-WNHi9iW9g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Raha/@-4.8380413,122.723138,17z/data=!3m1!4b1!4m6!3m5!1s0x2da3ca80ffffffff:0xd85b622f1e8de50b!8m2!3d-4.8380413!4d122.723138!16s%2Fg%2F1ygbbfq1z?authuser=0&hl=id&entry=ttu","122.723138","-4.8380413","Telepon","(021) 29278888"
"JNE Sub Agen Raha",3.5,74,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Sub+Agen+Raha/data=!4m7!3m6!1s0x2da3ca80ffffffff:0xd85b622f1e8de50b!8m2!3d-4.8380413!4d122.723138!16s%2Fg%2F1ygbbfq1z!19sChIJ_____4DKoy0RC-WNHi9iW9g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Raha/@-4.8380413,122.723138,17z/data=!3m1!4b1!4m6!3m5!1s0x2da3ca80ffffffff:0xd85b622f1e8de50b!8m2!3d-4.8380413!4d122.723138!16s%2Fg%2F1ygbbfq1z?authuser=0&hl=id&entry=ttu","122.723138","-4.8380413","Plus Codes","5P6F+Q7 Wapunto, Kabupaten Muna, Sulawesi Tenggara"
"THE NEW JNE MUNA",NA,NA,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/THE+NEW+JNE+MUNA/data=!4m7!3m6!1s0x2da2355c3aa7ecf9:0x63b7bf4909ca50a6!8m2!3d-4.8238404!4d122.7217631!16s%2Fg%2F11tnfqm5ph!19sChIJ-eynOlw1oi0RplDKCUm_t2M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/THE+NEW+JNE+MUNA/@-4.8238404,122.7217631,17z/data=!3m1!4b1!4m6!3m5!1s0x2da2355c3aa7ecf9:0x63b7bf4909ca50a6!8m2!3d-4.8238404!4d122.7217631!16s%2Fg%2F11tnfqm5ph?authuser=0&hl=id&entry=ttu","122.7217631","-4.8238404","Alamat","Jl. Gatot Subroto No.63, Wamponiki, Kec. Katobu, Kabupaten Muna, Sulawesi Tenggara 93614"
"THE NEW JNE MUNA",NA,NA,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/THE+NEW+JNE+MUNA/data=!4m7!3m6!1s0x2da2355c3aa7ecf9:0x63b7bf4909ca50a6!8m2!3d-4.8238404!4d122.7217631!16s%2Fg%2F11tnfqm5ph!19sChIJ-eynOlw1oi0RplDKCUm_t2M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/THE+NEW+JNE+MUNA/@-4.8238404,122.7217631,17z/data=!3m1!4b1!4m6!3m5!1s0x2da2355c3aa7ecf9:0x63b7bf4909ca50a6!8m2!3d-4.8238404!4d122.7217631!16s%2Fg%2F11tnfqm5ph?authuser=0&hl=id&entry=ttu","122.7217631","-4.8238404","Telepon","0821-9083-0477"
"THE NEW JNE MUNA",NA,NA,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/THE+NEW+JNE+MUNA/data=!4m7!3m6!1s0x2da2355c3aa7ecf9:0x63b7bf4909ca50a6!8m2!3d-4.8238404!4d122.7217631!16s%2Fg%2F11tnfqm5ph!19sChIJ-eynOlw1oi0RplDKCUm_t2M?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/THE+NEW+JNE+MUNA/@-4.8238404,122.7217631,17z/data=!3m1!4b1!4m6!3m5!1s0x2da2355c3aa7ecf9:0x63b7bf4909ca50a6!8m2!3d-4.8238404!4d122.7217631!16s%2Fg%2F11tnfqm5ph?authuser=0&hl=id&entry=ttu","122.7217631","-4.8238404","Plus Codes","5PGC+FP Wamponiki, Kabupaten Muna, Sulawesi Tenggara"
"JNE AGEN WAKURU",3,2,"unknown","https://www.google.com/maps/place/JNE+AGEN+WAKURU/data=!4m7!3m6!1s0x2da39975e0da1313:0x404fdd9b523203fa!8m2!3d-5.1380878!4d122.5229834!16s%2Fg%2F11f89sp89y!19sChIJExPa4HWZoy0R-gMyUpvdT0A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+AGEN+WAKURU/@-5.1380878,122.5229834,17z/data=!3m1!4b1!4m6!3m5!1s0x2da39975e0da1313:0x404fdd9b523203fa!8m2!3d-5.1380878!4d122.5229834!16s%2Fg%2F11f89sp89y?authuser=0&hl=id&entry=ttu","122.5229834","-5.1380878","Alamat","VG6F+Q59, Tombula, Kec. Tongkuno, Kabupaten Muna, Sulawesi Tenggara 93662"
"JNE CABANG WATOPUTE",4,2,"Buka 24 jam","https://www.google.com/maps/place/JNE+CABANG+WATOPUTE/data=!4m7!3m6!1s0x2da3b550fd8e4665:0xfa36ea39a3d75a3b!8m2!3d-4.8401695!4d122.6871883!16s%2Fg%2F11fpgs7b8l!19sChIJZUaO_VC1oy0RO1rXoznqNvo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+CABANG+WATOPUTE/@-4.8401695,122.6871883,17z/data=!3m1!4b1!4m6!3m5!1s0x2da3b550fd8e4665:0xfa36ea39a3d75a3b!8m2!3d-4.8401695!4d122.6871883!16s%2Fg%2F11fpgs7b8l?authuser=0&hl=id&entry=ttu","122.6871883","-4.8401695","Alamat","5M5P+WVP, Jl. Poros Raha-Kusambi, Labaha, Kec. Watopute, Kabupaten Muna, Sulawesi Tenggara 93656"
"JNE Al Muna Travel",3,2,"unknown","https://www.google.com/maps/place/JNE+Al+Muna+Travel/data=!4m7!3m6!1s0x2e3b75f41d1c42e7:0xd4f3b66e0ab18842!8m2!3d-2.9918824!4d104.7344279!16s%2Fg%2F11b63rhxpz!19sChIJ50IcHfR1Oy4RQoixCm6289Q?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Al+Muna+Travel/@-2.9918824,104.7344279,12z/data=!3m1!4b1!4m6!3m5!1s0x2e3b75f41d1c42e7:0xd4f3b66e0ab18842!8m2!3d-2.9918824!4d104.7344279!16s%2Fg%2F11b63rhxpz?authuser=0&hl=id&entry=ttu","104.7344279","-2.9918824","Alamat","Jl. Sei Rambang No.02, South Sumatra 30138"
