"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Sub Agen Muara Dua",2,2,"unknown","https://www.google.com/maps/place/JNE+Sub+Agen+Muara+Dua/data=!4m7!3m6!1s0x2e39bbffffffffff:0x275b5066fabdca6c!8m2!3d-4.0283486!4d104.0072348!16s%2Fg%2F1ygbb8c3b!19sChIJ______-7OS4RbMq9-mZQWyc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Muara+Dua/@-4.0283486,104.0072348,11z/data=!3m1!4b1!4m6!3m5!1s0x2e39bbffffffffff:0x275b5066fabdca6c!8m2!3d-4.0283486!4d104.0072348!16s%2Fg%2F1ygbb8c3b?authuser=0&hl=id&entry=ttu","104.0072348","-4.0283486","Alamat","Jl. Puskesmas No.97, Seleman, Kab Ogan Komering Ulu Sel, Ogan Komering Ulu Regency, South Sumatra 30167"
"JNE Sub Agen Muara Dua",2,2,"unknown","https://www.google.com/maps/place/JNE+Sub+Agen+Muara+Dua/data=!4m7!3m6!1s0x2e39bbffffffffff:0x275b5066fabdca6c!8m2!3d-4.0283486!4d104.0072348!16s%2Fg%2F1ygbb8c3b!19sChIJ______-7OS4RbMq9-mZQWyc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Muara+Dua/@-4.0283486,104.0072348,11z/data=!3m1!4b1!4m6!3m5!1s0x2e39bbffffffffff:0x275b5066fabdca6c!8m2!3d-4.0283486!4d104.0072348!16s%2Fg%2F1ygbb8c3b?authuser=0&hl=id&entry=ttu","104.0072348","-4.0283486","Situs Web","jne.co.id"
"JNE Sub Agen Muara Dua",2,2,"unknown","https://www.google.com/maps/place/JNE+Sub+Agen+Muara+Dua/data=!4m7!3m6!1s0x2e39bbffffffffff:0x275b5066fabdca6c!8m2!3d-4.0283486!4d104.0072348!16s%2Fg%2F1ygbb8c3b!19sChIJ______-7OS4RbMq9-mZQWyc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Muara+Dua/@-4.0283486,104.0072348,11z/data=!3m1!4b1!4m6!3m5!1s0x2e39bbffffffffff:0x275b5066fabdca6c!8m2!3d-4.0283486!4d104.0072348!16s%2Fg%2F1ygbb8c3b?authuser=0&hl=id&entry=ttu","104.0072348","-4.0283486","Telepon","(021) 29278888"
"JNE Pasar Baru",3.3,16,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Pasar+Baru/data=!4m7!3m6!1s0x2e39af3d65a73827:0x70057b04b9153fb2!8m2!3d-4.1230437!4d104.17451!16s%2Fg%2F11f8h5sf12!19sChIJJzinZT2vOS4Rsj8VuQR7BXA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pasar+Baru/@-4.1230437,104.17451,17z/data=!3m1!4b1!4m6!3m5!1s0x2e39af3d65a73827:0x70057b04b9153fb2!8m2!3d-4.1230437!4d104.17451!16s%2Fg%2F11f8h5sf12?authuser=0&hl=id&entry=ttu","104.17451","-4.1230437","Alamat","V5GF+QRJ, Kemalaraja, Jl. Urip Sumoharjo, Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32111"
"JNE Pasar Baru",3.3,16,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Pasar+Baru/data=!4m7!3m6!1s0x2e39af3d65a73827:0x70057b04b9153fb2!8m2!3d-4.1230437!4d104.17451!16s%2Fg%2F11f8h5sf12!19sChIJJzinZT2vOS4Rsj8VuQR7BXA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pasar+Baru/@-4.1230437,104.17451,17z/data=!3m1!4b1!4m6!3m5!1s0x2e39af3d65a73827:0x70057b04b9153fb2!8m2!3d-4.1230437!4d104.17451!16s%2Fg%2F11f8h5sf12?authuser=0&hl=id&entry=ttu","104.17451","-4.1230437","Situs Web","jne-pasar-baru.business.site"
"JNE Pasar Baru",3.3,16,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Pasar+Baru/data=!4m7!3m6!1s0x2e39af3d65a73827:0x70057b04b9153fb2!8m2!3d-4.1230437!4d104.17451!16s%2Fg%2F11f8h5sf12!19sChIJJzinZT2vOS4Rsj8VuQR7BXA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pasar+Baru/@-4.1230437,104.17451,17z/data=!3m1!4b1!4m6!3m5!1s0x2e39af3d65a73827:0x70057b04b9153fb2!8m2!3d-4.1230437!4d104.17451!16s%2Fg%2F11f8h5sf12?authuser=0&hl=id&entry=ttu","104.17451","-4.1230437","Telepon","(0735) 321955"
"JNE Sukajadi",3.6,9,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/JNE+Sukajadi/data=!4m7!3m6!1s0x2e39af69cbabd69f:0x917615103f71f674!8m2!3d-4.1175009!4d104.1687231!16s%2Fg%2F11gbnjvhxf!19sChIJn9ary2mvOS4RdPZxPxAVdpE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sukajadi/@-4.1175009,104.1687231,17z/data=!3m1!4b1!4m6!3m5!1s0x2e39af69cbabd69f:0x917615103f71f674!8m2!3d-4.1175009!4d104.1687231!16s%2Fg%2F11gbnjvhxf?authuser=0&hl=id&entry=ttu","104.1687231","-4.1175009","Alamat","Jl. DR. Sutomo No.254, Sukajadi, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32117"
"JNE Sukajadi",3.6,9,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/JNE+Sukajadi/data=!4m7!3m6!1s0x2e39af69cbabd69f:0x917615103f71f674!8m2!3d-4.1175009!4d104.1687231!16s%2Fg%2F11gbnjvhxf!19sChIJn9ary2mvOS4RdPZxPxAVdpE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sukajadi/@-4.1175009,104.1687231,17z/data=!3m1!4b1!4m6!3m5!1s0x2e39af69cbabd69f:0x917615103f71f674!8m2!3d-4.1175009!4d104.1687231!16s%2Fg%2F11gbnjvhxf?authuser=0&hl=id&entry=ttu","104.1687231","-4.1175009","Telepon","0853-8356-1471"
"JNE Sukajadi",3.6,9,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/JNE+Sukajadi/data=!4m7!3m6!1s0x2e39af69cbabd69f:0x917615103f71f674!8m2!3d-4.1175009!4d104.1687231!16s%2Fg%2F11gbnjvhxf!19sChIJn9ary2mvOS4RdPZxPxAVdpE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sukajadi/@-4.1175009,104.1687231,17z/data=!3m1!4b1!4m6!3m5!1s0x2e39af69cbabd69f:0x917615103f71f674!8m2!3d-4.1175009!4d104.1687231!16s%2Fg%2F11gbnjvhxf?authuser=0&hl=id&entry=ttu","104.1687231","-4.1175009","Plus Codes","V5J9+XF Sukajadi, Kabupaten Ogan Komering Ulu, Sumatera Selatan"
"Jne",NA,NA,"unknown","https://www.google.com/maps/place/Jne/data=!4m7!3m6!1s0x2e39affded3f74ad:0xaf372786cc889c07!8m2!3d-4.1208198!4d104.1799369!16s%2Fg%2F11fn8b__wr!19sChIJrXQ_7f2vOS4RB5yIzIYnN68?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jne/@-4.1208198,104.1799369,17z/data=!3m1!4b1!4m6!3m5!1s0x2e39affded3f74ad:0xaf372786cc889c07!8m2!3d-4.1208198!4d104.1799369!16s%2Fg%2F11fn8b__wr?authuser=0&hl=id&entry=ttu","104.1799369","-4.1208198","Alamat","V5HH+MXF, Jalan Professor Dokter Hamka, Sukaraya, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32125"
