"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE",3.7,670,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2fd4b956828cc9c3:0x66d15ce87e9c1b16!8m2!3d-0.9632594!4d100.3576863!16s%2Fg%2F1hm5q1j2z!19sChIJw8mMgla51C8RFhucfuhc0WY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-0.9632594,100.3576863,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b956828cc9c3:0x66d15ce87e9c1b16!8m2!3d-0.9632594!4d100.3576863!16s%2Fg%2F1hm5q1j2z?authuser=0&hl=id&entry=ttu","100.3576863","-0.9632594","Alamat","Jl. Nipah No.42C, Berok Nipah, Kec. Padang Bar., Kota Padang, Sumatera Barat"
"JNE",3.7,670,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2fd4b956828cc9c3:0x66d15ce87e9c1b16!8m2!3d-0.9632594!4d100.3576863!16s%2Fg%2F1hm5q1j2z!19sChIJw8mMgla51C8RFhucfuhc0WY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-0.9632594,100.3576863,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b956828cc9c3:0x66d15ce87e9c1b16!8m2!3d-0.9632594!4d100.3576863!16s%2Fg%2F1hm5q1j2z?authuser=0&hl=id&entry=ttu","100.3576863","-0.9632594","Situs Web","jne.co.id"
"JNE",3.7,670,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2fd4b956828cc9c3:0x66d15ce87e9c1b16!8m2!3d-0.9632594!4d100.3576863!16s%2Fg%2F1hm5q1j2z!19sChIJw8mMgla51C8RFhucfuhc0WY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-0.9632594,100.3576863,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b956828cc9c3:0x66d15ce87e9c1b16!8m2!3d-0.9632594!4d100.3576863!16s%2Fg%2F1hm5q1j2z?authuser=0&hl=id&entry=ttu","100.3576863","-0.9632594","Telepon","(0751) 8465188"
"JNE",3.7,670,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2fd4b956828cc9c3:0x66d15ce87e9c1b16!8m2!3d-0.9632594!4d100.3576863!16s%2Fg%2F1hm5q1j2z!19sChIJw8mMgla51C8RFhucfuhc0WY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-0.9632594,100.3576863,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b956828cc9c3:0x66d15ce87e9c1b16!8m2!3d-0.9632594!4d100.3576863!16s%2Fg%2F1hm5q1j2z?authuser=0&hl=id&entry=ttu","100.3576863","-0.9632594","Plus Codes","29P5+M3 Berok Nipah, Kota Padang, Sumatera Barat"
"JNE Padang - Ampang",4.6,105,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Padang+-+Ampang/data=!4m7!3m6!1s0x2fd4b9e8a759ebc3:0xc43a838385322ff!8m2!3d-0.9233234!4d100.3775503!16s%2Fg%2F11f650lc12!19sChIJw-tZp-i51C8R_yJTODioQww?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Padang+-+Ampang/@-0.9233234,100.3775503,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b9e8a759ebc3:0xc43a838385322ff!8m2!3d-0.9233234!4d100.3775503!16s%2Fg%2F11f650lc12?authuser=0&hl=id&entry=ttu","100.3775503","-0.9233234","Alamat","Jl. Raya Ampang No.22, Ampang, Kec. Kuranji, Kota Padang, Sumatera Barat 25514"
"JNE Padang - Ampang",4.6,105,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Padang+-+Ampang/data=!4m7!3m6!1s0x2fd4b9e8a759ebc3:0xc43a838385322ff!8m2!3d-0.9233234!4d100.3775503!16s%2Fg%2F11f650lc12!19sChIJw-tZp-i51C8R_yJTODioQww?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Padang+-+Ampang/@-0.9233234,100.3775503,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b9e8a759ebc3:0xc43a838385322ff!8m2!3d-0.9233234!4d100.3775503!16s%2Fg%2F11f650lc12?authuser=0&hl=id&entry=ttu","100.3775503","-0.9233234","Situs Web","jne.co.id"
"JNE Padang - Ampang",4.6,105,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Padang+-+Ampang/data=!4m7!3m6!1s0x2fd4b9e8a759ebc3:0xc43a838385322ff!8m2!3d-0.9233234!4d100.3775503!16s%2Fg%2F11f650lc12!19sChIJw-tZp-i51C8R_yJTODioQww?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Padang+-+Ampang/@-0.9233234,100.3775503,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b9e8a759ebc3:0xc43a838385322ff!8m2!3d-0.9233234!4d100.3775503!16s%2Fg%2F11f650lc12?authuser=0&hl=id&entry=ttu","100.3775503","-0.9233234","Telepon","0822-8640-0202"
"JNE Padang - Ampang",4.6,105,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Padang+-+Ampang/data=!4m7!3m6!1s0x2fd4b9e8a759ebc3:0xc43a838385322ff!8m2!3d-0.9233234!4d100.3775503!16s%2Fg%2F11f650lc12!19sChIJw-tZp-i51C8R_yJTODioQww?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Padang+-+Ampang/@-0.9233234,100.3775503,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b9e8a759ebc3:0xc43a838385322ff!8m2!3d-0.9233234!4d100.3775503!16s%2Fg%2F11f650lc12?authuser=0&hl=id&entry=ttu","100.3775503","-0.9233234","Plus Codes","39GH+M2 Ampang, Kota Padang, Sumatera Barat"
"JNE Padang - Veteran",4.6,151,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Padang+-+Veteran/data=!4m7!3m6!1s0x2fd4b93210ae8143:0x3446b3997ec24ec8!8m2!3d-0.9385758!4d100.3546962!16s%2Fg%2F11f40ndhpw!19sChIJQ4GuEDK51C8RyE7CfpmzRjQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Padang+-+Veteran/@-0.9385758,100.3546962,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b93210ae8143:0x3446b3997ec24ec8!8m2!3d-0.9385758!4d100.3546962!16s%2Fg%2F11f40ndhpw?authuser=0&hl=id&entry=ttu","100.3546962","-0.9385758","Alamat","Jl. Veteran No.32D, Padang Pasir, Kec. Padang Bar., Kota Padang, Sumatera Barat 25115"
"JNE Padang - Veteran",4.6,151,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Padang+-+Veteran/data=!4m7!3m6!1s0x2fd4b93210ae8143:0x3446b3997ec24ec8!8m2!3d-0.9385758!4d100.3546962!16s%2Fg%2F11f40ndhpw!19sChIJQ4GuEDK51C8RyE7CfpmzRjQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Padang+-+Veteran/@-0.9385758,100.3546962,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b93210ae8143:0x3446b3997ec24ec8!8m2!3d-0.9385758!4d100.3546962!16s%2Fg%2F11f40ndhpw?authuser=0&hl=id&entry=ttu","100.3546962","-0.9385758","Situs Web","jne.co.id"
