"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE DIRGANTARA",3.3,24,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/JNE+DIRGANTARA/data=!4m7!3m6!1s0x2e422355c07e8a9b:0x303111c7670f9405!8m2!3d-6.3058447!4d106.1070547!16s%2Fg%2F11h0vvqxgy!19sChIJm4p-wFUjQi4RBZQPZ8cRMTA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+DIRGANTARA/@-6.3058447,106.1070547,17z/data=!3m1!4b1!4m6!3m5!1s0x2e422355c07e8a9b:0x303111c7670f9405!8m2!3d-6.3058447!4d106.1070547!16s%2Fg%2F11h0vvqxgy?authuser=0&hl=id&entry=ttu","106.1070547","-6.3058447","Alamat","Jl. Jenderal Ahmad Yani No.15, Pandeglang, Kec. Pandeglang, Kabupaten Pandeglang, Banten 42213"
"JNE DIRGANTARA",3.3,24,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/JNE+DIRGANTARA/data=!4m7!3m6!1s0x2e422355c07e8a9b:0x303111c7670f9405!8m2!3d-6.3058447!4d106.1070547!16s%2Fg%2F11h0vvqxgy!19sChIJm4p-wFUjQi4RBZQPZ8cRMTA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+DIRGANTARA/@-6.3058447,106.1070547,17z/data=!3m1!4b1!4m6!3m5!1s0x2e422355c07e8a9b:0x303111c7670f9405!8m2!3d-6.3058447!4d106.1070547!16s%2Fg%2F11h0vvqxgy?authuser=0&hl=id&entry=ttu","106.1070547","-6.3058447","Situs Web","jne.co.id"
"JNE DIRGANTARA",3.3,24,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/JNE+DIRGANTARA/data=!4m7!3m6!1s0x2e422355c07e8a9b:0x303111c7670f9405!8m2!3d-6.3058447!4d106.1070547!16s%2Fg%2F11h0vvqxgy!19sChIJm4p-wFUjQi4RBZQPZ8cRMTA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+DIRGANTARA/@-6.3058447,106.1070547,17z/data=!3m1!4b1!4m6!3m5!1s0x2e422355c07e8a9b:0x303111c7670f9405!8m2!3d-6.3058447!4d106.1070547!16s%2Fg%2F11h0vvqxgy?authuser=0&hl=id&entry=ttu","106.1070547","-6.3058447","Plus Codes","M4V4+MR Pandeglang, Kabupaten Pandeglang, Banten"
"JNE",3.2,62,"Tutup sementara","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2e423397dd511655:0x4cdafb3e1396ac23!8m2!3d-6.3880478!4d105.8389146!16s%2Fg%2F11bc7nlq79!19sChIJVRZR3ZczQi4RI6yWEz772kw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-6.3880478,105.8389146,17z/data=!3m1!4b1!4m6!3m5!1s0x2e423397dd511655:0x4cdafb3e1396ac23!8m2!3d-6.3880478!4d105.8389146!16s%2Fg%2F11bc7nlq79?authuser=0&hl=id&entry=ttu","105.8389146","-6.3880478","Alamat","JR6Q+QHG, Jl. Raya Labuan - Pandeglang, Sukamaju, Kec. Labuan, Kabupaten Pandeglang, Banten 42264"
"JNE",3.2,62,"Tutup sementara","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2e423397dd511655:0x4cdafb3e1396ac23!8m2!3d-6.3880478!4d105.8389146!16s%2Fg%2F11bc7nlq79!19sChIJVRZR3ZczQi4RI6yWEz772kw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-6.3880478,105.8389146,17z/data=!3m1!4b1!4m6!3m5!1s0x2e423397dd511655:0x4cdafb3e1396ac23!8m2!3d-6.3880478!4d105.8389146!16s%2Fg%2F11bc7nlq79?authuser=0&hl=id&entry=ttu","105.8389146","-6.3880478","Telepon","0877-4118-7805"
"Kantor JNE Cikoneng Pandeglang",2,8,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/Kantor+JNE+Cikoneng+Pandeglang/data=!4m7!3m6!1s0x2e423d75d61d7fad:0x5c834e253fb6da06!8m2!3d-6.3318027!4d106.0755646!16s%2Fg%2F11jdlcszhf!19sChIJrX8d1nU9Qi4RBtq2PyVOg1w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+JNE+Cikoneng+Pandeglang/@-6.3318027,106.0755646,17z/data=!3m1!4b1!4m6!3m5!1s0x2e423d75d61d7fad:0x5c834e253fb6da06!8m2!3d-6.3318027!4d106.0755646!16s%2Fg%2F11jdlcszhf?authuser=0&hl=id&entry=ttu","106.0755646","-6.3318027","Alamat","Jl. Raya Labuan - Pandeglang No.184, Palurahan, Kec. Kaduhejo, Kabupaten Pandeglang, Banten 42252"
"Kantor JNE Cikoneng Pandeglang",2,8,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/Kantor+JNE+Cikoneng+Pandeglang/data=!4m7!3m6!1s0x2e423d75d61d7fad:0x5c834e253fb6da06!8m2!3d-6.3318027!4d106.0755646!16s%2Fg%2F11jdlcszhf!19sChIJrX8d1nU9Qi4RBtq2PyVOg1w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+JNE+Cikoneng+Pandeglang/@-6.3318027,106.0755646,17z/data=!3m1!4b1!4m6!3m5!1s0x2e423d75d61d7fad:0x5c834e253fb6da06!8m2!3d-6.3318027!4d106.0755646!16s%2Fg%2F11jdlcszhf?authuser=0&hl=id&entry=ttu","106.0755646","-6.3318027","Plus Codes","M39G+76 Palurahan, Kabupaten Pandeglang, Banten"
"Jne Express",NA,NA,"unknown","https://www.google.com/maps/place/Jne+Express/data=!4m7!3m6!1s0x2e423cd6768695bb:0x8de4659524042946!8m2!3d-6.3274825!4d106.1091835!16s%2Fg%2F11pd2_wtf5!19sChIJu5WGdtY8Qi4RRikEJJVl5I0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jne+Express/@-6.3274825,106.1091835,17z/data=!3m1!4b1!4m6!3m5!1s0x2e423cd6768695bb:0x8de4659524042946!8m2!3d-6.3274825!4d106.1091835!16s%2Fg%2F11pd2_wtf5?authuser=0&hl=id&entry=ttu","106.1091835","-6.3274825","Alamat","M4F5+2M3, Jl. Salmin, Kadomas, Kec. Pandeglang, Kabupaten Pandeglang, Banten 42211"
"JNE BMT Al-Iman",3.2,28,"unknown","https://www.google.com/maps/place/JNE+BMT+Al-Iman/data=!4m7!3m6!1s0x2e4230bbbcc2fb6b:0x6115019bc0c077e0!8m2!3d-6.4001801!4d105.9633185!16s%2Fg%2F1ygbb6_n_!19sChIJa_vCvLswQi4R4HfAwJsBFWE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+BMT+Al-Iman/@-6.4001801,105.9633185,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4230bbbcc2fb6b:0x6115019bc0c077e0!8m2!3d-6.4001801!4d105.9633185!16s%2Fg%2F1ygbb6_n_?authuser=0&hl=id&entry=ttu","105.9633185","-6.4001801","Alamat","Jl. Raya Labuan - Pandeglang, Sindanghayu, Pandeglang, Kabupaten Pandeglang, Banten 42217"
"JNE BMT Al-Iman",3.2,28,"unknown","https://www.google.com/maps/place/JNE+BMT+Al-Iman/data=!4m7!3m6!1s0x2e4230bbbcc2fb6b:0x6115019bc0c077e0!8m2!3d-6.4001801!4d105.9633185!16s%2Fg%2F1ygbb6_n_!19sChIJa_vCvLswQi4R4HfAwJsBFWE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+BMT+Al-Iman/@-6.4001801,105.9633185,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4230bbbcc2fb6b:0x6115019bc0c077e0!8m2!3d-6.4001801!4d105.9633185!16s%2Fg%2F1ygbb6_n_?authuser=0&hl=id&entry=ttu","105.9633185","-6.4001801","Situs Web","jne.co.id"
