"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Pasuruan",2.6,152,"Tutup ⋅ Buka Sen pukul 10.00","https://www.google.com/maps/place/JNE+Pasuruan/data=!4m7!3m6!1s0x2dd7cfc5722b5d27:0xbfe30f6f8daad71b!8m2!3d-7.6701423!4d112.9040091!16s%2Fg%2F11rfp9xsxs!19sChIJJ10rcsXP1y0RG9eqjW8P478?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pasuruan/@-7.6701423,112.9040091,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7cfc5722b5d27:0xbfe30f6f8daad71b!8m2!3d-7.6701423!4d112.9040091!16s%2Fg%2F11rfp9xsxs?authuser=0&hl=id&entry=ttu","112.9040091","-7.6701423","Alamat","Jl. KH. Mansyur No.94-88, Sekargadung, Kec. Bugul Kidul, Kota Pasuruan, Jawa Timur 67127"
"JNE Pasuruan",2.6,152,"Tutup ⋅ Buka Sen pukul 10.00","https://www.google.com/maps/place/JNE+Pasuruan/data=!4m7!3m6!1s0x2dd7cfc5722b5d27:0xbfe30f6f8daad71b!8m2!3d-7.6701423!4d112.9040091!16s%2Fg%2F11rfp9xsxs!19sChIJJ10rcsXP1y0RG9eqjW8P478?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pasuruan/@-7.6701423,112.9040091,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7cfc5722b5d27:0xbfe30f6f8daad71b!8m2!3d-7.6701423!4d112.9040091!16s%2Fg%2F11rfp9xsxs?authuser=0&hl=id&entry=ttu","112.9040091","-7.6701423","Situs Web","jne.co.id"
"JNE Pasuruan",2.6,152,"Tutup ⋅ Buka Sen pukul 10.00","https://www.google.com/maps/place/JNE+Pasuruan/data=!4m7!3m6!1s0x2dd7cfc5722b5d27:0xbfe30f6f8daad71b!8m2!3d-7.6701423!4d112.9040091!16s%2Fg%2F11rfp9xsxs!19sChIJJ10rcsXP1y0RG9eqjW8P478?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pasuruan/@-7.6701423,112.9040091,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7cfc5722b5d27:0xbfe30f6f8daad71b!8m2!3d-7.6701423!4d112.9040091!16s%2Fg%2F11rfp9xsxs?authuser=0&hl=id&entry=ttu","112.9040091","-7.6701423","Telepon","(0343) 417200"
"JNE Pasuruan",2.6,152,"Tutup ⋅ Buka Sen pukul 10.00","https://www.google.com/maps/place/JNE+Pasuruan/data=!4m7!3m6!1s0x2dd7cfc5722b5d27:0xbfe30f6f8daad71b!8m2!3d-7.6701423!4d112.9040091!16s%2Fg%2F11rfp9xsxs!19sChIJJ10rcsXP1y0RG9eqjW8P478?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pasuruan/@-7.6701423,112.9040091,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7cfc5722b5d27:0xbfe30f6f8daad71b!8m2!3d-7.6701423!4d112.9040091!16s%2Fg%2F11rfp9xsxs?authuser=0&hl=id&entry=ttu","112.9040091","-7.6701423","Plus Codes","8WH3+WJ Sekargadung, Kota Pasuruan, Jawa Timur"
"JNE Pohjentrek Pasuruan",3.4,36,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Pohjentrek+Pasuruan/data=!4m7!3m6!1s0x2dd7cf04f0e038e3:0x922c815a5f4ce0b1!8m2!3d-7.6728343!4d112.8888331!16s%2Fg%2F11h4zqb9jz!19sChIJ4zjg8ATP1y0RseBMX1qBLJI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pohjentrek+Pasuruan/@-7.6728343,112.8888331,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7cf04f0e038e3:0x922c815a5f4ce0b1!8m2!3d-7.6728343!4d112.8888331!16s%2Fg%2F11h4zqb9jz?authuser=0&hl=id&entry=ttu","112.8888331","-7.6728343","Alamat","Jl. Kyai H. Ahmad Dahlan No.1, Pohjentrek, Pleret, Kota Pasuruan, Jawa Timur 67171"
"JNE Pohjentrek Pasuruan",3.4,36,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Pohjentrek+Pasuruan/data=!4m7!3m6!1s0x2dd7cf04f0e038e3:0x922c815a5f4ce0b1!8m2!3d-7.6728343!4d112.8888331!16s%2Fg%2F11h4zqb9jz!19sChIJ4zjg8ATP1y0RseBMX1qBLJI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pohjentrek+Pasuruan/@-7.6728343,112.8888331,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7cf04f0e038e3:0x922c815a5f4ce0b1!8m2!3d-7.6728343!4d112.8888331!16s%2Fg%2F11h4zqb9jz?authuser=0&hl=id&entry=ttu","112.8888331","-7.6728343","Situs Web","jne.co.id"
"JNE Pohjentrek Pasuruan",3.4,36,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Pohjentrek+Pasuruan/data=!4m7!3m6!1s0x2dd7cf04f0e038e3:0x922c815a5f4ce0b1!8m2!3d-7.6728343!4d112.8888331!16s%2Fg%2F11h4zqb9jz!19sChIJ4zjg8ATP1y0RseBMX1qBLJI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pohjentrek+Pasuruan/@-7.6728343,112.8888331,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7cf04f0e038e3:0x922c815a5f4ce0b1!8m2!3d-7.6728343!4d112.8888331!16s%2Fg%2F11h4zqb9jz?authuser=0&hl=id&entry=ttu","112.8888331","-7.6728343","Telepon","(0343) 5617750"
"JNE Pohjentrek Pasuruan",3.4,36,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE+Pohjentrek+Pasuruan/data=!4m7!3m6!1s0x2dd7cf04f0e038e3:0x922c815a5f4ce0b1!8m2!3d-7.6728343!4d112.8888331!16s%2Fg%2F11h4zqb9jz!19sChIJ4zjg8ATP1y0RseBMX1qBLJI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pohjentrek+Pasuruan/@-7.6728343,112.8888331,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7cf04f0e038e3:0x922c815a5f4ce0b1!8m2!3d-7.6728343!4d112.8888331!16s%2Fg%2F11h4zqb9jz?authuser=0&hl=id&entry=ttu","112.8888331","-7.6728343","Plus Codes","8VGQ+VG Pohjentrek, Kota Pasuruan, Jawa Timur"
"JNE Kejayan Pasuruan",3.9,64,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Kejayan+Pasuruan/data=!4m7!3m6!1s0x2dd7cf3b8e7a2457:0xe3b2661718c41717!8m2!3d-7.6970675!4d112.8777653!16s%2Fg%2F11gt_1fzs8!19sChIJVyR6jjvP1y0RFxfEGBdmsuM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kejayan+Pasuruan/@-7.6970675,112.8777653,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7cf3b8e7a2457:0xe3b2661718c41717!8m2!3d-7.6970675!4d112.8777653!16s%2Fg%2F11gt_1fzs8?authuser=0&hl=id&entry=ttu","112.8777653","-7.6970675","Alamat","8V3H+54C, Jl. Raya Sladi, RT.01/RW.03, Sladi Kemasan, barat SDN, Kec. Kejayan, Pasuruan, Jawa Timur 67172"
"JNE Kejayan Pasuruan",3.9,64,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Kejayan+Pasuruan/data=!4m7!3m6!1s0x2dd7cf3b8e7a2457:0xe3b2661718c41717!8m2!3d-7.6970675!4d112.8777653!16s%2Fg%2F11gt_1fzs8!19sChIJVyR6jjvP1y0RFxfEGBdmsuM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kejayan+Pasuruan/@-7.6970675,112.8777653,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7cf3b8e7a2457:0xe3b2661718c41717!8m2!3d-7.6970675!4d112.8777653!16s%2Fg%2F11gt_1fzs8?authuser=0&hl=id&entry=ttu","112.8777653","-7.6970675","Situs Web","jne.co.id"
