"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Sub Agen Pemalang",3,538,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE+Sub+Agen+Pemalang/data=!4m7!3m6!1s0x2e6fdaccffffffff:0x2e38ea814561b0d9!8m2!3d-6.9055171!4d109.4119092!16s%2Fg%2F1pzslzkvk!19sChIJ_____8zaby4R2bBhRYHqOC4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Pemalang/@-6.9055171,109.4119092,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fdaccffffffff:0x2e38ea814561b0d9!8m2!3d-6.9055171!4d109.4119092!16s%2Fg%2F1pzslzkvk?authuser=0&hl=id&entry=ttu","109.4119092","-6.9055171","Alamat","Jl. Urip Sumoharjo No.323, Banjardawa III, Pelutan, Kec. Pemalang, Kabupaten Pemalang, Jawa Tengah 52312"
"JNE Sub Agen Pemalang",3,538,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE+Sub+Agen+Pemalang/data=!4m7!3m6!1s0x2e6fdaccffffffff:0x2e38ea814561b0d9!8m2!3d-6.9055171!4d109.4119092!16s%2Fg%2F1pzslzkvk!19sChIJ_____8zaby4R2bBhRYHqOC4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Pemalang/@-6.9055171,109.4119092,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fdaccffffffff:0x2e38ea814561b0d9!8m2!3d-6.9055171!4d109.4119092!16s%2Fg%2F1pzslzkvk?authuser=0&hl=id&entry=ttu","109.4119092","-6.9055171","Situs Web","jne.co.id"
"JNE Sub Agen Pemalang",3,538,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE+Sub+Agen+Pemalang/data=!4m7!3m6!1s0x2e6fdaccffffffff:0x2e38ea814561b0d9!8m2!3d-6.9055171!4d109.4119092!16s%2Fg%2F1pzslzkvk!19sChIJ_____8zaby4R2bBhRYHqOC4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Pemalang/@-6.9055171,109.4119092,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fdaccffffffff:0x2e38ea814561b0d9!8m2!3d-6.9055171!4d109.4119092!16s%2Fg%2F1pzslzkvk?authuser=0&hl=id&entry=ttu","109.4119092","-6.9055171","Telepon","(0284) 3290574"
"JNE Sub Agen Pemalang",3,538,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE+Sub+Agen+Pemalang/data=!4m7!3m6!1s0x2e6fdaccffffffff:0x2e38ea814561b0d9!8m2!3d-6.9055171!4d109.4119092!16s%2Fg%2F1pzslzkvk!19sChIJ_____8zaby4R2bBhRYHqOC4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Pemalang/@-6.9055171,109.4119092,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fdaccffffffff:0x2e38ea814561b0d9!8m2!3d-6.9055171!4d109.4119092!16s%2Fg%2F1pzslzkvk?authuser=0&hl=id&entry=ttu","109.4119092","-6.9055171","Plus Codes","3CV6+QQ Pelutan, Kabupaten Pemalang, Jawa Tengah"
"JNE Kemantran",2.6,18,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/JNE+Kemantran/data=!4m7!3m6!1s0x2e6fc35a55555555:0xf683515bbe914f3e!8m2!3d-6.947638!4d109.3634495!16s%2Fg%2F1ptzf2fsl!19sChIJVVVVVVrDby4RPk-RvltRg_Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kemantran/@-6.947638,109.3634495,14z/data=!3m1!4b1!4m6!3m5!1s0x2e6fc35a55555555:0xf683515bbe914f3e!8m2!3d-6.947638!4d109.3634495!16s%2Fg%2F1ptzf2fsl?authuser=0&hl=id&entry=ttu","109.3634495","-6.947638","Alamat","Jl. Garuda No. 40 Kemantran - Kramat Tegal, Area Sawah, Kramat, Kec. Pemalang, Kabupaten Pemalang, Jawa Tengah 52318"
"JNE Kemantran",2.6,18,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/JNE+Kemantran/data=!4m7!3m6!1s0x2e6fc35a55555555:0xf683515bbe914f3e!8m2!3d-6.947638!4d109.3634495!16s%2Fg%2F1ptzf2fsl!19sChIJVVVVVVrDby4RPk-RvltRg_Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kemantran/@-6.947638,109.3634495,14z/data=!3m1!4b1!4m6!3m5!1s0x2e6fc35a55555555:0xf683515bbe914f3e!8m2!3d-6.947638!4d109.3634495!16s%2Fg%2F1ptzf2fsl?authuser=0&hl=id&entry=ttu","109.3634495","-6.947638","Situs Web","jne.co.id"
"JNE Kemantran",2.6,18,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/JNE+Kemantran/data=!4m7!3m6!1s0x2e6fc35a55555555:0xf683515bbe914f3e!8m2!3d-6.947638!4d109.3634495!16s%2Fg%2F1ptzf2fsl!19sChIJVVVVVVrDby4RPk-RvltRg_Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kemantran/@-6.947638,109.3634495,14z/data=!3m1!4b1!4m6!3m5!1s0x2e6fc35a55555555:0xf683515bbe914f3e!8m2!3d-6.947638!4d109.3634495!16s%2Fg%2F1ptzf2fsl?authuser=0&hl=id&entry=ttu","109.3634495","-6.947638","Telepon","(021) 29278888"
"JNE Cabang (Pusat)",3.5,111,"Buka 24 jam","https://www.google.com/maps/place/JNE+Cabang+%28Pusat%29/data=!4m7!3m6!1s0x2e6fdb619a6b497d:0x4029b672c4673f94!8m2!3d-6.905537!4d109.4119483!16s%2Fg%2F11l3rjtglp!19sChIJfUlrmmHbby4RlD9nxHK2KUA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+(Pusat)/@-6.905537,109.4119483,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fdb619a6b497d:0x4029b672c4673f94!8m2!3d-6.905537!4d109.4119483!16s%2Fg%2F11l3rjtglp?authuser=0&hl=id&entry=ttu","109.4119483","-6.905537","Alamat","Jl. Kolonel Sugiyono No.88, Banjardawa III, Banjardawa, Kec. Taman, Kabupaten Pemalang, Jawa Tengah 52361"
"JNE Cabang (Pusat)",3.5,111,"Buka 24 jam","https://www.google.com/maps/place/JNE+Cabang+%28Pusat%29/data=!4m7!3m6!1s0x2e6fdb619a6b497d:0x4029b672c4673f94!8m2!3d-6.905537!4d109.4119483!16s%2Fg%2F11l3rjtglp!19sChIJfUlrmmHbby4RlD9nxHK2KUA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+(Pusat)/@-6.905537,109.4119483,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fdb619a6b497d:0x4029b672c4673f94!8m2!3d-6.905537!4d109.4119483!16s%2Fg%2F11l3rjtglp?authuser=0&hl=id&entry=ttu","109.4119483","-6.905537","Telepon","(0284) 3293626"
"JNE Cabang (Pusat)",3.5,111,"Buka 24 jam","https://www.google.com/maps/place/JNE+Cabang+%28Pusat%29/data=!4m7!3m6!1s0x2e6fdb619a6b497d:0x4029b672c4673f94!8m2!3d-6.905537!4d109.4119483!16s%2Fg%2F11l3rjtglp!19sChIJfUlrmmHbby4RlD9nxHK2KUA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+(Pusat)/@-6.905537,109.4119483,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6fdb619a6b497d:0x4029b672c4673f94!8m2!3d-6.905537!4d109.4119483!16s%2Fg%2F11l3rjtglp?authuser=0&hl=id&entry=ttu","109.4119483","-6.905537","Plus Codes","3CV6+QQ Banjardawa, Kabupaten Pemalang, Jawa Tengah"
