"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE GEDUNG TATAAN",3.8,115,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+GEDUNG+TATAAN/data=!4m7!3m6!1s0x2e40d150228d2c09:0xde0d0a84feb35976!8m2!3d-5.379108!4d105.0938837!16s%2Fg%2F11f5mpht6j!19sChIJCSyNIlDRQC4Rdlmz_oQKDd4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+GEDUNG+TATAAN/@-5.379108,105.0938837,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40d150228d2c09:0xde0d0a84feb35976!8m2!3d-5.379108!4d105.0938837!16s%2Fg%2F11f5mpht6j?authuser=0&hl=id&entry=ttu","105.0938837","-5.379108","Alamat","Jl. Ahmad Yani No.98a, Gedung Tataan, Kec. Gedong Tataan, Kabupaten Pesawaran, Lampung 35371"
"JNE GEDUNG TATAAN",3.8,115,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+GEDUNG+TATAAN/data=!4m7!3m6!1s0x2e40d150228d2c09:0xde0d0a84feb35976!8m2!3d-5.379108!4d105.0938837!16s%2Fg%2F11f5mpht6j!19sChIJCSyNIlDRQC4Rdlmz_oQKDd4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+GEDUNG+TATAAN/@-5.379108,105.0938837,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40d150228d2c09:0xde0d0a84feb35976!8m2!3d-5.379108!4d105.0938837!16s%2Fg%2F11f5mpht6j?authuser=0&hl=id&entry=ttu","105.0938837","-5.379108","Situs Web","jne.co.id"
"JNE GEDUNG TATAAN",3.8,115,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+GEDUNG+TATAAN/data=!4m7!3m6!1s0x2e40d150228d2c09:0xde0d0a84feb35976!8m2!3d-5.379108!4d105.0938837!16s%2Fg%2F11f5mpht6j!19sChIJCSyNIlDRQC4Rdlmz_oQKDd4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+GEDUNG+TATAAN/@-5.379108,105.0938837,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40d150228d2c09:0xde0d0a84feb35976!8m2!3d-5.379108!4d105.0938837!16s%2Fg%2F11f5mpht6j?authuser=0&hl=id&entry=ttu","105.0938837","-5.379108","Telepon","0812-2209-5762"
"JNE GEDUNG TATAAN",3.8,115,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+GEDUNG+TATAAN/data=!4m7!3m6!1s0x2e40d150228d2c09:0xde0d0a84feb35976!8m2!3d-5.379108!4d105.0938837!16s%2Fg%2F11f5mpht6j!19sChIJCSyNIlDRQC4Rdlmz_oQKDd4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+GEDUNG+TATAAN/@-5.379108,105.0938837,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40d150228d2c09:0xde0d0a84feb35976!8m2!3d-5.379108!4d105.0938837!16s%2Fg%2F11f5mpht6j?authuser=0&hl=id&entry=ttu","105.0938837","-5.379108","Plus Codes","J3CV+9H Gedung Tataan, Kabupaten Pesawaran, Lampung"
"JNE Pasar Wiyono",4.4,21,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Pasar+Wiyono/data=!4m7!3m6!1s0x2e40d1fec28045bd:0x6a00c0591da89df0!8m2!3d-5.3739257!4d105.1297272!16s%2Fg%2F11hb697hpr!19sChIJvUWAwv7RQC4R8J2oHVnAAGo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pasar+Wiyono/@-5.3739257,105.1297272,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40d1fec28045bd:0x6a00c0591da89df0!8m2!3d-5.3739257!4d105.1297272!16s%2Fg%2F11hb697hpr?authuser=0&hl=id&entry=ttu","105.1297272","-5.3739257","Alamat","Wiyono, Kec. Gedong Tataan, Kabupaten Pesawaran, Lampung 35366"
"JNE Pasar Wiyono",4.4,21,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Pasar+Wiyono/data=!4m7!3m6!1s0x2e40d1fec28045bd:0x6a00c0591da89df0!8m2!3d-5.3739257!4d105.1297272!16s%2Fg%2F11hb697hpr!19sChIJvUWAwv7RQC4R8J2oHVnAAGo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pasar+Wiyono/@-5.3739257,105.1297272,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40d1fec28045bd:0x6a00c0591da89df0!8m2!3d-5.3739257!4d105.1297272!16s%2Fg%2F11hb697hpr?authuser=0&hl=id&entry=ttu","105.1297272","-5.3739257","Telepon","0896-8910-2582"
"JNE Pasar Wiyono",4.4,21,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Pasar+Wiyono/data=!4m7!3m6!1s0x2e40d1fec28045bd:0x6a00c0591da89df0!8m2!3d-5.3739257!4d105.1297272!16s%2Fg%2F11hb697hpr!19sChIJvUWAwv7RQC4R8J2oHVnAAGo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pasar+Wiyono/@-5.3739257,105.1297272,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40d1fec28045bd:0x6a00c0591da89df0!8m2!3d-5.3739257!4d105.1297272!16s%2Fg%2F11hb697hpr?authuser=0&hl=id&entry=ttu","105.1297272","-5.3739257","Plus Codes","J4GH+CV Wiyono, Kabupaten Pesawaran, Lampung"
"JNE KEDONDONG",4.7,20,"Buka 24 jam","https://www.google.com/maps/place/JNE+KEDONDONG/data=!4m7!3m6!1s0x2e472b658b01c4db:0xb1c3c7cdc565abf9!8m2!3d-5.4646051!4d105.0015109!16s%2Fg%2F11hb444_kd!19sChIJ28QBi2UrRy4R-atlxc3Hw7E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+KEDONDONG/@-5.4646051,105.0015109,17z/data=!3m1!4b1!4m6!3m5!1s0x2e472b658b01c4db:0xb1c3c7cdc565abf9!8m2!3d-5.4646051!4d105.0015109!16s%2Fg%2F11hb444_kd?authuser=0&hl=id&entry=ttu","105.0015109","-5.4646051","Alamat","Jl Raya, Ps. Baru, Kec. Kedondong, Kabupaten Pesawaran, Lampung 35368"
"JNE KEDONDONG",4.7,20,"Buka 24 jam","https://www.google.com/maps/place/JNE+KEDONDONG/data=!4m7!3m6!1s0x2e472b658b01c4db:0xb1c3c7cdc565abf9!8m2!3d-5.4646051!4d105.0015109!16s%2Fg%2F11hb444_kd!19sChIJ28QBi2UrRy4R-atlxc3Hw7E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+KEDONDONG/@-5.4646051,105.0015109,17z/data=!3m1!4b1!4m6!3m5!1s0x2e472b658b01c4db:0xb1c3c7cdc565abf9!8m2!3d-5.4646051!4d105.0015109!16s%2Fg%2F11hb444_kd?authuser=0&hl=id&entry=ttu","105.0015109","-5.4646051","Situs Web","facebook.com"
"JNE KEDONDONG",4.7,20,"Buka 24 jam","https://www.google.com/maps/place/JNE+KEDONDONG/data=!4m7!3m6!1s0x2e472b658b01c4db:0xb1c3c7cdc565abf9!8m2!3d-5.4646051!4d105.0015109!16s%2Fg%2F11hb444_kd!19sChIJ28QBi2UrRy4R-atlxc3Hw7E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+KEDONDONG/@-5.4646051,105.0015109,17z/data=!3m1!4b1!4m6!3m5!1s0x2e472b658b01c4db:0xb1c3c7cdc565abf9!8m2!3d-5.4646051!4d105.0015109!16s%2Fg%2F11hb444_kd?authuser=0&hl=id&entry=ttu","105.0015109","-5.4646051","Telepon","0857-6974-1225"
