"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Express Sampang",4.3,56,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Express+Sampang/data=!4m7!3m6!1s0x2e654284354d3a29:0x6d1661282840c799!8m2!3d-7.5615052!4d109.2034862!16s%2Fg%2F11c5rt6qlb!19sChIJKTpNNYRCZS4RmcdAKChhFm0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Express+Sampang/@-7.5615052,109.2034862,17z/data=!3m1!4b1!4m6!3m5!1s0x2e654284354d3a29:0x6d1661282840c799!8m2!3d-7.5615052!4d109.2034862!16s%2Fg%2F11c5rt6qlb?authuser=0&hl=id&entry=ttu","109.2034862","-7.5615052","Alamat","Jl. Tugu Timur, Sampang Utara, Sampang, Kec. Sampang, Kabupaten Cilacap, Jawa Tengah 53273"
"JNE Express Sampang",4.3,56,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Express+Sampang/data=!4m7!3m6!1s0x2e654284354d3a29:0x6d1661282840c799!8m2!3d-7.5615052!4d109.2034862!16s%2Fg%2F11c5rt6qlb!19sChIJKTpNNYRCZS4RmcdAKChhFm0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Express+Sampang/@-7.5615052,109.2034862,17z/data=!3m1!4b1!4m6!3m5!1s0x2e654284354d3a29:0x6d1661282840c799!8m2!3d-7.5615052!4d109.2034862!16s%2Fg%2F11c5rt6qlb?authuser=0&hl=id&entry=ttu","109.2034862","-7.5615052","Situs Web","jne.co.id"
"JNE Express Sampang",4.3,56,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Express+Sampang/data=!4m7!3m6!1s0x2e654284354d3a29:0x6d1661282840c799!8m2!3d-7.5615052!4d109.2034862!16s%2Fg%2F11c5rt6qlb!19sChIJKTpNNYRCZS4RmcdAKChhFm0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Express+Sampang/@-7.5615052,109.2034862,17z/data=!3m1!4b1!4m6!3m5!1s0x2e654284354d3a29:0x6d1661282840c799!8m2!3d-7.5615052!4d109.2034862!16s%2Fg%2F11c5rt6qlb?authuser=0&hl=id&entry=ttu","109.2034862","-7.5615052","Telepon","0856-2669-456"
"JNE Express Sampang",4.3,56,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/JNE+Express+Sampang/data=!4m7!3m6!1s0x2e654284354d3a29:0x6d1661282840c799!8m2!3d-7.5615052!4d109.2034862!16s%2Fg%2F11c5rt6qlb!19sChIJKTpNNYRCZS4RmcdAKChhFm0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Express+Sampang/@-7.5615052,109.2034862,17z/data=!3m1!4b1!4m6!3m5!1s0x2e654284354d3a29:0x6d1661282840c799!8m2!3d-7.5615052!4d109.2034862!16s%2Fg%2F11c5rt6qlb?authuser=0&hl=id&entry=ttu","109.2034862","-7.5615052","Plus Codes","C6Q3+99 Sampang, Kabupaten Cilacap, Jawa Tengah"
"JNE SC Jl. Syamsul Arifin",3.1,7,"Buka ⋅ Tutup pukul 04.00","https://www.google.com/maps/place/JNE+SC+Jl.+Syamsul+Arifin/data=!4m7!3m6!1s0x2dd78729602f25c5:0x3d3954c3fd217a7e!8m2!3d-7.2026035!4d113.246032!16s%2Fg%2F11r8bsbwmm!19sChIJxSUvYCmH1y0Rfnoh_cNUOT0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+SC+Jl.+Syamsul+Arifin/@-7.2026035,113.246032,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd78729602f25c5:0x3d3954c3fd217a7e!8m2!3d-7.2026035!4d113.246032!16s%2Fg%2F11r8bsbwmm?authuser=0&hl=id&entry=ttu","113.246032","-7.2026035","Alamat","Jl. Syamsul Arifin No.6, Rw. V, Polagan, Kec. Sampang, Kabupaten Sampang, Jawa Timur 69216"
"JNE SC Jl. Syamsul Arifin",3.1,7,"Buka ⋅ Tutup pukul 04.00","https://www.google.com/maps/place/JNE+SC+Jl.+Syamsul+Arifin/data=!4m7!3m6!1s0x2dd78729602f25c5:0x3d3954c3fd217a7e!8m2!3d-7.2026035!4d113.246032!16s%2Fg%2F11r8bsbwmm!19sChIJxSUvYCmH1y0Rfnoh_cNUOT0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+SC+Jl.+Syamsul+Arifin/@-7.2026035,113.246032,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd78729602f25c5:0x3d3954c3fd217a7e!8m2!3d-7.2026035!4d113.246032!16s%2Fg%2F11r8bsbwmm?authuser=0&hl=id&entry=ttu","113.246032","-7.2026035","Telepon","0853-3164-7361"
"JNE SC Jl. Syamsul Arifin",3.1,7,"Buka ⋅ Tutup pukul 04.00","https://www.google.com/maps/place/JNE+SC+Jl.+Syamsul+Arifin/data=!4m7!3m6!1s0x2dd78729602f25c5:0x3d3954c3fd217a7e!8m2!3d-7.2026035!4d113.246032!16s%2Fg%2F11r8bsbwmm!19sChIJxSUvYCmH1y0Rfnoh_cNUOT0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+SC+Jl.+Syamsul+Arifin/@-7.2026035,113.246032,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd78729602f25c5:0x3d3954c3fd217a7e!8m2!3d-7.2026035!4d113.246032!16s%2Fg%2F11r8bsbwmm?authuser=0&hl=id&entry=ttu","113.246032","-7.2026035","Plus Codes","Q6WW+XC Polagan, Kabupaten Sampang, Jawa Timur"
"JNE HAMADI",NA,NA,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE+HAMADI/data=!4m7!3m6!1s0x2dd7879120e89929:0xdcec7446cd9cf683!8m2!3d-7.1839525!4d113.2362704!16s%2Fg%2F11fps_pgtx!19sChIJKZnoIJGH1y0Rg_aczUZ07Nw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+HAMADI/@-7.1839525,113.2362704,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7879120e89929:0xdcec7446cd9cf683!8m2!3d-7.1839525!4d113.2362704!16s%2Fg%2F11fps_pgtx?authuser=0&hl=id&entry=ttu","113.2362704","-7.1839525","Alamat","Jl. Jaksa Agung Suprapto No.65, Rw. III, Gn. Sekar, Kec. Sampang, Kabupaten Sampang, Jawa Timur 69216"
"JNE HAMADI",NA,NA,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE+HAMADI/data=!4m7!3m6!1s0x2dd7879120e89929:0xdcec7446cd9cf683!8m2!3d-7.1839525!4d113.2362704!16s%2Fg%2F11fps_pgtx!19sChIJKZnoIJGH1y0Rg_aczUZ07Nw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+HAMADI/@-7.1839525,113.2362704,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7879120e89929:0xdcec7446cd9cf683!8m2!3d-7.1839525!4d113.2362704!16s%2Fg%2F11fps_pgtx?authuser=0&hl=id&entry=ttu","113.2362704","-7.1839525","Telepon","0821-9990-8209"
"JNE HAMADI",NA,NA,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE+HAMADI/data=!4m7!3m6!1s0x2dd7879120e89929:0xdcec7446cd9cf683!8m2!3d-7.1839525!4d113.2362704!16s%2Fg%2F11fps_pgtx!19sChIJKZnoIJGH1y0Rg_aczUZ07Nw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+HAMADI/@-7.1839525,113.2362704,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7879120e89929:0xdcec7446cd9cf683!8m2!3d-7.1839525!4d113.2362704!16s%2Fg%2F11fps_pgtx?authuser=0&hl=id&entry=ttu","113.2362704","-7.1839525","Plus Codes","R68P+CG Gn. Sekar, Kabupaten Sampang, Jawa Timur"
