"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"PT JNE EXPRESS AGEN PEM.BANDAR",4.2,10,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PT+JNE+EXPRESS+AGEN+PEM.BANDAR/data=!4m7!3m6!1s0x3033d4a90e5b5949:0xe3e57be4b9d05241!8m2!3d3.0638668!4d99.2752248!16s%2Fg%2F11g9k04vn4!19sChIJSVlbDqnUMzARQVLQueR75eM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT+JNE+EXPRESS+AGEN+PEM.BANDAR/@3.0638668,99.2752248,17z/data=!3m1!4b1!4m6!3m5!1s0x3033d4a90e5b5949:0xe3e57be4b9d05241!8m2!3d3.0638668!4d99.2752248!16s%2Fg%2F11g9k04vn4?authuser=0&hl=id&entry=ttu","99.2752248","3.0638668","Alamat","377G+G3X, Kerasaan I, Kec. Pematang Bandar, Kabupaten Simalungun, Sumatera Utara 21186"
"PT JNE EXPRESS AGEN PEM.BANDAR",4.2,10,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PT+JNE+EXPRESS+AGEN+PEM.BANDAR/data=!4m7!3m6!1s0x3033d4a90e5b5949:0xe3e57be4b9d05241!8m2!3d3.0638668!4d99.2752248!16s%2Fg%2F11g9k04vn4!19sChIJSVlbDqnUMzARQVLQueR75eM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT+JNE+EXPRESS+AGEN+PEM.BANDAR/@3.0638668,99.2752248,17z/data=!3m1!4b1!4m6!3m5!1s0x3033d4a90e5b5949:0xe3e57be4b9d05241!8m2!3d3.0638668!4d99.2752248!16s%2Fg%2F11g9k04vn4?authuser=0&hl=id&entry=ttu","99.2752248","3.0638668","Situs Web","jne.co.id"
"PT JNE EXPRESS AGEN PEM.BANDAR",4.2,10,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PT+JNE+EXPRESS+AGEN+PEM.BANDAR/data=!4m7!3m6!1s0x3033d4a90e5b5949:0xe3e57be4b9d05241!8m2!3d3.0638668!4d99.2752248!16s%2Fg%2F11g9k04vn4!19sChIJSVlbDqnUMzARQVLQueR75eM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PT+JNE+EXPRESS+AGEN+PEM.BANDAR/@3.0638668,99.2752248,17z/data=!3m1!4b1!4m6!3m5!1s0x3033d4a90e5b5949:0xe3e57be4b9d05241!8m2!3d3.0638668!4d99.2752248!16s%2Fg%2F11g9k04vn4?authuser=0&hl=id&entry=ttu","99.2752248","3.0638668","Telepon","0821-6123-0958"
"JNE Pematang Raya",3.4,8,"unknown","https://www.google.com/maps/place/JNE+Pematang+Raya/data=!4m7!3m6!1s0x3031997aef6d96ad:0xab7eeff00731e906!8m2!3d2.9669225!4d98.8493406!16s%2Fg%2F11j1183_m5!19sChIJrZZt73qZMTARBukxB_Dvfqs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pematang+Raya/@2.9669225,98.8493406,17z/data=!3m1!4b1!4m6!3m5!1s0x3031997aef6d96ad:0xab7eeff00731e906!8m2!3d2.9669225!4d98.8493406!16s%2Fg%2F11j1183_m5?authuser=0&hl=id&entry=ttu","98.8493406","2.9669225","Alamat","Jl. Sutomo No.15, Pematang Raya, Kec. Raya, Kabupaten Simalungun, Sumatera Utara 21162"
"JNE Pematang Raya",3.4,8,"unknown","https://www.google.com/maps/place/JNE+Pematang+Raya/data=!4m7!3m6!1s0x3031997aef6d96ad:0xab7eeff00731e906!8m2!3d2.9669225!4d98.8493406!16s%2Fg%2F11j1183_m5!19sChIJrZZt73qZMTARBukxB_Dvfqs?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Pematang+Raya/@2.9669225,98.8493406,17z/data=!3m1!4b1!4m6!3m5!1s0x3031997aef6d96ad:0xab7eeff00731e906!8m2!3d2.9669225!4d98.8493406!16s%2Fg%2F11j1183_m5?authuser=0&hl=id&entry=ttu","98.8493406","2.9669225","Plus Codes","XR8X+QP Pematang Raya, Kabupaten Simalungun, Sumatera Utara"
"JNE Tanah Jawa",3.8,18,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Tanah+Jawa/data=!4m7!3m6!1s0x303227e500000001:0x58d36df74a496d25!8m2!3d2.8870301!4d99.1762185!16s%2Fg%2F11c3260fyj!19sChIJAQAAAOUnMjARJW1JSvdt01g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Tanah+Jawa/@2.8870301,99.1762185,17z/data=!3m1!4b1!4m6!3m5!1s0x303227e500000001:0x58d36df74a496d25!8m2!3d2.8870301!4d99.1762185!16s%2Fg%2F11c3260fyj?authuser=0&hl=id&entry=ttu","99.1762185","2.8870301","Alamat","V5PG+RF8, Pematang Tanah Jawa, Kec. Tanah Jawa, Kabupaten Simalungun, Sumatera Utara 21181"
"JNE Tanah Jawa",3.8,18,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Tanah+Jawa/data=!4m7!3m6!1s0x303227e500000001:0x58d36df74a496d25!8m2!3d2.8870301!4d99.1762185!16s%2Fg%2F11c3260fyj!19sChIJAQAAAOUnMjARJW1JSvdt01g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Tanah+Jawa/@2.8870301,99.1762185,17z/data=!3m1!4b1!4m6!3m5!1s0x303227e500000001:0x58d36df74a496d25!8m2!3d2.8870301!4d99.1762185!16s%2Fg%2F11c3260fyj?authuser=0&hl=id&entry=ttu","99.1762185","2.8870301","Telepon","0819-9923-5132"
"JNE PERDAGANGAN",4.3,43,"Tutup ⋅ Buka pukul 13.00","https://www.google.com/maps/place/JNE+PERDAGANGAN/data=!4m7!3m6!1s0x3033d17b173cc589:0x8c7b4221096b44cc!8m2!3d3.1606227!4d99.3310912!16s%2Fg%2F11jgdrt2_w!19sChIJicU8F3vRMzARzERrCSFCe4w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+PERDAGANGAN/@3.1606227,99.3310912,17z/data=!3m1!4b1!4m6!3m5!1s0x3033d17b173cc589:0x8c7b4221096b44cc!8m2!3d3.1606227!4d99.3310912!16s%2Fg%2F11jgdrt2_w?authuser=0&hl=id&entry=ttu","99.3310912","3.1606227","Alamat","Jl. Kartini No.67, Perdagangan I, Kec. Bandar, Kabupaten Simalungun, Sumatera Utara 21184"
"JNE PERDAGANGAN",4.3,43,"Tutup ⋅ Buka pukul 13.00","https://www.google.com/maps/place/JNE+PERDAGANGAN/data=!4m7!3m6!1s0x3033d17b173cc589:0x8c7b4221096b44cc!8m2!3d3.1606227!4d99.3310912!16s%2Fg%2F11jgdrt2_w!19sChIJicU8F3vRMzARzERrCSFCe4w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+PERDAGANGAN/@3.1606227,99.3310912,17z/data=!3m1!4b1!4m6!3m5!1s0x3033d17b173cc589:0x8c7b4221096b44cc!8m2!3d3.1606227!4d99.3310912!16s%2Fg%2F11jgdrt2_w?authuser=0&hl=id&entry=ttu","99.3310912","3.1606227","Situs Web","jne-perdagangan.business.site"
"JNE PERDAGANGAN",4.3,43,"Tutup ⋅ Buka pukul 13.00","https://www.google.com/maps/place/JNE+PERDAGANGAN/data=!4m7!3m6!1s0x3033d17b173cc589:0x8c7b4221096b44cc!8m2!3d3.1606227!4d99.3310912!16s%2Fg%2F11jgdrt2_w!19sChIJicU8F3vRMzARzERrCSFCe4w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+PERDAGANGAN/@3.1606227,99.3310912,17z/data=!3m1!4b1!4m6!3m5!1s0x3033d17b173cc589:0x8c7b4221096b44cc!8m2!3d3.1606227!4d99.3310912!16s%2Fg%2F11jgdrt2_w?authuser=0&hl=id&entry=ttu","99.3310912","3.1606227","Telepon","0853-5847-2952"
