"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Express Timuran",4.3,1,"Buka 24 jam","https://www.google.com/maps/place/JNE+Express+Timuran/data=!4m7!3m6!1s0x2e7a167d4f2009c5:0xde23b5526bed5477!8m2!3d-7.5689558!4d110.8183626!16s%2Fg%2F11b6x5cz_z!19sChIJxQkgT30Wei4Rd1Tta1K1I94?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Express+Timuran/@-7.5689558,110.8183626,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a167d4f2009c5:0xde23b5526bed5477!8m2!3d-7.5689558!4d110.8183626!16s%2Fg%2F11b6x5cz_z?authuser=0&hl=id&entry=ttu","110.8183626","-7.5689558","Alamat","Jl. Slamet Riyadi No.236, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57141"
"JNE Express Timuran",4.3,1,"Buka 24 jam","https://www.google.com/maps/place/JNE+Express+Timuran/data=!4m7!3m6!1s0x2e7a167d4f2009c5:0xde23b5526bed5477!8m2!3d-7.5689558!4d110.8183626!16s%2Fg%2F11b6x5cz_z!19sChIJxQkgT30Wei4Rd1Tta1K1I94?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Express+Timuran/@-7.5689558,110.8183626,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a167d4f2009c5:0xde23b5526bed5477!8m2!3d-7.5689558!4d110.8183626!16s%2Fg%2F11b6x5cz_z?authuser=0&hl=id&entry=ttu","110.8183626","-7.5689558","Situs Web","jne.co.id"
"JNE Express Timuran",4.3,1,"Buka 24 jam","https://www.google.com/maps/place/JNE+Express+Timuran/data=!4m7!3m6!1s0x2e7a167d4f2009c5:0xde23b5526bed5477!8m2!3d-7.5689558!4d110.8183626!16s%2Fg%2F11b6x5cz_z!19sChIJxQkgT30Wei4Rd1Tta1K1I94?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Express+Timuran/@-7.5689558,110.8183626,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a167d4f2009c5:0xde23b5526bed5477!8m2!3d-7.5689558!4d110.8183626!16s%2Fg%2F11b6x5cz_z?authuser=0&hl=id&entry=ttu","110.8183626","-7.5689558","Telepon","(0271) 6776800"
"JNE Express Timuran",4.3,1,"Buka 24 jam","https://www.google.com/maps/place/JNE+Express+Timuran/data=!4m7!3m6!1s0x2e7a167d4f2009c5:0xde23b5526bed5477!8m2!3d-7.5689558!4d110.8183626!16s%2Fg%2F11b6x5cz_z!19sChIJxQkgT30Wei4Rd1Tta1K1I94?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Express+Timuran/@-7.5689558,110.8183626,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a167d4f2009c5:0xde23b5526bed5477!8m2!3d-7.5689558!4d110.8183626!16s%2Fg%2F11b6x5cz_z?authuser=0&hl=id&entry=ttu","110.8183626","-7.5689558","Plus Codes","CRJ9+C8 Timuran, Kota Surakarta, Jawa Tengah"
"JNE Kantor Cabang Solo",3.7,1,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE+Kantor+Cabang+Solo/data=!4m7!3m6!1s0x2e7a169d00000001:0x5e0b91538b396559!8m2!3d-7.5457388!4d110.7751968!16s%2Fg%2F1thlkhvy!19sChIJAQAAAJ0Wei4RWWU5i1ORC14?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Cabang+Solo/@-7.5457388,110.7751968,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a169d00000001:0x5e0b91538b396559!8m2!3d-7.5457388!4d110.7751968!16s%2Fg%2F1thlkhvy?authuser=0&hl=id&entry=ttu","110.7751968","-7.5457388","Alamat","Jl. Laksda Adi Sucipto No. 29 Colomadu Blulukan Karanganyar, Kenaiban, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57139"
"JNE Kantor Cabang Solo",3.7,1,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE+Kantor+Cabang+Solo/data=!4m7!3m6!1s0x2e7a169d00000001:0x5e0b91538b396559!8m2!3d-7.5457388!4d110.7751968!16s%2Fg%2F1thlkhvy!19sChIJAQAAAJ0Wei4RWWU5i1ORC14?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Cabang+Solo/@-7.5457388,110.7751968,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a169d00000001:0x5e0b91538b396559!8m2!3d-7.5457388!4d110.7751968!16s%2Fg%2F1thlkhvy?authuser=0&hl=id&entry=ttu","110.7751968","-7.5457388","Situs Web","jne.co.id"
"JNE Kantor Cabang Solo",3.7,1,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE+Kantor+Cabang+Solo/data=!4m7!3m6!1s0x2e7a169d00000001:0x5e0b91538b396559!8m2!3d-7.5457388!4d110.7751968!16s%2Fg%2F1thlkhvy!19sChIJAQAAAJ0Wei4RWWU5i1ORC14?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Cabang+Solo/@-7.5457388,110.7751968,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a169d00000001:0x5e0b91538b396559!8m2!3d-7.5457388!4d110.7751968!16s%2Fg%2F1thlkhvy?authuser=0&hl=id&entry=ttu","110.7751968","-7.5457388","Telepon","(021) 29278888"
"JNE Kantor Cabang Solo",3.7,1,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE+Kantor+Cabang+Solo/data=!4m7!3m6!1s0x2e7a169d00000001:0x5e0b91538b396559!8m2!3d-7.5457388!4d110.7751968!16s%2Fg%2F1thlkhvy!19sChIJAQAAAJ0Wei4RWWU5i1ORC14?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Kantor+Cabang+Solo/@-7.5457388,110.7751968,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a169d00000001:0x5e0b91538b396559!8m2!3d-7.5457388!4d110.7751968!16s%2Fg%2F1thlkhvy?authuser=0&hl=id&entry=ttu","110.7751968","-7.5457388","Plus Codes","FQ3G+P3 Blulukan, Kabupaten Karanganyar, Jawa Tengah"
"JNE AJS Nusukan",4.4,162,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+AJS+Nusukan/data=!4m7!3m6!1s0x2e7a16bd422f51eb:0xecff7350ace8d597!8m2!3d-7.5465953!4d110.820564!16s%2Fg%2F1hm3f3v98!19sChIJ61EvQr0Wei4Rl9XorFBz_-w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+AJS+Nusukan/@-7.5465953,110.820564,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a16bd422f51eb:0xecff7350ace8d597!8m2!3d-7.5465953!4d110.820564!16s%2Fg%2F1hm3f3v98?authuser=0&hl=id&entry=ttu","110.820564","-7.5465953","Alamat","Jl. Kapten Piere Tendean No.99, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135"
"JNE AJS Nusukan",4.4,162,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+AJS+Nusukan/data=!4m7!3m6!1s0x2e7a16bd422f51eb:0xecff7350ace8d597!8m2!3d-7.5465953!4d110.820564!16s%2Fg%2F1hm3f3v98!19sChIJ61EvQr0Wei4Rl9XorFBz_-w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+AJS+Nusukan/@-7.5465953,110.820564,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a16bd422f51eb:0xecff7350ace8d597!8m2!3d-7.5465953!4d110.820564!16s%2Fg%2F1hm3f3v98?authuser=0&hl=id&entry=ttu","110.820564","-7.5465953","Situs Web","jne.co.id"
