"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Perwakilan Tabanan",3.8,94,"Segera tutup ⋅ 17.00 ⋅ Buka Sen pukul 10.00","https://www.google.com/maps/place/JNE+Perwakilan+Tabanan/data=!4m7!3m6!1s0x2dd23a51421ebdff:0x296ec51df659c06b!8m2!3d-8.540649!4d115.1344392!16s%2Fg%2F11c1nf4m48!19sChIJ_70eQlE60i0Ra8BZ9h3Fbik?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Perwakilan+Tabanan/@-8.540649,115.1344392,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23a51421ebdff:0x296ec51df659c06b!8m2!3d-8.540649!4d115.1344392!16s%2Fg%2F11c1nf4m48?authuser=0&hl=id&entry=ttu","115.1344392","-8.540649","Alamat","Jl. Pahlawan No.1, Delod Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82121"
"JNE Perwakilan Tabanan",3.8,94,"Segera tutup ⋅ 17.00 ⋅ Buka Sen pukul 10.00","https://www.google.com/maps/place/JNE+Perwakilan+Tabanan/data=!4m7!3m6!1s0x2dd23a51421ebdff:0x296ec51df659c06b!8m2!3d-8.540649!4d115.1344392!16s%2Fg%2F11c1nf4m48!19sChIJ_70eQlE60i0Ra8BZ9h3Fbik?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Perwakilan+Tabanan/@-8.540649,115.1344392,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23a51421ebdff:0x296ec51df659c06b!8m2!3d-8.540649!4d115.1344392!16s%2Fg%2F11c1nf4m48?authuser=0&hl=id&entry=ttu","115.1344392","-8.540649","Telepon","(0361) 830327"
"JNE Perwakilan Tabanan",3.8,94,"Segera tutup ⋅ 17.00 ⋅ Buka Sen pukul 10.00","https://www.google.com/maps/place/JNE+Perwakilan+Tabanan/data=!4m7!3m6!1s0x2dd23a51421ebdff:0x296ec51df659c06b!8m2!3d-8.540649!4d115.1344392!16s%2Fg%2F11c1nf4m48!19sChIJ_70eQlE60i0Ra8BZ9h3Fbik?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Perwakilan+Tabanan/@-8.540649,115.1344392,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23a51421ebdff:0x296ec51df659c06b!8m2!3d-8.540649!4d115.1344392!16s%2Fg%2F11c1nf4m48?authuser=0&hl=id&entry=ttu","115.1344392","-8.540649","Plus Codes","F45M+PQ Delod Peken, Kabupaten Tabanan, Bali"
"JNE Sub Agen Tabanan",3.2,214,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Sub+Agen+Tabanan/data=!4m7!3m6!1s0x2dd23a5beec689dd:0x9ff3c7eb45ecc540!8m2!3d-8.5418101!4d115.1236538!16s%2Fg%2F1hm2l7tn4!19sChIJ3YnG7ls60i0RQMXsRevH858?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Tabanan/@-8.5418101,115.1236538,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23a5beec689dd:0x9ff3c7eb45ecc540!8m2!3d-8.5418101!4d115.1236538!16s%2Fg%2F1hm2l7tn4?authuser=0&hl=id&entry=ttu","115.1236538","-8.5418101","Alamat","Jl. Anggrek No.26 B, Dauh Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82111"
"JNE Sub Agen Tabanan",3.2,214,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Sub+Agen+Tabanan/data=!4m7!3m6!1s0x2dd23a5beec689dd:0x9ff3c7eb45ecc540!8m2!3d-8.5418101!4d115.1236538!16s%2Fg%2F1hm2l7tn4!19sChIJ3YnG7ls60i0RQMXsRevH858?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Tabanan/@-8.5418101,115.1236538,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23a5beec689dd:0x9ff3c7eb45ecc540!8m2!3d-8.5418101!4d115.1236538!16s%2Fg%2F1hm2l7tn4?authuser=0&hl=id&entry=ttu","115.1236538","-8.5418101","Situs Web","jne.co.id"
"JNE Sub Agen Tabanan",3.2,214,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Sub+Agen+Tabanan/data=!4m7!3m6!1s0x2dd23a5beec689dd:0x9ff3c7eb45ecc540!8m2!3d-8.5418101!4d115.1236538!16s%2Fg%2F1hm2l7tn4!19sChIJ3YnG7ls60i0RQMXsRevH858?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Tabanan/@-8.5418101,115.1236538,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23a5beec689dd:0x9ff3c7eb45ecc540!8m2!3d-8.5418101!4d115.1236538!16s%2Fg%2F1hm2l7tn4?authuser=0&hl=id&entry=ttu","115.1236538","-8.5418101","Telepon","(021) 29278888"
"JNE Sub Agen Tabanan",3.2,214,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Sub+Agen+Tabanan/data=!4m7!3m6!1s0x2dd23a5beec689dd:0x9ff3c7eb45ecc540!8m2!3d-8.5418101!4d115.1236538!16s%2Fg%2F1hm2l7tn4!19sChIJ3YnG7ls60i0RQMXsRevH858?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sub+Agen+Tabanan/@-8.5418101,115.1236538,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23a5beec689dd:0x9ff3c7eb45ecc540!8m2!3d-8.5418101!4d115.1236538!16s%2Fg%2F1hm2l7tn4?authuser=0&hl=id&entry=ttu","115.1236538","-8.5418101","Plus Codes","F45F+7F Dauh Peken, Kabupaten Tabanan, Bali"
"JNE Cabang Tabanan",3.3,30,"Segera tutup ⋅ 17.00 ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Cabang+Tabanan/data=!4m7!3m6!1s0x2dd23b3fe9958e45:0x80c92cf776ffc8b1!8m2!3d-8.5496647!4d115.1223938!16s%2Fg%2F11qnlbq49f!19sChIJRY6V6T870i0Rscj_dvcsyYA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Tabanan/@-8.5496647,115.1223938,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23b3fe9958e45:0x80c92cf776ffc8b1!8m2!3d-8.5496647!4d115.1223938!16s%2Fg%2F11qnlbq49f?authuser=0&hl=id&entry=ttu","115.1223938","-8.5496647","Alamat","Jl. Pd. Indah No.8, Dauh Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82121"
"JNE Cabang Tabanan",3.3,30,"Segera tutup ⋅ 17.00 ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Cabang+Tabanan/data=!4m7!3m6!1s0x2dd23b3fe9958e45:0x80c92cf776ffc8b1!8m2!3d-8.5496647!4d115.1223938!16s%2Fg%2F11qnlbq49f!19sChIJRY6V6T870i0Rscj_dvcsyYA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Tabanan/@-8.5496647,115.1223938,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23b3fe9958e45:0x80c92cf776ffc8b1!8m2!3d-8.5496647!4d115.1223938!16s%2Fg%2F11qnlbq49f?authuser=0&hl=id&entry=ttu","115.1223938","-8.5496647","Telepon","0897-0920-030"
"JNE Cabang Tabanan",3.3,30,"Segera tutup ⋅ 17.00 ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Cabang+Tabanan/data=!4m7!3m6!1s0x2dd23b3fe9958e45:0x80c92cf776ffc8b1!8m2!3d-8.5496647!4d115.1223938!16s%2Fg%2F11qnlbq49f!19sChIJRY6V6T870i0Rscj_dvcsyYA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Tabanan/@-8.5496647,115.1223938,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd23b3fe9958e45:0x80c92cf776ffc8b1!8m2!3d-8.5496647!4d115.1223938!16s%2Fg%2F11qnlbq49f?authuser=0&hl=id&entry=ttu","115.1223938","-8.5496647","Plus Codes","F42C+4X Dauh Peken, Kabupaten Tabanan, Bali"
