"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T express Bintuni",1.7,17,"unknown","https://www.google.com/maps/place/J%26T+express+Bintuni/data=!4m7!3m6!1s0x2d4e6900b837bfbb:0x718eb40879fc58ce!8m2!3d-2.12111!4d133.5367973!16s%2Fg%2F11q3q7ws2f!19sChIJu783uABpTi0Rzlj8eQi0jnE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+express+Bintuni/@-2.12111,133.5367973,17z/data=!3m1!4b1!4m6!3m5!1s0x2d4e6900b837bfbb:0x718eb40879fc58ce!8m2!3d-2.12111!4d133.5367973!16s%2Fg%2F11q3q7ws2f?authuser=0&hl=id&entry=ttu","133.5367973","-2.12111","Alamat","sebelah warung padang, Kompleks pasar sentral, Bintuni Tim., Distrik Bintuni, Kabupaten Teluk Bintuni, Papua Bar. 98364"
"J&T express Bintuni",1.7,17,"unknown","https://www.google.com/maps/place/J%26T+express+Bintuni/data=!4m7!3m6!1s0x2d4e6900b837bfbb:0x718eb40879fc58ce!8m2!3d-2.12111!4d133.5367973!16s%2Fg%2F11q3q7ws2f!19sChIJu783uABpTi0Rzlj8eQi0jnE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+express+Bintuni/@-2.12111,133.5367973,17z/data=!3m1!4b1!4m6!3m5!1s0x2d4e6900b837bfbb:0x718eb40879fc58ce!8m2!3d-2.12111!4d133.5367973!16s%2Fg%2F11q3q7ws2f?authuser=0&hl=id&entry=ttu","133.5367973","-2.12111","Plus Codes","VGHP+HP Bintuni Tim., Kabupaten Teluk Bintuni, Papua Bar."
"JNE agen ransiki",NA,NA,"Tutup ⋅ Buka Sen pukul 08.30","https://www.google.com/maps/place/JNE+agen+ransiki/data=!4m7!3m6!1s0x2d5241803af1cac5:0xbe4ae3c8bd418815!8m2!3d-1.4997267!4d134.1569664!16s%2Fg%2F11t7btjgbp!19sChIJxcrxOoBBUi0RFYhBvcjjSr4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+agen+ransiki/@-1.4997267,134.1569664,17z/data=!3m1!4b1!4m6!3m5!1s0x2d5241803af1cac5:0xbe4ae3c8bd418815!8m2!3d-1.4997267!4d134.1569664!16s%2Fg%2F11t7btjgbp?authuser=0&hl=id&entry=ttu","134.1569664","-1.4997267","Alamat","Jl. Manokwari - Bintuni, Sabri, Distrik Ransiki, Kab. Manokwari Selatan, Papua Bar. 98355"
"JNE agen ransiki",NA,NA,"Tutup ⋅ Buka Sen pukul 08.30","https://www.google.com/maps/place/JNE+agen+ransiki/data=!4m7!3m6!1s0x2d5241803af1cac5:0xbe4ae3c8bd418815!8m2!3d-1.4997267!4d134.1569664!16s%2Fg%2F11t7btjgbp!19sChIJxcrxOoBBUi0RFYhBvcjjSr4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+agen+ransiki/@-1.4997267,134.1569664,17z/data=!3m1!4b1!4m6!3m5!1s0x2d5241803af1cac5:0xbe4ae3c8bd418815!8m2!3d-1.4997267!4d134.1569664!16s%2Fg%2F11t7btjgbp?authuser=0&hl=id&entry=ttu","134.1569664","-1.4997267","Telepon","0852-9021-8779"
"JNE agen ransiki",NA,NA,"Tutup ⋅ Buka Sen pukul 08.30","https://www.google.com/maps/place/JNE+agen+ransiki/data=!4m7!3m6!1s0x2d5241803af1cac5:0xbe4ae3c8bd418815!8m2!3d-1.4997267!4d134.1569664!16s%2Fg%2F11t7btjgbp!19sChIJxcrxOoBBUi0RFYhBvcjjSr4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+agen+ransiki/@-1.4997267,134.1569664,17z/data=!3m1!4b1!4m6!3m5!1s0x2d5241803af1cac5:0xbe4ae3c8bd418815!8m2!3d-1.4997267!4d134.1569664!16s%2Fg%2F11t7btjgbp?authuser=0&hl=id&entry=ttu","134.1569664","-1.4997267","Plus Codes","G524+4Q Sabri, Kabupaten Manokwari, Papua Bar."
"Jne Oransbari Manokwari Selatan",4.5,13,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/Jne+Oransbari+Manokwari+Selatan/data=!4m7!3m6!1s0x2d524d2fc91bdce3:0xc5f5881e80c9fedc!8m2!3d-1.318622!4d134.218479!16s%2Fg%2F11cs3h6rf7!19sChIJ49wbyS9NUi0R3P7JgB6I9cU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jne+Oransbari+Manokwari+Selatan/@-1.318622,134.218479,17z/data=!3m1!4b1!4m6!3m5!1s0x2d524d2fc91bdce3:0xc5f5881e80c9fedc!8m2!3d-1.318622!4d134.218479!16s%2Fg%2F11cs3h6rf7?authuser=0&hl=id&entry=ttu","134.218479","-1.318622","Alamat","M6J9+H95, Jl. Merdeka, Sidomulyo, Kec. Oransbari, Kabupaten Manokwari, Papua Bar. 98353"
"Jne Oransbari Manokwari Selatan",4.5,13,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/Jne+Oransbari+Manokwari+Selatan/data=!4m7!3m6!1s0x2d524d2fc91bdce3:0xc5f5881e80c9fedc!8m2!3d-1.318622!4d134.218479!16s%2Fg%2F11cs3h6rf7!19sChIJ49wbyS9NUi0R3P7JgB6I9cU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jne+Oransbari+Manokwari+Selatan/@-1.318622,134.218479,17z/data=!3m1!4b1!4m6!3m5!1s0x2d524d2fc91bdce3:0xc5f5881e80c9fedc!8m2!3d-1.318622!4d134.218479!16s%2Fg%2F11cs3h6rf7?authuser=0&hl=id&entry=ttu","134.218479","-1.318622","Situs Web","jne.co.id"
"Jne Oransbari Manokwari Selatan",4.5,13,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/Jne+Oransbari+Manokwari+Selatan/data=!4m7!3m6!1s0x2d524d2fc91bdce3:0xc5f5881e80c9fedc!8m2!3d-1.318622!4d134.218479!16s%2Fg%2F11cs3h6rf7!19sChIJ49wbyS9NUi0R3P7JgB6I9cU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jne+Oransbari+Manokwari+Selatan/@-1.318622,134.218479,17z/data=!3m1!4b1!4m6!3m5!1s0x2d524d2fc91bdce3:0xc5f5881e80c9fedc!8m2!3d-1.318622!4d134.218479!16s%2Fg%2F11cs3h6rf7?authuser=0&hl=id&entry=ttu","134.218479","-1.318622","Telepon","0822-4801-2687"
"JNE Cabang Oransbari",5,1,"unknown","https://www.google.com/maps/place/JNE+Cabang+Oransbari/data=!4m7!3m6!1s0x2d524dc7d718b44d:0x56759cedc1f7c6e!8m2!3d-1.3170699!4d134.2214302!16s%2Fg%2F11t7j1xq_1!19sChIJTbQY18dNUi0Rbnwf3M5ZZwU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Cabang+Oransbari/@-1.3170699,134.2214302,17z/data=!3m1!4b1!4m6!3m5!1s0x2d524dc7d718b44d:0x56759cedc1f7c6e!8m2!3d-1.3170699!4d134.2214302!16s%2Fg%2F11t7j1xq_1?authuser=0&hl=id&entry=ttu","134.2214302","-1.3170699","Alamat","M6MC+4GM, Jl. Manokwari - Bintuni, Sidomulyo, Kec. Oransbari, Kab. Manokwari Selatan, Papua Bar. 98353"
"JNE",2.3,21,"Tutup ⋅ Buka Sen pukul 09.00","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2d3601f3f155a521:0x4c985063acaeb951!8m2!3d-3.6575021!4d133.7250781!16s%2Fg%2F11h7vgbcd8!19sChIJIaVV8fMBNi0RUbmurGNQmEw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-3.6575021,133.7250781,17z/data=!3m1!4b1!4m6!3m5!1s0x2d3601f3f155a521:0x4c985063acaeb951!8m2!3d-3.6575021!4d133.7250781!16s%2Fg%2F11h7vgbcd8?authuser=0&hl=id&entry=ttu","133.7250781","-3.6575021","Alamat","8PRG+X2W, Jl. Utarum Air Merah, Kroy, Kec. Kaimana, Kabupaten Kaimana, Papua Bar. 98654"
