"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE Tuban",4.3,401,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Tuban/data=!4m7!3m6!1s0x2dd2441ebdc9e807:0x6c750d19188f8c42!8m2!3d-8.7381648!4d115.1740771!16s%2Fg%2F11c1d41lg3!19sChIJB-jJvR5E0i0RQoyPGBkNdWw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Tuban/@-8.7381648,115.1740771,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd2441ebdc9e807:0x6c750d19188f8c42!8m2!3d-8.7381648!4d115.1740771!16s%2Fg%2F11c1d41lg3?authuser=0&hl=id&entry=ttu","115.1740771","-8.7381648","Alamat","Jl. Kediri No.59x, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361"
"JNE Tuban",4.3,401,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Tuban/data=!4m7!3m6!1s0x2dd2441ebdc9e807:0x6c750d19188f8c42!8m2!3d-8.7381648!4d115.1740771!16s%2Fg%2F11c1d41lg3!19sChIJB-jJvR5E0i0RQoyPGBkNdWw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Tuban/@-8.7381648,115.1740771,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd2441ebdc9e807:0x6c750d19188f8c42!8m2!3d-8.7381648!4d115.1740771!16s%2Fg%2F11c1d41lg3?authuser=0&hl=id&entry=ttu","115.1740771","-8.7381648","Situs Web","jne.co.id"
"JNE Tuban",4.3,401,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Tuban/data=!4m7!3m6!1s0x2dd2441ebdc9e807:0x6c750d19188f8c42!8m2!3d-8.7381648!4d115.1740771!16s%2Fg%2F11c1d41lg3!19sChIJB-jJvR5E0i0RQoyPGBkNdWw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Tuban/@-8.7381648,115.1740771,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd2441ebdc9e807:0x6c750d19188f8c42!8m2!3d-8.7381648!4d115.1740771!16s%2Fg%2F11c1d41lg3?authuser=0&hl=id&entry=ttu","115.1740771","-8.7381648","Telepon","(0361) 765417"
"JNE Tuban",4.3,401,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+Tuban/data=!4m7!3m6!1s0x2dd2441ebdc9e807:0x6c750d19188f8c42!8m2!3d-8.7381648!4d115.1740771!16s%2Fg%2F11c1d41lg3!19sChIJB-jJvR5E0i0RQoyPGBkNdWw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Tuban/@-8.7381648,115.1740771,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd2441ebdc9e807:0x6c750d19188f8c42!8m2!3d-8.7381648!4d115.1740771!16s%2Fg%2F11c1d41lg3?authuser=0&hl=id&entry=ttu","115.1740771","-8.7381648","Plus Codes","756F+PJ Tuban, Kabupaten Badung, Bali"
"JNE TUBAN",3.1,120,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+TUBAN/data=!4m7!3m6!1s0x2e77bde0766cc1db:0xde5a01f237fa460!8m2!3d-6.8916468!4d112.0512898!16s%2Fg%2F11cnc64vlw!19sChIJ28FsduC9dy4RYKR_Ix-g5Q0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+TUBAN/@-6.8916468,112.0512898,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77bde0766cc1db:0xde5a01f237fa460!8m2!3d-6.8916468!4d112.0512898!16s%2Fg%2F11cnc64vlw?authuser=0&hl=id&entry=ttu","112.0512898","-6.8916468","Alamat","Jl. Dr. Sutomo No.42, Kingking, Kec. Tuban, Kabupaten Tuban, Jawa Timur 62313"
"JNE TUBAN",3.1,120,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+TUBAN/data=!4m7!3m6!1s0x2e77bde0766cc1db:0xde5a01f237fa460!8m2!3d-6.8916468!4d112.0512898!16s%2Fg%2F11cnc64vlw!19sChIJ28FsduC9dy4RYKR_Ix-g5Q0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+TUBAN/@-6.8916468,112.0512898,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77bde0766cc1db:0xde5a01f237fa460!8m2!3d-6.8916468!4d112.0512898!16s%2Fg%2F11cnc64vlw?authuser=0&hl=id&entry=ttu","112.0512898","-6.8916468","Telepon","0878-5277-6307"
"JNE TUBAN",3.1,120,"Tutup ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+TUBAN/data=!4m7!3m6!1s0x2e77bde0766cc1db:0xde5a01f237fa460!8m2!3d-6.8916468!4d112.0512898!16s%2Fg%2F11cnc64vlw!19sChIJ28FsduC9dy4RYKR_Ix-g5Q0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+TUBAN/@-6.8916468,112.0512898,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77bde0766cc1db:0xde5a01f237fa460!8m2!3d-6.8916468!4d112.0512898!16s%2Fg%2F11cnc64vlw?authuser=0&hl=id&entry=ttu","112.0512898","-6.8916468","Plus Codes","4352+8G Kingking, Kabupaten Tuban, Jawa Timur"
"JNE CABANG TUBAN",2.2,34,"Segera tutup ⋅ 15.00 ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+CABANG+TUBAN/data=!4m7!3m6!1s0x2e77a3d8faca4111:0xea2d861bf7f2b454!8m2!3d-6.896988!4d112.0467124!16s%2Fg%2F11rn6bl8r1!19sChIJEUHK-tijdy4RVLTy9xuGLeo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+CABANG+TUBAN/@-6.896988,112.0467124,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77a3d8faca4111:0xea2d861bf7f2b454!8m2!3d-6.896988!4d112.0467124!16s%2Fg%2F11rn6bl8r1?authuser=0&hl=id&entry=ttu","112.0467124","-6.896988","Alamat","Jl. Pramuka No.35, Sidorejo, Kec. Tuban, Kabupaten Tuban, Jawa Timur 62314"
"JNE CABANG TUBAN",2.2,34,"Segera tutup ⋅ 15.00 ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+CABANG+TUBAN/data=!4m7!3m6!1s0x2e77a3d8faca4111:0xea2d861bf7f2b454!8m2!3d-6.896988!4d112.0467124!16s%2Fg%2F11rn6bl8r1!19sChIJEUHK-tijdy4RVLTy9xuGLeo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+CABANG+TUBAN/@-6.896988,112.0467124,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77a3d8faca4111:0xea2d861bf7f2b454!8m2!3d-6.896988!4d112.0467124!16s%2Fg%2F11rn6bl8r1?authuser=0&hl=id&entry=ttu","112.0467124","-6.896988","Telepon","0857-3323-3337"
"JNE CABANG TUBAN",2.2,34,"Segera tutup ⋅ 15.00 ⋅ Buka Sen pukul 08.00","https://www.google.com/maps/place/JNE+CABANG+TUBAN/data=!4m7!3m6!1s0x2e77a3d8faca4111:0xea2d861bf7f2b454!8m2!3d-6.896988!4d112.0467124!16s%2Fg%2F11rn6bl8r1!19sChIJEUHK-tijdy4RVLTy9xuGLeo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+CABANG+TUBAN/@-6.896988,112.0467124,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77a3d8faca4111:0xea2d861bf7f2b454!8m2!3d-6.896988!4d112.0467124!16s%2Fg%2F11rn6bl8r1?authuser=0&hl=id&entry=ttu","112.0467124","-6.896988","Plus Codes","423W+6M Sidorejo, Kabupaten Tuban, Jawa Timur"
