"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE",3.1,14,"unknown","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2e3890943fffffff:0xe62dfaf58e7e4990!8m2!3d-4.7212753!4d104.5378533!16s%2Fg%2F1ygbb8039!19sChIJ____P5SQOC4RkEl-jvX6LeY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-4.7212753,104.5378533,15z/data=!3m1!4b1!4m6!3m5!1s0x2e3890943fffffff:0xe62dfaf58e7e4990!8m2!3d-4.7212753!4d104.5378533!16s%2Fg%2F1ygbb8039?authuser=0&hl=id&entry=ttu","104.5378533","-4.7212753","Alamat","Jl. Lintas Sumatera No. 334, Taman Asri Baradatu, Way Kanan, Lampung 34561"
"JNE",3.1,14,"unknown","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2e3890943fffffff:0xe62dfaf58e7e4990!8m2!3d-4.7212753!4d104.5378533!16s%2Fg%2F1ygbb8039!19sChIJ____P5SQOC4RkEl-jvX6LeY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-4.7212753,104.5378533,15z/data=!3m1!4b1!4m6!3m5!1s0x2e3890943fffffff:0xe62dfaf58e7e4990!8m2!3d-4.7212753!4d104.5378533!16s%2Fg%2F1ygbb8039?authuser=0&hl=id&entry=ttu","104.5378533","-4.7212753","Situs Web","jne.co.id"
"JNE",3.1,14,"unknown","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2e3890943fffffff:0xe62dfaf58e7e4990!8m2!3d-4.7212753!4d104.5378533!16s%2Fg%2F1ygbb8039!19sChIJ____P5SQOC4RkEl-jvX6LeY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-4.7212753,104.5378533,15z/data=!3m1!4b1!4m6!3m5!1s0x2e3890943fffffff:0xe62dfaf58e7e4990!8m2!3d-4.7212753!4d104.5378533!16s%2Fg%2F1ygbb8039?authuser=0&hl=id&entry=ttu","104.5378533","-4.7212753","Telepon","(021) 29278888"
"JNE Baradatu",2.6,115,"Buka ⋅ Tutup pukul 16.30","https://www.google.com/maps/place/JNE+Baradatu/data=!4m7!3m6!1s0x2e3890957e7ef56d:0x3d3aa08311d93248!8m2!3d-4.7228952!4d104.5422183!16s%2Fg%2F11c3ss348n!19sChIJbfV-fpWQOC4RSDLZEYOgOj0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Baradatu/@-4.7228952,104.5422183,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3890957e7ef56d:0x3d3aa08311d93248!8m2!3d-4.7228952!4d104.5422183!16s%2Fg%2F11c3ss348n?authuser=0&hl=id&entry=ttu","104.5422183","-4.7228952","Alamat","Jl. Lintas Sumatera No.122, Tiuh Balak, Kec. Baradatu, Kabupaten Way Kanan, Lampung 34761"
"JNE Baradatu",2.6,115,"Buka ⋅ Tutup pukul 16.30","https://www.google.com/maps/place/JNE+Baradatu/data=!4m7!3m6!1s0x2e3890957e7ef56d:0x3d3aa08311d93248!8m2!3d-4.7228952!4d104.5422183!16s%2Fg%2F11c3ss348n!19sChIJbfV-fpWQOC4RSDLZEYOgOj0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Baradatu/@-4.7228952,104.5422183,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3890957e7ef56d:0x3d3aa08311d93248!8m2!3d-4.7228952!4d104.5422183!16s%2Fg%2F11c3ss348n?authuser=0&hl=id&entry=ttu","104.5422183","-4.7228952","Situs Web","jne.co.id"
"JNE Baradatu",2.6,115,"Buka ⋅ Tutup pukul 16.30","https://www.google.com/maps/place/JNE+Baradatu/data=!4m7!3m6!1s0x2e3890957e7ef56d:0x3d3aa08311d93248!8m2!3d-4.7228952!4d104.5422183!16s%2Fg%2F11c3ss348n!19sChIJbfV-fpWQOC4RSDLZEYOgOj0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Baradatu/@-4.7228952,104.5422183,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3890957e7ef56d:0x3d3aa08311d93248!8m2!3d-4.7228952!4d104.5422183!16s%2Fg%2F11c3ss348n?authuser=0&hl=id&entry=ttu","104.5422183","-4.7228952","Plus Codes","7GGR+RV Tiuh Balak, Kabupaten Way Kanan, Lampung"
"JNE Way Kanan",NA,NA,"unknown","https://www.google.com/maps/place/JNE+Way+Kanan/data=!4m7!3m6!1s0x2e2b8d5f686e0277:0x31826d53ea16d9c9!8m2!3d-1.0860286!4d101.6878853!16s%2Fg%2F11mnj27jb9!19sChIJdwJuaF-NKy4RydkW6lNtgjE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Way+Kanan/@-1.0860286,101.6878853,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2b8d5f686e0277:0x31826d53ea16d9c9!8m2!3d-1.0860286!4d101.6878853!16s%2Fg%2F11mnj27jb9?authuser=0&hl=id&entry=ttu","101.6878853","-1.0860286","Alamat","WM7Q+H5J, Jl. Lintas Sumatera, Koto Padang, Baradatu, Kabupaten Way Kanan, Lampung 34761"
"JNE Gudang",3.6,5,"unknown","https://www.google.com/maps/place/JNE+Gudang/data=!4m7!3m6!1s0x2e3891e6b34f8bef:0x9e65bebb7ca87b4b!8m2!3d-4.7295107!4d104.5487138!16s%2Fg%2F11hzzg92_x!19sChIJ74tPs-aROC4RS3uofLu-ZZ4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Gudang/@-4.7295107,104.5487138,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3891e6b34f8bef:0x9e65bebb7ca87b4b!8m2!3d-4.7295107!4d104.5487138!16s%2Fg%2F11hzzg92_x?authuser=0&hl=id&entry=ttu","104.5487138","-4.7295107","Alamat","7GCX+5FW, Jl. Sriwijaya, Tiuh Balak Ps., Kec. Baradatu, Kabupaten Way Kanan, Lampung 34761"
"JNE Gudang",3.6,5,"unknown","https://www.google.com/maps/place/JNE+Gudang/data=!4m7!3m6!1s0x2e3891e6b34f8bef:0x9e65bebb7ca87b4b!8m2!3d-4.7295107!4d104.5487138!16s%2Fg%2F11hzzg92_x!19sChIJ74tPs-aROC4RS3uofLu-ZZ4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Gudang/@-4.7295107,104.5487138,17z/data=!3m1!4b1!4m6!3m5!1s0x2e3891e6b34f8bef:0x9e65bebb7ca87b4b!8m2!3d-4.7295107!4d104.5487138!16s%2Fg%2F11hzzg92_x?authuser=0&hl=id&entry=ttu","104.5487138","-4.7295107","Telepon","0813-7312-7040"
"Jne Sub Agen Way Kanan",5,1,"unknown","https://www.google.com/maps/place/Jne+Sub+Agen+Way+Kanan/data=!4m7!3m6!1s0x30318472e83db2fb:0xfd6e450f0808c091!8m2!3d2.9716957!4d99.0778892!16s%2Fg%2F11fkn1182m!19sChIJ-7I96HKEMTARkcAICA9Fbv0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jne+Sub+Agen+Way+Kanan/@2.9716957,99.0778892,17z/data=!3m1!4b1!4m6!3m5!1s0x30318472e83db2fb:0xfd6e450f0808c091!8m2!3d2.9716957!4d99.0778892!16s%2Fg%2F11fkn1182m?authuser=0&hl=id&entry=ttu","99.0778892","2.9716957","Alamat","Jl. Lintas Sumatera No.334, Taman Asri, Baradatu, Kabupaten Way Kanan, Lampung 21137"
