"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Cargo Lampeuneurut (Aceh Besar) - JTO002A",4.6,34,"Segera buka ⋅ Buka pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Lampeuneurut+%28Aceh+Besar%29+-+JTO002A/data=!4m7!3m6!1s0x30403967430f5dad:0xa5c0cf8dc2cb665a!8m2!3d5.514785!4d95.3268787!16s%2Fg%2F11szy4pg80!19sChIJrV0PQ2c5QDARWmbLwo3PwKU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Lampeuneurut+(Aceh+Besar)+-+JTO002A/@5.514785,95.3268787,17z/data=!3m1!4b1!4m6!3m5!1s0x30403967430f5dad:0xa5c0cf8dc2cb665a!8m2!3d5.514785!4d95.3268787!16s%2Fg%2F11szy4pg80?authuser=0&hl=id&entry=ttu","95.3268787","5.514785","Alamat","Jl. Soekarno - Hatta, Lampeuneurut Gampong, Kec. Darul Imarah, Kabupaten Aceh Besar, Aceh"
"J&T Cargo Lampeuneurut (Aceh Besar) - JTO002A",4.6,34,"Segera buka ⋅ Buka pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Lampeuneurut+%28Aceh+Besar%29+-+JTO002A/data=!4m7!3m6!1s0x30403967430f5dad:0xa5c0cf8dc2cb665a!8m2!3d5.514785!4d95.3268787!16s%2Fg%2F11szy4pg80!19sChIJrV0PQ2c5QDARWmbLwo3PwKU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Lampeuneurut+(Aceh+Besar)+-+JTO002A/@5.514785,95.3268787,17z/data=!3m1!4b1!4m6!3m5!1s0x30403967430f5dad:0xa5c0cf8dc2cb665a!8m2!3d5.514785!4d95.3268787!16s%2Fg%2F11szy4pg80?authuser=0&hl=id&entry=ttu","95.3268787","5.514785","Situs Web","jtcargo.id"
"J&T Cargo Lampeuneurut (Aceh Besar) - JTO002A",4.6,34,"Segera buka ⋅ Buka pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Lampeuneurut+%28Aceh+Besar%29+-+JTO002A/data=!4m7!3m6!1s0x30403967430f5dad:0xa5c0cf8dc2cb665a!8m2!3d5.514785!4d95.3268787!16s%2Fg%2F11szy4pg80!19sChIJrV0PQ2c5QDARWmbLwo3PwKU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Lampeuneurut+(Aceh+Besar)+-+JTO002A/@5.514785,95.3268787,17z/data=!3m1!4b1!4m6!3m5!1s0x30403967430f5dad:0xa5c0cf8dc2cb665a!8m2!3d5.514785!4d95.3268787!16s%2Fg%2F11szy4pg80?authuser=0&hl=id&entry=ttu","95.3268787","5.514785","Telepon","0822-9988-2523"
"J&T Cargo Lampeuneurut (Aceh Besar) - JTO002A",4.6,34,"Segera buka ⋅ Buka pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Lampeuneurut+%28Aceh+Besar%29+-+JTO002A/data=!4m7!3m6!1s0x30403967430f5dad:0xa5c0cf8dc2cb665a!8m2!3d5.514785!4d95.3268787!16s%2Fg%2F11szy4pg80!19sChIJrV0PQ2c5QDARWmbLwo3PwKU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Lampeuneurut+(Aceh+Besar)+-+JTO002A/@5.514785,95.3268787,17z/data=!3m1!4b1!4m6!3m5!1s0x30403967430f5dad:0xa5c0cf8dc2cb665a!8m2!3d5.514785!4d95.3268787!16s%2Fg%2F11szy4pg80?authuser=0&hl=id&entry=ttu","95.3268787","5.514785","Plus Codes","G87G+WQ Lampeuneurut Gampong, Kabupaten Aceh Besar, Aceh"
"J&T EXPRESS (DP JANTHO )",2.4,69,"Tutup ⋅ Buka pukul 09.00","https://www.google.com/maps/place/J%26T+EXPRESS+%28DP+JANTHO+%29/data=!4m7!3m6!1s0x304041e1132fd5d3:0x4552f461e2de241f!8m2!3d5.4097907!4d95.4480547!16s%2Fg%2F11g0g39kxn!19sChIJ09UvE-FBQDARHyTe4mH0UkU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+(DP+JANTHO+)/@5.4097907,95.4480547,17z/data=!3m1!4b1!4m6!3m5!1s0x304041e1132fd5d3:0x4552f461e2de241f!8m2!3d5.4097907!4d95.4480547!16s%2Fg%2F11g0g39kxn?authuser=0&hl=id&entry=ttu","95.4480547","5.4097907","Alamat","Sinyeu, Kec. Indrapuri, Kabupaten Aceh Besar, Aceh 23373"
"J&T EXPRESS (DP JANTHO )",2.4,69,"Tutup ⋅ Buka pukul 09.00","https://www.google.com/maps/place/J%26T+EXPRESS+%28DP+JANTHO+%29/data=!4m7!3m6!1s0x304041e1132fd5d3:0x4552f461e2de241f!8m2!3d5.4097907!4d95.4480547!16s%2Fg%2F11g0g39kxn!19sChIJ09UvE-FBQDARHyTe4mH0UkU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+(DP+JANTHO+)/@5.4097907,95.4480547,17z/data=!3m1!4b1!4m6!3m5!1s0x304041e1132fd5d3:0x4552f461e2de241f!8m2!3d5.4097907!4d95.4480547!16s%2Fg%2F11g0g39kxn?authuser=0&hl=id&entry=ttu","95.4480547","5.4097907","Situs Web","jet.co.id"
"J&T EXPRESS (DP JANTHO )",2.4,69,"Tutup ⋅ Buka pukul 09.00","https://www.google.com/maps/place/J%26T+EXPRESS+%28DP+JANTHO+%29/data=!4m7!3m6!1s0x304041e1132fd5d3:0x4552f461e2de241f!8m2!3d5.4097907!4d95.4480547!16s%2Fg%2F11g0g39kxn!19sChIJ09UvE-FBQDARHyTe4mH0UkU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+(DP+JANTHO+)/@5.4097907,95.4480547,17z/data=!3m1!4b1!4m6!3m5!1s0x304041e1132fd5d3:0x4552f461e2de241f!8m2!3d5.4097907!4d95.4480547!16s%2Fg%2F11g0g39kxn?authuser=0&hl=id&entry=ttu","95.4480547","5.4097907","Telepon","0852-6270-7663"
"J&T EXPRESS (DP JANTHO )",2.4,69,"Tutup ⋅ Buka pukul 09.00","https://www.google.com/maps/place/J%26T+EXPRESS+%28DP+JANTHO+%29/data=!4m7!3m6!1s0x304041e1132fd5d3:0x4552f461e2de241f!8m2!3d5.4097907!4d95.4480547!16s%2Fg%2F11g0g39kxn!19sChIJ09UvE-FBQDARHyTe4mH0UkU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+(DP+JANTHO+)/@5.4097907,95.4480547,17z/data=!3m1!4b1!4m6!3m5!1s0x304041e1132fd5d3:0x4552f461e2de241f!8m2!3d5.4097907!4d95.4480547!16s%2Fg%2F11g0g39kxn?authuser=0&hl=id&entry=ttu","95.4480547","5.4097907","Plus Codes","CC5X+W6 Sinyeu, Kabupaten Aceh Besar, Aceh"
"J&T Express Calang/Aceh Jaya",3.7,55,"Tutup ⋅ Buka pukul 09.00","https://www.google.com/maps/place/J%26T+Express+Calang%2FAceh+Jaya/data=!4m7!3m6!1s0x303fa3693e39b1dd:0x1528e1a8022296f2!8m2!3d4.639619!4d95.5864552!16s%2Fg%2F11c71ntlpn!19sChIJ3bE5PmmjPzAR8pYiAqjhKBU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Calang%2FAceh+Jaya/@4.639619,95.5864552,17z/data=!3m1!4b1!4m6!3m5!1s0x303fa3693e39b1dd:0x1528e1a8022296f2!8m2!3d4.639619!4d95.5864552!16s%2Fg%2F11c71ntlpn?authuser=0&hl=id&entry=ttu","95.5864552","4.639619","Alamat","JL. PERTIWI CALANG KEL. INGIN JAYA KEC. ACEH JAYA, CALANG KAB. ACEH JAYA, Dayah Baro, Kec. Krueng Sabee, Kabupaten Aceh Jaya, Aceh 23655"
"J&T Express Calang/Aceh Jaya",3.7,55,"Tutup ⋅ Buka pukul 09.00","https://www.google.com/maps/place/J%26T+Express+Calang%2FAceh+Jaya/data=!4m7!3m6!1s0x303fa3693e39b1dd:0x1528e1a8022296f2!8m2!3d4.639619!4d95.5864552!16s%2Fg%2F11c71ntlpn!19sChIJ3bE5PmmjPzAR8pYiAqjhKBU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Calang%2FAceh+Jaya/@4.639619,95.5864552,17z/data=!3m1!4b1!4m6!3m5!1s0x303fa3693e39b1dd:0x1528e1a8022296f2!8m2!3d4.639619!4d95.5864552!16s%2Fg%2F11c71ntlpn?authuser=0&hl=id&entry=ttu","95.5864552","4.639619","Situs Web","jet.co.id"
