"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Lhoksukon/Aceh Utara",3.3,165,"Segera buka ⋅ Buka pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Lhoksukon%2FAceh+Utara/data=!4m7!3m6!1s0x304789bf3471cf33:0xf9b03a9e859d302e!8m2!3d5.0523084!4d97.315463!16s%2Fg%2F11dxmkm1cx!19sChIJM89xNL-JRzARLjCdhZ46sPk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Lhoksukon%2FAceh+Utara/@5.0523084,97.315463,17z/data=!3m1!4b1!4m6!3m5!1s0x304789bf3471cf33:0xf9b03a9e859d302e!8m2!3d5.0523084!4d97.315463!16s%2Fg%2F11dxmkm1cx?authuser=0&hl=id&entry=ttu","97.315463","5.0523084","Alamat","Jl. Medan - Banda Aceh, Meunasah Tutong, Kec. Lhoksukon, Kabupaten Aceh Utara, Aceh"
"J&T Express Lhoksukon/Aceh Utara",3.3,165,"Segera buka ⋅ Buka pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Lhoksukon%2FAceh+Utara/data=!4m7!3m6!1s0x304789bf3471cf33:0xf9b03a9e859d302e!8m2!3d5.0523084!4d97.315463!16s%2Fg%2F11dxmkm1cx!19sChIJM89xNL-JRzARLjCdhZ46sPk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Lhoksukon%2FAceh+Utara/@5.0523084,97.315463,17z/data=!3m1!4b1!4m6!3m5!1s0x304789bf3471cf33:0xf9b03a9e859d302e!8m2!3d5.0523084!4d97.315463!16s%2Fg%2F11dxmkm1cx?authuser=0&hl=id&entry=ttu","97.315463","5.0523084","Situs Web","jet.co.id"
"J&T Express Lhoksukon/Aceh Utara",3.3,165,"Segera buka ⋅ Buka pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Lhoksukon%2FAceh+Utara/data=!4m7!3m6!1s0x304789bf3471cf33:0xf9b03a9e859d302e!8m2!3d5.0523084!4d97.315463!16s%2Fg%2F11dxmkm1cx!19sChIJM89xNL-JRzARLjCdhZ46sPk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Lhoksukon%2FAceh+Utara/@5.0523084,97.315463,17z/data=!3m1!4b1!4m6!3m5!1s0x304789bf3471cf33:0xf9b03a9e859d302e!8m2!3d5.0523084!4d97.315463!16s%2Fg%2F11dxmkm1cx?authuser=0&hl=id&entry=ttu","97.315463","5.0523084","Telepon","0812-6918-364"
"J&T Express Lhoksukon/Aceh Utara",3.3,165,"Segera buka ⋅ Buka pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Lhoksukon%2FAceh+Utara/data=!4m7!3m6!1s0x304789bf3471cf33:0xf9b03a9e859d302e!8m2!3d5.0523084!4d97.315463!16s%2Fg%2F11dxmkm1cx!19sChIJM89xNL-JRzARLjCdhZ46sPk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Lhoksukon%2FAceh+Utara/@5.0523084,97.315463,17z/data=!3m1!4b1!4m6!3m5!1s0x304789bf3471cf33:0xf9b03a9e859d302e!8m2!3d5.0523084!4d97.315463!16s%2Fg%2F11dxmkm1cx?authuser=0&hl=id&entry=ttu","97.315463","5.0523084","Plus Codes","3828+W5 Meunasah Geumata, Kabupaten Aceh Utara, Aceh"
"J&T EXPRESS PANTON LABU ACEH UTARA",4.3,19,"Tutup ⋅ Buka pukul 09.00","https://www.google.com/maps/place/J%26T+EXPRESS+PANTON+LABU+ACEH+UTARA/data=!4m7!3m6!1s0x3047f36f95ce3459:0x15c3db9d273215c3!8m2!3d5.1161347!4d97.4597491!16s%2Fg%2F11h84kq8gd!19sChIJWTTOlW_zRzARwxUyJ53bwxU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+PANTON+LABU+ACEH+UTARA/@5.1161347,97.4597491,17z/data=!3m1!4b1!4m6!3m5!1s0x3047f36f95ce3459:0x15c3db9d273215c3!8m2!3d5.1161347!4d97.4597491!16s%2Fg%2F11h84kq8gd?authuser=0&hl=id&entry=ttu","97.4597491","5.1161347","Alamat","Jl. Jambo Aye Utara No.3, Kota Panton Labu, Kec. Tanah Jambo Aye, Kabupaten Aceh Utara, Aceh 24394"
"J&T EXPRESS PANTON LABU ACEH UTARA",4.3,19,"Tutup ⋅ Buka pukul 09.00","https://www.google.com/maps/place/J%26T+EXPRESS+PANTON+LABU+ACEH+UTARA/data=!4m7!3m6!1s0x3047f36f95ce3459:0x15c3db9d273215c3!8m2!3d5.1161347!4d97.4597491!16s%2Fg%2F11h84kq8gd!19sChIJWTTOlW_zRzARwxUyJ53bwxU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+PANTON+LABU+ACEH+UTARA/@5.1161347,97.4597491,17z/data=!3m1!4b1!4m6!3m5!1s0x3047f36f95ce3459:0x15c3db9d273215c3!8m2!3d5.1161347!4d97.4597491!16s%2Fg%2F11h84kq8gd?authuser=0&hl=id&entry=ttu","97.4597491","5.1161347","Situs Web","business.site"
"J&T EXPRESS PANTON LABU ACEH UTARA",4.3,19,"Tutup ⋅ Buka pukul 09.00","https://www.google.com/maps/place/J%26T+EXPRESS+PANTON+LABU+ACEH+UTARA/data=!4m7!3m6!1s0x3047f36f95ce3459:0x15c3db9d273215c3!8m2!3d5.1161347!4d97.4597491!16s%2Fg%2F11h84kq8gd!19sChIJWTTOlW_zRzARwxUyJ53bwxU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+PANTON+LABU+ACEH+UTARA/@5.1161347,97.4597491,17z/data=!3m1!4b1!4m6!3m5!1s0x3047f36f95ce3459:0x15c3db9d273215c3!8m2!3d5.1161347!4d97.4597491!16s%2Fg%2F11h84kq8gd?authuser=0&hl=id&entry=ttu","97.4597491","5.1161347","Telepon","0852-8896-6247"
"J&T EXPRESS PANTON LABU ACEH UTARA",4.3,19,"Tutup ⋅ Buka pukul 09.00","https://www.google.com/maps/place/J%26T+EXPRESS+PANTON+LABU+ACEH+UTARA/data=!4m7!3m6!1s0x3047f36f95ce3459:0x15c3db9d273215c3!8m2!3d5.1161347!4d97.4597491!16s%2Fg%2F11h84kq8gd!19sChIJWTTOlW_zRzARwxUyJ53bwxU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+PANTON+LABU+ACEH+UTARA/@5.1161347,97.4597491,17z/data=!3m1!4b1!4m6!3m5!1s0x3047f36f95ce3459:0x15c3db9d273215c3!8m2!3d5.1161347!4d97.4597491!16s%2Fg%2F11h84kq8gd?authuser=0&hl=id&entry=ttu","97.4597491","5.1161347","Plus Codes","4F85+FV Kota Panton Labu, Kabupaten Aceh Utara, Aceh"
"JNT BTP (Bumi Tamalanrea Permai)",3.7,56,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/JNT+BTP+%28Bumi+Tamalanrea+Permai%29/data=!4m7!3m6!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j!19sChIJDwq0e6vlvi0RTX0OerkMeok?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+BTP+(Bumi+Tamalanrea+Permai)/@-5.1411103,119.5210631,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j?authuser=0&hl=id&entry=ttu","119.5210631","-5.1411103","Alamat","VG5C+HC4, Jl. Tamalanrea Raya, Paccerakkang, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90562"
"JNT BTP (Bumi Tamalanrea Permai)",3.7,56,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/JNT+BTP+%28Bumi+Tamalanrea+Permai%29/data=!4m7!3m6!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j!19sChIJDwq0e6vlvi0RTX0OerkMeok?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+BTP+(Bumi+Tamalanrea+Permai)/@-5.1411103,119.5210631,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee5ab7bb40a0f:0x897a0cb97a0e7d4d!8m2!3d-5.1411103!4d119.5210631!16s%2Fg%2F11fj4byf3j?authuser=0&hl=id&entry=ttu","119.5210631","-5.1411103","Situs Web","jet.co.id"
