"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Cempaka Banjarbaru",4,491,"Tutup ⋅ Buka pukul 10.00","https://www.google.com/maps/place/J%26T+Express+Cempaka+Banjarbaru/data=!4m7!3m6!1s0x2de423c268d784fb:0xcac43472ef24d797!8m2!3d-3.4511886!4d114.846837!16s%2Fg%2F11g01_hzdl!19sChIJ-4TXaMIj5C0Rl9ck73I0xMo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Cempaka+Banjarbaru/@-3.4511886,114.846837,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xcac43472ef24d797!8m2!3d-3.4511886!4d114.846837!16s%2Fg%2F11g01_hzdl?authuser=0&hl=id&entry=ttu","114.846837","-3.4511886","Alamat","GRXW+GPW, Loktabat Sel., Kec. Banjarbaru Selatan, Kota Banjar Baru, Kalimantan Selatan 70714"
"J&T Express Cempaka Banjarbaru",4,491,"Tutup ⋅ Buka pukul 10.00","https://www.google.com/maps/place/J%26T+Express+Cempaka+Banjarbaru/data=!4m7!3m6!1s0x2de423c268d784fb:0xcac43472ef24d797!8m2!3d-3.4511886!4d114.846837!16s%2Fg%2F11g01_hzdl!19sChIJ-4TXaMIj5C0Rl9ck73I0xMo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Cempaka+Banjarbaru/@-3.4511886,114.846837,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xcac43472ef24d797!8m2!3d-3.4511886!4d114.846837!16s%2Fg%2F11g01_hzdl?authuser=0&hl=id&entry=ttu","114.846837","-3.4511886","Situs Web","jet.co.id"
"J&T Express Cempaka Banjarbaru",4,491,"Tutup ⋅ Buka pukul 10.00","https://www.google.com/maps/place/J%26T+Express+Cempaka+Banjarbaru/data=!4m7!3m6!1s0x2de423c268d784fb:0xcac43472ef24d797!8m2!3d-3.4511886!4d114.846837!16s%2Fg%2F11g01_hzdl!19sChIJ-4TXaMIj5C0Rl9ck73I0xMo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Cempaka+Banjarbaru/@-3.4511886,114.846837,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xcac43472ef24d797!8m2!3d-3.4511886!4d114.846837!16s%2Fg%2F11g01_hzdl?authuser=0&hl=id&entry=ttu","114.846837","-3.4511886","Telepon","(0511) 5912482"
"J&T Express Banjarbaru",3.9,492,"","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/data=!4m7!3m6!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9!19sChIJ-4TXaMIj5C0RqIs6x9sJaww?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/@-3.4431862,114.8374709,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9?authuser=0&hl=id&entry=ttu","114.8374709","-3.4431862","Alamat","JL A YANI KM 35 (TEPAT DI SAMPING JL. LISTRIK 2, DERETAN POLRES BANJARBARU SAMPING INDOMARET SEBERANG MUSEUM BANJARBARU) Kel, Loktabat Selatan, Banjarbaru Selatan, Banjarbaru City, South Kalimantan 70714"
"J&T Express Banjarbaru",3.9,492,"","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/data=!4m7!3m6!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9!19sChIJ-4TXaMIj5C0RqIs6x9sJaww?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/@-3.4431862,114.8374709,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9?authuser=0&hl=id&entry=ttu","114.8374709","-3.4431862","Situs Web","jet.co.id"
"J&T Express Banjarbaru",3.9,492,"","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/data=!4m7!3m6!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9!19sChIJ-4TXaMIj5C0RqIs6x9sJaww?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/@-3.4431862,114.8374709,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9?authuser=0&hl=id&entry=ttu","114.8374709","-3.4431862","Telepon","(0511) 5912449"
"J&T Express Banjarbaru",3.9,492,"","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/data=!4m7!3m6!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9!19sChIJ-4TXaMIj5C0RqIs6x9sJaww?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Banjarbaru/@-3.4431862,114.8374709,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xc6b09dbc73a8ba8!8m2!3d-3.4431862!4d114.8374709!16s%2Fg%2F11f2wcjlk9?authuser=0&hl=id&entry=ttu","114.8374709","-3.4431862","Plus Codes","HR4P+PX Loktabat Sel., Kota Banjar Baru, Kalimantan Selatan"
"J&T Express Loktabat",4,364,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+Loktabat/data=!4m7!3m6!1s0x2de423c268d784fb:0xef3925a56a7697cd!8m2!3d-3.4460684!4d114.8076834!16s%2Fg%2F11gdkp4c_6!19sChIJ-4TXaMIj5C0RzZd2aqUlOe8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Loktabat/@-3.4460684,114.8076834,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xef3925a56a7697cd!8m2!3d-3.4460684!4d114.8076834!16s%2Fg%2F11gdkp4c_6?authuser=0&hl=id&entry=ttu","114.8076834","-3.4460684","Alamat","baby kids shop seberang, Jl a Yani Km 32,5 Loktabat samping, Jl. Sidodadi 2, Guntung Payung, Kec. Landasan Ulin, Kota Banjar Baru, Kalimantan Selatan 70721"
"J&T Express Loktabat",4,364,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+Loktabat/data=!4m7!3m6!1s0x2de423c268d784fb:0xef3925a56a7697cd!8m2!3d-3.4460684!4d114.8076834!16s%2Fg%2F11gdkp4c_6!19sChIJ-4TXaMIj5C0RzZd2aqUlOe8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Loktabat/@-3.4460684,114.8076834,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xef3925a56a7697cd!8m2!3d-3.4460684!4d114.8076834!16s%2Fg%2F11gdkp4c_6?authuser=0&hl=id&entry=ttu","114.8076834","-3.4460684","Situs Web","jet.co.id"
"J&T Express Loktabat",4,364,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+Loktabat/data=!4m7!3m6!1s0x2de423c268d784fb:0xef3925a56a7697cd!8m2!3d-3.4460684!4d114.8076834!16s%2Fg%2F11gdkp4c_6!19sChIJ-4TXaMIj5C0RzZd2aqUlOe8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Loktabat/@-3.4460684,114.8076834,17z/data=!3m1!4b1!4m6!3m5!1s0x2de423c268d784fb:0xef3925a56a7697cd!8m2!3d-3.4460684!4d114.8076834!16s%2Fg%2F11gdkp4c_6?authuser=0&hl=id&entry=ttu","114.8076834","-3.4460684","Telepon","(0511) 5911095"
