"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Putussibau",2.1,164,"unknown","https://www.google.com/maps/place/J%26T+Express+Putussibau/data=!4m7!3m6!1s0x3201ebc94b1f948b:0x6e363e4243a65572!8m2!3d0.8625604!4d112.9248325!16s%2Fg%2F11hb51pvhz!19sChIJi5QfS8nrATIRclWmQ0I-Nm4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Putussibau/@0.8625604,112.9248325,17z/data=!3m1!4b1!4m6!3m5!1s0x3201ebc94b1f948b:0x6e363e4243a65572!8m2!3d0.8625604!4d112.9248325!16s%2Fg%2F11hb51pvhz?authuser=0&hl=id&entry=ttu","112.9248325","0.8625604","Alamat","VW7F+2WG, Jl. Ngurah Rai, Putussibau Kota, Kec. Putussibau Utara, Kabupaten Kapuas Hulu, Kalimantan Barat 78753"
"J&T Express NANGA_TEPUAI",3.6,11,"Segera tutup ⋅ 16.00 ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+NANGA_TEPUAI/data=!4m7!3m6!1s0x31ff97858272a48f:0x77390c5a7dfd0859!8m2!3d0.3709516!4d112.3097838!16s%2Fg%2F11h6g28hyp!19sChIJj6RygoWX_zERWQj9fVoMOXc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+NANGA_TEPUAI/@0.3709516,112.3097838,17z/data=!3m1!4b1!4m6!3m5!1s0x31ff97858272a48f:0x77390c5a7dfd0859!8m2!3d0.3709516!4d112.3097838!16s%2Fg%2F11h6g28hyp?authuser=0&hl=id&entry=ttu","112.3097838","0.3709516","Alamat","98C5+9WM, Nanga Tepuai, Kec. Hulu Gurung, Kabupaten Kapuas Hulu, Kalimantan Barat 78764"
"J&T Express NANGA_TEPUAI",3.6,11,"Segera tutup ⋅ 16.00 ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+NANGA_TEPUAI/data=!4m7!3m6!1s0x31ff97858272a48f:0x77390c5a7dfd0859!8m2!3d0.3709516!4d112.3097838!16s%2Fg%2F11h6g28hyp!19sChIJj6RygoWX_zERWQj9fVoMOXc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+NANGA_TEPUAI/@0.3709516,112.3097838,17z/data=!3m1!4b1!4m6!3m5!1s0x31ff97858272a48f:0x77390c5a7dfd0859!8m2!3d0.3709516!4d112.3097838!16s%2Fg%2F11h6g28hyp?authuser=0&hl=id&entry=ttu","112.3097838","0.3709516","Situs Web","jet.co.id"
"J&T Express NANGA_TEPUAI",3.6,11,"Segera tutup ⋅ 16.00 ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+NANGA_TEPUAI/data=!4m7!3m6!1s0x31ff97858272a48f:0x77390c5a7dfd0859!8m2!3d0.3709516!4d112.3097838!16s%2Fg%2F11h6g28hyp!19sChIJj6RygoWX_zERWQj9fVoMOXc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+NANGA_TEPUAI/@0.3709516,112.3097838,17z/data=!3m1!4b1!4m6!3m5!1s0x31ff97858272a48f:0x77390c5a7dfd0859!8m2!3d0.3709516!4d112.3097838!16s%2Fg%2F11h6g28hyp?authuser=0&hl=id&entry=ttu","112.3097838","0.3709516","Telepon","0856-5484-5016"
"J&T Express Kapuas",1.7,38,"unknown","https://www.google.com/maps/place/J%26T+Express+Kapuas/data=!4m7!3m6!1s0x2dfb655555555579:0x867234ec5c827193!8m2!3d-1.811645!4d114.334143!16s%2Fg%2F11c5wxgsl8!19sChIJeVVVVVVl-y0Rk3GCXOw0coY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Kapuas/@-1.811645,114.334143,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfb655555555579:0x867234ec5c827193!8m2!3d-1.811645!4d114.334143!16s%2Fg%2F11c5wxgsl8?authuser=0&hl=id&entry=ttu","114.334143","-1.811645","Alamat","JL. TAMBUN BUNGAI RT. 001 KEL. SELATAN DALAM, KEC. SELATAN, KAPUAS, Muroi Raya, Kec. Mantangai, Kabupaten Kapuas, Kalimantan Tengah 73553"
"J&T Express Kapuas",1.7,38,"unknown","https://www.google.com/maps/place/J%26T+Express+Kapuas/data=!4m7!3m6!1s0x2dfb655555555579:0x867234ec5c827193!8m2!3d-1.811645!4d114.334143!16s%2Fg%2F11c5wxgsl8!19sChIJeVVVVVVl-y0Rk3GCXOw0coY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Kapuas/@-1.811645,114.334143,17z/data=!3m1!4b1!4m6!3m5!1s0x2dfb655555555579:0x867234ec5c827193!8m2!3d-1.811645!4d114.334143!16s%2Fg%2F11c5wxgsl8?authuser=0&hl=id&entry=ttu","114.334143","-1.811645","Situs Web","jet.co.id"
"Agen Jnt",5,2,"unknown","https://www.google.com/maps/place/Agen+Jnt/data=!4m7!3m6!1s0x31ff7369a7760921:0xcc505cffeec684e8!8m2!3d0.6625137!4d112.2838787!16s%2Fg%2F11hg44bj59!19sChIJIQl2p2lz_zER6ITG7v9cUMw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Agen+Jnt/@0.6625137,112.2838787,17z/data=!3m1!4b1!4m6!3m5!1s0x31ff7369a7760921:0xcc505cffeec684e8!8m2!3d0.6625137!4d112.2838787!16s%2Fg%2F11hg44bj59?authuser=0&hl=id&entry=ttu","112.2838787","0.6625137","Alamat","M77M+2H2, Jongkong Ps., Kec. Jongkong, Kabupaten Kapuas Hulu, Kalimantan Barat 78763"
"J&T CARGO PSU001A (PUTUSSIBAU)",3,2,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+CARGO+PSU001A+%28PUTUSSIBAU%29/data=!4m7!3m6!1s0x3201ebc3a92ad84d:0xe80bc91fb2ce517f!8m2!3d0.8861523!4d112.9272667!16s%2Fg%2F11s0bdy1c3!19sChIJTdgqqcPrATIRf1HOsh_JC-g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+PSU001A+(PUTUSSIBAU)/@0.8861523,112.9272667,17z/data=!3m1!4b1!4m6!3m5!1s0x3201ebc3a92ad84d:0xe80bc91fb2ce517f!8m2!3d0.8861523!4d112.9272667!16s%2Fg%2F11s0bdy1c3?authuser=0&hl=id&entry=ttu","112.9272667","0.8861523","Alamat","VWPG+FWC, Pala Pulau, Kec. Putussibau Utara, Kabupaten Kapuas Hulu, Kalimantan Barat 78716"
"J&T CARGO PSU001A (PUTUSSIBAU)",3,2,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+CARGO+PSU001A+%28PUTUSSIBAU%29/data=!4m7!3m6!1s0x3201ebc3a92ad84d:0xe80bc91fb2ce517f!8m2!3d0.8861523!4d112.9272667!16s%2Fg%2F11s0bdy1c3!19sChIJTdgqqcPrATIRf1HOsh_JC-g?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+PSU001A+(PUTUSSIBAU)/@0.8861523,112.9272667,17z/data=!3m1!4b1!4m6!3m5!1s0x3201ebc3a92ad84d:0xe80bc91fb2ce517f!8m2!3d0.8861523!4d112.9272667!16s%2Fg%2F11s0bdy1c3?authuser=0&hl=id&entry=ttu","112.9272667","0.8861523","Telepon","0812-5752-6297"
"J&T Express DP Ujoh Bilang",3.4,10,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+DP+Ujoh+Bilang/data=!4m7!3m6!1s0x3207b5265fa03c7f:0x2f70c9cc2c2d713c!8m2!3d0.5270121!4d115.2383533!16s%2Fg%2F11s0kbndxk!19sChIJfzygXya1BzIRPHEtLMzJcC8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Ujoh+Bilang/@0.5270121,115.2383533,17z/data=!3m1!4b1!4m6!3m5!1s0x3207b5265fa03c7f:0x2f70c9cc2c2d713c!8m2!3d0.5270121!4d115.2383533!16s%2Fg%2F11s0kbndxk?authuser=0&hl=id&entry=ttu","115.2383533","0.5270121","Alamat","Ujoh Bilang, Kec. Long Bagun, Mahakam Ulu Regency, Kalimantan Timur 75767"
"J&T Express DP Ujoh Bilang",3.4,10,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+DP+Ujoh+Bilang/data=!4m7!3m6!1s0x3207b5265fa03c7f:0x2f70c9cc2c2d713c!8m2!3d0.5270121!4d115.2383533!16s%2Fg%2F11s0kbndxk!19sChIJfzygXya1BzIRPHEtLMzJcC8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Ujoh+Bilang/@0.5270121,115.2383533,17z/data=!3m1!4b1!4m6!3m5!1s0x3207b5265fa03c7f:0x2f70c9cc2c2d713c!8m2!3d0.5270121!4d115.2383533!16s%2Fg%2F11s0kbndxk?authuser=0&hl=id&entry=ttu","115.2383533","0.5270121","Telepon","(0545) 4050163"
"J&T Express DP Ujoh Bilang",3.4,10,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+DP+Ujoh+Bilang/data=!4m7!3m6!1s0x3207b5265fa03c7f:0x2f70c9cc2c2d713c!8m2!3d0.5270121!4d115.2383533!16s%2Fg%2F11s0kbndxk!19sChIJfzygXya1BzIRPHEtLMzJcC8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Ujoh+Bilang/@0.5270121,115.2383533,17z/data=!3m1!4b1!4m6!3m5!1s0x3207b5265fa03c7f:0x2f70c9cc2c2d713c!8m2!3d0.5270121!4d115.2383533!16s%2Fg%2F11s0kbndxk?authuser=0&hl=id&entry=ttu","115.2383533","0.5270121","Plus Codes","G6GQ+R8 Ujoh Bilang, Kabupaten Kutai Barat, Kalimantan Timur"
"J&T Express TIRAWUTA",1.8,25,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+TIRAWUTA/data=!4m7!3m6!1s0x2d9813962b8f4a89:0x746e9e5669e4b069!8m2!3d-2.44565!4d117.8888!16s%2Fg%2F11rxhc4nt2!19sChIJiUqPK5YTmC0RabDkaVaebnQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TIRAWUTA/@-2.44565,117.8888,4z/data=!3m1!4b1!4m6!3m5!1s0x2d9813962b8f4a89:0x746e9e5669e4b069!8m2!3d-2.44565!4d117.8888!16s%2Fg%2F11rxhc4nt2?authuser=0&hl=id&entry=ttu","117.8888","-2.44565","Situs Web","jet.co.id"
"J&T Express TIRAWUTA",1.8,25,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+TIRAWUTA/data=!4m7!3m6!1s0x2d9813962b8f4a89:0x746e9e5669e4b069!8m2!3d-2.44565!4d117.8888!16s%2Fg%2F11rxhc4nt2!19sChIJiUqPK5YTmC0RabDkaVaebnQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TIRAWUTA/@-2.44565,117.8888,4z/data=!3m1!4b1!4m6!3m5!1s0x2d9813962b8f4a89:0x746e9e5669e4b069!8m2!3d-2.44565!4d117.8888!16s%2Fg%2F11rxhc4nt2?authuser=0&hl=id&entry=ttu","117.8888","-2.44565","Telepon","0822-5971-8294"
"JnT Lanjak",NA,NA,"unknown","https://www.google.com/maps/place/JnT+Lanjak/data=!4m7!3m6!1s0x31ff379bcf474485:0xe6096faaf315ca71!8m2!3d1.035264!4d112.230758!16s%2Fg%2F11j0k189pw!19sChIJhURHz5s3_zERccoV86pvCeY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JnT+Lanjak/@1.035264,112.230758,17z/data=!3m1!4b1!4m6!3m5!1s0x31ff379bcf474485:0xe6096faaf315ca71!8m2!3d1.035264!4d112.230758!16s%2Fg%2F11j0k189pw?authuser=0&hl=id&entry=ttu","112.230758","1.035264","Alamat","26PJ+482, Unnamed Road, Lanjak Deras, Kec. Batang Lupar, Kabupaten Kapuas Hulu, Kalimantan Barat 78766"
