"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Karanganyar",3.8,255,"Buka 24 jam","https://www.google.com/maps/place/J%26T+Express+Karanganyar/data=!4m7!3m6!1s0x2e7a18135c7fe2c1:0x802cee6c826c6999!8m2!3d-7.5890044!4d110.9256624!16s%2Fg%2F11dxqn3g8s!19sChIJweJ_XBMYei4RmWlsgmzuLIA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Karanganyar/@-7.5890044,110.9256624,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a18135c7fe2c1:0x802cee6c826c6999!8m2!3d-7.5890044!4d110.9256624!16s%2Fg%2F11dxqn3g8s?authuser=0&hl=id&entry=ttu","110.9256624","-7.5890044","Alamat","CW6G+97V, Jl. Raya Solo-Tawangmangu, Papahan, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57722"
"J&T Express Karanganyar",3.8,255,"Buka 24 jam","https://www.google.com/maps/place/J%26T+Express+Karanganyar/data=!4m7!3m6!1s0x2e7a18135c7fe2c1:0x802cee6c826c6999!8m2!3d-7.5890044!4d110.9256624!16s%2Fg%2F11dxqn3g8s!19sChIJweJ_XBMYei4RmWlsgmzuLIA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Karanganyar/@-7.5890044,110.9256624,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a18135c7fe2c1:0x802cee6c826c6999!8m2!3d-7.5890044!4d110.9256624!16s%2Fg%2F11dxqn3g8s?authuser=0&hl=id&entry=ttu","110.9256624","-7.5890044","Situs Web","jet.co.id"
"J&T Express Karanganyar",3.8,255,"Buka 24 jam","https://www.google.com/maps/place/J%26T+Express+Karanganyar/data=!4m7!3m6!1s0x2e7a18135c7fe2c1:0x802cee6c826c6999!8m2!3d-7.5890044!4d110.9256624!16s%2Fg%2F11dxqn3g8s!19sChIJweJ_XBMYei4RmWlsgmzuLIA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Karanganyar/@-7.5890044,110.9256624,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a18135c7fe2c1:0x802cee6c826c6999!8m2!3d-7.5890044!4d110.9256624!16s%2Fg%2F11dxqn3g8s?authuser=0&hl=id&entry=ttu","110.9256624","-7.5890044","Telepon","(0274) 8000066"
"J&T Express",4,136,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/J%26T+Express/data=!4m7!3m6!1s0x2e7a187e85af7903:0x461c1dd78c778861!8m2!3d-7.5965738!4d110.9476013!16s%2Fg%2F11cmmwjft3!19sChIJA3mvhX4Yei4RYYh3jNcdHEY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express/@-7.5965738,110.9476013,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a187e85af7903:0x461c1dd78c778861!8m2!3d-7.5965738!4d110.9476013!16s%2Fg%2F11cmmwjft3?authuser=0&hl=id&entry=ttu","110.9476013","-7.5965738","Alamat","Dompon RT 03/08, Jalan Kapten Mulyadi, Karanganyar Sub-District, Dompon, Jungke, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57713"
"J&T Express",4,136,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/J%26T+Express/data=!4m7!3m6!1s0x2e7a187e85af7903:0x461c1dd78c778861!8m2!3d-7.5965738!4d110.9476013!16s%2Fg%2F11cmmwjft3!19sChIJA3mvhX4Yei4RYYh3jNcdHEY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express/@-7.5965738,110.9476013,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a187e85af7903:0x461c1dd78c778861!8m2!3d-7.5965738!4d110.9476013!16s%2Fg%2F11cmmwjft3?authuser=0&hl=id&entry=ttu","110.9476013","-7.5965738","Situs Web","jet.co.id"
"J&T Express",4,136,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/J%26T+Express/data=!4m7!3m6!1s0x2e7a187e85af7903:0x461c1dd78c778861!8m2!3d-7.5965738!4d110.9476013!16s%2Fg%2F11cmmwjft3!19sChIJA3mvhX4Yei4RYYh3jNcdHEY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express/@-7.5965738,110.9476013,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a187e85af7903:0x461c1dd78c778861!8m2!3d-7.5965738!4d110.9476013!16s%2Fg%2F11cmmwjft3?authuser=0&hl=id&entry=ttu","110.9476013","-7.5965738","Telepon","(0271) 4990093"
"J&T Express",4,136,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/J%26T+Express/data=!4m7!3m6!1s0x2e7a187e85af7903:0x461c1dd78c778861!8m2!3d-7.5965738!4d110.9476013!16s%2Fg%2F11cmmwjft3!19sChIJA3mvhX4Yei4RYYh3jNcdHEY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express/@-7.5965738,110.9476013,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a187e85af7903:0x461c1dd78c778861!8m2!3d-7.5965738!4d110.9476013!16s%2Fg%2F11cmmwjft3?authuser=0&hl=id&entry=ttu","110.9476013","-7.5965738","Plus Codes","CW3X+92 Jungke, Kabupaten Karanganyar, Jawa Tengah"
"J&T CARGO Karanganyar (KAA002B)",4.9,36,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+CARGO+Karanganyar+%28KAA002B%29/data=!4m7!3m6!1s0x2e7a236a0288cfd5:0x7e7a2c09a232f665!8m2!3d-7.6077266!4d110.9328829!16s%2Fg%2F11ry7wq9qf!19sChIJ1c-IAmojei4RZfYyogksen4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+Karanganyar+(KAA002B)/@-7.6077266,110.9328829,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a236a0288cfd5:0x7e7a2c09a232f665!8m2!3d-7.6077266!4d110.9328829!16s%2Fg%2F11ry7wq9qf?authuser=0&hl=id&entry=ttu","110.9328829","-7.6077266","Alamat","9WRM+W52, Lalung, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57716"
"J&T CARGO Karanganyar (KAA002B)",4.9,36,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+CARGO+Karanganyar+%28KAA002B%29/data=!4m7!3m6!1s0x2e7a236a0288cfd5:0x7e7a2c09a232f665!8m2!3d-7.6077266!4d110.9328829!16s%2Fg%2F11ry7wq9qf!19sChIJ1c-IAmojei4RZfYyogksen4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+Karanganyar+(KAA002B)/@-7.6077266,110.9328829,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a236a0288cfd5:0x7e7a2c09a232f665!8m2!3d-7.6077266!4d110.9328829!16s%2Fg%2F11ry7wq9qf?authuser=0&hl=id&entry=ttu","110.9328829","-7.6077266","Situs Web","business.site"
"J&T CARGO Karanganyar (KAA002B)",4.9,36,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+CARGO+Karanganyar+%28KAA002B%29/data=!4m7!3m6!1s0x2e7a236a0288cfd5:0x7e7a2c09a232f665!8m2!3d-7.6077266!4d110.9328829!16s%2Fg%2F11ry7wq9qf!19sChIJ1c-IAmojei4RZfYyogksen4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+Karanganyar+(KAA002B)/@-7.6077266,110.9328829,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a236a0288cfd5:0x7e7a2c09a232f665!8m2!3d-7.6077266!4d110.9328829!16s%2Fg%2F11ry7wq9qf?authuser=0&hl=id&entry=ttu","110.9328829","-7.6077266","Telepon","0852-5379-2015"
