"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNT EXPRESS LOKET BERKAH",5,7,"","https://www.google.com/maps/place/JNT+EXPRESS+LOKET+BERKAH/data=!4m7!3m6!1s0x2e702547d19d6063:0x334274fdbf33c1b6!8m2!3d-6.9017363!4d109.7373229!16s%2Fg%2F11p6wqdk34!19sChIJY2Cd0UclcC4RtsEzv_10QjM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+EXPRESS+LOKET+BERKAH/@-6.9017363,109.7373229,17z/data=!3m1!4b1!4m6!3m5!1s0x2e702547d19d6063:0x334274fdbf33c1b6!8m2!3d-6.9017363!4d109.7373229!16s%2Fg%2F11p6wqdk34?authuser=0&hl=id&entry=ttu","109.7373229","-6.9017363","Alamat","PERSIS, JL RE MARTADINATA KARANGASEM SELATAN KLIDANG KONGSI RT.002/005 SEBRANG SELATAN PUSKESMAS BATANG 2 SEBELAH GANG LOHAN, Katibyan, South Karangasem, Batang, Batang Regency, Central Java 51216"
"JNT EXPRESS LOKET BERKAH",5,7,"","https://www.google.com/maps/place/JNT+EXPRESS+LOKET+BERKAH/data=!4m7!3m6!1s0x2e702547d19d6063:0x334274fdbf33c1b6!8m2!3d-6.9017363!4d109.7373229!16s%2Fg%2F11p6wqdk34!19sChIJY2Cd0UclcC4RtsEzv_10QjM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+EXPRESS+LOKET+BERKAH/@-6.9017363,109.7373229,17z/data=!3m1!4b1!4m6!3m5!1s0x2e702547d19d6063:0x334274fdbf33c1b6!8m2!3d-6.9017363!4d109.7373229!16s%2Fg%2F11p6wqdk34?authuser=0&hl=id&entry=ttu","109.7373229","-6.9017363","Telepon","0877-7888-4471"
"JNT EXPRESS LOKET BERKAH",5,7,"","https://www.google.com/maps/place/JNT+EXPRESS+LOKET+BERKAH/data=!4m7!3m6!1s0x2e702547d19d6063:0x334274fdbf33c1b6!8m2!3d-6.9017363!4d109.7373229!16s%2Fg%2F11p6wqdk34!19sChIJY2Cd0UclcC4RtsEzv_10QjM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+EXPRESS+LOKET+BERKAH/@-6.9017363,109.7373229,17z/data=!3m1!4b1!4m6!3m5!1s0x2e702547d19d6063:0x334274fdbf33c1b6!8m2!3d-6.9017363!4d109.7373229!16s%2Fg%2F11p6wqdk34?authuser=0&hl=id&entry=ttu","109.7373229","-6.9017363","Plus Codes","3PXP+8W Karangasem Sel., Kabupaten Batang, Jawa Tengah"
"Wu-ling Service Hp & J&t Express",4.3,7,"","https://www.google.com/maps/place/Wu-ling+Service+Hp+%26+J%26t+Express/data=!4m7!3m6!1s0x2dd20fdd427d844b:0x2cac87742ca89be5!8m2!3d-8.5026191!4d115.5075478!16s%2Fg%2F11h03g0l2j!19sChIJS4R9Qt0P0i0R5ZuoLHSHrCw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Wu-ling+Service+Hp+%26+J%26t+Express/@-8.5026191,115.5075478,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd20fdd427d844b:0x2cac87742ca89be5!8m2!3d-8.5026191!4d115.5075478!16s%2Fg%2F11h03g0l2j?authuser=0&hl=id&entry=ttu","115.5075478","-8.5026191","Alamat","Jl. Raya Ulakan-Karangasem, Ulakan, Kec. Manggis, Kabupaten Karangasem, Bali 80871"
"Wu-ling Service Hp & J&t Express",4.3,7,"","https://www.google.com/maps/place/Wu-ling+Service+Hp+%26+J%26t+Express/data=!4m7!3m6!1s0x2dd20fdd427d844b:0x2cac87742ca89be5!8m2!3d-8.5026191!4d115.5075478!16s%2Fg%2F11h03g0l2j!19sChIJS4R9Qt0P0i0R5ZuoLHSHrCw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Wu-ling+Service+Hp+%26+J%26t+Express/@-8.5026191,115.5075478,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd20fdd427d844b:0x2cac87742ca89be5!8m2!3d-8.5026191!4d115.5075478!16s%2Fg%2F11h03g0l2j?authuser=0&hl=id&entry=ttu","115.5075478","-8.5026191","Telepon","0852-3888-8830"
"Wu-ling Service Hp & J&t Express",4.3,7,"","https://www.google.com/maps/place/Wu-ling+Service+Hp+%26+J%26t+Express/data=!4m7!3m6!1s0x2dd20fdd427d844b:0x2cac87742ca89be5!8m2!3d-8.5026191!4d115.5075478!16s%2Fg%2F11h03g0l2j!19sChIJS4R9Qt0P0i0R5ZuoLHSHrCw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Wu-ling+Service+Hp+%26+J%26t+Express/@-8.5026191,115.5075478,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd20fdd427d844b:0x2cac87742ca89be5!8m2!3d-8.5026191!4d115.5075478!16s%2Fg%2F11h03g0l2j?authuser=0&hl=id&entry=ttu","115.5075478","-8.5026191","Plus Codes","FGW5+X2 Manggis, Kabupaten Karangasem, Bali"
"J&T Express MERITA",3.4,38,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+MERITA/data=!4m7!3m6!1s0x2dd201fda08533ed:0x95e2bc7b698dcc00!8m2!3d-8.3337933!4d115.6138162!16s%2Fg%2F11r9h383_j!19sChIJ7TOFoP0B0i0RAMyNaXu84pU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+MERITA/@-8.3337933,115.6138162,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd201fda08533ed:0x95e2bc7b698dcc00!8m2!3d-8.3337933!4d115.6138162!16s%2Fg%2F11r9h383_j?authuser=0&hl=id&entry=ttu","115.6138162","-8.3337933","Alamat","MJ87+FGP, Jl. Kubu, Laba Sari, Kec. Abang, Kabupaten Karangasem, Bali 80852"
"J&T Express DP Amlapura",2,85,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+DP+Amlapura/data=!4m7!3m6!1s0x2dd2071d6d0963d7:0xd6b18ebd20f39433!8m2!3d-8.4501387!4d115.5928408!16s%2Fg%2F11jv580vwx!19sChIJ12MJbR0H0i0RM5TzIL2OsdY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Amlapura/@-8.4501387,115.5928408,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd2071d6d0963d7:0xd6b18ebd20f39433!8m2!3d-8.4501387!4d115.5928408!16s%2Fg%2F11jv580vwx?authuser=0&hl=id&entry=ttu","115.5928408","-8.4501387","Alamat","Jl. Nenas, Bungaya Kangin, Kec. Bebandem, Kabupaten Karangasem, Bali 80811"
"J&T Express DP Amlapura",2,85,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+DP+Amlapura/data=!4m7!3m6!1s0x2dd2071d6d0963d7:0xd6b18ebd20f39433!8m2!3d-8.4501387!4d115.5928408!16s%2Fg%2F11jv580vwx!19sChIJ12MJbR0H0i0RM5TzIL2OsdY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Amlapura/@-8.4501387,115.5928408,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd2071d6d0963d7:0xd6b18ebd20f39433!8m2!3d-8.4501387!4d115.5928408!16s%2Fg%2F11jv580vwx?authuser=0&hl=id&entry=ttu","115.5928408","-8.4501387","Plus Codes","GHXV+W4 Bungaya Kangin, Kabupaten Karangasem, Bali"
"JNT Cargo Karangasem",4.1,7,"Segera tutup ⋅ 17.00 ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/JNT+Cargo+Karangasem/data=!4m7!3m6!1s0x2dd20716fedc279b:0xc72b2bce94d3dff4!8m2!3d-8.4377313!4d115.6007376!16s%2Fg%2F11tfxbd0cf!19sChIJmyfc_hYH0i0R9N_TlM4rK8c?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+Cargo+Karangasem/@-8.4377313,115.6007376,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd20716fedc279b:0xc72b2bce94d3dff4!8m2!3d-8.4377313!4d115.6007376!16s%2Fg%2F11tfxbd0cf?authuser=0&hl=id&entry=ttu","115.6007376","-8.4377313","Alamat","HJ62+V8R Unnamed Road, Padang Kerta, Kec. Karangasem, Kabupaten Karangasem, Bali 80811"
