"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Kebumen ( Drop Point 01 )",3.9,524,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Kebumen+%28+Drop+Point+01+%29/data=!4m7!3m6!1s0x2e7aca0382c8873f:0x2a1c950e20c7d147!8m2!3d-7.6731845!4d109.658683!16s%2Fg%2F11f1n9j7px!19sChIJP4fIggPKei4RR9HHIA6VHCo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Kebumen+(+Drop+Point+01+)/@-7.6731845,109.658683,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aca0382c8873f:0x2a1c950e20c7d147!8m2!3d-7.6731845!4d109.658683!16s%2Fg%2F11f1n9j7px?authuser=0&hl=id&entry=ttu","109.658683","-7.6731845","Alamat","Jl. Pramuka No.44, Pasarpari, Kebumen, Kec. Kebumen, Kabupaten Kebumen, Jawa Tengah 54311"
"J&T Kebumen ( Drop Point 01 )",3.9,524,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Kebumen+%28+Drop+Point+01+%29/data=!4m7!3m6!1s0x2e7aca0382c8873f:0x2a1c950e20c7d147!8m2!3d-7.6731845!4d109.658683!16s%2Fg%2F11f1n9j7px!19sChIJP4fIggPKei4RR9HHIA6VHCo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Kebumen+(+Drop+Point+01+)/@-7.6731845,109.658683,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aca0382c8873f:0x2a1c950e20c7d147!8m2!3d-7.6731845!4d109.658683!16s%2Fg%2F11f1n9j7px?authuser=0&hl=id&entry=ttu","109.658683","-7.6731845","Situs Web","jet.co.id"
"J&T Kebumen ( Drop Point 01 )",3.9,524,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Kebumen+%28+Drop+Point+01+%29/data=!4m7!3m6!1s0x2e7aca0382c8873f:0x2a1c950e20c7d147!8m2!3d-7.6731845!4d109.658683!16s%2Fg%2F11f1n9j7px!19sChIJP4fIggPKei4RR9HHIA6VHCo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Kebumen+(+Drop+Point+01+)/@-7.6731845,109.658683,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aca0382c8873f:0x2a1c950e20c7d147!8m2!3d-7.6731845!4d109.658683!16s%2Fg%2F11f1n9j7px?authuser=0&hl=id&entry=ttu","109.658683","-7.6731845","Plus Codes","8MG5+PF Kebumen, Kabupaten Kebumen, Jawa Tengah"
"J&T Express DC KEBUMEN",3.6,54,"unknown","https://www.google.com/maps/place/J%26T+Express+DC+KEBUMEN/data=!4m7!3m6!1s0x2e7acb2eeb59c465:0x377012a3787e21e5!8m2!3d-7.6690822!4d109.6710761!16s%2Fg%2F11fnwt185j!19sChIJZcRZ6y7Lei4R5SF-eKMScDc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DC+KEBUMEN/@-7.6690822,109.6710761,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7acb2eeb59c465:0x377012a3787e21e5!8m2!3d-7.6690822!4d109.6710761!16s%2Fg%2F11fnwt185j?authuser=0&hl=id&entry=ttu","109.6710761","-7.6690822","Alamat","Jl. Tentara Pelajar No.35, Kawedusan, Kec. Kebumen, Kabupaten Kebumen, Jawa Tengah 54317"
"J&T Express DC KEBUMEN",3.6,54,"unknown","https://www.google.com/maps/place/J%26T+Express+DC+KEBUMEN/data=!4m7!3m6!1s0x2e7acb2eeb59c465:0x377012a3787e21e5!8m2!3d-7.6690822!4d109.6710761!16s%2Fg%2F11fnwt185j!19sChIJZcRZ6y7Lei4R5SF-eKMScDc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DC+KEBUMEN/@-7.6690822,109.6710761,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7acb2eeb59c465:0x377012a3787e21e5!8m2!3d-7.6690822!4d109.6710761!16s%2Fg%2F11fnwt185j?authuser=0&hl=id&entry=ttu","109.6710761","-7.6690822","Situs Web","jet.co.id"
"J&T Express DC KEBUMEN",3.6,54,"unknown","https://www.google.com/maps/place/J%26T+Express+DC+KEBUMEN/data=!4m7!3m6!1s0x2e7acb2eeb59c465:0x377012a3787e21e5!8m2!3d-7.6690822!4d109.6710761!16s%2Fg%2F11fnwt185j!19sChIJZcRZ6y7Lei4R5SF-eKMScDc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DC+KEBUMEN/@-7.6690822,109.6710761,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7acb2eeb59c465:0x377012a3787e21e5!8m2!3d-7.6690822!4d109.6710761!16s%2Fg%2F11fnwt185j?authuser=0&hl=id&entry=ttu","109.6710761","-7.6690822","Telepon","(0287) 8000070"
"J&T Express DC KEBUMEN",3.6,54,"unknown","https://www.google.com/maps/place/J%26T+Express+DC+KEBUMEN/data=!4m7!3m6!1s0x2e7acb2eeb59c465:0x377012a3787e21e5!8m2!3d-7.6690822!4d109.6710761!16s%2Fg%2F11fnwt185j!19sChIJZcRZ6y7Lei4R5SF-eKMScDc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DC+KEBUMEN/@-7.6690822,109.6710761,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7acb2eeb59c465:0x377012a3787e21e5!8m2!3d-7.6690822!4d109.6710761!16s%2Fg%2F11fnwt185j?authuser=0&hl=id&entry=ttu","109.6710761","-7.6690822","Plus Codes","8MJC+9C Kawedusan, Kabupaten Kebumen, Jawa Tengah"
"J&T Cargo",4.6,12,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Cargo/data=!4m7!3m6!1s0x2e7aca024901c0ad:0x460b9cab325b7697!8m2!3d-7.672009!4d109.6615401!16s%2Fg%2F11rq208mpn!19sChIJrcABSQLKei4Rl3ZbMqucC0Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo/@-7.672009,109.6615401,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aca024901c0ad:0x460b9cab325b7697!8m2!3d-7.672009!4d109.6615401!16s%2Fg%2F11rq208mpn?authuser=0&hl=id&entry=ttu","109.6615401","-7.672009","Alamat","Jl. Ahmad Yani Jl. Dukuh No.16, Dukuh, Kebumen, Kec. Kebumen, Kabupaten Kebumen, Jawa Tengah 54311"
"J&T Cargo",4.6,12,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Cargo/data=!4m7!3m6!1s0x2e7aca024901c0ad:0x460b9cab325b7697!8m2!3d-7.672009!4d109.6615401!16s%2Fg%2F11rq208mpn!19sChIJrcABSQLKei4Rl3ZbMqucC0Y?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo/@-7.672009,109.6615401,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7aca024901c0ad:0x460b9cab325b7697!8m2!3d-7.672009!4d109.6615401!16s%2Fg%2F11rq208mpn?authuser=0&hl=id&entry=ttu","109.6615401","-7.672009","Plus Codes","8MH6+5J Kebumen, Kabupaten Kebumen, Jawa Tengah"
"J&T Cargo Kebumen (KBM004B)",5,17,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Cargo+Kebumen+%28KBM004B%29/data=!4m7!3m6!1s0x2e7ac9ae2a92dc11:0x433dfbe650bee18e!8m2!3d-7.6930444!4d109.6935708!16s%2Fg%2F11s787nnqk!19sChIJEdySKq7Jei4RjuG-UOb7PUM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Kebumen+(KBM004B)/@-7.6930444,109.6935708,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7ac9ae2a92dc11:0x433dfbe650bee18e!8m2!3d-7.6930444!4d109.6935708!16s%2Fg%2F11s787nnqk?authuser=0&hl=id&entry=ttu","109.6935708","-7.6930444","Alamat","8M4V+QCP, Jl. Kutoarjo, Kedungbener, Wonosari, Kec. Kebumen, Kabupaten Kebumen, Jawa Tengah"
