"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Lamongan",3,620,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Lamongan/data=!4m7!3m6!1s0x2e77f0b76b3ae10f:0x8f505a7ce1fa1ecc!8m2!3d-7.1182775!4d112.4102446!16s%2Fg%2F11c594nr_g!19sChIJD-E6a7fwdy4RzB764XxaUI8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Lamongan/@-7.1182775,112.4102446,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f0b76b3ae10f:0x8f505a7ce1fa1ecc!8m2!3d-7.1182775!4d112.4102446!16s%2Fg%2F11c594nr_g?authuser=0&hl=id&entry=ttu","112.4102446","-7.1182775","Alamat","Jl. Sunan Kalijaga No.86, Tumenggungan, Sukorejo, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62215"
"J&T Express Lamongan",3,620,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Lamongan/data=!4m7!3m6!1s0x2e77f0b76b3ae10f:0x8f505a7ce1fa1ecc!8m2!3d-7.1182775!4d112.4102446!16s%2Fg%2F11c594nr_g!19sChIJD-E6a7fwdy4RzB764XxaUI8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Lamongan/@-7.1182775,112.4102446,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f0b76b3ae10f:0x8f505a7ce1fa1ecc!8m2!3d-7.1182775!4d112.4102446!16s%2Fg%2F11c594nr_g?authuser=0&hl=id&entry=ttu","112.4102446","-7.1182775","Situs Web","jet.co.id"
"J&T Express Lamongan",3,620,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Lamongan/data=!4m7!3m6!1s0x2e77f0b76b3ae10f:0x8f505a7ce1fa1ecc!8m2!3d-7.1182775!4d112.4102446!16s%2Fg%2F11c594nr_g!19sChIJD-E6a7fwdy4RzB764XxaUI8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Lamongan/@-7.1182775,112.4102446,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f0b76b3ae10f:0x8f505a7ce1fa1ecc!8m2!3d-7.1182775!4d112.4102446!16s%2Fg%2F11c594nr_g?authuser=0&hl=id&entry=ttu","112.4102446","-7.1182775","Telepon","(0322) 3101131"
"J&T Express Lamongan",3,620,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Lamongan/data=!4m7!3m6!1s0x2e77f0b76b3ae10f:0x8f505a7ce1fa1ecc!8m2!3d-7.1182775!4d112.4102446!16s%2Fg%2F11c594nr_g!19sChIJD-E6a7fwdy4RzB764XxaUI8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Lamongan/@-7.1182775,112.4102446,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f0b76b3ae10f:0x8f505a7ce1fa1ecc!8m2!3d-7.1182775!4d112.4102446!16s%2Fg%2F11c594nr_g?authuser=0&hl=id&entry=ttu","112.4102446","-7.1182775","Plus Codes","VCJ6+M3 Sukorejo, Kabupaten Lamongan, Jawa Timur"
"J&T Express Lamongan (CP Lamongan)",3.4,38,"unknown","https://www.google.com/maps/place/J%26T+Express+Lamongan+%28CP+Lamongan%29/data=!4m7!3m6!1s0x2e77f7fa91071ab1:0x444974855fd783de!8m2!3d-7.1435762!4d112.4122344!16s%2Fg%2F11ppg96d67!19sChIJsRoHkfr3dy4R3oPXX4V0SUQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Lamongan+(CP+Lamongan)/@-7.1435762,112.4122344,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f7fa91071ab1:0x444974855fd783de!8m2!3d-7.1435762!4d112.4122344!16s%2Fg%2F11ppg96d67?authuser=0&hl=id&entry=ttu","112.4122344","-7.1435762","Alamat","Jl. Sunan Drajat No.337, Kaloharjo, Sidomukti, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62218"
"J&T Express Lamongan (CP Lamongan)",3.4,38,"unknown","https://www.google.com/maps/place/J%26T+Express+Lamongan+%28CP+Lamongan%29/data=!4m7!3m6!1s0x2e77f7fa91071ab1:0x444974855fd783de!8m2!3d-7.1435762!4d112.4122344!16s%2Fg%2F11ppg96d67!19sChIJsRoHkfr3dy4R3oPXX4V0SUQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Lamongan+(CP+Lamongan)/@-7.1435762,112.4122344,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f7fa91071ab1:0x444974855fd783de!8m2!3d-7.1435762!4d112.4122344!16s%2Fg%2F11ppg96d67?authuser=0&hl=id&entry=ttu","112.4122344","-7.1435762","Situs Web","jet.co.id"
"J&T Express Lamongan (CP Lamongan)",3.4,38,"unknown","https://www.google.com/maps/place/J%26T+Express+Lamongan+%28CP+Lamongan%29/data=!4m7!3m6!1s0x2e77f7fa91071ab1:0x444974855fd783de!8m2!3d-7.1435762!4d112.4122344!16s%2Fg%2F11ppg96d67!19sChIJsRoHkfr3dy4R3oPXX4V0SUQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Lamongan+(CP+Lamongan)/@-7.1435762,112.4122344,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f7fa91071ab1:0x444974855fd783de!8m2!3d-7.1435762!4d112.4122344!16s%2Fg%2F11ppg96d67?authuser=0&hl=id&entry=ttu","112.4122344","-7.1435762","Plus Codes","VC46+HV Sidomukti, Kabupaten Lamongan, Jawa Timur"
"J&T Cargo Lamongan Kota",3.4,22,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Lamongan+Kota/data=!4m7!3m6!1s0x2e77f10369af6549:0x3ca4572136551933!8m2!3d-7.1118989!4d112.4083668!16s%2Fg%2F11rd8ct1bk!19sChIJSWWvaQPxdy4RMxlVNiFXpDw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Lamongan+Kota/@-7.1118989,112.4083668,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f10369af6549:0x3ca4572136551933!8m2!3d-7.1118989!4d112.4083668!16s%2Fg%2F11rd8ct1bk?authuser=0&hl=id&entry=ttu","112.4083668","-7.1118989","Alamat","Ruko Lamongan Trade Center (LTC) Kav B-28, Jl. Sunan Giri, Tumenggungan, Kec. Lamongan, Jawa Timur 62217"
"J&T Cargo Lamongan Kota",3.4,22,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Lamongan+Kota/data=!4m7!3m6!1s0x2e77f10369af6549:0x3ca4572136551933!8m2!3d-7.1118989!4d112.4083668!16s%2Fg%2F11rd8ct1bk!19sChIJSWWvaQPxdy4RMxlVNiFXpDw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Lamongan+Kota/@-7.1118989,112.4083668,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f10369af6549:0x3ca4572136551933!8m2!3d-7.1118989!4d112.4083668!16s%2Fg%2F11rd8ct1bk?authuser=0&hl=id&entry=ttu","112.4083668","-7.1118989","Situs Web","jtcargo.id"
"J&T Cargo Lamongan Kota",3.4,22,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Lamongan+Kota/data=!4m7!3m6!1s0x2e77f10369af6549:0x3ca4572136551933!8m2!3d-7.1118989!4d112.4083668!16s%2Fg%2F11rd8ct1bk!19sChIJSWWvaQPxdy4RMxlVNiFXpDw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Lamongan+Kota/@-7.1118989,112.4083668,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f10369af6549:0x3ca4572136551933!8m2!3d-7.1118989!4d112.4083668!16s%2Fg%2F11rd8ct1bk?authuser=0&hl=id&entry=ttu","112.4083668","-7.1118989","Telepon","0812-1660-1847"
"J&T Cargo Lamongan Kota",3.4,22,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Lamongan+Kota/data=!4m7!3m6!1s0x2e77f10369af6549:0x3ca4572136551933!8m2!3d-7.1118989!4d112.4083668!16s%2Fg%2F11rd8ct1bk!19sChIJSWWvaQPxdy4RMxlVNiFXpDw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Lamongan+Kota/@-7.1118989,112.4083668,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f10369af6549:0x3ca4572136551933!8m2!3d-7.1118989!4d112.4083668!16s%2Fg%2F11rd8ct1bk?authuser=0&hl=id&entry=ttu","112.4083668","-7.1118989","Plus Codes","VCQ5+68 Tumenggungan, Kabupaten Lamongan, Jawa Timur"
"J&T Cargo Lamongan",3.1,16,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Lamongan/data=!4m7!3m6!1s0x2e77f113491140fd:0xdb3114d7e1988262!8m2!3d-7.1147445!4d112.4137458!16s%2Fg%2F11sfkpn9bz!19sChIJ_UARSRPxdy4RYoKY4dcUMds?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Lamongan/@-7.1147445,112.4137458,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f113491140fd:0xdb3114d7e1988262!8m2!3d-7.1147445!4d112.4137458!16s%2Fg%2F11sfkpn9bz?authuser=0&hl=id&entry=ttu","112.4137458","-7.1147445","Alamat","Jl. Kusuma Bangsa No.13, Beringin, Tumenggungan, Kec. Lamongan, Kabupaten Lamongan, Jawa Timur 62214"
"J&T Cargo Lamongan",3.1,16,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Lamongan/data=!4m7!3m6!1s0x2e77f113491140fd:0xdb3114d7e1988262!8m2!3d-7.1147445!4d112.4137458!16s%2Fg%2F11sfkpn9bz!19sChIJ_UARSRPxdy4RYoKY4dcUMds?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Lamongan/@-7.1147445,112.4137458,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f113491140fd:0xdb3114d7e1988262!8m2!3d-7.1147445!4d112.4137458!16s%2Fg%2F11sfkpn9bz?authuser=0&hl=id&entry=ttu","112.4137458","-7.1147445","Telepon","0851-5817-7789"
"J&T Cargo Lamongan",3.1,16,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Lamongan/data=!4m7!3m6!1s0x2e77f113491140fd:0xdb3114d7e1988262!8m2!3d-7.1147445!4d112.4137458!16s%2Fg%2F11sfkpn9bz!19sChIJ_UARSRPxdy4RYoKY4dcUMds?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Lamongan/@-7.1147445,112.4137458,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f113491140fd:0xdb3114d7e1988262!8m2!3d-7.1147445!4d112.4137458!16s%2Fg%2F11sfkpn9bz?authuser=0&hl=id&entry=ttu","112.4137458","-7.1147445","Plus Codes","VCP7+4F Tumenggungan, Kabupaten Lamongan, Jawa Timur"
"J&T Cargo",4.8,79,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo/data=!4m7!3m6!1s0x6f386a360d3d1795:0x309b63f449c391bc!8m2!3d-7.1163813!4d112.4382965!16s%2Fg%2F11t7kx2gml!19sChIJlRc9DTZqOG8RvJHDSfRjmzA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo/@-7.1163813,112.4382965,17z/data=!3m1!4b1!4m6!3m5!1s0x6f386a360d3d1795:0x309b63f449c391bc!8m2!3d-7.1163813!4d112.4382965!16s%2Fg%2F11t7kx2gml?authuser=0&hl=id&entry=ttu","112.4382965","-7.1163813","Alamat","Jl. Deket No.6, Weru, Deket Kulon, Kec. Deket, Kabupaten Lamongan, Jawa Timur 62291"
"J&T Cargo",4.8,79,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo/data=!4m7!3m6!1s0x6f386a360d3d1795:0x309b63f449c391bc!8m2!3d-7.1163813!4d112.4382965!16s%2Fg%2F11t7kx2gml!19sChIJlRc9DTZqOG8RvJHDSfRjmzA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo/@-7.1163813,112.4382965,17z/data=!3m1!4b1!4m6!3m5!1s0x6f386a360d3d1795:0x309b63f449c391bc!8m2!3d-7.1163813!4d112.4382965!16s%2Fg%2F11t7kx2gml?authuser=0&hl=id&entry=ttu","112.4382965","-7.1163813","Telepon","0821-9000-0564"
"J&T Cargo",4.8,79,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo/data=!4m7!3m6!1s0x6f386a360d3d1795:0x309b63f449c391bc!8m2!3d-7.1163813!4d112.4382965!16s%2Fg%2F11t7kx2gml!19sChIJlRc9DTZqOG8RvJHDSfRjmzA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo/@-7.1163813,112.4382965,17z/data=!3m1!4b1!4m6!3m5!1s0x6f386a360d3d1795:0x309b63f449c391bc!8m2!3d-7.1163813!4d112.4382965!16s%2Fg%2F11t7kx2gml?authuser=0&hl=id&entry=ttu","112.4382965","-7.1163813","Plus Codes","VCMQ+C8 Deket Kulon, Kabupaten Lamongan, Jawa Timur"
"J&T Express Karanggeneng",3.3,112,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Karanggeneng/data=!4m7!3m6!1s0x2e77eee5b23c99e1:0x40e3fe71ad26846f!8m2!3d-7.0270972!4d112.3541599!16s%2Fg%2F11h9rvp_r4!19sChIJ4Zk8suXudy4Rb4QmrXH-40A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Karanggeneng/@-7.0270972,112.3541599,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77eee5b23c99e1:0x40e3fe71ad26846f!8m2!3d-7.0270972!4d112.3541599!16s%2Fg%2F11h9rvp_r4?authuser=0&hl=id&entry=ttu","112.3541599","-7.0270972","Alamat","Jl. Raya Karanggeneng No.50, Karanggeneng, Kec. Karang Geneng, Kabupaten Lamongan, Jawa Timur 62254"
"J&T Express Karanggeneng",3.3,112,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Karanggeneng/data=!4m7!3m6!1s0x2e77eee5b23c99e1:0x40e3fe71ad26846f!8m2!3d-7.0270972!4d112.3541599!16s%2Fg%2F11h9rvp_r4!19sChIJ4Zk8suXudy4Rb4QmrXH-40A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Karanggeneng/@-7.0270972,112.3541599,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77eee5b23c99e1:0x40e3fe71ad26846f!8m2!3d-7.0270972!4d112.3541599!16s%2Fg%2F11h9rvp_r4?authuser=0&hl=id&entry=ttu","112.3541599","-7.0270972","Situs Web","jet.co.id"
"J&T Express Karanggeneng",3.3,112,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Karanggeneng/data=!4m7!3m6!1s0x2e77eee5b23c99e1:0x40e3fe71ad26846f!8m2!3d-7.0270972!4d112.3541599!16s%2Fg%2F11h9rvp_r4!19sChIJ4Zk8suXudy4Rb4QmrXH-40A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Karanggeneng/@-7.0270972,112.3541599,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77eee5b23c99e1:0x40e3fe71ad26846f!8m2!3d-7.0270972!4d112.3541599!16s%2Fg%2F11h9rvp_r4?authuser=0&hl=id&entry=ttu","112.3541599","-7.0270972","Telepon","0856-0799-2544"
"J&T Express Karanggeneng",3.3,112,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Karanggeneng/data=!4m7!3m6!1s0x2e77eee5b23c99e1:0x40e3fe71ad26846f!8m2!3d-7.0270972!4d112.3541599!16s%2Fg%2F11h9rvp_r4!19sChIJ4Zk8suXudy4Rb4QmrXH-40A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Karanggeneng/@-7.0270972,112.3541599,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77eee5b23c99e1:0x40e3fe71ad26846f!8m2!3d-7.0270972!4d112.3541599!16s%2Fg%2F11h9rvp_r4?authuser=0&hl=id&entry=ttu","112.3541599","-7.0270972","Plus Codes","X9F3+5M Karanggeneng, Kabupaten Lamongan, Jawa Timur"
"J&T Express Moropelang",3.8,25,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Moropelang/data=!4m7!3m6!1s0x2e77f32e70dfb3f7:0xd3d0ff7f66018e65!8m2!3d-7.097133!4d112.269816!16s%2Fg%2F11rs0dtfgm!19sChIJ97PfcC7zdy4RZY4BZn__0NM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Moropelang/@-7.097133,112.269816,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77f32e70dfb3f7:0xd3d0ff7f66018e65!8m2!3d-7.097133!4d112.269816!16s%2Fg%2F11rs0dtfgm?authuser=0&hl=id&entry=ttu","112.269816","-7.097133","Alamat","W739+4WW, Jalan Raya, Moropelang, Babat, Lamongan Regency, East Java 62271"
"J&T Express Banjarwati",3.7,85,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Banjarwati/data=!4m7!3m6!1s0x2e77c2848bf6f7f7:0x2baf5b77a74a8c11!8m2!3d-6.8683052!4d112.3286582!16s%2Fg%2F11dfwz2803!19sChIJ9_f2i4TCdy4REYxKp3dbrys?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Banjarwati/@-6.8683052,112.3286582,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77c2848bf6f7f7:0x2baf5b77a74a8c11!8m2!3d-6.8683052!4d112.3286582!16s%2Fg%2F11dfwz2803?authuser=0&hl=id&entry=ttu","112.3286582","-6.8683052","Alamat","48JH+MFJ, Paciran, Kec. Paciran, Kabupaten Lamongan, Jawa Timur 62264"
"J&T Express Banjarwati",3.7,85,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Banjarwati/data=!4m7!3m6!1s0x2e77c2848bf6f7f7:0x2baf5b77a74a8c11!8m2!3d-6.8683052!4d112.3286582!16s%2Fg%2F11dfwz2803!19sChIJ9_f2i4TCdy4REYxKp3dbrys?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Banjarwati/@-6.8683052,112.3286582,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77c2848bf6f7f7:0x2baf5b77a74a8c11!8m2!3d-6.8683052!4d112.3286582!16s%2Fg%2F11dfwz2803?authuser=0&hl=id&entry=ttu","112.3286582","-6.8683052","Situs Web","jet.co.id"
"J&T Express Banjarwati",3.7,85,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Banjarwati/data=!4m7!3m6!1s0x2e77c2848bf6f7f7:0x2baf5b77a74a8c11!8m2!3d-6.8683052!4d112.3286582!16s%2Fg%2F11dfwz2803!19sChIJ9_f2i4TCdy4REYxKp3dbrys?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Banjarwati/@-6.8683052,112.3286582,17z/data=!3m1!4b1!4m6!3m5!1s0x2e77c2848bf6f7f7:0x2baf5b77a74a8c11!8m2!3d-6.8683052!4d112.3286582!16s%2Fg%2F11dfwz2803?authuser=0&hl=id&entry=ttu","112.3286582","-6.8683052","Telepon","0813-3222-2037"
