"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Metro Timur",4.2,128,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/J%26T+Express+Metro+Timur/data=!4m7!3m6!1s0x2e40bc032c7dff25:0x60cda8bd9a8c4e19!8m2!3d-5.1195447!4d105.3248125!16s%2Fg%2F11c5wm6d2k!19sChIJJf99LAO8QC4RGU6Mmr2ozWA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Metro+Timur/@-5.1195447,105.3248125,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bc032c7dff25:0x60cda8bd9a8c4e19!8m2!3d-5.1195447!4d105.3248125!16s%2Fg%2F11c5wm6d2k?authuser=0&hl=id&entry=ttu","105.3248125","-5.1195447","Alamat","V8JF+5WP, Jl. Ki Hajar Dewantara, Iringmulyo, Kec. Metro Tim., Kota Metro, Lampung 34124"
"J&T Express Metro Timur",4.2,128,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/J%26T+Express+Metro+Timur/data=!4m7!3m6!1s0x2e40bc032c7dff25:0x60cda8bd9a8c4e19!8m2!3d-5.1195447!4d105.3248125!16s%2Fg%2F11c5wm6d2k!19sChIJJf99LAO8QC4RGU6Mmr2ozWA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Metro+Timur/@-5.1195447,105.3248125,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bc032c7dff25:0x60cda8bd9a8c4e19!8m2!3d-5.1195447!4d105.3248125!16s%2Fg%2F11c5wm6d2k?authuser=0&hl=id&entry=ttu","105.3248125","-5.1195447","Situs Web","jet.co.id"
"J&T Express Metro Timur",4.2,128,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/J%26T+Express+Metro+Timur/data=!4m7!3m6!1s0x2e40bc032c7dff25:0x60cda8bd9a8c4e19!8m2!3d-5.1195447!4d105.3248125!16s%2Fg%2F11c5wm6d2k!19sChIJJf99LAO8QC4RGU6Mmr2ozWA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Metro+Timur/@-5.1195447,105.3248125,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bc032c7dff25:0x60cda8bd9a8c4e19!8m2!3d-5.1195447!4d105.3248125!16s%2Fg%2F11c5wm6d2k?authuser=0&hl=id&entry=ttu","105.3248125","-5.1195447","Telepon","0813-5553-7892"
"J&T Express Sekampung",3.9,51,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Sekampung/data=!4m7!3m6!1s0x2e409508f28ea7e7:0xe153fcdfc9ea6807!8m2!3d-5.1318912!4d105.439637!16s%2Fg%2F11h00kst4_!19sChIJ56eO8giVQC4RB2jqyd_8U-E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sekampung/@-5.1318912,105.439637,17z/data=!3m1!4b1!4m6!3m5!1s0x2e409508f28ea7e7:0xe153fcdfc9ea6807!8m2!3d-5.1318912!4d105.439637!16s%2Fg%2F11h00kst4_?authuser=0&hl=id&entry=ttu","105.439637","-5.1318912","Alamat","VC9Q+6VR, Unnamed Road, Sumber Gede, Kec. Sekampung, Kabupaten Lampung Timur, Lampung 34382"
"J&T Express Sekampung",3.9,51,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Sekampung/data=!4m7!3m6!1s0x2e409508f28ea7e7:0xe153fcdfc9ea6807!8m2!3d-5.1318912!4d105.439637!16s%2Fg%2F11h00kst4_!19sChIJ56eO8giVQC4RB2jqyd_8U-E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sekampung/@-5.1318912,105.439637,17z/data=!3m1!4b1!4m6!3m5!1s0x2e409508f28ea7e7:0xe153fcdfc9ea6807!8m2!3d-5.1318912!4d105.439637!16s%2Fg%2F11h00kst4_?authuser=0&hl=id&entry=ttu","105.439637","-5.1318912","Telepon","(0725) 7858720"
"J&T EXPRESS YOSODADI",4,29,"Buka ⋅ Tutup pukul 18.30","https://www.google.com/maps/place/J%26T+EXPRESS+YOSODADI/data=!4m7!3m6!1s0x2e40bd3defff74f9:0xa3206ac010d5dbc0!8m2!3d-5.082501!4d105.3599876!16s%2Fg%2F11g4fp204n!19sChIJ-XT_7z29QC4RwNvVEMBqIKM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+YOSODADI/@-5.082501,105.3599876,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bd3defff74f9:0xa3206ac010d5dbc0!8m2!3d-5.082501!4d105.3599876!16s%2Fg%2F11g4fp204n?authuser=0&hl=id&entry=ttu","105.3599876","-5.082501","Alamat","W985+XXX, Pekalongan, Kec. Pekalongan, Kabupaten Lampung Timur, Lampung 34391"
"J&T EXPRESS YOSODADI",4,29,"Buka ⋅ Tutup pukul 18.30","https://www.google.com/maps/place/J%26T+EXPRESS+YOSODADI/data=!4m7!3m6!1s0x2e40bd3defff74f9:0xa3206ac010d5dbc0!8m2!3d-5.082501!4d105.3599876!16s%2Fg%2F11g4fp204n!19sChIJ-XT_7z29QC4RwNvVEMBqIKM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+YOSODADI/@-5.082501,105.3599876,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40bd3defff74f9:0xa3206ac010d5dbc0!8m2!3d-5.082501!4d105.3599876!16s%2Fg%2F11g4fp204n?authuser=0&hl=id&entry=ttu","105.3599876","-5.082501","Telepon","(0725) 7858690"
"J&T Express DP Bandar Sribhawono",2.8,164,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+DP+Bandar+Sribhawono/data=!4m7!3m6!1s0x2e40f6409237e4c3:0x41807ff15f7036f9!8m2!3d-5.3065812!4d105.7439628!16s%2Fg%2F11c5wpgm_g!19sChIJw-Q3kkD2QC4R-TZwX_F_gEE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Bandar+Sribhawono/@-5.3065812,105.7439628,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40f6409237e4c3:0x41807ff15f7036f9!8m2!3d-5.3065812!4d105.7439628!16s%2Fg%2F11c5wpgm_g?authuser=0&hl=id&entry=ttu","105.7439628","-5.3065812","Alamat","Jl. Ir. Sutami, Sri Bawono, Kec. Bandar Sribawono, Kabupaten Lampung Timur, Lampung 34389"
"J&T Express DP Bandar Sribhawono",2.8,164,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+DP+Bandar+Sribhawono/data=!4m7!3m6!1s0x2e40f6409237e4c3:0x41807ff15f7036f9!8m2!3d-5.3065812!4d105.7439628!16s%2Fg%2F11c5wpgm_g!19sChIJw-Q3kkD2QC4R-TZwX_F_gEE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Bandar+Sribhawono/@-5.3065812,105.7439628,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40f6409237e4c3:0x41807ff15f7036f9!8m2!3d-5.3065812!4d105.7439628!16s%2Fg%2F11c5wpgm_g?authuser=0&hl=id&entry=ttu","105.7439628","-5.3065812","Situs Web","jet.co.id"
"J&T Express DP Bandar Sribhawono",2.8,164,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+DP+Bandar+Sribhawono/data=!4m7!3m6!1s0x2e40f6409237e4c3:0x41807ff15f7036f9!8m2!3d-5.3065812!4d105.7439628!16s%2Fg%2F11c5wpgm_g!19sChIJw-Q3kkD2QC4R-TZwX_F_gEE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Bandar+Sribhawono/@-5.3065812,105.7439628,17z/data=!3m1!4b1!4m6!3m5!1s0x2e40f6409237e4c3:0x41807ff15f7036f9!8m2!3d-5.3065812!4d105.7439628!16s%2Fg%2F11c5wpgm_g?authuser=0&hl=id&entry=ttu","105.7439628","-5.3065812","Telepon","0823-7563-0971"
