"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T EXPRESS PANDEGLANG",2.9,205,"Tutup ⋅ Buka Min pukul 09.00","https://www.google.com/maps/place/J%26T+EXPRESS+PANDEGLANG/data=!4m7!3m6!1s0x2e4223a79e53b0f7:0xb24fc8c6344a3bd9!8m2!3d-6.2807869!4d106.1189509!16s%2Fg%2F11ff3xd_4p!19sChIJ97BTnqcjQi4R2TtKNMbIT7I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+PANDEGLANG/@-6.2807869,106.1189509,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4223a79e53b0f7:0xb24fc8c6344a3bd9!8m2!3d-6.2807869!4d106.1189509!16s%2Fg%2F11ff3xd_4p?authuser=0&hl=id&entry=ttu","106.1189509","-6.2807869","Alamat","Jl. Raya Serang - Pandeglang, Pandeglang, Kec. Karang Tj., Kabupaten Pandeglang, Banten 42211"
"J&T EXPRESS PANDEGLANG",2.9,205,"Tutup ⋅ Buka Min pukul 09.00","https://www.google.com/maps/place/J%26T+EXPRESS+PANDEGLANG/data=!4m7!3m6!1s0x2e4223a79e53b0f7:0xb24fc8c6344a3bd9!8m2!3d-6.2807869!4d106.1189509!16s%2Fg%2F11ff3xd_4p!19sChIJ97BTnqcjQi4R2TtKNMbIT7I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+PANDEGLANG/@-6.2807869,106.1189509,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4223a79e53b0f7:0xb24fc8c6344a3bd9!8m2!3d-6.2807869!4d106.1189509!16s%2Fg%2F11ff3xd_4p?authuser=0&hl=id&entry=ttu","106.1189509","-6.2807869","Telepon","(0253) 5550432"
"J&T EXPRESS PANDEGLANG",2.9,205,"Tutup ⋅ Buka Min pukul 09.00","https://www.google.com/maps/place/J%26T+EXPRESS+PANDEGLANG/data=!4m7!3m6!1s0x2e4223a79e53b0f7:0xb24fc8c6344a3bd9!8m2!3d-6.2807869!4d106.1189509!16s%2Fg%2F11ff3xd_4p!19sChIJ97BTnqcjQi4R2TtKNMbIT7I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+PANDEGLANG/@-6.2807869,106.1189509,17z/data=!3m1!4b1!4m6!3m5!1s0x2e4223a79e53b0f7:0xb24fc8c6344a3bd9!8m2!3d-6.2807869!4d106.1189509!16s%2Fg%2F11ff3xd_4p?authuser=0&hl=id&entry=ttu","106.1189509","-6.2807869","Plus Codes","P499+MH Pandeglang, Kabupaten Pandeglang, Banten"
"J&T Express DP Majasari",3.8,104,"Tutup ⋅ Buka Min pukul 09.00","https://www.google.com/maps/place/J%26T+Express+DP+Majasari/data=!4m7!3m6!1s0x2e423cca54fc5da3:0x660267c868bc66cd!8m2!3d-6.3237753!4d106.0942337!16s%2Fg%2F11fzfhs920!19sChIJo138VMo8Qi4RzWa8aMhnAmY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Majasari/@-6.3237753,106.0942337,17z/data=!3m1!4b1!4m6!3m5!1s0x2e423cca54fc5da3:0x660267c868bc66cd!8m2!3d-6.3237753!4d106.0942337!16s%2Fg%2F11fzfhs920?authuser=0&hl=id&entry=ttu","106.0942337","-6.3237753","Alamat","Jl.Raya Labuan Km.3 Cidangiang, Saruni, Kec. Majasari, Kabupaten Pandeglang, Banten 42219"
"J&T Express DP Majasari",3.8,104,"Tutup ⋅ Buka Min pukul 09.00","https://www.google.com/maps/place/J%26T+Express+DP+Majasari/data=!4m7!3m6!1s0x2e423cca54fc5da3:0x660267c868bc66cd!8m2!3d-6.3237753!4d106.0942337!16s%2Fg%2F11fzfhs920!19sChIJo138VMo8Qi4RzWa8aMhnAmY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Majasari/@-6.3237753,106.0942337,17z/data=!3m1!4b1!4m6!3m5!1s0x2e423cca54fc5da3:0x660267c868bc66cd!8m2!3d-6.3237753!4d106.0942337!16s%2Fg%2F11fzfhs920?authuser=0&hl=id&entry=ttu","106.0942337","-6.3237753","Situs Web","m.facebook.com"
"J&T Express DP Majasari",3.8,104,"Tutup ⋅ Buka Min pukul 09.00","https://www.google.com/maps/place/J%26T+Express+DP+Majasari/data=!4m7!3m6!1s0x2e423cca54fc5da3:0x660267c868bc66cd!8m2!3d-6.3237753!4d106.0942337!16s%2Fg%2F11fzfhs920!19sChIJo138VMo8Qi4RzWa8aMhnAmY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Majasari/@-6.3237753,106.0942337,17z/data=!3m1!4b1!4m6!3m5!1s0x2e423cca54fc5da3:0x660267c868bc66cd!8m2!3d-6.3237753!4d106.0942337!16s%2Fg%2F11fzfhs920?authuser=0&hl=id&entry=ttu","106.0942337","-6.3237753","Telepon","(0253) 5550432"
"J&T Express DP Majasari",3.8,104,"Tutup ⋅ Buka Min pukul 09.00","https://www.google.com/maps/place/J%26T+Express+DP+Majasari/data=!4m7!3m6!1s0x2e423cca54fc5da3:0x660267c868bc66cd!8m2!3d-6.3237753!4d106.0942337!16s%2Fg%2F11fzfhs920!19sChIJo138VMo8Qi4RzWa8aMhnAmY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Majasari/@-6.3237753,106.0942337,17z/data=!3m1!4b1!4m6!3m5!1s0x2e423cca54fc5da3:0x660267c868bc66cd!8m2!3d-6.3237753!4d106.0942337!16s%2Fg%2F11fzfhs920?authuser=0&hl=id&entry=ttu","106.0942337","-6.3237753","Plus Codes","M3GV+FM Saruni, Kabupaten Pandeglang, Banten"
"JNT expres",3.9,32,"unknown","https://www.google.com/maps/place/JNT+expres/data=!4m7!3m6!1s0x2e42355eab81ffaf:0xb4b211b5d8ed5516!8m2!3d-6.4853685!4d105.8046712!16s%2Fg%2F11g0h1ry96!19sChIJr_-Bq141Qi4RFlXt2LURsrQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+expres/@-6.4853685,105.8046712,17z/data=!3m1!4b1!4m6!3m5!1s0x2e42355eab81ffaf:0xb4b211b5d8ed5516!8m2!3d-6.4853685!4d105.8046712!16s%2Fg%2F11g0h1ry96?authuser=0&hl=id&entry=ttu","105.8046712","-6.4853685","Alamat","Jl. Raya Labuan-Panimbang No.No, Sidamukti, Kec. Panimbang, Kabupaten Pandeglang, Banten 42281"
"JNT expres",3.9,32,"unknown","https://www.google.com/maps/place/JNT+expres/data=!4m7!3m6!1s0x2e42355eab81ffaf:0xb4b211b5d8ed5516!8m2!3d-6.4853685!4d105.8046712!16s%2Fg%2F11g0h1ry96!19sChIJr_-Bq141Qi4RFlXt2LURsrQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+expres/@-6.4853685,105.8046712,17z/data=!3m1!4b1!4m6!3m5!1s0x2e42355eab81ffaf:0xb4b211b5d8ed5516!8m2!3d-6.4853685!4d105.8046712!16s%2Fg%2F11g0h1ry96?authuser=0&hl=id&entry=ttu","105.8046712","-6.4853685","Plus Codes","GR73+VV Sidamukti, Kabupaten Pandeglang, Banten"
"J&T Cargo Pandeglang",3.8,20,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Pandeglang/data=!4m7!3m6!1s0x2e423d54d9ef9535:0x522a97737aea88f8!8m2!3d-6.3268986!4d106.0873778!16s%2Fg%2F11p0w349by!19sChIJNZXv2VQ9Qi4R-IjqenOXKlI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Pandeglang/@-6.3268986,106.0873778,17z/data=!3m1!4b1!4m6!3m5!1s0x2e423d54d9ef9535:0x522a97737aea88f8!8m2!3d-6.3268986!4d106.0873778!16s%2Fg%2F11p0w349by?authuser=0&hl=id&entry=ttu","106.0873778","-6.3268986","Alamat","Jl. Term. Abdul Halim, Saruni, Kec. Majasari, Kabupaten Pandeglang, Banten 42219"
