"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Pasaman (PSB01)",3.6,145,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Pasaman+%28PSB01%29/data=!4m7!3m6!1s0x302a7c7b0e5cf325:0xf93afce4c42065ca!8m2!3d0.092024!4d99.8256124!16s%2Fg%2F11f3s3c83c!19sChIJJfNcDnt8KjARymUgxOT8Ovk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pasaman+(PSB01)/@0.092024,99.8256124,17z/data=!3m1!4b1!4m6!3m5!1s0x302a7c7b0e5cf325:0xf93afce4c42065ca!8m2!3d0.092024!4d99.8256124!16s%2Fg%2F11f3s3c83c?authuser=0&hl=id&entry=ttu","99.8256124","0.092024","Alamat","Pasaman baru, Jl. Raya SP. Empat, Lingkuang Aua, Kec. Pasaman, Kabupaten Pasaman Barat, Sumatera Barat 26566"
"J&T Express Pasaman (PSB01)",3.6,145,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Pasaman+%28PSB01%29/data=!4m7!3m6!1s0x302a7c7b0e5cf325:0xf93afce4c42065ca!8m2!3d0.092024!4d99.8256124!16s%2Fg%2F11f3s3c83c!19sChIJJfNcDnt8KjARymUgxOT8Ovk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pasaman+(PSB01)/@0.092024,99.8256124,17z/data=!3m1!4b1!4m6!3m5!1s0x302a7c7b0e5cf325:0xf93afce4c42065ca!8m2!3d0.092024!4d99.8256124!16s%2Fg%2F11f3s3c83c?authuser=0&hl=id&entry=ttu","99.8256124","0.092024","Situs Web","jet.co.id"
"J&T Express Pasaman (PSB01)",3.6,145,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Pasaman+%28PSB01%29/data=!4m7!3m6!1s0x302a7c7b0e5cf325:0xf93afce4c42065ca!8m2!3d0.092024!4d99.8256124!16s%2Fg%2F11f3s3c83c!19sChIJJfNcDnt8KjARymUgxOT8Ovk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pasaman+(PSB01)/@0.092024,99.8256124,17z/data=!3m1!4b1!4m6!3m5!1s0x302a7c7b0e5cf325:0xf93afce4c42065ca!8m2!3d0.092024!4d99.8256124!16s%2Fg%2F11f3s3c83c?authuser=0&hl=id&entry=ttu","99.8256124","0.092024","Telepon","(0753) 65852"
"J&T Express Pasaman (PSB01)",3.6,145,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Pasaman+%28PSB01%29/data=!4m7!3m6!1s0x302a7c7b0e5cf325:0xf93afce4c42065ca!8m2!3d0.092024!4d99.8256124!16s%2Fg%2F11f3s3c83c!19sChIJJfNcDnt8KjARymUgxOT8Ovk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pasaman+(PSB01)/@0.092024,99.8256124,17z/data=!3m1!4b1!4m6!3m5!1s0x302a7c7b0e5cf325:0xf93afce4c42065ca!8m2!3d0.092024!4d99.8256124!16s%2Fg%2F11f3s3c83c?authuser=0&hl=id&entry=ttu","99.8256124","0.092024","Plus Codes","3RRG+R6 Lingkuang Aua, Kabupaten Pasaman Barat, Sumatera Barat"
"J&T Express Kinali (PSB03)",3.7,62,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Kinali+%28PSB03%29/data=!4m7!3m6!1s0x2fd4b94d762aed79:0xff9fd3671c38ffc9!8m2!3d-0.0583005!4d99.9253332!16s%2Fg%2F11g0792jmj!19sChIJee0qdk251C8Ryf84HGfTn_8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Kinali+(PSB03)/@-0.0583005,99.9253332,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b94d762aed79:0xff9fd3671c38ffc9!8m2!3d-0.0583005!4d99.9253332!16s%2Fg%2F11g0792jmj?authuser=0&hl=id&entry=ttu","99.9253332","-0.0583005","Alamat","Jl. Lintas Kinali, Kinali, Kec. Kinali, Kabupaten Pasaman Barat, Sumatera Barat 26567"
"J&T Express Kinali (PSB03)",3.7,62,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Kinali+%28PSB03%29/data=!4m7!3m6!1s0x2fd4b94d762aed79:0xff9fd3671c38ffc9!8m2!3d-0.0583005!4d99.9253332!16s%2Fg%2F11g0792jmj!19sChIJee0qdk251C8Ryf84HGfTn_8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Kinali+(PSB03)/@-0.0583005,99.9253332,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b94d762aed79:0xff9fd3671c38ffc9!8m2!3d-0.0583005!4d99.9253332!16s%2Fg%2F11g0792jmj?authuser=0&hl=id&entry=ttu","99.9253332","-0.0583005","Situs Web","jet.co.id"
"J&T Express Kinali (PSB03)",3.7,62,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Kinali+%28PSB03%29/data=!4m7!3m6!1s0x2fd4b94d762aed79:0xff9fd3671c38ffc9!8m2!3d-0.0583005!4d99.9253332!16s%2Fg%2F11g0792jmj!19sChIJee0qdk251C8Ryf84HGfTn_8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Kinali+(PSB03)/@-0.0583005,99.9253332,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b94d762aed79:0xff9fd3671c38ffc9!8m2!3d-0.0583005!4d99.9253332!16s%2Fg%2F11g0792jmj?authuser=0&hl=id&entry=ttu","99.9253332","-0.0583005","Telepon","0822-8399-8491"
"J&T Express Kinali (PSB03)",3.7,62,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Kinali+%28PSB03%29/data=!4m7!3m6!1s0x2fd4b94d762aed79:0xff9fd3671c38ffc9!8m2!3d-0.0583005!4d99.9253332!16s%2Fg%2F11g0792jmj!19sChIJee0qdk251C8Ryf84HGfTn_8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Kinali+(PSB03)/@-0.0583005,99.9253332,17z/data=!3m1!4b1!4m6!3m5!1s0x2fd4b94d762aed79:0xff9fd3671c38ffc9!8m2!3d-0.0583005!4d99.9253332!16s%2Fg%2F11g0792jmj?authuser=0&hl=id&entry=ttu","99.9253332","-0.0583005","Plus Codes","WWRG+M4 Kinali, Kabupaten Pasaman Barat, Sumatera Barat"
"J&T Express Pasaman Barat",3,2,"unknown","https://www.google.com/maps/place/J%26T+Express+Pasaman+Barat/data=!4m7!3m6!1s0x302a7d242aaf5a65:0x9f6d1753b7ebffce!8m2!3d0.1085677!4d99.8202941!16s%2Fg%2F11kk43nq9n!19sChIJZVqvKiR9KjARzv_rt1MXbZ8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pasaman+Barat/@0.1085677,99.8202941,17z/data=!3m1!4b1!4m6!3m5!1s0x302a7d242aaf5a65:0x9f6d1753b7ebffce!8m2!3d0.1085677!4d99.8202941!16s%2Fg%2F11kk43nq9n?authuser=0&hl=id&entry=ttu","99.8202941","0.1085677","Alamat","4R5C+F53, Lingkuang Aua, Kec. Pasaman, Kabupaten Pasaman Barat, Sumatera Barat 26566"
"J&T Express Ujung Gading (PSB02)",2.3,4,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Ujung+Gading+%28PSB02%29/data=!4m7!3m6!1s0x302a6bf90a56351d:0xb14b83206088dd28!8m2!3d0.2713211!4d99.5576897!16s%2Fg%2F11r25xxgd6!19sChIJHTVWCvlrKjARKN2IYCCDS7E?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Ujung+Gading+(PSB02)/@0.2713211,99.5576897,17z/data=!3m1!4b1!4m6!3m5!1s0x302a6bf90a56351d:0xb14b83206088dd28!8m2!3d0.2713211!4d99.5576897!16s%2Fg%2F11r25xxgd6?authuser=0&hl=id&entry=ttu","99.5576897","0.2713211","Alamat","Jl. Gg. Murni, Ujung Gading, Kec. Lembah Malintang, Kabupaten Pasaman Barat, Sumatera Barat 26566"
