"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Meureudu",4.4,46,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+Meureudu/data=!4m7!3m6!1s0x3040b1a5eb71a1c1:0xb8097164182d5074!8m2!3d5.2512254!4d96.2470575!16s%2Fg%2F11h3jh2gr8!19sChIJwaFx66WxQDARdFAtGGRxCbg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Meureudu/@5.2512254,96.2470575,17z/data=!3m1!4b1!4m6!3m5!1s0x3040b1a5eb71a1c1:0xb8097164182d5074!8m2!3d5.2512254!4d96.2470575!16s%2Fg%2F11h3jh2gr8?authuser=0&hl=id&entry=ttu","96.2470575","5.2512254","Alamat","762W+FRV, Kota Meureudu, Kec. Meureudu, Kabupaten Pidie Jaya, Aceh"
"J&T Express Meureudu",4.4,46,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+Meureudu/data=!4m7!3m6!1s0x3040b1a5eb71a1c1:0xb8097164182d5074!8m2!3d5.2512254!4d96.2470575!16s%2Fg%2F11h3jh2gr8!19sChIJwaFx66WxQDARdFAtGGRxCbg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Meureudu/@5.2512254,96.2470575,17z/data=!3m1!4b1!4m6!3m5!1s0x3040b1a5eb71a1c1:0xb8097164182d5074!8m2!3d5.2512254!4d96.2470575!16s%2Fg%2F11h3jh2gr8?authuser=0&hl=id&entry=ttu","96.2470575","5.2512254","Situs Web","jet.co.id"
"J&T Express Meureudu",4.4,46,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+Meureudu/data=!4m7!3m6!1s0x3040b1a5eb71a1c1:0xb8097164182d5074!8m2!3d5.2512254!4d96.2470575!16s%2Fg%2F11h3jh2gr8!19sChIJwaFx66WxQDARdFAtGGRxCbg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Meureudu/@5.2512254,96.2470575,17z/data=!3m1!4b1!4m6!3m5!1s0x3040b1a5eb71a1c1:0xb8097164182d5074!8m2!3d5.2512254!4d96.2470575!16s%2Fg%2F11h3jh2gr8?authuser=0&hl=id&entry=ttu","96.2470575","5.2512254","Telepon","0823-6700-4595"
"J&T Sigli",3.9,68,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Sigli/data=!4m7!3m6!1s0x304093fd8b70c7bb:0xd040945fe862db3e!8m2!3d5.3700643!4d95.955415!16s%2Fg%2F11c4bchvg1!19sChIJu8dwi_2TQDARPtti6F-UQNA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Sigli/@5.3700643,95.955415,17z/data=!3m1!4b1!4m6!3m5!1s0x304093fd8b70c7bb:0xd040945fe862db3e!8m2!3d5.3700643!4d95.955415!16s%2Fg%2F11c4bchvg1?authuser=0&hl=id&entry=ttu","95.955415","5.3700643","Alamat","9XC4+25F, Jl. Medan B. Aceh, Cot Teungoh, Kec. Pidie, Kabupaten Pidie, Aceh 24151"
"J&T Express Calang/Aceh Jaya",3.7,55,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+Calang%2FAceh+Jaya/data=!4m7!3m6!1s0x303fa3693e39b1dd:0x1528e1a8022296f2!8m2!3d4.639619!4d95.5864552!16s%2Fg%2F11c71ntlpn!19sChIJ3bE5PmmjPzAR8pYiAqjhKBU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Calang%2FAceh+Jaya/@4.639619,95.5864552,17z/data=!3m1!4b1!4m6!3m5!1s0x303fa3693e39b1dd:0x1528e1a8022296f2!8m2!3d4.639619!4d95.5864552!16s%2Fg%2F11c71ntlpn?authuser=0&hl=id&entry=ttu","95.5864552","4.639619","Alamat","JL. PERTIWI CALANG KEL. INGIN JAYA KEC. ACEH JAYA, CALANG KAB. ACEH JAYA, Dayah Baro, Kec. Krueng Sabee, Kabupaten Aceh Jaya, Aceh 23655"
"J&T Express Calang/Aceh Jaya",3.7,55,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+Calang%2FAceh+Jaya/data=!4m7!3m6!1s0x303fa3693e39b1dd:0x1528e1a8022296f2!8m2!3d4.639619!4d95.5864552!16s%2Fg%2F11c71ntlpn!19sChIJ3bE5PmmjPzAR8pYiAqjhKBU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Calang%2FAceh+Jaya/@4.639619,95.5864552,17z/data=!3m1!4b1!4m6!3m5!1s0x303fa3693e39b1dd:0x1528e1a8022296f2!8m2!3d4.639619!4d95.5864552!16s%2Fg%2F11c71ntlpn?authuser=0&hl=id&entry=ttu","95.5864552","4.639619","Situs Web","jet.co.id"
"J&T Express Calang/Aceh Jaya",3.7,55,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+Calang%2FAceh+Jaya/data=!4m7!3m6!1s0x303fa3693e39b1dd:0x1528e1a8022296f2!8m2!3d4.639619!4d95.5864552!16s%2Fg%2F11c71ntlpn!19sChIJ3bE5PmmjPzAR8pYiAqjhKBU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Calang%2FAceh+Jaya/@4.639619,95.5864552,17z/data=!3m1!4b1!4m6!3m5!1s0x303fa3693e39b1dd:0x1528e1a8022296f2!8m2!3d4.639619!4d95.5864552!16s%2Fg%2F11c71ntlpn?authuser=0&hl=id&entry=ttu","95.5864552","4.639619","Plus Codes","JHQP+RH Dayah Baro, Kabupaten Aceh Jaya, Aceh"
"J&T CARGO SIGLI",3.6,66,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/J%26T+CARGO+SIGLI/data=!4m7!3m6!1s0x304783e90cac27d5:0x8eb6165aae493f02!8m2!3d5.3697954!4d95.9563034!16s%2Fg%2F11c53cpbgq!19sChIJ1SesDOmDRzARAj9JrloWto4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+SIGLI/@5.3697954,95.9563034,17z/data=!3m1!4b1!4m6!3m5!1s0x304783e90cac27d5:0x8eb6165aae493f02!8m2!3d5.3697954!4d95.9563034!16s%2Fg%2F11c53cpbgq?authuser=0&hl=id&entry=ttu","95.9563034","5.3697954","Alamat","deretan RSU Ibnu Sina, Jl lingkar, Cot Teungoh, Kec. Pidie, Kabupaten Pidie, Aceh"
"J&T CARGO SIGLI",3.6,66,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/J%26T+CARGO+SIGLI/data=!4m7!3m6!1s0x304783e90cac27d5:0x8eb6165aae493f02!8m2!3d5.3697954!4d95.9563034!16s%2Fg%2F11c53cpbgq!19sChIJ1SesDOmDRzARAj9JrloWto4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+SIGLI/@5.3697954,95.9563034,17z/data=!3m1!4b1!4m6!3m5!1s0x304783e90cac27d5:0x8eb6165aae493f02!8m2!3d5.3697954!4d95.9563034!16s%2Fg%2F11c53cpbgq?authuser=0&hl=id&entry=ttu","95.9563034","5.3697954","Situs Web","jtcargo.id"
"J&T CARGO SIGLI",3.6,66,"Buka ⋅ Tutup pukul 23.00","https://www.google.com/maps/place/J%26T+CARGO+SIGLI/data=!4m7!3m6!1s0x304783e90cac27d5:0x8eb6165aae493f02!8m2!3d5.3697954!4d95.9563034!16s%2Fg%2F11c53cpbgq!19sChIJ1SesDOmDRzARAj9JrloWto4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+SIGLI/@5.3697954,95.9563034,17z/data=!3m1!4b1!4m6!3m5!1s0x304783e90cac27d5:0x8eb6165aae493f02!8m2!3d5.3697954!4d95.9563034!16s%2Fg%2F11c53cpbgq?authuser=0&hl=id&entry=ttu","95.9563034","5.3697954","Telepon","0852-7700-0901"
