"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNT CARGO SMI 003A CIKOLE SUKABUMI | Jasa Pengiriman Kurir Paket Cargo Termurah Terdekat",4.9,63,"","https://www.google.com/maps/place/JNT+CARGO+SMI+003A+CIKOLE+SUKABUMI+%7C+Jasa+Pengiriman+Kurir+Paket+Cargo+Termurah+Terdekat/data=!4m7!3m6!1s0x2e6849696dd07aa9:0x4e8830dbcdaf0717!8m2!3d-6.9212403!4d106.9480419!16s%2Fg%2F11sgkh5q4c!19sChIJqXrQbWlJaC4RFwevzdswiE4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+CARGO+SMI+003A+CIKOLE+SUKABUMI+%7C+Jasa+Pengiriman+Kurir+Paket+Cargo+Termurah+Terdekat/@-6.9212403,106.9480419,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6849696dd07aa9:0x4e8830dbcdaf0717!8m2!3d-6.9212403!4d106.9480419!16s%2Fg%2F11sgkh5q4c?authuser=0&hl=id&entry=ttu","106.9480419","-6.9212403","Alamat","Jl. R.A. Kosasih No.260, Subangjaya, Kec. Cikole, Kabupaten Sukabumi, Jawa Barat 43116"
"JNT CARGO SMI 003A CIKOLE SUKABUMI | Jasa Pengiriman Kurir Paket Cargo Termurah Terdekat",4.9,63,"","https://www.google.com/maps/place/JNT+CARGO+SMI+003A+CIKOLE+SUKABUMI+%7C+Jasa+Pengiriman+Kurir+Paket+Cargo+Termurah+Terdekat/data=!4m7!3m6!1s0x2e6849696dd07aa9:0x4e8830dbcdaf0717!8m2!3d-6.9212403!4d106.9480419!16s%2Fg%2F11sgkh5q4c!19sChIJqXrQbWlJaC4RFwevzdswiE4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+CARGO+SMI+003A+CIKOLE+SUKABUMI+%7C+Jasa+Pengiriman+Kurir+Paket+Cargo+Termurah+Terdekat/@-6.9212403,106.9480419,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6849696dd07aa9:0x4e8830dbcdaf0717!8m2!3d-6.9212403!4d106.9480419!16s%2Fg%2F11sgkh5q4c?authuser=0&hl=id&entry=ttu","106.9480419","-6.9212403","Situs Web","jtcargo.id"
"JNT CARGO SMI 003A CIKOLE SUKABUMI | Jasa Pengiriman Kurir Paket Cargo Termurah Terdekat",4.9,63,"","https://www.google.com/maps/place/JNT+CARGO+SMI+003A+CIKOLE+SUKABUMI+%7C+Jasa+Pengiriman+Kurir+Paket+Cargo+Termurah+Terdekat/data=!4m7!3m6!1s0x2e6849696dd07aa9:0x4e8830dbcdaf0717!8m2!3d-6.9212403!4d106.9480419!16s%2Fg%2F11sgkh5q4c!19sChIJqXrQbWlJaC4RFwevzdswiE4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+CARGO+SMI+003A+CIKOLE+SUKABUMI+%7C+Jasa+Pengiriman+Kurir+Paket+Cargo+Termurah+Terdekat/@-6.9212403,106.9480419,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6849696dd07aa9:0x4e8830dbcdaf0717!8m2!3d-6.9212403!4d106.9480419!16s%2Fg%2F11sgkh5q4c?authuser=0&hl=id&entry=ttu","106.9480419","-6.9212403","Telepon","0812-8787-0414"
"JNT CARGO SMI 003A CIKOLE SUKABUMI | Jasa Pengiriman Kurir Paket Cargo Termurah Terdekat",4.9,63,"","https://www.google.com/maps/place/JNT+CARGO+SMI+003A+CIKOLE+SUKABUMI+%7C+Jasa+Pengiriman+Kurir+Paket+Cargo+Termurah+Terdekat/data=!4m7!3m6!1s0x2e6849696dd07aa9:0x4e8830dbcdaf0717!8m2!3d-6.9212403!4d106.9480419!16s%2Fg%2F11sgkh5q4c!19sChIJqXrQbWlJaC4RFwevzdswiE4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+CARGO+SMI+003A+CIKOLE+SUKABUMI+%7C+Jasa+Pengiriman+Kurir+Paket+Cargo+Termurah+Terdekat/@-6.9212403,106.9480419,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6849696dd07aa9:0x4e8830dbcdaf0717!8m2!3d-6.9212403!4d106.9480419!16s%2Fg%2F11sgkh5q4c?authuser=0&hl=id&entry=ttu","106.9480419","-6.9212403","Plus Codes","3WHX+G6 Subangjaya, Kabupaten Sukabumi, Jawa Barat"
"J&T Express",2.8,694,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express/data=!4m7!3m6!1s0x2e68483794550725:0xb41c1679c4a5ef56!8m2!3d-6.9214828!4d106.9340912!16s%2Fg%2F11c4bm7m3p!19sChIJJQdVlDdIaC4RVu-lxHkWHLQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express/@-6.9214828,106.9340912,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68483794550725:0xb41c1679c4a5ef56!8m2!3d-6.9214828!4d106.9340912!16s%2Fg%2F11c4bm7m3p?authuser=0&hl=id&entry=ttu","106.9340912","-6.9214828","Alamat","Jl. Gudang No.25, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43113"
"J&T Express",2.8,694,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express/data=!4m7!3m6!1s0x2e68483794550725:0xb41c1679c4a5ef56!8m2!3d-6.9214828!4d106.9340912!16s%2Fg%2F11c4bm7m3p!19sChIJJQdVlDdIaC4RVu-lxHkWHLQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express/@-6.9214828,106.9340912,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68483794550725:0xb41c1679c4a5ef56!8m2!3d-6.9214828!4d106.9340912!16s%2Fg%2F11c4bm7m3p?authuser=0&hl=id&entry=ttu","106.9340912","-6.9214828","Situs Web","jet.co.id"
"J&T Express",2.8,694,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express/data=!4m7!3m6!1s0x2e68483794550725:0xb41c1679c4a5ef56!8m2!3d-6.9214828!4d106.9340912!16s%2Fg%2F11c4bm7m3p!19sChIJJQdVlDdIaC4RVu-lxHkWHLQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express/@-6.9214828,106.9340912,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68483794550725:0xb41c1679c4a5ef56!8m2!3d-6.9214828!4d106.9340912!16s%2Fg%2F11c4bm7m3p?authuser=0&hl=id&entry=ttu","106.9340912","-6.9214828","Telepon","(0266) 6223074"
"J&T Express",2.8,694,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express/data=!4m7!3m6!1s0x2e68483794550725:0xb41c1679c4a5ef56!8m2!3d-6.9214828!4d106.9340912!16s%2Fg%2F11c4bm7m3p!19sChIJJQdVlDdIaC4RVu-lxHkWHLQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express/@-6.9214828,106.9340912,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68483794550725:0xb41c1679c4a5ef56!8m2!3d-6.9214828!4d106.9340912!16s%2Fg%2F11c4bm7m3p?authuser=0&hl=id&entry=ttu","106.9340912","-6.9214828","Plus Codes","3WHM+CJ Kebonjati, Kabupaten Sukabumi, Jawa Barat"
"J&T Express DP Warudoyong ( SMI05 )",3.8,168,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+DP+Warudoyong+%28+SMI05+%29/data=!4m7!3m6!1s0x2e684801c556b17d:0xac2958e1b79c5601!8m2!3d-6.9508482!4d106.9129331!16s%2Fg%2F11dxr3sb2z!19sChIJfbFWxQFIaC4RAVact-FYKaw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Warudoyong+(+SMI05+)/@-6.9508482,106.9129331,17z/data=!3m1!4b1!4m6!3m5!1s0x2e684801c556b17d:0xac2958e1b79c5601!8m2!3d-6.9508482!4d106.9129331!16s%2Fg%2F11dxr3sb2z?authuser=0&hl=id&entry=ttu","106.9129331","-6.9508482","Alamat","2WX7+M57, Jl. Pelabuhan II, Dayeuhluhur, Kec. Warudoyong, Kota Sukabumi, Jawa Barat 43134"
"J&T Express DP Warudoyong ( SMI05 )",3.8,168,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+DP+Warudoyong+%28+SMI05+%29/data=!4m7!3m6!1s0x2e684801c556b17d:0xac2958e1b79c5601!8m2!3d-6.9508482!4d106.9129331!16s%2Fg%2F11dxr3sb2z!19sChIJfbFWxQFIaC4RAVact-FYKaw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DP+Warudoyong+(+SMI05+)/@-6.9508482,106.9129331,17z/data=!3m1!4b1!4m6!3m5!1s0x2e684801c556b17d:0xac2958e1b79c5601!8m2!3d-6.9508482!4d106.9129331!16s%2Fg%2F11dxr3sb2z?authuser=0&hl=id&entry=ttu","106.9129331","-6.9508482","Situs Web","jet.co.id"
