"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T EXPRESS",3.8,148,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2dbedf3a659c73a7:0x39337ff6665710b5!8m2!3d-5.2919757!4d119.437311!16s%2Fg%2F11g0gmq_f0!19sChIJp3OcZTrfvi0RtRBXZvZ_Mzk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-5.2919757,119.437311,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbedf3a659c73a7:0x39337ff6665710b5!8m2!3d-5.2919757!4d119.437311!16s%2Fg%2F11g0gmq_f0?authuser=0&hl=id&entry=ttu","119.437311","-5.2919757","Alamat","Jl. Pendidikan, Mata Allo, Kec. Bajeng, Kabupaten Takalar, Sulawesi Selatan 92152"
"J&T EXPRESS",3.8,148,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2dbedf3a659c73a7:0x39337ff6665710b5!8m2!3d-5.2919757!4d119.437311!16s%2Fg%2F11g0gmq_f0!19sChIJp3OcZTrfvi0RtRBXZvZ_Mzk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-5.2919757,119.437311,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbedf3a659c73a7:0x39337ff6665710b5!8m2!3d-5.2919757!4d119.437311!16s%2Fg%2F11g0gmq_f0?authuser=0&hl=id&entry=ttu","119.437311","-5.2919757","Situs Web","jet.co.id"
"J&T EXPRESS",3.8,148,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2dbedf3a659c73a7:0x39337ff6665710b5!8m2!3d-5.2919757!4d119.437311!16s%2Fg%2F11g0gmq_f0!19sChIJp3OcZTrfvi0RtRBXZvZ_Mzk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-5.2919757,119.437311,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbedf3a659c73a7:0x39337ff6665710b5!8m2!3d-5.2919757!4d119.437311!16s%2Fg%2F11g0gmq_f0?authuser=0&hl=id&entry=ttu","119.437311","-5.2919757","Telepon","0823-4677-1552"
"J&T EXPRESS",3.8,148,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2dbedf3a659c73a7:0x39337ff6665710b5!8m2!3d-5.2919757!4d119.437311!16s%2Fg%2F11g0gmq_f0!19sChIJp3OcZTrfvi0RtRBXZvZ_Mzk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-5.2919757,119.437311,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbedf3a659c73a7:0x39337ff6665710b5!8m2!3d-5.2919757!4d119.437311!16s%2Fg%2F11g0gmq_f0?authuser=0&hl=id&entry=ttu","119.437311","-5.2919757","Plus Codes","PC5P+6W Mata Allo, Kabupaten Gowa, Sulawesi Selatan"
"J&T EXPRESS",2.6,127,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2dbed8162d65c41d:0x13d04c5662cd30de!8m2!3d-5.4083601!4d119.4464847!16s%2Fg%2F11c5xsy4hv!19sChIJHcRlLRbYvi0R3jDNYlZM0BM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-5.4083601,119.4464847,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed8162d65c41d:0x13d04c5662cd30de!8m2!3d-5.4083601!4d119.4464847!16s%2Fg%2F11c5xsy4hv?authuser=0&hl=id&entry=ttu","119.4464847","-5.4083601","Alamat","Jl. Diponegoro, Kalabbirang, Kec. Pattallassang, Kabupaten Takalar, Sulawesi Selatan 90615"
"J&T EXPRESS",2.6,127,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2dbed8162d65c41d:0x13d04c5662cd30de!8m2!3d-5.4083601!4d119.4464847!16s%2Fg%2F11c5xsy4hv!19sChIJHcRlLRbYvi0R3jDNYlZM0BM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-5.4083601,119.4464847,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed8162d65c41d:0x13d04c5662cd30de!8m2!3d-5.4083601!4d119.4464847!16s%2Fg%2F11c5xsy4hv?authuser=0&hl=id&entry=ttu","119.4464847","-5.4083601","Situs Web","jet.co.id"
"J&T EXPRESS",2.6,127,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2dbed8162d65c41d:0x13d04c5662cd30de!8m2!3d-5.4083601!4d119.4464847!16s%2Fg%2F11c5xsy4hv!19sChIJHcRlLRbYvi0R3jDNYlZM0BM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-5.4083601,119.4464847,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed8162d65c41d:0x13d04c5662cd30de!8m2!3d-5.4083601!4d119.4464847!16s%2Fg%2F11c5xsy4hv?authuser=0&hl=id&entry=ttu","119.4464847","-5.4083601","Telepon","(021) 80661888"
"J&T EXPRESS",2.6,127,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2dbed8162d65c41d:0x13d04c5662cd30de!8m2!3d-5.4083601!4d119.4464847!16s%2Fg%2F11c5xsy4hv!19sChIJHcRlLRbYvi0R3jDNYlZM0BM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-5.4083601,119.4464847,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed8162d65c41d:0x13d04c5662cd30de!8m2!3d-5.4083601!4d119.4464847!16s%2Fg%2F11c5xsy4hv?authuser=0&hl=id&entry=ttu","119.4464847","-5.4083601","Plus Codes","HCRW+MH Kalabbirang, Kabupaten Takalar, Sulawesi Selatan"
"JNT Cargo Kalampa",4.8,6,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/JNT+Cargo+Kalampa/data=!4m7!3m6!1s0x2dbed94335e7ef5d:0xf0229d1b81c0cbb9!8m2!3d-5.414338!4d119.4437671!16s%2Fg%2F11swr2n629!19sChIJXe_nNUPZvi0RucvAgRudIvA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+Cargo+Kalampa/@-5.414338,119.4437671,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed94335e7ef5d:0xf0229d1b81c0cbb9!8m2!3d-5.414338!4d119.4437671!16s%2Fg%2F11swr2n629?authuser=0&hl=id&entry=ttu","119.4437671","-5.414338","Alamat","Jalan Badaming Dg. Rani, Kalabbirang, Kec. Pattallassang, Kabupaten Takalar, Sulawesi Selatan 92211"
"JNT Cargo Kalampa",4.8,6,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/JNT+Cargo+Kalampa/data=!4m7!3m6!1s0x2dbed94335e7ef5d:0xf0229d1b81c0cbb9!8m2!3d-5.414338!4d119.4437671!16s%2Fg%2F11swr2n629!19sChIJXe_nNUPZvi0RucvAgRudIvA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+Cargo+Kalampa/@-5.414338,119.4437671,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed94335e7ef5d:0xf0229d1b81c0cbb9!8m2!3d-5.414338!4d119.4437671!16s%2Fg%2F11swr2n629?authuser=0&hl=id&entry=ttu","119.4437671","-5.414338","Telepon","0852-4258-2617"
"JNT Cargo Kalampa",4.8,6,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/JNT+Cargo+Kalampa/data=!4m7!3m6!1s0x2dbed94335e7ef5d:0xf0229d1b81c0cbb9!8m2!3d-5.414338!4d119.4437671!16s%2Fg%2F11swr2n629!19sChIJXe_nNUPZvi0RucvAgRudIvA?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+Cargo+Kalampa/@-5.414338,119.4437671,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed94335e7ef5d:0xf0229d1b81c0cbb9!8m2!3d-5.414338!4d119.4437671!16s%2Fg%2F11swr2n629?authuser=0&hl=id&entry=ttu","119.4437671","-5.414338","Plus Codes","HCPV+7G Kalabbirang, Kabupaten Takalar, Sulawesi Selatan"
"J&T CARGO TAKALAR",5,1,"unknown","https://www.google.com/maps/place/J%26T+CARGO+TAKALAR/data=!4m7!3m6!1s0x2dbed9205390cf63:0x556d4faf10244093!8m2!3d-5.4305679!4d119.4390863!16s%2Fg%2F11rqj8sm2w!19sChIJY8-QUyDZvi0Rk0AkEK9PbVU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+TAKALAR/@-5.4305679,119.4390863,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed9205390cf63:0x556d4faf10244093!8m2!3d-5.4305679!4d119.4390863!16s%2Fg%2F11rqj8sm2w?authuser=0&hl=id&entry=ttu","119.4390863","-5.4305679","Alamat","JL.TERONG NOMOR 77 TEPAT BELAKANG KANTOR POS, Kalabbirang, Kec. Pattallassang, Kabupaten Takalar, Sulawesi Selatan 92232"
"J&T CARGO TAKALAR",5,1,"unknown","https://www.google.com/maps/place/J%26T+CARGO+TAKALAR/data=!4m7!3m6!1s0x2dbed9205390cf63:0x556d4faf10244093!8m2!3d-5.4305679!4d119.4390863!16s%2Fg%2F11rqj8sm2w!19sChIJY8-QUyDZvi0Rk0AkEK9PbVU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+TAKALAR/@-5.4305679,119.4390863,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed9205390cf63:0x556d4faf10244093!8m2!3d-5.4305679!4d119.4390863!16s%2Fg%2F11rqj8sm2w?authuser=0&hl=id&entry=ttu","119.4390863","-5.4305679","Situs Web","jtcargo.id"
"J&T CARGO TAKALAR",5,1,"unknown","https://www.google.com/maps/place/J%26T+CARGO+TAKALAR/data=!4m7!3m6!1s0x2dbed9205390cf63:0x556d4faf10244093!8m2!3d-5.4305679!4d119.4390863!16s%2Fg%2F11rqj8sm2w!19sChIJY8-QUyDZvi0Rk0AkEK9PbVU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+TAKALAR/@-5.4305679,119.4390863,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed9205390cf63:0x556d4faf10244093!8m2!3d-5.4305679!4d119.4390863!16s%2Fg%2F11rqj8sm2w?authuser=0&hl=id&entry=ttu","119.4390863","-5.4305679","Telepon","0852-4687-8767"
"J&T CARGO TAKALAR",5,1,"unknown","https://www.google.com/maps/place/J%26T+CARGO+TAKALAR/data=!4m7!3m6!1s0x2dbed9205390cf63:0x556d4faf10244093!8m2!3d-5.4305679!4d119.4390863!16s%2Fg%2F11rqj8sm2w!19sChIJY8-QUyDZvi0Rk0AkEK9PbVU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+TAKALAR/@-5.4305679,119.4390863,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed9205390cf63:0x556d4faf10244093!8m2!3d-5.4305679!4d119.4390863!16s%2Fg%2F11rqj8sm2w?authuser=0&hl=id&entry=ttu","119.4390863","-5.4305679","Plus Codes","HC9Q+QJ Kalabbirang, Kabupaten Takalar, Sulawesi Selatan"
"J&T Express",1.4,11,"unknown","https://www.google.com/maps/place/J%26T+Express/data=!4m7!3m6!1s0x2dbed90f3eecab0f:0x755015e1a9c43ac3!8m2!3d-5.4125444!4d119.4448852!16s%2Fg%2F11n0pfrr18!19sChIJD6vsPg_Zvi0RwzrEqeEVUHU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express/@-5.4125444,119.4448852,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbed90f3eecab0f:0x755015e1a9c43ac3!8m2!3d-5.4125444!4d119.4448852!16s%2Fg%2F11n0pfrr18?authuser=0&hl=id&entry=ttu","119.4448852","-5.4125444","Alamat","Jl. Jenderal Sudirman No.188, Bajeng, Kec. Pattallassang, Kabupaten Takalar, Sulawesi Selatan 90615"
