"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T DP Tikala",2.6,87,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+DP+Tikala/data=!4m7!3m6!1s0x2d93c39f7ebcf327:0xbeeba3db7b4f38a5!8m2!3d-2.9642934!4d119.8972895!16s%2Fg%2F11mw8dvgb6!19sChIJJ_O8fp_Dky0RpThPe9uj674?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+DP+Tikala/@-2.9642934,119.8972895,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93c39f7ebcf327:0xbeeba3db7b4f38a5!8m2!3d-2.9642934!4d119.8972895!16s%2Fg%2F11mw8dvgb6?authuser=0&hl=id&entry=ttu","119.8972895","-2.9642934","Alamat","2VPW+7WM, Jl. Soluara, Tampo Tallunglipu, Kec. Tallunglipu, Kabupaten Toraja Utara, Sulawesi Selatan 91833"
"J&T DP Tikala",2.6,87,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+DP+Tikala/data=!4m7!3m6!1s0x2d93c39f7ebcf327:0xbeeba3db7b4f38a5!8m2!3d-2.9642934!4d119.8972895!16s%2Fg%2F11mw8dvgb6!19sChIJJ_O8fp_Dky0RpThPe9uj674?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+DP+Tikala/@-2.9642934,119.8972895,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93c39f7ebcf327:0xbeeba3db7b4f38a5!8m2!3d-2.9642934!4d119.8972895!16s%2Fg%2F11mw8dvgb6?authuser=0&hl=id&entry=ttu","119.8972895","-2.9642934","Telepon","0822-6772-5990"
"DP J&T Rantepao",2.6,32,"unknown","https://www.google.com/maps/place/DP+J%26T+Rantepao/data=!4m7!3m6!1s0x2d93e9f1b22b773d:0x278a4180a47b3754!8m2!3d-2.9774274!4d119.8964307!16s%2Fg%2F11rsf9_q28!19sChIJPXcrsvHpky0RVDd7pIBBiic?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/DP+J%26T+Rantepao/@-2.9774274,119.8964307,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93e9f1b22b773d:0x278a4180a47b3754!8m2!3d-2.9774274!4d119.8964307!16s%2Fg%2F11rsf9_q28?authuser=0&hl=id&entry=ttu","119.8964307","-2.9774274","Alamat","2VFW+2HF, Jl. Pramuka, Rantepao, Kec. Rantepao, Kabupaten Toraja Utara, Sulawesi Selatan 91833"
"j&t cargo rantepao",3.7,3,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/j%26t+cargo+rantepao/data=!4m7!3m6!1s0x2d93e9b2a6bd7103:0xc812f704c2c6330f!8m2!3d-2.9686635!4d119.9036414!16s%2Fg%2F11t4wr6zyd!19sChIJA3G9prLpky0RDzPGwgT3Esg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/j%26t+cargo+rantepao/@-2.9686635,119.9036414,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93e9b2a6bd7103:0xc812f704c2c6330f!8m2!3d-2.9686635!4d119.9036414!16s%2Fg%2F11t4wr6zyd?authuser=0&hl=id&entry=ttu","119.9036414","-2.9686635","Alamat","Jl. Diponegoro No.115, Malango', Kec. Rantepao, Kabupaten Toraja Utara, Sulawesi Selatan 91833"
"j&t cargo rantepao",3.7,3,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/j%26t+cargo+rantepao/data=!4m7!3m6!1s0x2d93e9b2a6bd7103:0xc812f704c2c6330f!8m2!3d-2.9686635!4d119.9036414!16s%2Fg%2F11t4wr6zyd!19sChIJA3G9prLpky0RDzPGwgT3Esg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/j%26t+cargo+rantepao/@-2.9686635,119.9036414,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93e9b2a6bd7103:0xc812f704c2c6330f!8m2!3d-2.9686635!4d119.9036414!16s%2Fg%2F11t4wr6zyd?authuser=0&hl=id&entry=ttu","119.9036414","-2.9686635","Telepon","0852-8700-3089"
"j&t cargo rantepao",3.7,3,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/j%26t+cargo+rantepao/data=!4m7!3m6!1s0x2d93e9b2a6bd7103:0xc812f704c2c6330f!8m2!3d-2.9686635!4d119.9036414!16s%2Fg%2F11t4wr6zyd!19sChIJA3G9prLpky0RDzPGwgT3Esg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/j%26t+cargo+rantepao/@-2.9686635,119.9036414,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93e9b2a6bd7103:0xc812f704c2c6330f!8m2!3d-2.9686635!4d119.9036414!16s%2Fg%2F11t4wr6zyd?authuser=0&hl=id&entry=ttu","119.9036414","-2.9686635","Plus Codes","2WJ3+GF Malango', Kabupaten Toraja Utara, Sulawesi Selatan"
"J&T EXPRESS RANTELEMO",3.1,12,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+EXPRESS+RANTELEMO/data=!4m7!3m6!1s0x2d93ed6293df00bf:0xabf3681abb33b143!8m2!3d-3.0438965!4d119.8708302!16s%2Fg%2F11r9f6pkmf!19sChIJvwDfk2Ltky0RQ7Ezuxpo86s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+RANTELEMO/@-3.0438965,119.8708302,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93ed6293df00bf:0xabf3681abb33b143!8m2!3d-3.0438965!4d119.8708302!16s%2Fg%2F11r9f6pkmf?authuser=0&hl=id&entry=ttu","119.8708302","-3.0438965","Alamat","Jl. Poros Rantepao - Makale, Lemo, Kec. Makale Utara, Kabupaten Tana Toraja, Sulawesi Selatan 91862"
"J&T EXPRESS RANTELEMO",3.1,12,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+EXPRESS+RANTELEMO/data=!4m7!3m6!1s0x2d93ed6293df00bf:0xabf3681abb33b143!8m2!3d-3.0438965!4d119.8708302!16s%2Fg%2F11r9f6pkmf!19sChIJvwDfk2Ltky0RQ7Ezuxpo86s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+RANTELEMO/@-3.0438965,119.8708302,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93ed6293df00bf:0xabf3681abb33b143!8m2!3d-3.0438965!4d119.8708302!16s%2Fg%2F11r9f6pkmf?authuser=0&hl=id&entry=ttu","119.8708302","-3.0438965","Situs Web","jet.co.id"
"J&T EXPRESS RANTELEMO",3.1,12,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+EXPRESS+RANTELEMO/data=!4m7!3m6!1s0x2d93ed6293df00bf:0xabf3681abb33b143!8m2!3d-3.0438965!4d119.8708302!16s%2Fg%2F11r9f6pkmf!19sChIJvwDfk2Ltky0RQ7Ezuxpo86s?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+RANTELEMO/@-3.0438965,119.8708302,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93ed6293df00bf:0xabf3681abb33b143!8m2!3d-3.0438965!4d119.8708302!16s%2Fg%2F11r9f6pkmf?authuser=0&hl=id&entry=ttu","119.8708302","-3.0438965","Plus Codes","XV4C+C8 Lemo, Kabupaten Tana Toraja, Sulawesi Selatan"
"J&T EXPRESS MAKALE",2.8,177,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS+MAKALE/data=!4m7!3m6!1s0x2d93ed947ae024a7:0x27cf56d6dcea8306!8m2!3d-3.0934445!4d119.8549719!16s%2Fg%2F11fzffm43m!19sChIJpyTgepTtky0RBoPq3NZWzyc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+MAKALE/@-3.0934445,119.8549719,17z/data=!3m1!4b1!4m6!3m5!1s0x2d93ed947ae024a7:0x27cf56d6dcea8306!8m2!3d-3.0934445!4d119.8549719!16s%2Fg%2F11fzffm43m?authuser=0&hl=id&entry=ttu","119.8549719","-3.0934445","Alamat","Jl. Pongtiku No.23, Pantan, Kec. Makale, Kabupaten Tana Toraja, Sulawesi Selatan 91811"
