"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNT express pluit karang utara",4.7,116,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNT+express+pluit+karang+utara/data=!4m7!3m6!1s0x2e6a1d18526e5b75:0x898b0bf9ca0fe737!8m2!3d-6.1109599!4d106.7771761!16s%2Fg%2F11hdc4j0hl!19sChIJdVtuUhgdai4RN-cPyvkLi4k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+express+pluit+karang+utara/@-6.1109599,106.7771761,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1d18526e5b75:0x898b0bf9ca0fe737!8m2!3d-6.1109599!4d106.7771761!16s%2Fg%2F11hdc4j0hl?authuser=0&hl=id&entry=ttu","106.7771761","-6.1109599","Alamat","Jl. Pluit Karang Utara No.66b, RW.2, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450"
"JNT express pluit karang utara",4.7,116,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNT+express+pluit+karang+utara/data=!4m7!3m6!1s0x2e6a1d18526e5b75:0x898b0bf9ca0fe737!8m2!3d-6.1109599!4d106.7771761!16s%2Fg%2F11hdc4j0hl!19sChIJdVtuUhgdai4RN-cPyvkLi4k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+express+pluit+karang+utara/@-6.1109599,106.7771761,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1d18526e5b75:0x898b0bf9ca0fe737!8m2!3d-6.1109599!4d106.7771761!16s%2Fg%2F11hdc4j0hl?authuser=0&hl=id&entry=ttu","106.7771761","-6.1109599","Telepon","0811-8883-8811"
"JNT express pluit karang utara",4.7,116,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/JNT+express+pluit+karang+utara/data=!4m7!3m6!1s0x2e6a1d18526e5b75:0x898b0bf9ca0fe737!8m2!3d-6.1109599!4d106.7771761!16s%2Fg%2F11hdc4j0hl!19sChIJdVtuUhgdai4RN-cPyvkLi4k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+express+pluit+karang+utara/@-6.1109599,106.7771761,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1d18526e5b75:0x898b0bf9ca0fe737!8m2!3d-6.1109599!4d106.7771761!16s%2Fg%2F11hdc4j0hl?authuser=0&hl=id&entry=ttu","106.7771761","-6.1109599","Plus Codes","VQQG+JV Pluit, Jkt Utara, Daerah Khusus Ibukota Jakarta"
"J&T EXPRESS BENTENGAN MAS",4.6,15,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+EXPRESS+BENTENGAN+MAS/data=!4m7!3m6!1s0x2e69f54d62d2742b:0x489668a6e06e1f69!8m2!3d-6.1498346!4d106.8694229!16s%2Fg%2F11gmvrgs10!19sChIJK3TSYk31aS4RaR9u4KZolkg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+BENTENGAN+MAS/@-6.1498346,106.8694229,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f54d62d2742b:0x489668a6e06e1f69!8m2!3d-6.1498346!4d106.8694229!16s%2Fg%2F11gmvrgs10?authuser=0&hl=id&entry=ttu","106.8694229","-6.1498346","Alamat","Jl. Benteng Mas VII No.007, RT.4/RW.6, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350"
"J&T EXPRESS BENTENGAN MAS",4.6,15,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+EXPRESS+BENTENGAN+MAS/data=!4m7!3m6!1s0x2e69f54d62d2742b:0x489668a6e06e1f69!8m2!3d-6.1498346!4d106.8694229!16s%2Fg%2F11gmvrgs10!19sChIJK3TSYk31aS4RaR9u4KZolkg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+BENTENGAN+MAS/@-6.1498346,106.8694229,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f54d62d2742b:0x489668a6e06e1f69!8m2!3d-6.1498346!4d106.8694229!16s%2Fg%2F11gmvrgs10?authuser=0&hl=id&entry=ttu","106.8694229","-6.1498346","Telepon","(021) 22654366"
"J&T EXPRESS BENTENGAN MAS",4.6,15,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+EXPRESS+BENTENGAN+MAS/data=!4m7!3m6!1s0x2e69f54d62d2742b:0x489668a6e06e1f69!8m2!3d-6.1498346!4d106.8694229!16s%2Fg%2F11gmvrgs10!19sChIJK3TSYk31aS4RaR9u4KZolkg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+BENTENGAN+MAS/@-6.1498346,106.8694229,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f54d62d2742b:0x489668a6e06e1f69!8m2!3d-6.1498346!4d106.8694229!16s%2Fg%2F11gmvrgs10?authuser=0&hl=id&entry=ttu","106.8694229","-6.1498346","Plus Codes","VV29+3Q Sunter Jaya, Jkt Utara, Daerah Khusus Ibukota Jakarta"
"J&T Express TARIAN_RAYA",3.9,62,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+TARIAN_RAYA/data=!4m7!3m6!1s0x2e69f52afdba0e11:0xa5d19aa23ac63abd!8m2!3d-6.1712286!4d106.9097976!16s%2Fg%2F11ggbfp8gh!19sChIJEQ66_Sr1aS4RvTrGOqKa0aU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TARIAN_RAYA/@-6.1712286,106.9097976,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f52afdba0e11:0xa5d19aa23ac63abd!8m2!3d-6.1712286!4d106.9097976!16s%2Fg%2F11ggbfp8gh?authuser=0&hl=id&entry=ttu","106.9097976","-6.1712286","Alamat","Blok X No.17, Jl. Tarian Raya Tim., RT.3/RW.9, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240"
"J&T Express TARIAN_RAYA",3.9,62,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+TARIAN_RAYA/data=!4m7!3m6!1s0x2e69f52afdba0e11:0xa5d19aa23ac63abd!8m2!3d-6.1712286!4d106.9097976!16s%2Fg%2F11ggbfp8gh!19sChIJEQ66_Sr1aS4RvTrGOqKa0aU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TARIAN_RAYA/@-6.1712286,106.9097976,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f52afdba0e11:0xa5d19aa23ac63abd!8m2!3d-6.1712286!4d106.9097976!16s%2Fg%2F11ggbfp8gh?authuser=0&hl=id&entry=ttu","106.9097976","-6.1712286","Situs Web","jet.co.id"
"J&T Express TARIAN_RAYA",3.9,62,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+TARIAN_RAYA/data=!4m7!3m6!1s0x2e69f52afdba0e11:0xa5d19aa23ac63abd!8m2!3d-6.1712286!4d106.9097976!16s%2Fg%2F11ggbfp8gh!19sChIJEQ66_Sr1aS4RvTrGOqKa0aU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TARIAN_RAYA/@-6.1712286,106.9097976,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f52afdba0e11:0xa5d19aa23ac63abd!8m2!3d-6.1712286!4d106.9097976!16s%2Fg%2F11ggbfp8gh?authuser=0&hl=id&entry=ttu","106.9097976","-6.1712286","Telepon","(021) 22458313"
"J&T Express TARIAN_RAYA",3.9,62,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+TARIAN_RAYA/data=!4m7!3m6!1s0x2e69f52afdba0e11:0xa5d19aa23ac63abd!8m2!3d-6.1712286!4d106.9097976!16s%2Fg%2F11ggbfp8gh!19sChIJEQ66_Sr1aS4RvTrGOqKa0aU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TARIAN_RAYA/@-6.1712286,106.9097976,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f52afdba0e11:0xa5d19aa23ac63abd!8m2!3d-6.1712286!4d106.9097976!16s%2Fg%2F11ggbfp8gh?authuser=0&hl=id&entry=ttu","106.9097976","-6.1712286","Plus Codes","RWH5+GW Pegangsaan Dua, Jkt Utara, Daerah Khusus Ibukota Jakarta"
