"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNT",2,119,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/JNT/data=!4m7!3m6!1s0x2d6ce975d3161a17:0x88982e2efa6c0293!8m2!3d-3.6815094!4d128.2036974!16s%2Fg%2F11gtzj7zh8!19sChIJFxoW03XpbC0RkwJs-i4umIg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT/@-3.6815094,128.2036974,17z/data=!3m1!4b1!4m6!3m5!1s0x2d6ce975d3161a17:0x88982e2efa6c0293!8m2!3d-3.6815094!4d128.2036974!16s%2Fg%2F11gtzj7zh8?authuser=0&hl=id&entry=ttu","128.2036974","-3.6815094","Alamat","8693+9FW, Jl. Kebun Cengkeh, Batu Merah, Kec. Sirimau, Kota Ambon, Maluku"
"JNT",2,119,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/JNT/data=!4m7!3m6!1s0x2d6ce975d3161a17:0x88982e2efa6c0293!8m2!3d-3.6815094!4d128.2036974!16s%2Fg%2F11gtzj7zh8!19sChIJFxoW03XpbC0RkwJs-i4umIg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT/@-3.6815094,128.2036974,17z/data=!3m1!4b1!4m6!3m5!1s0x2d6ce975d3161a17:0x88982e2efa6c0293!8m2!3d-3.6815094!4d128.2036974!16s%2Fg%2F11gtzj7zh8?authuser=0&hl=id&entry=ttu","128.2036974","-3.6815094","Situs Web","jet.co.id"
"J&T express",2.1,170,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+express/data=!4m7!3m6!1s0x2d6ce853157ae131:0x557a41ffbf0004aa!8m2!3d-3.692349!4d128.1886043!16s%2Fg%2F11f3p0bdvq!19sChIJMeF6FVPobC0RqgQAv_9BelU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+express/@-3.692349,128.1886043,17z/data=!3m1!4b1!4m6!3m5!1s0x2d6ce853157ae131:0x557a41ffbf0004aa!8m2!3d-3.692349!4d128.1886043!16s%2Fg%2F11f3p0bdvq?authuser=0&hl=id&entry=ttu","128.1886043","-3.692349","Alamat","855Q+3C9, Jl. Rijali belakang, Soya, Kec. Sirimau, Kota Ambon, Maluku"
"J&T express",2.1,170,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+express/data=!4m7!3m6!1s0x2d6ce853157ae131:0x557a41ffbf0004aa!8m2!3d-3.692349!4d128.1886043!16s%2Fg%2F11f3p0bdvq!19sChIJMeF6FVPobC0RqgQAv_9BelU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+express/@-3.692349,128.1886043,17z/data=!3m1!4b1!4m6!3m5!1s0x2d6ce853157ae131:0x557a41ffbf0004aa!8m2!3d-3.692349!4d128.1886043!16s%2Fg%2F11f3p0bdvq?authuser=0&hl=id&entry=ttu","128.1886043","-3.692349","Situs Web","jet.co.id"
"JNT Cargo Ambon",5,45,"unknown","https://www.google.com/maps/place/JNT+Cargo+Ambon/data=!4m7!3m6!1s0x2d6ce96b2be8e949:0x9fe124f3ec1c6a1e!8m2!3d-3.6953785!4d128.1812527!16s%2Fg%2F11s2m06q93!19sChIJSenoK2vpbC0RHmoc7PMk4Z8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+Cargo+Ambon/@-3.6953785,128.1812527,17z/data=!3m1!4b1!4m6!3m5!1s0x2d6ce96b2be8e949:0x9fe124f3ec1c6a1e!8m2!3d-3.6953785!4d128.1812527!16s%2Fg%2F11s2m06q93?authuser=0&hl=id&entry=ttu","128.1812527","-3.6953785","Alamat","Jl. Cemp. No.10b, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku 97126"
"JNT Cargo Ambon",5,45,"unknown","https://www.google.com/maps/place/JNT+Cargo+Ambon/data=!4m7!3m6!1s0x2d6ce96b2be8e949:0x9fe124f3ec1c6a1e!8m2!3d-3.6953785!4d128.1812527!16s%2Fg%2F11s2m06q93!19sChIJSenoK2vpbC0RHmoc7PMk4Z8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+Cargo+Ambon/@-3.6953785,128.1812527,17z/data=!3m1!4b1!4m6!3m5!1s0x2d6ce96b2be8e949:0x9fe124f3ec1c6a1e!8m2!3d-3.6953785!4d128.1812527!16s%2Fg%2F11s2m06q93?authuser=0&hl=id&entry=ttu","128.1812527","-3.6953785","Plus Codes","853J+RG Kel Honipopu, Kota Ambon, Maluku"
"J&T Express (Kebun Cengkeh)",1.9,98,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+%28Kebun+Cengkeh%29/data=!4m7!3m6!1s0x2d6ce90ecdded0d9:0xfc9ff121b1ae8ca1!8m2!3d-3.6811885!4d128.2077177!16s%2Fg%2F11g9w1ycsl!19sChIJ2dDezQ7pbC0RoYyusSHxn_w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+(Kebun+Cengkeh)/@-3.6811885,128.2077177,17z/data=!3m1!4b1!4m6!3m5!1s0x2d6ce90ecdded0d9:0xfc9ff121b1ae8ca1!8m2!3d-3.6811885!4d128.2077177!16s%2Fg%2F11g9w1ycsl?authuser=0&hl=id&entry=ttu","128.2077177","-3.6811885","Alamat","Batu Merah, Kec. Sirimau, Kota Ambon, Maluku"
"J&T Express (Kebun Cengkeh)",1.9,98,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+%28Kebun+Cengkeh%29/data=!4m7!3m6!1s0x2d6ce90ecdded0d9:0xfc9ff121b1ae8ca1!8m2!3d-3.6811885!4d128.2077177!16s%2Fg%2F11g9w1ycsl!19sChIJ2dDezQ7pbC0RoYyusSHxn_w?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+(Kebun+Cengkeh)/@-3.6811885,128.2077177,17z/data=!3m1!4b1!4m6!3m5!1s0x2d6ce90ecdded0d9:0xfc9ff121b1ae8ca1!8m2!3d-3.6811885!4d128.2077177!16s%2Fg%2F11g9w1ycsl?authuser=0&hl=id&entry=ttu","128.2077177","-3.6811885","Plus Codes","8695+G3 Batu Merah, Kota Ambon, Maluku"
"J&T Express Teluk Ambon",1.8,181,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Teluk+Ambon/data=!4m7!3m6!1s0x2d6ce9932ff230e9:0x71b2fcf7915a9348!8m2!3d-3.6615666!4d128.1745652!16s%2Fg%2F11gxmvq53m!19sChIJ6TDyL5PpbC0RSJNakff8snE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Teluk+Ambon/@-3.6615666,128.1745652,17z/data=!3m1!4b1!4m6!3m5!1s0x2d6ce9932ff230e9:0x71b2fcf7915a9348!8m2!3d-3.6615666!4d128.1745652!16s%2Fg%2F11gxmvq53m?authuser=0&hl=id&entry=ttu","128.1745652","-3.6615666","Alamat","85QF+9RG, Jl. Ir. M. Putuhena, Rumah Tiga, Kec. Tlk. Ambon, Kota Ambon, Maluku"
"J&T Express Teluk Ambon",1.8,181,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Teluk+Ambon/data=!4m7!3m6!1s0x2d6ce9932ff230e9:0x71b2fcf7915a9348!8m2!3d-3.6615666!4d128.1745652!16s%2Fg%2F11gxmvq53m!19sChIJ6TDyL5PpbC0RSJNakff8snE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Teluk+Ambon/@-3.6615666,128.1745652,17z/data=!3m1!4b1!4m6!3m5!1s0x2d6ce9932ff230e9:0x71b2fcf7915a9348!8m2!3d-3.6615666!4d128.1745652!16s%2Fg%2F11gxmvq53m?authuser=0&hl=id&entry=ttu","128.1745652","-3.6615666","Telepon","0822-4851-4575"
