"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Griya Mendut",4.2,25,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Griya+Mendut/data=!4m7!3m6!1s0x2dd15b0b9fb43053:0x5c06ae7af08d4dda!8m2!3d-8.224347!4d114.362284!16s%2Fg%2F11qn8vk2yg!19sChIJUzC0nwtb0S0R2k2N8HquBlw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Griya+Mendut/@-8.224347,114.362284,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd15b0b9fb43053:0x5c06ae7af08d4dda!8m2!3d-8.224347!4d114.362284!16s%2Fg%2F11qn8vk2yg?authuser=0&hl=id&entry=ttu","114.362284","-8.224347","Alamat","Ruko Zainuri 2, Jl. Pajajaran, Taman Baru, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416"
"J&T Express Griya Mendut",4.2,25,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Griya+Mendut/data=!4m7!3m6!1s0x2dd15b0b9fb43053:0x5c06ae7af08d4dda!8m2!3d-8.224347!4d114.362284!16s%2Fg%2F11qn8vk2yg!19sChIJUzC0nwtb0S0R2k2N8HquBlw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Griya+Mendut/@-8.224347,114.362284,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd15b0b9fb43053:0x5c06ae7af08d4dda!8m2!3d-8.224347!4d114.362284!16s%2Fg%2F11qn8vk2yg?authuser=0&hl=id&entry=ttu","114.362284","-8.224347","Situs Web","jet.co.id"
"J&T Express Griya Mendut",4.2,25,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Griya+Mendut/data=!4m7!3m6!1s0x2dd15b0b9fb43053:0x5c06ae7af08d4dda!8m2!3d-8.224347!4d114.362284!16s%2Fg%2F11qn8vk2yg!19sChIJUzC0nwtb0S0R2k2N8HquBlw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Griya+Mendut/@-8.224347,114.362284,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd15b0b9fb43053:0x5c06ae7af08d4dda!8m2!3d-8.224347!4d114.362284!16s%2Fg%2F11qn8vk2yg?authuser=0&hl=id&entry=ttu","114.362284","-8.224347","Telepon","(0333) 3389620"
"J&T Express Griya Mendut",4.2,25,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Griya+Mendut/data=!4m7!3m6!1s0x2dd15b0b9fb43053:0x5c06ae7af08d4dda!8m2!3d-8.224347!4d114.362284!16s%2Fg%2F11qn8vk2yg!19sChIJUzC0nwtb0S0R2k2N8HquBlw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Griya+Mendut/@-8.224347,114.362284,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd15b0b9fb43053:0x5c06ae7af08d4dda!8m2!3d-8.224347!4d114.362284!16s%2Fg%2F11qn8vk2yg?authuser=0&hl=id&entry=ttu","114.362284","-8.224347","Plus Codes","Q9G6+7W Taman Baru, Kabupaten Banyuwangi, Jawa Timur"
"J&T Express Giri",3.3,80,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Giri/data=!4m7!3m6!1s0x2dd1454703640cef:0x56c3cfb0166ba85!8m2!3d-8.1937128!4d114.376496!16s%2Fg%2F11g07std32!19sChIJ7wxkA0dF0S0RhbpmAfs8bAU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Giri/@-8.1937128,114.376496,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd1454703640cef:0x56c3cfb0166ba85!8m2!3d-8.1937128!4d114.376496!16s%2Fg%2F11g07std32?authuser=0&hl=id&entry=ttu","114.376496","-8.1937128","Alamat","R94G+GH9, Unnamed Road, Pengantigan, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68414"
"J&T Express Giri",3.3,80,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Giri/data=!4m7!3m6!1s0x2dd1454703640cef:0x56c3cfb0166ba85!8m2!3d-8.1937128!4d114.376496!16s%2Fg%2F11g07std32!19sChIJ7wxkA0dF0S0RhbpmAfs8bAU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Giri/@-8.1937128,114.376496,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd1454703640cef:0x56c3cfb0166ba85!8m2!3d-8.1937128!4d114.376496!16s%2Fg%2F11g07std32?authuser=0&hl=id&entry=ttu","114.376496","-8.1937128","Situs Web","jet.co.id"
"J&T Express Giri",3.3,80,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+Giri/data=!4m7!3m6!1s0x2dd1454703640cef:0x56c3cfb0166ba85!8m2!3d-8.1937128!4d114.376496!16s%2Fg%2F11g07std32!19sChIJ7wxkA0dF0S0RhbpmAfs8bAU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Giri/@-8.1937128,114.376496,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd1454703640cef:0x56c3cfb0166ba85!8m2!3d-8.1937128!4d114.376496!16s%2Fg%2F11g07std32?authuser=0&hl=id&entry=ttu","114.376496","-8.1937128","Telepon","0812-5227-8019"
"J&T Express MOJOPANGGUNG",3,64,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+MOJOPANGGUNG/data=!4m7!3m6!1s0x2dd15bd2cfd25ebd:0x96c63a5157d23727!8m2!3d-8.240923!4d114.3548728!16s%2Fg%2F11jt9rgvz0!19sChIJvV7Sz9Jb0S0RJzfSV1E6xpY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+MOJOPANGGUNG/@-8.240923,114.3548728,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd15bd2cfd25ebd:0x96c63a5157d23727!8m2!3d-8.240923!4d114.3548728!16s%2Fg%2F11jt9rgvz0?authuser=0&hl=id&entry=ttu","114.3548728","-8.240923","Alamat","Jl. Letjen S Parman No.106, Pakis, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68419"
"J&T Express MOJOPANGGUNG",3,64,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+MOJOPANGGUNG/data=!4m7!3m6!1s0x2dd15bd2cfd25ebd:0x96c63a5157d23727!8m2!3d-8.240923!4d114.3548728!16s%2Fg%2F11jt9rgvz0!19sChIJvV7Sz9Jb0S0RJzfSV1E6xpY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+MOJOPANGGUNG/@-8.240923,114.3548728,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd15bd2cfd25ebd:0x96c63a5157d23727!8m2!3d-8.240923!4d114.3548728!16s%2Fg%2F11jt9rgvz0?authuser=0&hl=id&entry=ttu","114.3548728","-8.240923","Situs Web","jet.co.id"
"J&T Express MOJOPANGGUNG",3,64,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Express+MOJOPANGGUNG/data=!4m7!3m6!1s0x2dd15bd2cfd25ebd:0x96c63a5157d23727!8m2!3d-8.240923!4d114.3548728!16s%2Fg%2F11jt9rgvz0!19sChIJvV7Sz9Jb0S0RJzfSV1E6xpY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+MOJOPANGGUNG/@-8.240923,114.3548728,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd15bd2cfd25ebd:0x96c63a5157d23727!8m2!3d-8.240923!4d114.3548728!16s%2Fg%2F11jt9rgvz0?authuser=0&hl=id&entry=ttu","114.3548728","-8.240923","Plus Codes","Q953+JW Pakis, Kabupaten Banyuwangi, Jawa Timur"
