"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express DURIAN_3",2.5,275,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/J%26T+Express+DURIAN_3/data=!4m7!3m6!1s0x320df44d49396327:0xb32e64392583e0f2!8m2!3d2.1474529!4d117.4897124!16s%2Fg%2F11f4pm3f82!19sChIJJ2M5SU30DTIR8uCDJTlkLrM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DURIAN_3/@2.1474529,117.4897124,17z/data=!3m1!4b1!4m6!3m5!1s0x320df44d49396327:0xb32e64392583e0f2!8m2!3d2.1474529!4d117.4897124!16s%2Fg%2F11f4pm3f82?authuser=0&hl=id&entry=ttu","117.4897124","2.1474529","Alamat","4FWQ+XVP, Jl. Durian III, Tj. Redeb, Kec. Tj. Redeb, Kabupaten Berau, Kalimantan Timur 77315"
"J&T Express DURIAN_3",2.5,275,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/J%26T+Express+DURIAN_3/data=!4m7!3m6!1s0x320df44d49396327:0xb32e64392583e0f2!8m2!3d2.1474529!4d117.4897124!16s%2Fg%2F11f4pm3f82!19sChIJJ2M5SU30DTIR8uCDJTlkLrM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DURIAN_3/@2.1474529,117.4897124,17z/data=!3m1!4b1!4m6!3m5!1s0x320df44d49396327:0xb32e64392583e0f2!8m2!3d2.1474529!4d117.4897124!16s%2Fg%2F11f4pm3f82?authuser=0&hl=id&entry=ttu","117.4897124","2.1474529","Situs Web","jet.co.id"
"J&T EXPRESS",2,168,"Buka 24 jam","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x320df5a6871b6ab3:0xb82004c9e2e6ca6e!8m2!3d2.1481085!4d117.4996177!16s%2Fg%2F11fy2j2v_v!19sChIJs2obh6b1DTIRbsrm4skEILg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@2.1481085,117.4996177,17z/data=!3m1!4b1!4m6!3m5!1s0x320df5a6871b6ab3:0xb82004c9e2e6ca6e!8m2!3d2.1481085!4d117.4996177!16s%2Fg%2F11fy2j2v_v?authuser=0&hl=id&entry=ttu","117.4996177","2.1481085","Alamat","Sebrangan SD 004, Jl. Mangga II, Karang Ambun, Kec. Tj. Redeb, Kabupaten Berau, Kalimantan Timur 77315"
"J&T EXPRESS",2,168,"Buka 24 jam","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x320df5a6871b6ab3:0xb82004c9e2e6ca6e!8m2!3d2.1481085!4d117.4996177!16s%2Fg%2F11fy2j2v_v!19sChIJs2obh6b1DTIRbsrm4skEILg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@2.1481085,117.4996177,17z/data=!3m1!4b1!4m6!3m5!1s0x320df5a6871b6ab3:0xb82004c9e2e6ca6e!8m2!3d2.1481085!4d117.4996177!16s%2Fg%2F11fy2j2v_v?authuser=0&hl=id&entry=ttu","117.4996177","2.1481085","Situs Web","jet.co.id"
"J&T EXPRESS",2,168,"Buka 24 jam","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x320df5a6871b6ab3:0xb82004c9e2e6ca6e!8m2!3d2.1481085!4d117.4996177!16s%2Fg%2F11fy2j2v_v!19sChIJs2obh6b1DTIRbsrm4skEILg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@2.1481085,117.4996177,17z/data=!3m1!4b1!4m6!3m5!1s0x320df5a6871b6ab3:0xb82004c9e2e6ca6e!8m2!3d2.1481085!4d117.4996177!16s%2Fg%2F11fy2j2v_v?authuser=0&hl=id&entry=ttu","117.4996177","2.1481085","Plus Codes","4FXX+6R Karang Ambun, Kabupaten Berau, Kalimantan Timur"
"J&T Express TALISAYAN",4.3,9,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/J%26T+Express+TALISAYAN/data=!4m7!3m6!1s0x320ce32cf68b20a9:0x506306a833220dcc!8m2!3d1.599328!4d118.179363!16s%2Fg%2F11nxwmn78t!19sChIJqSCL9izjDDIRzA0iM6gGY1A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TALISAYAN/@1.599328,118.179363,17z/data=!3m1!4b1!4m6!3m5!1s0x320ce32cf68b20a9:0x506306a833220dcc!8m2!3d1.599328!4d118.179363!16s%2Fg%2F11nxwmn78t?authuser=0&hl=id&entry=ttu","118.179363","1.599328","Alamat","68, Jl. Soekarno Hatta No.RT.005, Talisayan, Kec. Talisayan, Kabupaten Berau, Kalimantan Timur 77372"
"J&T Express TALISAYAN",4.3,9,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/J%26T+Express+TALISAYAN/data=!4m7!3m6!1s0x320ce32cf68b20a9:0x506306a833220dcc!8m2!3d1.599328!4d118.179363!16s%2Fg%2F11nxwmn78t!19sChIJqSCL9izjDDIRzA0iM6gGY1A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TALISAYAN/@1.599328,118.179363,17z/data=!3m1!4b1!4m6!3m5!1s0x320ce32cf68b20a9:0x506306a833220dcc!8m2!3d1.599328!4d118.179363!16s%2Fg%2F11nxwmn78t?authuser=0&hl=id&entry=ttu","118.179363","1.599328","Situs Web","jet.co.id"
"J&T Express TALISAYAN",4.3,9,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/J%26T+Express+TALISAYAN/data=!4m7!3m6!1s0x320ce32cf68b20a9:0x506306a833220dcc!8m2!3d1.599328!4d118.179363!16s%2Fg%2F11nxwmn78t!19sChIJqSCL9izjDDIRzA0iM6gGY1A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TALISAYAN/@1.599328,118.179363,17z/data=!3m1!4b1!4m6!3m5!1s0x320ce32cf68b20a9:0x506306a833220dcc!8m2!3d1.599328!4d118.179363!16s%2Fg%2F11nxwmn78t?authuser=0&hl=id&entry=ttu","118.179363","1.599328","Telepon","(0554) 8815003"
"J&T Express TALISAYAN",4.3,9,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/J%26T+Express+TALISAYAN/data=!4m7!3m6!1s0x320ce32cf68b20a9:0x506306a833220dcc!8m2!3d1.599328!4d118.179363!16s%2Fg%2F11nxwmn78t!19sChIJqSCL9izjDDIRzA0iM6gGY1A?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+TALISAYAN/@1.599328,118.179363,17z/data=!3m1!4b1!4m6!3m5!1s0x320ce32cf68b20a9:0x506306a833220dcc!8m2!3d1.599328!4d118.179363!16s%2Fg%2F11nxwmn78t?authuser=0&hl=id&entry=ttu","118.179363","1.599328","Plus Codes","H5XH+PP Talisayan, Kabupaten Berau, Kalimantan Timur"
"J&T Express RINDING",1.1,28,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/J%26T+Express+RINDING/data=!4m7!3m6!1s0x320df7c3bea08feb:0xd9e2cdd2c2b00536!8m2!3d2.1650106!4d117.4504573!16s%2Fg%2F11r9lwfjgk!19sChIJ64-gvsP3DTIRNgWwwtLN4tk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+RINDING/@2.1650106,117.4504573,17z/data=!3m1!4b1!4m6!3m5!1s0x320df7c3bea08feb:0xd9e2cdd2c2b00536!8m2!3d2.1650106!4d117.4504573!16s%2Fg%2F11r9lwfjgk?authuser=0&hl=id&entry=ttu","117.4504573","2.1650106","Alamat","JL. M. ISWAHYUDI RT 11 KEL. RINDING KEC. TELUK BAYUR, Rinding, Kec. Tj. Redeb, Kabupaten Berau, Kalimantan Timur 77352"
