"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express DUMOGA",1.7,56,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+DUMOGA/data=!4m7!3m6!1s0x327e4d5dd34d22a9:0xd88d0959a697a937!8m2!3d0.55499!4d124.02423!16s%2Fg%2F11r6ww5zwr!19sChIJqSJN011NfjIRN6mXplkJjdg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DUMOGA/@0.55499,124.02423,17z/data=!3m1!4b1!4m6!3m5!1s0x327e4d5dd34d22a9:0xd88d0959a697a937!8m2!3d0.55499!4d124.02423!16s%2Fg%2F11r6ww5zwr?authuser=0&hl=id&entry=ttu","124.02423","0.55499","Alamat","H23F+XMX, Jl. Trans Sulawesi, Ibolian, KAB, Kabupaten Bolaang Mongondow, Sulawesi Utara 95732"
"J&T Express DUMOGA",1.7,56,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+DUMOGA/data=!4m7!3m6!1s0x327e4d5dd34d22a9:0xd88d0959a697a937!8m2!3d0.55499!4d124.02423!16s%2Fg%2F11r6ww5zwr!19sChIJqSJN011NfjIRN6mXplkJjdg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DUMOGA/@0.55499,124.02423,17z/data=!3m1!4b1!4m6!3m5!1s0x327e4d5dd34d22a9:0xd88d0959a697a937!8m2!3d0.55499!4d124.02423!16s%2Fg%2F11r6ww5zwr?authuser=0&hl=id&entry=ttu","124.02423","0.55499","Situs Web","jet.co.id"
"J&T Express DUMOGA",1.7,56,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+DUMOGA/data=!4m7!3m6!1s0x327e4d5dd34d22a9:0xd88d0959a697a937!8m2!3d0.55499!4d124.02423!16s%2Fg%2F11r6ww5zwr!19sChIJqSJN011NfjIRN6mXplkJjdg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+DUMOGA/@0.55499,124.02423,17z/data=!3m1!4b1!4m6!3m5!1s0x327e4d5dd34d22a9:0xd88d0959a697a937!8m2!3d0.55499!4d124.02423!16s%2Fg%2F11r6ww5zwr?authuser=0&hl=id&entry=ttu","124.02423","0.55499","Telepon","0813-5479-0357"
"J&T EXPRESS BOLAANG UKI",4.3,8,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+EXPRESS+BOLAANG+UKI/data=!4m7!3m6!1s0x327fb101b632ee3b:0x1c561e8c24b5d2fb!8m2!3d0.3835167!4d123.9826133!16s%2Fg%2F11pd_h3f6c!19sChIJO-4ytgGxfzIR-9K1JIweVhw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+BOLAANG+UKI/@0.3835167,123.9826133,17z/data=!3m1!4b1!4m6!3m5!1s0x327fb101b632ee3b:0x1c561e8c24b5d2fb!8m2!3d0.3835167!4d123.9826133!16s%2Fg%2F11pd_h3f6c?authuser=0&hl=id&entry=ttu","123.9826133","0.3835167","Alamat","9XMM+C36, Molibagu, Kec. Bolaang Uki, Kabupaten Bolaang Mongondow Selatan, Sulawesi Utara"
"J&T Express Lolak",1.5,41,"unknown","https://www.google.com/maps/place/J%26T+Express+Lolak/data=!4m7!3m6!1s0x327e6f3c5cf73771:0xcbbbc7064757e62!8m2!3d0.8723886!4d124.0035415!16s%2Fg%2F11rd4x7l2v!19sChIJcTf3XDxvfjIRYn51ZHC8uww?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Lolak/@0.8723886,124.0035415,17z/data=!3m1!4b1!4m6!3m5!1s0x327e6f3c5cf73771:0xcbbbc7064757e62!8m2!3d0.8723886!4d124.0035415!16s%2Fg%2F11rd4x7l2v?authuser=0&hl=id&entry=ttu","124.0035415","0.8723886","Alamat","V2C3+XCF, Mongkoinit, Kec. Lolak, Kabupaten Bolaang Mongondow, Sulawesi Utara"
"J&T EXPRESS KOTAMOBAGU",2.2,393,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+EXPRESS+KOTAMOBAGU/data=!4m7!3m6!1s0x327e3d698b77e4b3:0x44a110558e22c3a7!8m2!3d0.7326922!4d124.3029976!16s%2Fg%2F11c57jjbdn!19sChIJs-R3i2k9fjIRp8MijlUQoUQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+KOTAMOBAGU/@0.7326922,124.3029976,17z/data=!3m1!4b1!4m6!3m5!1s0x327e3d698b77e4b3:0x44a110558e22c3a7!8m2!3d0.7326922!4d124.3029976!16s%2Fg%2F11c57jjbdn?authuser=0&hl=id&entry=ttu","124.3029976","0.7326922","Alamat","P8M3+35H, Mogolaing, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716"
"J&T EXPRESS KOTAMOBAGU",2.2,393,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+EXPRESS+KOTAMOBAGU/data=!4m7!3m6!1s0x327e3d698b77e4b3:0x44a110558e22c3a7!8m2!3d0.7326922!4d124.3029976!16s%2Fg%2F11c57jjbdn!19sChIJs-R3i2k9fjIRp8MijlUQoUQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+KOTAMOBAGU/@0.7326922,124.3029976,17z/data=!3m1!4b1!4m6!3m5!1s0x327e3d698b77e4b3:0x44a110558e22c3a7!8m2!3d0.7326922!4d124.3029976!16s%2Fg%2F11c57jjbdn?authuser=0&hl=id&entry=ttu","124.3029976","0.7326922","Situs Web","jet.co.id"
"J&T EXPRESS BOROKO",3.4,36,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+EXPRESS+BOROKO/data=!4m7!3m6!1s0x327ea50e28116fed:0xd59d818a631ccc0d!8m2!3d0.9086766!4d123.2665466!16s%2Fg%2F11r4b1795m!19sChIJ7W8RKA6lfjIRDcwcY4qBndU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+BOROKO/@0.9086766,123.2665466,17z/data=!3m1!4b1!4m6!3m5!1s0x327ea50e28116fed:0xd59d818a631ccc0d!8m2!3d0.9086766!4d123.2665466!16s%2Fg%2F11r4b1795m?authuser=0&hl=id&entry=ttu","123.2665466","0.9086766","Alamat","W758+CJM, Jalan pelabuhan No.334, Boroko, Kec. Kaidipang, Kabupaten Bolaang Mongondow Utara, Sulawesi Utara 95765"
"J&T EXPRESS BOROKO",3.4,36,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+EXPRESS+BOROKO/data=!4m7!3m6!1s0x327ea50e28116fed:0xd59d818a631ccc0d!8m2!3d0.9086766!4d123.2665466!16s%2Fg%2F11r4b1795m!19sChIJ7W8RKA6lfjIRDcwcY4qBndU?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+BOROKO/@0.9086766,123.2665466,17z/data=!3m1!4b1!4m6!3m5!1s0x327ea50e28116fed:0xd59d818a631ccc0d!8m2!3d0.9086766!4d123.2665466!16s%2Fg%2F11r4b1795m?authuser=0&hl=id&entry=ttu","123.2665466","0.9086766","Telepon","0822-5928-1568"
"JNT TUTUYAN BOLTIM",4.3,3,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/JNT+TUTUYAN+BOLTIM/data=!4m7!3m6!1s0x3280a329e3ff5881:0xcf3b63d9d1492bd8!8m2!3d0.752675!4d124.6112348!16s%2Fg%2F11r3rlxz62!19sChIJgVj_4ymjgDIR2CtJ0dljO88?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+TUTUYAN+BOLTIM/@0.752675,124.6112348,17z/data=!3m1!4b1!4m6!3m5!1s0x3280a329e3ff5881:0xcf3b63d9d1492bd8!8m2!3d0.752675!4d124.6112348!16s%2Fg%2F11r3rlxz62?authuser=0&hl=id&entry=ttu","124.6112348","0.752675","Alamat","QJ36+3F9, Tutuyan II, Kec. Tutuyan, Kabupaten Bolaang Mongondow Timur, Sulawesi Utara"
