"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T CARGO UPG005A",3.7,3,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+CARGO+UPG005A/data=!4m7!3m6!1s0x2dbf03b600fdde81:0xc8859760a246b671!8m2!3d-5.1249781!4d119.4153903!16s%2Fg%2F11rqkhdtrx!19sChIJgd79ALYDvy0RcbZGomCXhcg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+UPG005A/@-5.1249781,119.4153903,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf03b600fdde81:0xc8859760a246b671!8m2!3d-5.1249781!4d119.4153903!16s%2Fg%2F11rqkhdtrx?authuser=0&hl=id&entry=ttu","119.4153903","-5.1249781","Alamat","Jl. Buru No.61, Melayu, Kec. Wajo, Kota Makassar, Sulawesi Selatan 90165"
"J&T CARGO UPG005A",3.7,3,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+CARGO+UPG005A/data=!4m7!3m6!1s0x2dbf03b600fdde81:0xc8859760a246b671!8m2!3d-5.1249781!4d119.4153903!16s%2Fg%2F11rqkhdtrx!19sChIJgd79ALYDvy0RcbZGomCXhcg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+UPG005A/@-5.1249781,119.4153903,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf03b600fdde81:0xc8859760a246b671!8m2!3d-5.1249781!4d119.4153903!16s%2Fg%2F11rqkhdtrx?authuser=0&hl=id&entry=ttu","119.4153903","-5.1249781","Telepon","0852-5602-2319"
"J&T CARGO UPG005A",3.7,3,"Buka ⋅ Tutup pukul 17.00","https://www.google.com/maps/place/J%26T+CARGO+UPG005A/data=!4m7!3m6!1s0x2dbf03b600fdde81:0xc8859760a246b671!8m2!3d-5.1249781!4d119.4153903!16s%2Fg%2F11rqkhdtrx!19sChIJgd79ALYDvy0RcbZGomCXhcg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+UPG005A/@-5.1249781,119.4153903,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf03b600fdde81:0xc8859760a246b671!8m2!3d-5.1249781!4d119.4153903!16s%2Fg%2F11rqkhdtrx?authuser=0&hl=id&entry=ttu","119.4153903","-5.1249781","Plus Codes","VCG8+25 Melayu, Kota Makassar, Sulawesi Selatan"
"J&T EXPRESS Barombong",3.8,116,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+EXPRESS+Barombong/data=!4m7!3m6!1s0x2dbf1ddcc5819f87:0xb2aa46bc27c4d4f9!8m2!3d-5.2091593!4d119.3888377!16s%2Fg%2F11f25f2hlr!19sChIJh5-Bxdwdvy0R-dTEJ7xGqrI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+Barombong/@-5.2091593,119.3888377,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1ddcc5819f87:0xb2aa46bc27c4d4f9!8m2!3d-5.2091593!4d119.3888377!16s%2Fg%2F11f25f2hlr?authuser=0&hl=id&entry=ttu","119.3888377","-5.2091593","Alamat","Barombong, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90225"
"J&T EXPRESS Barombong",3.8,116,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+EXPRESS+Barombong/data=!4m7!3m6!1s0x2dbf1ddcc5819f87:0xb2aa46bc27c4d4f9!8m2!3d-5.2091593!4d119.3888377!16s%2Fg%2F11f25f2hlr!19sChIJh5-Bxdwdvy0R-dTEJ7xGqrI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+Barombong/@-5.2091593,119.3888377,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1ddcc5819f87:0xb2aa46bc27c4d4f9!8m2!3d-5.2091593!4d119.3888377!16s%2Fg%2F11f25f2hlr?authuser=0&hl=id&entry=ttu","119.3888377","-5.2091593","Situs Web","jet.co.id"
"J&T EXPRESS Barombong",3.8,116,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+EXPRESS+Barombong/data=!4m7!3m6!1s0x2dbf1ddcc5819f87:0xb2aa46bc27c4d4f9!8m2!3d-5.2091593!4d119.3888377!16s%2Fg%2F11f25f2hlr!19sChIJh5-Bxdwdvy0R-dTEJ7xGqrI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+Barombong/@-5.2091593,119.3888377,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1ddcc5819f87:0xb2aa46bc27c4d4f9!8m2!3d-5.2091593!4d119.3888377!16s%2Fg%2F11f25f2hlr?authuser=0&hl=id&entry=ttu","119.3888377","-5.2091593","Telepon","0852-4268-0699"
"J&T EXPRESS Barombong",3.8,116,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+EXPRESS+Barombong/data=!4m7!3m6!1s0x2dbf1ddcc5819f87:0xb2aa46bc27c4d4f9!8m2!3d-5.2091593!4d119.3888377!16s%2Fg%2F11f25f2hlr!19sChIJh5-Bxdwdvy0R-dTEJ7xGqrI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+Barombong/@-5.2091593,119.3888377,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1ddcc5819f87:0xb2aa46bc27c4d4f9!8m2!3d-5.2091593!4d119.3888377!16s%2Fg%2F11f25f2hlr?authuser=0&hl=id&entry=ttu","119.3888377","-5.2091593","Plus Codes","Q9RQ+8G Barombong, Kota Makassar, Sulawesi Selatan"
"Jnt Express Daeng Tata",3.6,67,"unknown","https://www.google.com/maps/place/Jnt+Express+Daeng+Tata/data=!4m7!3m6!1s0x2dbee2795e6af39f:0x2c44a57fd24007b8!8m2!3d-5.1868125!4d119.4309224!16s%2Fg%2F11f2w6klxl!19sChIJn_NqXnnivi0RuAdA0n-lRCw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jnt+Express+Daeng+Tata/@-5.1868125,119.4309224,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2795e6af39f:0x2c44a57fd24007b8!8m2!3d-5.1868125!4d119.4309224!16s%2Fg%2F11f2w6klxl?authuser=0&hl=id&entry=ttu","119.4309224","-5.1868125","Alamat","Jl. Mallengkeri Raya No.25, Parang Tambung, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90221"
"Jnt Express Daeng Tata",3.6,67,"unknown","https://www.google.com/maps/place/Jnt+Express+Daeng+Tata/data=!4m7!3m6!1s0x2dbee2795e6af39f:0x2c44a57fd24007b8!8m2!3d-5.1868125!4d119.4309224!16s%2Fg%2F11f2w6klxl!19sChIJn_NqXnnivi0RuAdA0n-lRCw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Jnt+Express+Daeng+Tata/@-5.1868125,119.4309224,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee2795e6af39f:0x2c44a57fd24007b8!8m2!3d-5.1868125!4d119.4309224!16s%2Fg%2F11f2w6klxl?authuser=0&hl=id&entry=ttu","119.4309224","-5.1868125","Plus Codes","RC7J+79 Parang Tambung, Kota Makassar, Sulawesi Selatan"
"J&T Express Sungguminasa Kab.Gowa",3,392,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Sungguminasa+Kab.Gowa/data=!4m7!3m6!1s0x2dbee22e551ab897:0xc9e504670a9a39c8!8m2!3d-5.2021865!4d119.4465699!16s%2Fg%2F11c719qc_p!19sChIJl7gaVS7ivi0RyDmaCmcE5ck?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sungguminasa+Kab.Gowa/@-5.2021865,119.4465699,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee22e551ab897:0xc9e504670a9a39c8!8m2!3d-5.2021865!4d119.4465699!16s%2Fg%2F11c719qc_p?authuser=0&hl=id&entry=ttu","119.4465699","-5.2021865","Alamat","Jl. Sultan Hasanuddin No.31, Pandang Pandang, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92111"
"J&T Express Sungguminasa Kab.Gowa",3,392,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+Express+Sungguminasa+Kab.Gowa/data=!4m7!3m6!1s0x2dbee22e551ab897:0xc9e504670a9a39c8!8m2!3d-5.2021865!4d119.4465699!16s%2Fg%2F11c719qc_p!19sChIJl7gaVS7ivi0RyDmaCmcE5ck?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sungguminasa+Kab.Gowa/@-5.2021865,119.4465699,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbee22e551ab897:0xc9e504670a9a39c8!8m2!3d-5.2021865!4d119.4465699!16s%2Fg%2F11c719qc_p?authuser=0&hl=id&entry=ttu","119.4465699","-5.2021865","Telepon","(0411) 8990549"
