"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Ciamis",3.6,518,"Tutup ⋅ Buka Min pukul 07.00","https://www.google.com/maps/place/J%26T+Express+Ciamis/data=!4m7!3m6!1s0x2e6f5a05eb9070cf:0xbd05a491c9d10ebf!8m2!3d-7.3284503!4d108.3562405!16s%2Fg%2F11c2kvmr0d!19sChIJz3CQ6wVaby4Rvw7RyZGkBb0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Ciamis/@-7.3284503,108.3562405,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f5a05eb9070cf:0xbd05a491c9d10ebf!8m2!3d-7.3284503!4d108.3562405!16s%2Fg%2F11c2kvmr0d?authuser=0&hl=id&entry=ttu","108.3562405","-7.3284503","Alamat","Jl. Stasiun No.35, Ciamis, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46211"
"J&T Express Ciamis",3.6,518,"Tutup ⋅ Buka Min pukul 07.00","https://www.google.com/maps/place/J%26T+Express+Ciamis/data=!4m7!3m6!1s0x2e6f5a05eb9070cf:0xbd05a491c9d10ebf!8m2!3d-7.3284503!4d108.3562405!16s%2Fg%2F11c2kvmr0d!19sChIJz3CQ6wVaby4Rvw7RyZGkBb0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Ciamis/@-7.3284503,108.3562405,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f5a05eb9070cf:0xbd05a491c9d10ebf!8m2!3d-7.3284503!4d108.3562405!16s%2Fg%2F11c2kvmr0d?authuser=0&hl=id&entry=ttu","108.3562405","-7.3284503","Situs Web","jet.co.id"
"J&T Express Ciamis",3.6,518,"Tutup ⋅ Buka Min pukul 07.00","https://www.google.com/maps/place/J%26T+Express+Ciamis/data=!4m7!3m6!1s0x2e6f5a05eb9070cf:0xbd05a491c9d10ebf!8m2!3d-7.3284503!4d108.3562405!16s%2Fg%2F11c2kvmr0d!19sChIJz3CQ6wVaby4Rvw7RyZGkBb0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Ciamis/@-7.3284503,108.3562405,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f5a05eb9070cf:0xbd05a491c9d10ebf!8m2!3d-7.3284503!4d108.3562405!16s%2Fg%2F11c2kvmr0d?authuser=0&hl=id&entry=ttu","108.3562405","-7.3284503","Telepon","(0265) 7576604"
"J&T Express Ciamis",3.6,518,"Tutup ⋅ Buka Min pukul 07.00","https://www.google.com/maps/place/J%26T+Express+Ciamis/data=!4m7!3m6!1s0x2e6f5a05eb9070cf:0xbd05a491c9d10ebf!8m2!3d-7.3284503!4d108.3562405!16s%2Fg%2F11c2kvmr0d!19sChIJz3CQ6wVaby4Rvw7RyZGkBb0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Ciamis/@-7.3284503,108.3562405,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f5a05eb9070cf:0xbd05a491c9d10ebf!8m2!3d-7.3284503!4d108.3562405!16s%2Fg%2F11c2kvmr0d?authuser=0&hl=id&entry=ttu","108.3562405","-7.3284503","Plus Codes","M9C4+JF Ciamis, Kabupaten Ciamis, Jawa Barat"
"J&T Cargo Imbanagara Ciamis CMI003B",4.3,6,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Imbanagara+Ciamis+CMI003B/data=!4m7!3m6!1s0x2e6f59cc946187ad:0x1719d74efbeba092!8m2!3d-7.3175002!4d108.3055744!16s%2Fg%2F11nmmhp_fm!19sChIJrYdhlMxZby4RkqDr-07XGRc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Imbanagara+Ciamis+CMI003B/@-7.3175002,108.3055744,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f59cc946187ad:0x1719d74efbeba092!8m2!3d-7.3175002!4d108.3055744!16s%2Fg%2F11nmmhp_fm?authuser=0&hl=id&entry=ttu","108.3055744","-7.3175002","Alamat","Jl. Mayor Ali Basah, Imbanagara, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46219"
"J&T Cargo Imbanagara Ciamis CMI003B",4.3,6,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Imbanagara+Ciamis+CMI003B/data=!4m7!3m6!1s0x2e6f59cc946187ad:0x1719d74efbeba092!8m2!3d-7.3175002!4d108.3055744!16s%2Fg%2F11nmmhp_fm!19sChIJrYdhlMxZby4RkqDr-07XGRc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Imbanagara+Ciamis+CMI003B/@-7.3175002,108.3055744,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f59cc946187ad:0x1719d74efbeba092!8m2!3d-7.3175002!4d108.3055744!16s%2Fg%2F11nmmhp_fm?authuser=0&hl=id&entry=ttu","108.3055744","-7.3175002","Telepon","0822-1411-1188"
"J&T Cargo Imbanagara Ciamis CMI003B",4.3,6,"Tutup ⋅ Buka Min pukul 08.00","https://www.google.com/maps/place/J%26T+Cargo+Imbanagara+Ciamis+CMI003B/data=!4m7!3m6!1s0x2e6f59cc946187ad:0x1719d74efbeba092!8m2!3d-7.3175002!4d108.3055744!16s%2Fg%2F11nmmhp_fm!19sChIJrYdhlMxZby4RkqDr-07XGRc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Cargo+Imbanagara+Ciamis+CMI003B/@-7.3175002,108.3055744,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f59cc946187ad:0x1719d74efbeba092!8m2!3d-7.3175002!4d108.3055744!16s%2Fg%2F11nmmhp_fm?authuser=0&hl=id&entry=ttu","108.3055744","-7.3175002","Plus Codes","M8J4+X6 Imbanagara, Kabupaten Ciamis, Jawa Barat"
"J&T EXPRESS IMBANAGARA",3.3,4,"Tutup ⋅ Buka Min pukul 07.00","https://www.google.com/maps/place/J%26T+EXPRESS+IMBANAGARA/data=!4m7!3m6!1s0x2e6f596a6946697f:0x521e27ccbe0563f1!8m2!3d-7.3226669!4d108.3123959!16s%2Fg%2F11rpkl09bj!19sChIJf2lGaWpZby4R8WMFvswnHlI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+IMBANAGARA/@-7.3226669,108.3123959,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f596a6946697f:0x521e27ccbe0563f1!8m2!3d-7.3226669!4d108.3123959!16s%2Fg%2F11rpkl09bj?authuser=0&hl=id&entry=ttu","108.3123959","-7.3226669","Alamat","Jl. Pahlawan, Imbanagara, Kec. Ciamis, Kabupaten Ciamis, Jawa Barat 46219"
"J&T EXPRESS IMBANAGARA",3.3,4,"Tutup ⋅ Buka Min pukul 07.00","https://www.google.com/maps/place/J%26T+EXPRESS+IMBANAGARA/data=!4m7!3m6!1s0x2e6f596a6946697f:0x521e27ccbe0563f1!8m2!3d-7.3226669!4d108.3123959!16s%2Fg%2F11rpkl09bj!19sChIJf2lGaWpZby4R8WMFvswnHlI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+IMBANAGARA/@-7.3226669,108.3123959,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f596a6946697f:0x521e27ccbe0563f1!8m2!3d-7.3226669!4d108.3123959!16s%2Fg%2F11rpkl09bj?authuser=0&hl=id&entry=ttu","108.3123959","-7.3226669","Telepon","0877-7464-6873"
"J&T EXPRESS IMBANAGARA",3.3,4,"Tutup ⋅ Buka Min pukul 07.00","https://www.google.com/maps/place/J%26T+EXPRESS+IMBANAGARA/data=!4m7!3m6!1s0x2e6f596a6946697f:0x521e27ccbe0563f1!8m2!3d-7.3226669!4d108.3123959!16s%2Fg%2F11rpkl09bj!19sChIJf2lGaWpZby4R8WMFvswnHlI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+IMBANAGARA/@-7.3226669,108.3123959,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6f596a6946697f:0x521e27ccbe0563f1!8m2!3d-7.3226669!4d108.3123959!16s%2Fg%2F11rpkl09bj?authuser=0&hl=id&entry=ttu","108.3123959","-7.3226669","Plus Codes","M8G6+WX Imbanagara, Kabupaten Ciamis, Jawa Barat"
