"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Pondok Mas Indah",3.4,174,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+Pondok+Mas+Indah/data=!4m7!3m6!1s0x2e68e56d57353403:0xe3a2af7571164070!8m2!3d-6.8969661!4d107.5352316!16s%2Fg%2F11hzl_97t4!19sChIJAzQ1V23laC4RcEAWcXWvouM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pondok+Mas+Indah/@-6.8969661,107.5352316,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e56d57353403:0xe3a2af7571164070!8m2!3d-6.8969661!4d107.5352316!16s%2Fg%2F11hzl_97t4?authuser=0&hl=id&entry=ttu","107.5352316","-6.8969661","Alamat","Ruko Perumahan Pondok Mas Indah No.28, Leuwigajah, Kec. Cimahi Sel., Kota Cimahi, Jawa Barat 40513"
"J&T Express Pondok Mas Indah",3.4,174,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+Pondok+Mas+Indah/data=!4m7!3m6!1s0x2e68e56d57353403:0xe3a2af7571164070!8m2!3d-6.8969661!4d107.5352316!16s%2Fg%2F11hzl_97t4!19sChIJAzQ1V23laC4RcEAWcXWvouM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pondok+Mas+Indah/@-6.8969661,107.5352316,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e56d57353403:0xe3a2af7571164070!8m2!3d-6.8969661!4d107.5352316!16s%2Fg%2F11hzl_97t4?authuser=0&hl=id&entry=ttu","107.5352316","-6.8969661","Situs Web","jet.co.id"
"J&T Express Pondok Mas Indah",3.4,174,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+Pondok+Mas+Indah/data=!4m7!3m6!1s0x2e68e56d57353403:0xe3a2af7571164070!8m2!3d-6.8969661!4d107.5352316!16s%2Fg%2F11hzl_97t4!19sChIJAzQ1V23laC4RcEAWcXWvouM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pondok+Mas+Indah/@-6.8969661,107.5352316,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e56d57353403:0xe3a2af7571164070!8m2!3d-6.8969661!4d107.5352316!16s%2Fg%2F11hzl_97t4?authuser=0&hl=id&entry=ttu","107.5352316","-6.8969661","Telepon","0857-9738-1348"
"J&T Express Pondok Mas Indah",3.4,174,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+Express+Pondok+Mas+Indah/data=!4m7!3m6!1s0x2e68e56d57353403:0xe3a2af7571164070!8m2!3d-6.8969661!4d107.5352316!16s%2Fg%2F11hzl_97t4!19sChIJAzQ1V23laC4RcEAWcXWvouM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Pondok+Mas+Indah/@-6.8969661,107.5352316,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e56d57353403:0xe3a2af7571164070!8m2!3d-6.8969661!4d107.5352316!16s%2Fg%2F11hzl_97t4?authuser=0&hl=id&entry=ttu","107.5352316","-6.8969661","Plus Codes","4G3P+63 Leuwigajah, Kota Cimahi, Jawa Barat"
"J&T CARGO CIMAHI",4.9,63,"unknown","https://www.google.com/maps/place/J%26T+CARGO+CIMAHI/data=!4m7!3m6!1s0x2e68e5f0411a842b:0x9a90ba5ab111123!8m2!3d-6.8606377!4d107.548404!16s%2Fg%2F11p0cfc88h!19sChIJK4QaQfDlaC4RIxERq6ULqQk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+CIMAHI/@-6.8606377,107.548404,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e5f0411a842b:0x9a90ba5ab111123!8m2!3d-6.8606377!4d107.548404!16s%2Fg%2F11p0cfc88h?authuser=0&hl=id&entry=ttu","107.548404","-6.8606377","Alamat","Jl. Kamarung No.4, Citeureup, Kec. Cimahi Utara, Kota Cimahi, Jawa Barat 40512"
"J&T CARGO CIMAHI",4.9,63,"unknown","https://www.google.com/maps/place/J%26T+CARGO+CIMAHI/data=!4m7!3m6!1s0x2e68e5f0411a842b:0x9a90ba5ab111123!8m2!3d-6.8606377!4d107.548404!16s%2Fg%2F11p0cfc88h!19sChIJK4QaQfDlaC4RIxERq6ULqQk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+CIMAHI/@-6.8606377,107.548404,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e5f0411a842b:0x9a90ba5ab111123!8m2!3d-6.8606377!4d107.548404!16s%2Fg%2F11p0cfc88h?authuser=0&hl=id&entry=ttu","107.548404","-6.8606377","Situs Web","jntcargocimahi.com"
"J&T CARGO CIMAHI",4.9,63,"unknown","https://www.google.com/maps/place/J%26T+CARGO+CIMAHI/data=!4m7!3m6!1s0x2e68e5f0411a842b:0x9a90ba5ab111123!8m2!3d-6.8606377!4d107.548404!16s%2Fg%2F11p0cfc88h!19sChIJK4QaQfDlaC4RIxERq6ULqQk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+CIMAHI/@-6.8606377,107.548404,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e5f0411a842b:0x9a90ba5ab111123!8m2!3d-6.8606377!4d107.548404!16s%2Fg%2F11p0cfc88h?authuser=0&hl=id&entry=ttu","107.548404","-6.8606377","Telepon","0821-2858-6195"
"J&T CARGO CIMAHI",4.9,63,"unknown","https://www.google.com/maps/place/J%26T+CARGO+CIMAHI/data=!4m7!3m6!1s0x2e68e5f0411a842b:0x9a90ba5ab111123!8m2!3d-6.8606377!4d107.548404!16s%2Fg%2F11p0cfc88h!19sChIJK4QaQfDlaC4RIxERq6ULqQk?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+CARGO+CIMAHI/@-6.8606377,107.548404,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e5f0411a842b:0x9a90ba5ab111123!8m2!3d-6.8606377!4d107.548404!16s%2Fg%2F11p0cfc88h?authuser=0&hl=id&entry=ttu","107.548404","-6.8606377","Plus Codes","4GQX+P9 Citeureup, Kota Cimahi, Jawa Barat"
"J&T Express Collection Point Cibabat",2.6,68,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+Collection+Point+Cibabat/data=!4m7!3m6!1s0x2e68e5a344a696e5:0x3f2b0268783b005!8m2!3d-6.8881236!4d107.555665!16s%2Fg%2F11f62dtwtt!19sChIJ5ZamRKPlaC4RBbCDhyaw8gM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Collection+Point+Cibabat/@-6.8881236,107.555665,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e5a344a696e5:0x3f2b0268783b005!8m2!3d-6.8881236!4d107.555665!16s%2Fg%2F11f62dtwtt?authuser=0&hl=id&entry=ttu","107.555665","-6.8881236","Alamat","Jl. Raya Cibabat No.296 C, Cibabat, Kec. Cimahi Utara, Kota Cimahi, Jawa Barat 40513"
"J&T Express Collection Point Cibabat",2.6,68,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+Collection+Point+Cibabat/data=!4m7!3m6!1s0x2e68e5a344a696e5:0x3f2b0268783b005!8m2!3d-6.8881236!4d107.555665!16s%2Fg%2F11f62dtwtt!19sChIJ5ZamRKPlaC4RBbCDhyaw8gM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Collection+Point+Cibabat/@-6.8881236,107.555665,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e5a344a696e5:0x3f2b0268783b005!8m2!3d-6.8881236!4d107.555665!16s%2Fg%2F11f62dtwtt?authuser=0&hl=id&entry=ttu","107.555665","-6.8881236","Plus Codes","4H64+Q7 Cibabat, Kota Cimahi, Jawa Barat"
