"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Dharmasraya (DHR01)",3.9,91,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Dharmasraya+%28DHR01%29/data=!4m7!3m6!1s0x2e2b99f329f7283f:0x2e02c359eb04acee!8m2!3d-0.9543332!4d101.5019132!16s%2Fg%2F11f38fv2n2!19sChIJPyj3KfOZKy4R7qwE61nDAi4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Dharmasraya+(DHR01)/@-0.9543332,101.5019132,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2b99f329f7283f:0x2e02c359eb04acee!8m2!3d-0.9543332!4d101.5019132!16s%2Fg%2F11f38fv2n2?authuser=0&hl=id&entry=ttu","101.5019132","-0.9543332","Alamat","Jl. Lintas Sumatera, Empat Koto Pulau Punjung, Kec. Pulau Punjung, Kabupaten Dharmasraya, Sumatera Barat 27573"
"J&T Express Dharmasraya (DHR01)",3.9,91,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Dharmasraya+%28DHR01%29/data=!4m7!3m6!1s0x2e2b99f329f7283f:0x2e02c359eb04acee!8m2!3d-0.9543332!4d101.5019132!16s%2Fg%2F11f38fv2n2!19sChIJPyj3KfOZKy4R7qwE61nDAi4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Dharmasraya+(DHR01)/@-0.9543332,101.5019132,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2b99f329f7283f:0x2e02c359eb04acee!8m2!3d-0.9543332!4d101.5019132!16s%2Fg%2F11f38fv2n2?authuser=0&hl=id&entry=ttu","101.5019132","-0.9543332","Situs Web","jet.co.id"
"J&T Express Dharmasraya (DHR01)",3.9,91,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Dharmasraya+%28DHR01%29/data=!4m7!3m6!1s0x2e2b99f329f7283f:0x2e02c359eb04acee!8m2!3d-0.9543332!4d101.5019132!16s%2Fg%2F11f38fv2n2!19sChIJPyj3KfOZKy4R7qwE61nDAi4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Dharmasraya+(DHR01)/@-0.9543332,101.5019132,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2b99f329f7283f:0x2e02c359eb04acee!8m2!3d-0.9543332!4d101.5019132!16s%2Fg%2F11f38fv2n2?authuser=0&hl=id&entry=ttu","101.5019132","-0.9543332","Telepon","0822-8345-6472"
"J&T Express Dharmasraya (DHR01)",3.9,91,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Dharmasraya+%28DHR01%29/data=!4m7!3m6!1s0x2e2b99f329f7283f:0x2e02c359eb04acee!8m2!3d-0.9543332!4d101.5019132!16s%2Fg%2F11f38fv2n2!19sChIJPyj3KfOZKy4R7qwE61nDAi4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Dharmasraya+(DHR01)/@-0.9543332,101.5019132,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2b99f329f7283f:0x2e02c359eb04acee!8m2!3d-0.9543332!4d101.5019132!16s%2Fg%2F11f38fv2n2?authuser=0&hl=id&entry=ttu","101.5019132","-0.9543332","Plus Codes","2GW2+7Q Empat Koto Pulau Punjung, Kabupaten Dharmasraya, Sumatera Barat"
"J&T Express Koto Baru (DHR02)",4.2,81,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Koto+Baru+%28DHR02%29/data=!4m7!3m6!1s0x2e2bf4af8ad573bb:0xf6b2c3f01d4b9747!8m2!3d-1.1274864!4d101.7181475!16s%2Fg%2F11f31zp_nl!19sChIJu3PViq_0Ky4RR5dLHfDDsvY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Koto+Baru+(DHR02)/@-1.1274864,101.7181475,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2bf4af8ad573bb:0xf6b2c3f01d4b9747!8m2!3d-1.1274864!4d101.7181475!16s%2Fg%2F11f31zp_nl?authuser=0&hl=id&entry=ttu","101.7181475","-1.1274864","Alamat","Jl. Lintas Sumatera, Koto Baru, Kec. Koto Baru, Kabupaten Dharmasraya, Sumatera Barat 27681"
"J&T Express Koto Baru (DHR02)",4.2,81,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Koto+Baru+%28DHR02%29/data=!4m7!3m6!1s0x2e2bf4af8ad573bb:0xf6b2c3f01d4b9747!8m2!3d-1.1274864!4d101.7181475!16s%2Fg%2F11f31zp_nl!19sChIJu3PViq_0Ky4RR5dLHfDDsvY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Koto+Baru+(DHR02)/@-1.1274864,101.7181475,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2bf4af8ad573bb:0xf6b2c3f01d4b9747!8m2!3d-1.1274864!4d101.7181475!16s%2Fg%2F11f31zp_nl?authuser=0&hl=id&entry=ttu","101.7181475","-1.1274864","Situs Web","jet.co.id"
"J&T Express Koto Baru (DHR02)",4.2,81,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Koto+Baru+%28DHR02%29/data=!4m7!3m6!1s0x2e2bf4af8ad573bb:0xf6b2c3f01d4b9747!8m2!3d-1.1274864!4d101.7181475!16s%2Fg%2F11f31zp_nl!19sChIJu3PViq_0Ky4RR5dLHfDDsvY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Koto+Baru+(DHR02)/@-1.1274864,101.7181475,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2bf4af8ad573bb:0xf6b2c3f01d4b9747!8m2!3d-1.1274864!4d101.7181475!16s%2Fg%2F11f31zp_nl?authuser=0&hl=id&entry=ttu","101.7181475","-1.1274864","Telepon","0852-5766-6222"
"J&T Express Koto Baru (DHR02)",4.2,81,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Koto+Baru+%28DHR02%29/data=!4m7!3m6!1s0x2e2bf4af8ad573bb:0xf6b2c3f01d4b9747!8m2!3d-1.1274864!4d101.7181475!16s%2Fg%2F11f31zp_nl!19sChIJu3PViq_0Ky4RR5dLHfDDsvY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Koto+Baru+(DHR02)/@-1.1274864,101.7181475,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2bf4af8ad573bb:0xf6b2c3f01d4b9747!8m2!3d-1.1274864!4d101.7181475!16s%2Fg%2F11f31zp_nl?authuser=0&hl=id&entry=ttu","101.7181475","-1.1274864","Plus Codes","VPF9+27 Koto Baru, Kabupaten Dharmasraya, Sumatera Barat"
"J&T Express Sitiung (DHR03)",3.4,29,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Sitiung+%28DHR03%29/data=!4m7!3m6!1s0x2e2b9376271ebdb9:0x47fd33b913a932e1!8m2!3d-1.0341475!4d101.6801439!16s%2Fg%2F11rskf9pkc!19sChIJub0eJ3aTKy4R4TKpE7kz_Uc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sitiung+(DHR03)/@-1.0341475,101.6801439,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2b9376271ebdb9:0x47fd33b913a932e1!8m2!3d-1.0341475!4d101.6801439!16s%2Fg%2F11rskf9pkc?authuser=0&hl=id&entry=ttu","101.6801439","-1.0341475","Alamat","Jl. Poros Blk. B Sitiung 1, Sungai Duo, Kec. Sitiung, Kabupaten Dharmasraya, Sumatera Barat 27681"
"J&T Express Sitiung (DHR03)",3.4,29,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Sitiung+%28DHR03%29/data=!4m7!3m6!1s0x2e2b9376271ebdb9:0x47fd33b913a932e1!8m2!3d-1.0341475!4d101.6801439!16s%2Fg%2F11rskf9pkc!19sChIJub0eJ3aTKy4R4TKpE7kz_Uc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Sitiung+(DHR03)/@-1.0341475,101.6801439,17z/data=!3m1!4b1!4m6!3m5!1s0x2e2b9376271ebdb9:0x47fd33b913a932e1!8m2!3d-1.0341475!4d101.6801439!16s%2Fg%2F11rskf9pkc?authuser=0&hl=id&entry=ttu","101.6801439","-1.0341475","Situs Web","jet.co.id"
