"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Gorontalo",2.9,400,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Gorontalo/data=!4m7!3m6!1s0x32792b20fe05c5a1:0x2d609cc0b3d0a8d9!8m2!3d0.5368943!4d123.0606797!16s%2Fg%2F11cmmwrplc!19sChIJocUF_iAreTIR2ajQs8CcYC0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Gorontalo/@0.5368943,123.0606797,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b20fe05c5a1:0x2d609cc0b3d0a8d9!8m2!3d0.5368943!4d123.0606797!16s%2Fg%2F11cmmwrplc?authuser=0&hl=id&entry=ttu","123.0606797","0.5368943","Alamat","Jl. HOS. Cokroaminoto, Heledulaa Sel., Kec. Kota Tim., Kota Gorontalo, Gorontalo 96134"
"J&T Express Gorontalo",2.9,400,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Gorontalo/data=!4m7!3m6!1s0x32792b20fe05c5a1:0x2d609cc0b3d0a8d9!8m2!3d0.5368943!4d123.0606797!16s%2Fg%2F11cmmwrplc!19sChIJocUF_iAreTIR2ajQs8CcYC0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Gorontalo/@0.5368943,123.0606797,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b20fe05c5a1:0x2d609cc0b3d0a8d9!8m2!3d0.5368943!4d123.0606797!16s%2Fg%2F11cmmwrplc?authuser=0&hl=id&entry=ttu","123.0606797","0.5368943","Situs Web","jet.co.id"
"J&T Express Gorontalo",2.9,400,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Gorontalo/data=!4m7!3m6!1s0x32792b20fe05c5a1:0x2d609cc0b3d0a8d9!8m2!3d0.5368943!4d123.0606797!16s%2Fg%2F11cmmwrplc!19sChIJocUF_iAreTIR2ajQs8CcYC0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Gorontalo/@0.5368943,123.0606797,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b20fe05c5a1:0x2d609cc0b3d0a8d9!8m2!3d0.5368943!4d123.0606797!16s%2Fg%2F11cmmwrplc?authuser=0&hl=id&entry=ttu","123.0606797","0.5368943","Telepon","(0435) 823191"
"J&T Express Gorontalo",2.9,400,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/J%26T+Express+Gorontalo/data=!4m7!3m6!1s0x32792b20fe05c5a1:0x2d609cc0b3d0a8d9!8m2!3d0.5368943!4d123.0606797!16s%2Fg%2F11cmmwrplc!19sChIJocUF_iAreTIR2ajQs8CcYC0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Gorontalo/@0.5368943,123.0606797,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b20fe05c5a1:0x2d609cc0b3d0a8d9!8m2!3d0.5368943!4d123.0606797!16s%2Fg%2F11cmmwrplc?authuser=0&hl=id&entry=ttu","123.0606797","0.5368943","Plus Codes","G3P6+Q7 Heledulaa Sel., Kota Gorontalo, Gorontalo"
"JNT GORONTALO DP AGUS SALIM",3.2,77,"unknown","https://www.google.com/maps/place/JNT+GORONTALO+DP+AGUS+SALIM/data=!4m7!3m6!1s0x32792b62849f31b9:0x17c8b5945aca6729!8m2!3d0.567484!4d123.0473037!16s%2Fg%2F11f1s2jc45!19sChIJuTGfhGIreTIRKWfKWpS1yBc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+GORONTALO+DP+AGUS+SALIM/@0.567484,123.0473037,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b62849f31b9:0x17c8b5945aca6729!8m2!3d0.567484!4d123.0473037!16s%2Fg%2F11f1s2jc45?authuser=0&hl=id&entry=ttu","123.0473037","0.567484","Alamat","H28W+XWV, Tomulabutao Sel., Kec. Dungingi, Kabupaten Gorontalo, Gorontalo 96138"
"JNT GORONTALO DP AGUS SALIM",3.2,77,"unknown","https://www.google.com/maps/place/JNT+GORONTALO+DP+AGUS+SALIM/data=!4m7!3m6!1s0x32792b62849f31b9:0x17c8b5945aca6729!8m2!3d0.567484!4d123.0473037!16s%2Fg%2F11f1s2jc45!19sChIJuTGfhGIreTIRKWfKWpS1yBc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNT+GORONTALO+DP+AGUS+SALIM/@0.567484,123.0473037,17z/data=!3m1!4b1!4m6!3m5!1s0x32792b62849f31b9:0x17c8b5945aca6729!8m2!3d0.567484!4d123.0473037!16s%2Fg%2F11f1s2jc45?authuser=0&hl=id&entry=ttu","123.0473037","0.567484","Telepon","0899-0351-520"
"J&T EXPRESS ANDALAS (GTO03)",3.6,125,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+EXPRESS+ANDALAS+%28GTO03%29/data=!4m7!3m6!1s0x32792c98c1be55b1:0x348c90b96b6137d4!8m2!3d0.5674377!4d123.0684055!16s%2Fg%2F11f11__86d!19sChIJsVW-wZgseTIR1Ddha7mQjDQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+ANDALAS+(GTO03)/@0.5674377,123.0684055,17z/data=!3m1!4b1!4m6!3m5!1s0x32792c98c1be55b1:0x348c90b96b6137d4!8m2!3d0.5674377!4d123.0684055!16s%2Fg%2F11f11__86d?authuser=0&hl=id&entry=ttu","123.0684055","0.5674377","Alamat","Jl. Andalas, Tapa, Kec. Sipatana, Kota Gorontalo, Gorontalo 96138"
"J&T EXPRESS ANDALAS (GTO03)",3.6,125,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+EXPRESS+ANDALAS+%28GTO03%29/data=!4m7!3m6!1s0x32792c98c1be55b1:0x348c90b96b6137d4!8m2!3d0.5674377!4d123.0684055!16s%2Fg%2F11f11__86d!19sChIJsVW-wZgseTIR1Ddha7mQjDQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+ANDALAS+(GTO03)/@0.5674377,123.0684055,17z/data=!3m1!4b1!4m6!3m5!1s0x32792c98c1be55b1:0x348c90b96b6137d4!8m2!3d0.5674377!4d123.0684055!16s%2Fg%2F11f11__86d?authuser=0&hl=id&entry=ttu","123.0684055","0.5674377","Situs Web","jet.co.id"
"J&T EXPRESS ANDALAS (GTO03)",3.6,125,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+EXPRESS+ANDALAS+%28GTO03%29/data=!4m7!3m6!1s0x32792c98c1be55b1:0x348c90b96b6137d4!8m2!3d0.5674377!4d123.0684055!16s%2Fg%2F11f11__86d!19sChIJsVW-wZgseTIR1Ddha7mQjDQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+ANDALAS+(GTO03)/@0.5674377,123.0684055,17z/data=!3m1!4b1!4m6!3m5!1s0x32792c98c1be55b1:0x348c90b96b6137d4!8m2!3d0.5674377!4d123.0684055!16s%2Fg%2F11f11__86d?authuser=0&hl=id&entry=ttu","123.0684055","0.5674377","Telepon","0822-9362-8167"
"J&T EXPRESS ANDALAS (GTO03)",3.6,125,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/J%26T+EXPRESS+ANDALAS+%28GTO03%29/data=!4m7!3m6!1s0x32792c98c1be55b1:0x348c90b96b6137d4!8m2!3d0.5674377!4d123.0684055!16s%2Fg%2F11f11__86d!19sChIJsVW-wZgseTIR1Ddha7mQjDQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS+ANDALAS+(GTO03)/@0.5674377,123.0684055,17z/data=!3m1!4b1!4m6!3m5!1s0x32792c98c1be55b1:0x348c90b96b6137d4!8m2!3d0.5674377!4d123.0684055!16s%2Fg%2F11f11__86d?authuser=0&hl=id&entry=ttu","123.0684055","0.5674377","Plus Codes","H389+X9 Tapa, Kabupaten Gorontalo, Gorontalo"
