"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"J&T Express Gunung Merapi",4.1,17,"Buka ⋅ Tutup pukul 20.30","https://www.google.com/maps/place/J%26T+Express+Gunung+Merapi/data=!4m7!3m6!1s0x2dbf0324ba4c1407:0x5da60e3a1c1e41fc!8m2!3d-5.1384853!4d119.4169749!16s%2Fg%2F11f9vyj53h!19sChIJBxRMuiQDvy0R_EEeHDoOpl0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Gunung+Merapi/@-5.1384853,119.4169749,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf0324ba4c1407:0x5da60e3a1c1e41fc!8m2!3d-5.1384853!4d119.4169749!16s%2Fg%2F11f9vyj53h?authuser=0&hl=id&entry=ttu","119.4169749","-5.1384853","Alamat","Jl. Gn. Merapi No.70, Lajangiru, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90157"
"J&T Express Gunung Merapi",4.1,17,"Buka ⋅ Tutup pukul 20.30","https://www.google.com/maps/place/J%26T+Express+Gunung+Merapi/data=!4m7!3m6!1s0x2dbf0324ba4c1407:0x5da60e3a1c1e41fc!8m2!3d-5.1384853!4d119.4169749!16s%2Fg%2F11f9vyj53h!19sChIJBxRMuiQDvy0R_EEeHDoOpl0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Gunung+Merapi/@-5.1384853,119.4169749,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf0324ba4c1407:0x5da60e3a1c1e41fc!8m2!3d-5.1384853!4d119.4169749!16s%2Fg%2F11f9vyj53h?authuser=0&hl=id&entry=ttu","119.4169749","-5.1384853","Situs Web","jet.co.id"
"J&T Express Gunung Merapi",4.1,17,"Buka ⋅ Tutup pukul 20.30","https://www.google.com/maps/place/J%26T+Express+Gunung+Merapi/data=!4m7!3m6!1s0x2dbf0324ba4c1407:0x5da60e3a1c1e41fc!8m2!3d-5.1384853!4d119.4169749!16s%2Fg%2F11f9vyj53h!19sChIJBxRMuiQDvy0R_EEeHDoOpl0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Gunung+Merapi/@-5.1384853,119.4169749,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf0324ba4c1407:0x5da60e3a1c1e41fc!8m2!3d-5.1384853!4d119.4169749!16s%2Fg%2F11f9vyj53h?authuser=0&hl=id&entry=ttu","119.4169749","-5.1384853","Telepon","(021) 80661888"
"J&T Express Gunung Merapi",4.1,17,"Buka ⋅ Tutup pukul 20.30","https://www.google.com/maps/place/J%26T+Express+Gunung+Merapi/data=!4m7!3m6!1s0x2dbf0324ba4c1407:0x5da60e3a1c1e41fc!8m2!3d-5.1384853!4d119.4169749!16s%2Fg%2F11f9vyj53h!19sChIJBxRMuiQDvy0R_EEeHDoOpl0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+Gunung+Merapi/@-5.1384853,119.4169749,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf0324ba4c1407:0x5da60e3a1c1e41fc!8m2!3d-5.1384853!4d119.4169749!16s%2Fg%2F11f9vyj53h?authuser=0&hl=id&entry=ttu","119.4169749","-5.1384853","Plus Codes","VC68+JQ Lajangiru, Kota Makassar, Sulawesi Selatan"
"J&T EXPRESS",3.7,89,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2dbf1d5ef295b1e7:0x6a953954f81bab23!8m2!3d-5.1570058!4d119.4136016!16s%2Fg%2F11gdvzm8jb!19sChIJ57GV8l4dvy0RI6sb-FQ5lWo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-5.1570058,119.4136016,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1d5ef295b1e7:0x6a953954f81bab23!8m2!3d-5.1570058!4d119.4136016!16s%2Fg%2F11gdvzm8jb?authuser=0&hl=id&entry=ttu","119.4136016","-5.1570058","Alamat","Jl. Cendrawasih, Mario, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125"
"J&T EXPRESS",3.7,89,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2dbf1d5ef295b1e7:0x6a953954f81bab23!8m2!3d-5.1570058!4d119.4136016!16s%2Fg%2F11gdvzm8jb!19sChIJ57GV8l4dvy0RI6sb-FQ5lWo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-5.1570058,119.4136016,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1d5ef295b1e7:0x6a953954f81bab23!8m2!3d-5.1570058!4d119.4136016!16s%2Fg%2F11gdvzm8jb?authuser=0&hl=id&entry=ttu","119.4136016","-5.1570058","Situs Web","jet.co.id"
"J&T EXPRESS",3.7,89,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2dbf1d5ef295b1e7:0x6a953954f81bab23!8m2!3d-5.1570058!4d119.4136016!16s%2Fg%2F11gdvzm8jb!19sChIJ57GV8l4dvy0RI6sb-FQ5lWo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-5.1570058,119.4136016,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1d5ef295b1e7:0x6a953954f81bab23!8m2!3d-5.1570058!4d119.4136016!16s%2Fg%2F11gdvzm8jb?authuser=0&hl=id&entry=ttu","119.4136016","-5.1570058","Telepon","(021) 80661888"
"J&T EXPRESS",3.7,89,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/J%26T+EXPRESS/data=!4m7!3m6!1s0x2dbf1d5ef295b1e7:0x6a953954f81bab23!8m2!3d-5.1570058!4d119.4136016!16s%2Fg%2F11gdvzm8jb!19sChIJ57GV8l4dvy0RI6sb-FQ5lWo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+EXPRESS/@-5.1570058,119.4136016,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf1d5ef295b1e7:0x6a953954f81bab23!8m2!3d-5.1570058!4d119.4136016!16s%2Fg%2F11gdvzm8jb?authuser=0&hl=id&entry=ttu","119.4136016","-5.1570058","Plus Codes","RCV7+5C Mario, Kota Makassar, Sulawesi Selatan"
"J&T Express VIP Makassar",4.7,15,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+VIP+Makassar/data=!4m7!3m6!1s0x2dbf03c19d2c8779:0x27d5f51650e5f47f!8m2!3d-5.1317258!4d119.4172881!16s%2Fg%2F11fwjhzxcr!19sChIJeYcsncEDvy0Rf_TlUBb11Sc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+VIP+Makassar/@-5.1317258,119.4172881,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf03c19d2c8779:0x27d5f51650e5f47f!8m2!3d-5.1317258!4d119.4172881!16s%2Fg%2F11fwjhzxcr?authuser=0&hl=id&entry=ttu","119.4172881","-5.1317258","Alamat","Ruko, Jl. Bulusaraung Square Jl. Jend. M. Jusuf No.A6, Gaddong, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90157"
"J&T Express VIP Makassar",4.7,15,"Buka ⋅ Tutup pukul 22.00","https://www.google.com/maps/place/J%26T+Express+VIP+Makassar/data=!4m7!3m6!1s0x2dbf03c19d2c8779:0x27d5f51650e5f47f!8m2!3d-5.1317258!4d119.4172881!16s%2Fg%2F11fwjhzxcr!19sChIJeYcsncEDvy0Rf_TlUBb11Sc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/J%26T+Express+VIP+Makassar/@-5.1317258,119.4172881,17z/data=!3m1!4b1!4m6!3m5!1s0x2dbf03c19d2c8779:0x27d5f51650e5f47f!8m2!3d-5.1317258!4d119.4172881!16s%2Fg%2F11fwjhzxcr?authuser=0&hl=id&entry=ttu","119.4172881","-5.1317258","Situs Web","instagram.com"
